sample,analysis_type_uid,PC1,PC2,PC3,PC4
C3,1160361,-0.7723108167093122,0.0008263445419900566,0.0,-0.0
C3-C115d-C1,1158218,-0.8132174788484542,-0.0008052997432338028,0.0,-0.0
C15-C15vd-C15ev,1158998,0.7838437875249635,-1.0217640687313292e-05,-0.0,-0.0
C15-C15vd-C15ev-C15ww,1159159,0.8016845080328032,-1.0827157740222802e-05,0.0,-0.0
proportion_explained,0,0.9999994705252195,5.294747804097095e-07,0.0,0.0
