Date	Time_HH:MM:SS	Time_sec	Ch1_O2_14A	Ch2_O2_14B	Ch3_O2_15A	Ch4_O2_15B	Ch1_Temp	Ch2_Temp	Ch3_Temp	Ch4_Temp
1/26/2019	01:07:12	900.00	3.1038	4.0219	3.9122	4.2109	34.500	34.500	34.500	34.500
1/26/2019	01:07:27	915.00	3.0950	4.0259	3.9064	4.2066	34.500	34.500	34.500	34.500
1/26/2019	01:07:42	930.00	3.0798	4.0298	3.9085	4.2085	34.500	34.500	34.500	34.500
1/26/2019	01:07:57	945.00	3.0662	4.0266	3.9097	4.2145	34.500	34.500	34.500	34.500
1/26/2019	01:08:12	960.00	3.0643	4.0320	3.9061	4.2102	34.500	34.500	34.500	34.500
1/26/2019	01:08:27	975.00	3.0633	4.0252	3.9057	4.2019	34.500	34.500	34.500	34.500
1/26/2019	01:08:42	990.00	3.0716	4.0164	3.9038	4.2084	34.500	34.500	34.500	34.500
1/26/2019	01:08:57	1005.00	3.0504	4.0100	3.8947	4.2102	34.500	34.500	34.500	34.500
1/26/2019	01:09:12	1020.00	3.0330	4.0208	3.8991	4.2028	34.500	34.500	34.500	34.500
1/26/2019	01:09:27	1035.00	3.0249	4.0122	3.8904	4.1953	34.500	34.500	34.500	34.500
1/26/2019	01:09:42	1050.00	3.0093	4.0257	3.8928	4.1987	34.500	34.500	34.500	34.500
1/26/2019	01:09:57	1065.00	3.0008	4.0259	3.8865	4.1960	34.500	34.500	34.500	34.500
1/26/2019	01:10:12	1080.00	2.9912	4.0273	3.8820	4.1984	34.500	34.500	34.500	34.500
1/26/2019	01:10:27	1095.00	2.9791	4.0161	3.8816	4.2017	34.500	34.500	34.500	34.500
1/26/2019	01:10:42	1110.00	2.9699	4.0272	3.8854	4.2018	34.500	34.500	34.500	34.500
1/26/2019	01:10:57	1125.00	2.9644	4.0229	3.8789	4.2033	34.500	34.500	34.500	34.500
1/26/2019	01:11:12	1140.00	2.9539	4.0127	3.8851	4.2030	34.500	34.500	34.500	34.500
1/26/2019	01:11:27	1155.00	2.9482	4.0192	3.8798	4.1892	34.500	34.500	34.500	34.500
1/26/2019	01:11:42	1170.00	2.9406	4.0089	3.8734	4.1883	34.500	34.500	34.500	34.500
1/26/2019	01:11:57	1185.00	2.9345	4.0068	3.8716	4.1857	34.500	34.500	34.500	34.500
1/26/2019	01:12:12	1200.00	2.9243	4.0047	3.8715	4.1883	34.500	34.500	34.500	34.500
1/26/2019	01:12:27	1215.00	2.9154	3.9933	3.8719	4.1931	34.500	34.500	34.500	34.500
1/26/2019	01:12:42	1230.00	2.9072	3.9911	3.8664	4.1871	34.500	34.500	34.500	34.500
1/26/2019	01:12:57	1245.00	2.8953	3.9968	3.8650	4.1972	34.500	34.500	34.500	34.500
1/26/2019	01:13:12	1260.00	2.8828	3.9915	3.8605	4.1981	34.500	34.500	34.500	34.500
1/26/2019	01:13:27	1275.00	2.8735	3.9845	3.8606	4.2012	34.500	34.500	34.500	34.500
1/26/2019	01:13:42	1290.00	2.8633	3.9713	3.8576	4.1968	34.500	34.500	34.500	34.500
1/26/2019	01:13:57	1305.00	2.8556	3.9710	3.8545	4.1850	34.500	34.500	34.500	34.500
1/26/2019	01:14:12	1320.00	2.8510	3.9701	3.8558	4.1887	34.500	34.500	34.500	34.500
1/26/2019	01:14:27	1335.00	2.8392	3.9671	3.8501	4.1822	34.500	34.500	34.500	34.500
1/26/2019	01:14:42	1350.00	2.8293	3.9633	3.8514	4.1933	34.500	34.500	34.500	34.500
1/26/2019	01:14:57	1365.00	2.8167	3.9586	3.8507	4.1920	34.500	34.500	34.500	34.500
1/26/2019	01:15:12	1380.00	2.8064	3.9604	3.8505	4.1871	34.500	34.500	34.500	34.500
1/26/2019	01:15:27	1395.00	2.8004	3.9548	3.8454	4.1764	34.500	34.500	34.500	34.500
1/26/2019	01:15:42	1410.00	2.7891	3.9540	3.8434	4.1715	34.500	34.500	34.500	34.500
1/26/2019	01:15:57	1425.00	2.7845	3.9515	3.8382	4.1671	34.500	34.500	34.500	34.500
1/26/2019	01:16:12	1440.00	2.7723	3.9524	3.8379	4.1699	34.500	34.500	34.500	34.500
1/26/2019	01:16:27	1455.00	2.7646	3.9449	3.8352	4.1773	34.500	34.500	34.500	34.500
1/26/2019	01:16:42	1470.00	2.7576	3.9388	3.8355	4.1727	34.500	34.500	34.500	34.500
1/26/2019	01:16:57	1485.00	2.7500	3.9337	3.8308	4.1623	34.500	34.500	34.500	34.500
1/26/2019	01:17:12	1500.00	2.7378	3.9354	3.8315	4.1683	34.500	34.500	34.500	34.500
1/26/2019	01:17:27	1515.00	2.7314	3.9285	3.8258	4.1655	34.500	34.500	34.500	34.500
1/26/2019	01:17:42	1530.00	2.7199	3.9244	3.8240	4.1606	34.500	34.500	34.500	34.500
1/26/2019	01:17:57	1545.00	2.7088	3.9227	3.8251	4.1655	34.500	34.500	34.500	34.500
1/26/2019	01:18:12	1560.00	2.7007	3.9231	3.8178	4.1644	34.500	34.500	34.500	34.500
1/26/2019	01:18:27	1575.00	2.6925	3.9173	3.8209	4.1670	34.500	34.500	34.500	34.500
1/26/2019	01:18:42	1590.00	2.6835	3.9138	3.8138	4.1575	34.500	34.500	34.500	34.500
1/26/2019	01:18:57	1605.00	2.6758	3.9078	3.8074	4.1468	34.500	34.500	34.500	34.500
1/26/2019	01:19:12	1620.00	2.6687	3.9211	3.8054	4.1441	34.500	34.500	34.500	34.500
1/26/2019	01:19:27	1635.00	2.6569	3.9117	3.8125	4.1279	34.500	34.500	34.500	34.500
1/26/2019	01:19:42	1650.00	2.6451	3.9108	3.8069	4.1271	34.500	34.500	34.500	34.500
1/26/2019	01:19:57	1665.00	2.6349	3.9058	3.8022	4.1281	34.500	34.500	34.500	34.500
1/26/2019	01:20:12	1680.00	2.6260	3.9050	3.8026	4.1217	34.500	34.500	34.500	34.500
1/26/2019	01:20:27	1695.00	2.6205	3.8950	3.7983	4.1260	34.500	34.500	34.500	34.500
1/26/2019	01:20:42	1710.00	2.6096	3.8938	3.7967	4.1247	34.500	34.500	34.500	34.500
1/26/2019	01:20:57	1725.00	2.5996	3.8883	3.7958	4.1295	34.500	34.500	34.500	34.500
1/26/2019	01:21:12	1740.00	2.5914	3.8971	3.7935	4.1334	34.500	34.500	34.500	34.500
1/26/2019	01:21:27	1755.00	2.5797	3.8964	3.7949	4.1271	34.500	34.500	34.500	34.500
