7530-213548
OS REV: 1.07 Sensor Cal: 1628751600 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1654907040, +3.51, +28.713,  +502.8, +1095.0,  -488.0,  +519.0
1654907640, +3.51, +28.681,  +565.3, +1164.0,  -463.0,  +447.0
1654908240, +3.51, +28.697,  +485.9, +1103.0,  -488.0,  +516.0
1654908840, +3.51, +28.705,  +474.7, +1108.0,  -488.0,  +515.0
1654909440, +3.51, +28.705,  +457.8, +1097.0,  -488.0,  +519.0
1654910040, +3.51, +28.705,  +446.1, +1086.0,  -488.0,  +520.0
1654910640, +3.51, +28.721,  +424.4, +1091.0,  -488.0,  +520.0
1654911240, +3.51, +28.730,  +411.0, +1159.0,  -480.0,  +447.0
1654911840, +3.51, +28.730,  +391.1, +1091.0,  -488.0,  +519.0
1654912440, +3.51, +28.721,  +373.7, +1096.0,  -488.0,  +519.0
1654913040, +3.51, +28.738,  +350.5, +1094.0,  -488.0,  +519.0
1654913640, +3.51, +28.730,  +317.6, +1084.0,  -490.0,  +524.0
1654914240, +3.51, +28.713,  +317.2, +1100.0,  -488.0,  +520.0
1654914840, +3.51, +28.738,  +286.1, +1166.0,  -465.0,  +447.0
1654915440, +3.51, +28.730,  +261.5, +1102.0,  -488.0,  +515.0
1654916040, +3.51, +28.730,  +226.4, +1095.0,  -490.0,  +519.0
1654916640, +3.51, +28.730,  +200.5, +1096.0,  -488.0,  +518.0
1654917240, +3.51, +28.721,  +234.6, +1112.0,  -488.0,  +512.0
1654917840, +3.51, +28.730,   +61.0, +1102.0,  -488.0,  +515.0
1654918440, +3.51, +28.730,   +97.3, +1103.0,  -488.0,  +512.0
1654919040, +3.51, +28.738,   +63.7, +1103.0,  -488.0,  +513.0
1654919640, +3.51, +28.746,   +45.5, +1096.0,  -488.0,  +519.0
1654920240, +3.51, +28.730,   +22.2, +1097.0,  -488.0,  +518.0
1654920840, +3.51, +28.730,   +23.4, +1100.0,  -488.0,  +515.0
1654921440, +3.51, +28.713,   +21.6, +1091.0,  -488.0,  +520.0
1654922040, +3.52, +28.713,   +17.6, +1100.0,  -488.0,  +519.0
1654922640, +3.51, +28.738,   +12.2, +1112.0,  -488.0,  +510.0
1654923240, +3.51, +28.721,    +5.9, +1104.0,  -488.0,  +512.0
1654923840, +3.51, +28.730,    +1.1, +1087.0,  -490.0,  +519.0
1654924440, +3.51, +28.705,    +0.2, +1084.0,  -492.0,  +520.0
1654925040, +3.51, +28.713,    -0.3, +1097.0,  -488.0,  +518.0
1654925640, +3.51, +28.721,    -0.2, +1096.0,  -490.0,  +518.0
1654926240, +3.52, +28.705,    -0.0, +1100.0,  -488.0,  +518.0
1654926840, +3.51, +28.705,    -0.0, +1142.0,  -477.0,  +463.0
1654927440, +3.51, +28.721,    -0.0, +1164.0,  -464.0,  +439.0
1654928040, +3.51, +28.721,    +0.1, +1084.0,  -488.0,  +520.0
1654928640, +3.52, +28.713,    -0.0, +1100.0,  -492.0,  +518.0
1654929240, +3.51, +28.721,    -0.2, +1100.0,  -488.0,  +515.0
1654929840, +3.51, +28.705,    +0.2, +1102.0,  -488.0,  +518.0
1654930440, +3.51, +28.713,    -0.0, +1100.0,  -488.0,  +515.0
1654931040, +3.51, +28.705,    +0.1, +1159.0,  -477.0,  +436.0
1654931640, +3.52, +28.713,    -0.2, +1091.0,  -488.0,  +524.0
1654932240, +3.51, +28.705,    -0.1, +1102.0,  -488.0,  +512.0
1654932840, +3.51, +28.689,    +0.1, +1105.0,  -488.0,  +513.0
1654933440, +3.51, +28.697,    -0.1, +1084.0,  -488.0,  +524.0
1654934040, +3.51, +28.697,    -0.1, +1160.0,  -486.0,  +451.0
1654934640, +3.51, +28.689,    +0.2, +1089.0,  -488.0,  +520.0
1654935240, +3.51, +28.713,    -0.2, +1116.0,  -488.0,  +504.0
1654935840, +3.51, +28.705,    -0.0, +1160.0,  -480.0,  +444.0
1654936440, +3.52, +28.689,    -0.1, +1100.0,  -488.0,  +518.0
1654937040, +3.51, +28.697,    -0.2, +1091.0,  -490.0,  +520.0
1654937640, +3.51, +28.697,    -0.0, +1086.0,  -490.0,  +520.0
1654938240, +3.51, +28.697,    -0.1, +1160.0,  -484.0,  +455.0
1654938840, +3.51, +28.697,    -0.1, +1103.0,  -488.0,  +516.0
1654939440, +3.51, +28.697,    -0.3, +1096.0,  -488.0,  +518.0
1654940040, +3.51, +28.689,    -0.1, +1087.0,  -488.0,  +520.0
1654940640, +3.51, +28.689,    -0.1, +1108.0,  -488.0,  +512.0
1654941240, +3.52, +28.697,    -0.2, +1160.0,  -473.0,  +441.0
1654941840, +3.52, +28.705,    -0.1, +1095.0,  -490.0,  +519.0
1654942440, +3.51, +28.689,    -0.0, +1103.0,  -488.0,  +515.0
1654943040, +3.51, +28.681,    -0.1, +1103.0,  -488.0,  +513.0
1654943640, +3.51, +28.689,    -0.2, +1097.0,  -488.0,  +518.0
1654944240, +3.51, +28.697,    -0.1, +1096.0,  -488.0,  +520.0
1654944840, +3.51, +28.689,    +0.1, +1100.0,  -488.0,  +518.0
1654945440, +3.51, +28.672,    -0.3, +1160.0,  -473.0,  +440.0
1654946040, +3.51, +28.681,    -0.4, +1100.0,  -488.0,  +515.0
1654946640, +3.52, +28.681,    -0.3, +1158.0,  -476.0,  +440.0
1654947240, +3.52, +28.681,    -0.3, +1160.0,  -474.0,  +440.0
1654947840, +3.51, +28.672,    -0.0, +1108.0,  -488.0,  +512.0
1654948440, +3.52, +28.681,    +0.1, +1104.0,  -488.0,  +512.0
1654949040, +3.52, +28.681,    -0.2, +1088.0,  -488.0,  +520.0
1654949640, +3.52, +28.664,    +0.1, +1104.0,  -488.0,  +513.0
1654950240, +3.52, +28.672,    -0.2, +1100.0,  -488.0,  +515.0
1654950840, +3.52, +28.681,    -0.1, +1120.0,  -482.0,  +496.0
1654951440, +3.51, +28.681,    -0.1, +1108.0,  -488.0,  +512.0
1654952040, +3.52, +28.681,    -0.0, +1161.0,  -477.0,  +438.0
1654952640, +3.51, +28.656,    +0.1, +1088.0,  -488.0,  +519.0
1654953240, +3.51, +28.664,    -0.3, +1103.0,  -490.0,  +519.0
1654953840, +3.51, +28.656,    -0.1, +1095.0,  -488.0,  +519.0
1654954440, +3.51, +28.664,    -0.3, +1096.0,  -488.0,  +519.0
1654955040, +3.52, +28.656,    -0.4, +1159.0,  -477.0,  +432.0
1654955640, +3.51, +28.640,    -0.2, +1159.0,  -476.0,  +444.0
1654956240, +3.52, +28.640,    -0.1, +1100.0,  -488.0,  +520.0
1654956840, +3.52, +28.632,    -0.2, +1094.0,  -488.0,  +520.0
1654957440, +3.51, +28.632,    -0.2, +1089.0,  -488.0,  +520.0
1654958040, +3.51, +28.632,    -0.2, +1159.0,  -473.0,  +447.0
1654958640, +3.52, +28.640,    -0.2, +1100.0,  -488.0,  +518.0
1654959240, +3.52, +28.632,    +0.0, +1096.0,  -492.0,  +519.0
1654959840, +3.51, +28.648,    -0.2, +1107.0,  -488.0,  +510.0
1654960440, +3.51, +28.632,    -0.1, +1103.0,  -488.0,  +512.0
1654961040, +3.51, +28.640,    -0.4, +1087.0,  -492.0,  +520.0
1654961640, +3.51, +28.640,    -0.3, +1097.0,  -488.0,  +518.0
1654962240, +3.51, +28.640,    -0.2, +1096.0,  -488.0,  +518.0
1654962840, +3.51, +28.656,    -0.4, +1158.0,  -474.0,  +440.0
1654963440, +3.51, +28.656,    -0.2, +1086.0,  -492.0,  +520.0
