7530-213548
OS REV: 1.07 Sensor Cal: 1628751600 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1659344040, +3.50, +27.729,    -0.2, +1158.0,  -480.0,  +456.0
1659344640, +3.50, +27.737,    -0.2, +1124.0,  -484.0,  +508.0
1659345240, +3.50, +27.704,    -0.2, +1160.0,  -479.0,  +454.0
1659345840, +3.50, +27.737,    -0.0, +1155.0,  -480.0,  +462.0
1659346440, +3.50, +27.746,    -0.2, +1159.0,  -474.0,  +455.0
1659347040, +3.50, +27.721,    -0.2, +1160.0,  -467.0,  +463.0
1659347640, +3.50, +27.729,    -0.1, +1158.0,  -476.0,  +460.0
1659348240, +3.50, +27.729,    +0.2, +1160.0,  -477.0,  +457.0
1659348840, +3.50, +27.737,    -0.2, +1159.0,  -474.0,  +454.0
1659349440, +3.50, +27.737,    -0.0, +1160.0,  -476.0,  +454.0
1659350040, +3.50, +27.737,    -0.2, +1159.0,  -480.0,  +460.0
1659350640, +3.50, +27.746,    -0.1, +1155.0,  -480.0,  +464.0
1659351240, +3.50, +27.713,    -0.2, +1158.0,  -480.0,  +459.0
1659351840, +3.50, +27.713,    -0.1, +1155.0,  -476.0,  +460.0
1659352440, +3.50, +27.729,    -0.1, +1159.0,  -477.0,  +454.0
1659353040, +3.50, +27.721,    -0.0, +1160.0,  -476.0,  +454.0
1659353640, +3.50, +27.713,    +0.1, +1155.0,  -477.0,  +460.0
1659354240, +3.50, +27.713,    -0.1, +1155.0,  -477.0,  +460.0
1659354840, +3.50, +27.713,    -0.2, +1158.0,  -477.0,  +456.0
1659355440, +3.50, +27.721,    +0.0, +1152.0,  -476.0,  +463.0
1659356040, +3.50, +27.704,    -0.2, +1159.0,  -479.0,  +460.0
1659356640, +3.50, +27.680,    -0.2, +1159.0,  -480.0,  +460.0
1659357240, +3.50, +27.663,    -0.2, +1159.0,  -477.0,  +456.0
1659357840, +3.50, +27.672,    +0.0, +1159.0,  -480.0,  +460.0
1659358440, +3.50, +27.672,    -0.2, +1159.0,  -480.0,  +455.0
1659359040, +3.50, +27.663,    -0.2, +1160.0,  -480.0,  +456.0
1659359640, +3.50, +27.688,    -0.1, +1158.0,  -480.0,  +462.0
1659360240, +3.50, +27.672,    -0.3, +1155.0,  -477.0,  +462.0
1659360840, +3.51, +27.704,    -0.1, +1158.0,  -477.0,  +456.0
1659361440, +3.50, +27.663,    -0.1, +1160.0,  -477.0,  +455.0
1659362040, +3.50, +27.680,    -0.2, +1150.0,  -474.0,  +467.0
1659362640, +3.50, +27.680,    -0.2, +1158.0,  -480.0,  +460.0
1659363240, +3.50, +27.672,    -0.2, +1159.0,  -477.0,  +456.0
1659363840, +3.50, +27.688,    -0.3, +1159.0,  -477.0,  +460.0
1659364440, +3.50, +27.663,    -0.0, +1159.0,  -480.0,  +455.0
1659365040, +3.50, +27.680,    -0.0, +1110.0,  -488.0,  +528.0
1659365640, +3.50, +27.672,    +0.0, +1156.0,  -479.0,  +456.0
1659366240, +3.50, +27.688,    +0.0, +1155.0,  -477.0,  +462.0
1659366840, +3.50, +27.647,    -0.1, +1158.0,  -480.0,  +460.0
1659367440, +3.50, +27.663,    -0.1, +1152.0,  -477.0,  +463.0
1659368040, +3.50, +27.655,    -0.2, +1160.0,  -479.0,  +450.0
1659368640, +3.50, +27.655,    -0.2, +1148.0,  -477.0,  +465.0
1659369240, +3.50, +27.630,    -0.2, +1158.0,  -480.0,  +456.0
1659369840, +3.50, +27.655,    -0.2, +1158.0,  -480.0,  +456.0
1659370440, +3.50, +27.647,    -0.2, +1160.0,  -476.0,  +451.0
1659371040, +3.50, +27.663,    -0.0, +1155.0,  -479.0,  +460.0
1659371640, +3.50, +27.663,    -0.2, +1155.0,  -480.0,  +462.0
1659372240, +3.50, +27.655,    -0.1, +1164.0,  -473.0,  +457.0
1659372840, +3.50, +27.655,    -0.3, +1155.0,  -477.0,  +460.0
1659373440, +3.50, +27.672,    -0.1, +1155.0,  -479.0,  +460.0
1659374040, +3.50, +27.663,    +0.1, +1088.0,  -492.0,  +536.0
1659374640, +3.50, +27.663,    -0.1, +1160.0,  -477.0,  +456.0
1659375240, +3.50, +27.647,    +0.1, +1156.0,  -476.0,  +463.0
1659375840, +3.50, +27.655,    +0.3, +1160.0,  -472.0,  +457.0
1659376440, +3.50, +27.639,    +1.8, +1159.0,  -476.0,  +448.0
1659377040, +3.50, +27.614,    +3.5, +1159.0,  -480.0,  +460.0
1659377640, +3.50, +27.639,    +5.1, +1160.0,  -476.0,  +452.0
1659378240, +3.50, +27.639,    +5.6, +1159.0,  -477.0,  +460.0
1659378840, +3.50, +27.630,    +7.4, +1159.0,  -476.0,  +460.0
1659379440, +3.50, +27.622,    +9.9, +1160.0,  -474.0,  +452.0
1659380040, +3.50, +27.639,   +15.6, +1091.0,  -490.0,  +536.0
1659380640, +3.50, +27.639,   +31.7, +1163.0,  -477.0,  +450.0
1659381240, +3.50, +27.655,   +17.0, +1160.0,  -479.0,  +463.0
1659381840, +3.50, +27.639,   +49.9, +1151.0,  -479.0,  +465.0
1659382440, +3.50, +27.647,   +24.8, +1160.0,  -480.0,  +448.0
1659383040, +3.50, +27.663,   +61.2, +1158.0,  -477.0,  +460.0
1659383640, +3.50, +27.688,   +67.5, +1161.0,  -480.0,  +462.0
1659384240, +3.50, +27.688,   +51.2, +1160.0,  -480.0,  +455.0
1659384840, +3.50, +27.672,   +86.2, +1159.0,  -476.0,  +454.0
1659385440, +3.50, +27.721,   +91.6, +1159.0,  -480.0,  +454.0
1659386040, +3.50, +27.713,   +86.1, +1159.0,  -477.0,  +456.0
1659386640, +3.50, +27.737,   +90.1, +1155.0,  -477.0,  +460.0
1659387240, +3.50, +27.721,  +119.9, +1161.0,  -480.0,  +459.0
1659387840, +3.50, +27.737,  +182.6, +1159.0,  -480.0,  +454.0
1659388440, +3.50, +27.737,  +176.8, +1158.0,  -477.0,  +460.0
1659389040, +3.50, +27.746,  +202.1, +1155.0,  -479.0,  +460.0
1659389640, +3.50, +27.737,   +53.0, +1155.0,  -476.0,  +463.0
1659390240, +3.50, +27.746,  +204.2, +1151.0,  -477.0,  +460.0
1659390840, +3.50, +27.737,  +238.9, +1152.0,  -476.0,  +464.0
1659391440, +3.50, +27.737,  +238.2, +1153.0,  -474.0,  +462.0
1659392040, +3.50, +27.721,  +246.9, +1156.0,  -479.0,  +460.0
1659392640, +3.50, +27.713,  +240.9, +1159.0,  -478.0,  +456.0
1659393240, +3.50, +27.721,  +271.8, +1155.0,  -480.0,  +460.0
1659393840, +3.50, +27.737,  +290.3, +1160.0,  -480.0,  +455.0
1659394440, +3.50, +27.721,  +245.9, +1153.0,  -478.0,  +464.0
1659395040, +3.50, +27.729,  +225.8, +1155.0,  -477.0,  +462.0
1659395640, +3.50, +27.713,  +218.7, +1155.0,  -474.0,  +462.0
1659396240, +3.50, +27.737,   +94.2, +1158.0,  -477.0,  +463.0
1659396840, +3.50, +27.721,  +222.7, +1152.0,  -477.0,  +462.0
1659397440, +3.50, +27.737,  +162.8, +1150.0,  -474.0,  +463.0
1659398040, +3.50, +27.746,  +310.1, +1151.0,  -479.0,  +463.0
1659398640, +3.50, +27.762,  +316.2, +1150.0,  -477.0,  +470.0
1659399240, +3.50, +27.779,  +284.9, +1152.0,  -474.0,  +460.0
1659399840, +3.50, +27.770,  +287.1, +1148.0,  -474.0,  +467.0
1659400440, +3.50, +27.754,   +69.8, +1148.0,  -476.0,  +470.0
1659401040, +3.50, +27.754,  +280.0, +1151.0,  -478.0,  +464.0
