7530-213548
OS REV: 1.07 Sensor Cal: 1628751600 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1667957040, +3.50, +28.009,   +61.7,  +847.0, -2048.0,  -313.0
1667957640, +3.50, +28.009,   +68.5,  +844.0, -2048.0,  -313.0
1667958240, +3.50, +28.000,   +59.0,  +841.0, -2048.0,  -312.0
1667958840, +3.50, +28.000,   +53.4,  +844.0, -2048.0,  -312.0
1667959440, +3.50, +28.000,   +50.8,  +833.0, -2048.0,  -308.0
1667960040, +3.50, +28.009,   +36.9,  +840.0, -2048.0,  -312.0
1667960640, +3.50, +28.000,   +46.2,  +846.0, -2048.0,  -314.0
1667961240, +3.50, +27.976,   +68.6, +1187.0,  -468.0,  +480.0
1667961840, +3.50, +27.984,   +24.1,  +854.0, -2048.0,  -320.0
1667962440, +3.50, +27.992,   +29.1,  +844.0, -2048.0,  -314.0
1667963040, +3.50, +27.992,   +18.2,  +851.0, -2048.0,  -320.0
1667963640, +3.50, +28.000,   +25.5,  +851.0, -2048.0,  -320.0
1667964240, +3.50, +28.000,   +22.3,  +833.0, -2048.0,  -313.0
1667964840, +3.50, +28.009,   +33.0,  +847.0, -2048.0,  -314.0
1667965440, +3.50, +28.009,   +35.1, +1100.0,  -488.0,  +572.0
1667966040, +3.50, +27.976,   +13.8,  +856.0, -2048.0,  -312.0
1667966640, +3.50, +27.992,   +22.6,  +880.0, -2048.0,  -320.0
1667967240, +3.50, +28.009,   +15.5, +1103.0,  -488.0,  +572.0
1667967840, +3.50, +28.000,   +12.5,  +876.0, -2048.0,  -320.0
1667968440, +3.50, +27.976,    +9.0,  +856.0, -2048.0,  -312.0
1667969040, +3.50, +27.976,    +5.8,  +857.0, -2048.0,  -314.0
1667969640, +3.50, +27.976,    +4.0,  +888.0, -2048.0,  -320.0
1667970240, +3.50, +27.968,    +2.5,  +880.0, -2048.0,  -320.0
1667970840, +3.50, +27.976,    +1.3,  +867.0, -2048.0,  -319.0
1667971440, +3.50, +27.968,    +0.5,  +886.0, -2048.0,  -328.0
1667972040, +3.50, +27.935,    +0.1,  +872.0, -2048.0,  -320.0
1667972640, +3.50, +27.976,    -0.0,  +848.0, -2048.0,  -314.0
1667973240, +3.50, +27.976,    -0.2,  +878.0, -2048.0,  -324.0
1667973840, +3.50, +27.984,    -0.1,  +876.0, -2048.0,  -320.0
1667974440, +3.50, +27.984,    -0.1,  +864.0, -2048.0,  -314.0
1667975040, +3.50, +27.968,    -0.1,  +880.0, -2048.0,  -328.0
1667975640, +3.50, +27.951,    -0.1,  +880.0, -2048.0,  -328.0
1667976240, +3.50, +27.951,    -0.1,  +878.0, -2048.0,  -324.0
1667976840, +3.50, +27.943,    -0.3,  +876.0, -2048.0,  -320.0
1667977440, +3.50, +27.951,    -0.0,  +880.0, -2048.0,  -328.0
1667978040, +3.50, +27.959,    +0.0,  +876.0, -2048.0,  -320.0
1667978640, +3.50, +27.959,    -0.1,  +876.0, -2048.0,  -324.0
1667979240, +3.50, +27.943,    -0.0,  +871.0, -2048.0,  -320.0
1667979840, +3.50, +27.951,    -0.2,  +870.0, -2048.0,  -320.0
1667980440, +3.50, +27.951,    -0.0,  +856.0, -2048.0,  -316.0
1667981040, +3.50, +27.935,    -0.1,  +860.0, -2048.0,  -319.0
1667981640, +3.50, +27.943,    -0.1,  +872.0, -2048.0,  -328.0
1667982240, +3.50, +27.959,    -0.0,  +880.0, -2048.0,  -328.0
1667982840, +3.50, +27.951,    -0.1,  +864.0, -2048.0,  -320.0
1667983440, +3.50, +27.943,    -0.1,  +872.0, -2048.0,  -324.0
1667984040, +3.50, +27.951,    +0.0,  +872.0, -2048.0,  -324.0
