7530-213548
OS REV: 1.07 Sensor Cal: 1628751600 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1649165040, +3.53, +29.105,    -0.0, +1151.0,  -477.0,  +419.0
1649165640, +3.53, +29.097,    -0.1, +1151.0,  -477.0,  +417.0
1649166240, +3.53, +29.105,    -0.2, +1148.0,  -479.0,  +419.0
1649166840, +3.53, +29.097,    -0.4, +1139.0,  -480.0,  +440.0
1649167440, +3.53, +29.105,    -0.2, +1151.0,  -476.0,  +419.0
1649168040, +3.53, +29.105,    -0.2, +1139.0,  -480.0,  +438.0
1649168640, +3.53, +29.113,    -0.2, +1144.0,  -479.0,  +435.0
1649169240, +3.53, +29.105,    +0.1, +1139.0,  -480.0,  +440.0
1649169840, +3.53, +29.113,    -0.0, +1151.0,  -477.0,  +416.0
1649170440, +3.53, +29.105,    -0.2, +1151.0,  -476.0,  +416.0
1649171040, +3.53, +29.097,    -0.1, +1151.0,  -476.0,  +416.0
1649171640, +3.53, +29.097,    +0.0, +1152.0,  -479.0,  +418.0
1649172240, +3.53, +29.097,    -0.0, +1151.0,  -480.0,  +416.0
1649172840, +3.53, +29.097,    -0.1, +1139.0,  -480.0,  +440.0
1649173440, +3.53, +29.097,    -0.2, +1152.0,  -480.0,  +416.0
1649174040, +3.53, +29.097,    -0.0, +1152.0,  -477.0,  +416.0
1649174640, +3.53, +29.089,    -0.3, +1151.0,  -476.0,  +420.0
1649175240, +3.53, +29.089,    +0.0, +1152.0,  -479.0,  +419.0
1649175840, +3.53, +29.113,    +0.1, +1152.0,  -480.0,  +419.0
1649176440, +3.53, +29.097,    -0.1, +1152.0,  -474.0,  +418.0
1649177040, +3.53, +29.105,    -0.3, +1152.0,  -478.0,  +416.0
1649177640, +3.53, +29.097,    -0.1, +1151.0,  -477.0,  +419.0
1649178240, +3.53, +29.105,    -0.2, +1132.0,  -482.0,  +449.0
1649178840, +3.53, +29.089,    +0.2, +1153.0,  -477.0,  +419.0
1649179440, +3.53, +29.080,    +1.3, +1152.0,  -480.0,  +417.0
1649180040, +3.53, +29.048,    +6.3, +1152.0,  -477.0,  +417.0
1649180640, +3.53, +29.048,   +14.3, +1151.0,  -480.0,  +416.0
1649181240, +3.53, +29.048,   +25.0, +1151.0,  -477.0,  +416.0
1649181840, +3.53, +29.072,   +37.2, +1151.0,  -478.0,  +416.0
1649182440, +3.53, +29.089,   +42.5, +1152.0,  -477.0,  +415.0
1649183040, +3.53, +29.080,   +63.0, +1151.0,  -476.0,  +418.0
1649183640, +3.53, +29.072,   +78.2, +1139.0,  -480.0,  +438.0
1649184240, +3.53, +29.089,  +114.4, +1144.0,  -477.0,  +432.0
1649184840, +3.53, +29.080,  +147.5, +1151.0,  -477.0,  +416.0
1649185440, +3.53, +29.089,  +182.2, +1150.0,  -474.0,  +419.0
1649186040, +3.53, +29.089,  +192.8, +1150.0,  -477.0,  +422.0
1649186640, +3.53, +29.089,  +201.6, +1152.0,  -477.0,  +419.0
1649187240, +3.53, +29.080,  +209.7, +1139.0,  -480.0,  +440.0
1649187840, +3.53, +29.097,  +170.9, +1153.0,  -477.0,  +416.0
1649188440, +3.53, +29.097,  +247.8, +1132.0,  -480.0,  +449.0
1649189040, +3.53, +29.097,  +231.5, +1152.0,  -477.0,  +420.0
1649189640, +3.53, +29.097,  +222.3, +1155.0,  -477.0,  +416.0
1649190240, +3.53, +29.105,  +393.1, +1116.0,  -488.0,  +476.0
1649190840, +3.53, +29.097,  +231.9, +1151.0,  -477.0,  +417.0
1649191440, +3.53, +29.105,  +310.0, +1152.0,  -477.0,  +417.0
1649192040, +3.53, +29.129,  +448.3, +1151.0,  -480.0,  +419.0
1649192640, +3.53, +29.121,  +444.2, +1151.0,  -477.0,  +416.0
1649193240, +3.53, +29.129,  +482.2, +1136.0,  -480.0,  +443.0
1649193840, +3.53, +29.146,  +489.4, +1136.0,  -480.0,  +448.0
1649194440, +3.53, +29.137,  +521.8, +1145.0,  -476.0,  +428.0
1649195040, +3.53, +29.178,  +572.4, +1136.0,  -479.0,  +444.0
1649195640, +3.53, +29.146,  +563.7, +1136.0,  -480.0,  +444.0
1649196240, +3.53, +29.146,  +672.0, +1139.0,  -480.0,  +440.0
1649196840, +3.53, +29.154,  +572.9, +1136.0,  -480.0,  +444.0
1649197440, +3.53, +29.162,  +639.7, +1116.0,  -488.0,  +472.0
1649198040, +3.53, +29.162,  +662.0, +1136.0,  -480.0,  +440.0
1649198640, +3.53, +29.170,  +355.2, +1144.0,  -479.0,  +428.0
1649199240, +3.53, +29.162,  +668.1, +1139.0,  -477.0,  +435.0
1649199840, +3.53, +29.129,  +750.8, +1153.0,  -478.0,  +420.0
1649200440, +3.53, +29.137,  +738.9, +1137.0,  -477.0,  +440.0
1649201040, +3.53, +29.137,  +223.5, +1150.0,  -476.0,  +420.0
1649201640, +3.53, +29.129,  +804.6, +1151.0,  -477.0,  +417.0
1649202240, +3.53, +29.105,  +327.6, +1151.0,  -477.0,  +419.0
1649202840, +3.53, +29.146,  +440.2, +1152.0,  -477.0,  +419.0
1649203440, +3.53, +29.129,  +721.6, +1150.0,  -477.0,  +419.0
1649204040, +3.53, +29.146,  +708.6, +1139.0,  -480.0,  +440.0
1649204640, +3.53, +29.129,  +704.6, +1136.0,  -480.0,  +440.0
1649205240, +3.53, +29.154,  +746.2, +1139.0,  -480.0,  +440.0
1649205840, +3.53, +29.113,  +731.0, +1139.0,  -480.0,  +438.0
1649206440, +3.53, +29.146,  +706.8, +1150.0,  -477.0,  +422.0
1649207040, +3.53, +29.137,  +675.7, +1134.0,  -480.0,  +451.0
1649207640, +3.53, +29.137,  +205.9, +1139.0,  -479.0,  +438.0
1649208240, +3.53, +29.146,  +661.6, +1136.0,  -480.0,  +440.0
1649208840, +3.53, +29.137,  +631.3, +1144.0,  -480.0,  +433.0
1649209440, +3.53, +29.146,  +597.2, +1151.0,  -479.0,  +416.0
1649210040, +3.53, +29.154,  +585.4, +1139.0,  -480.0,  +440.0
1649210640, +3.53, +29.137,  +550.3, +1137.0,  -480.0,  +440.0
1649211240, +3.53, +29.146,  +501.0, +1142.0,  -480.0,  +433.0
1649211840, +3.53, +29.137,  +415.6, +1139.0,  -480.0,  +440.0
1649212440, +3.53, +29.146,  +347.1, +1150.0,  -474.0,  +419.0
1649213040, +3.53, +29.121,  +301.2, +1151.0,  -477.0,  +419.0
