7530-213548
OS REV: 1.07 Sensor Cal: 1628751600 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1647164040, +3.53, +29.178,    -0.2, +1155.0,  -480.0,  +403.0
1647164640, +3.53, +29.162,    -0.2, +1087.0,  -496.0,  +483.0
1647165240, +3.53, +29.146,    -0.1, +1084.0,  -496.0,  +481.0
1647165840, +3.53, +29.146,    -0.2, +1156.0,  -473.0,  +399.0
1647166440, +3.53, +29.146,    +0.1, +1088.0,  -496.0,  +483.0
1647167040, +3.53, +29.162,    -0.3, +1088.0,  -496.0,  +480.0
1647167640, +3.53, +29.129,    -0.0, +1151.0,  -480.0,  +408.0
1647168240, +3.53, +29.129,    -0.1, +1095.0,  -496.0,  +480.0
1647168840, +3.53, +29.137,    -0.2, +1080.0,  -496.0,  +483.0
1647169440, +3.53, +29.154,    +0.2, +1086.0,  -496.0,  +483.0
1647170040, +3.53, +29.146,    -0.1, +1096.0,  -493.0,  +480.0
1647170640, +3.53, +29.162,    -0.3, +1094.0,  -496.0,  +480.0
1647171240, +3.53, +29.154,    -0.1, +1112.0,  -492.0,  +464.0
1647171840, +3.53, +29.170,    -0.2, +1112.0,  -493.0,  +468.0
1647172440, +3.53, +29.146,    -0.1, +1155.0,  -480.0,  +403.0
1647173040, +3.53, +29.162,    -0.4, +1094.0,  -496.0,  +480.0
1647173640, +3.53, +29.146,    +0.1, +1089.0,  -496.0,  +480.0
1647174240, +3.53, +29.146,    -0.1, +1091.0,  -496.0,  +480.0
1647174840, +3.53, +29.146,    -0.1, +1110.0,  -493.0,  +470.0
1647175440, +3.53, +29.146,    -0.2, +1091.0,  -496.0,  +480.0
1647176040, +3.53, +29.137,    -0.1, +1084.0,  -496.0,  +480.0
1647176640, +3.53, +29.072,    -0.1, +1110.0,  -496.0,  +472.0
1647177240, +3.53, +29.113,    -0.0, +1089.0,  -493.0,  +480.0
1647177840, +3.53, +29.129,    -0.0, +1088.0,  -496.0,  +483.0
1647178440, +3.53, +29.137,    -0.1, +1084.0,  -496.0,  +481.0
1647179040, +3.53, +29.137,    -0.1, +1080.0,  -496.0,  +487.0
1647179640, +3.53, +29.097,    -0.2, +1113.0,  -488.0,  +467.0
1647180240, +3.53, +29.089,    -0.1, +1092.0,  -496.0,  +480.0
1647180840, +3.53, +29.064,    -0.2, +1112.0,  -492.0,  +467.0
1647181440, +3.53, +29.080,    -0.2, +1104.0,  -496.0,  +472.0
1647182040, +3.53, +29.064,    -0.0, +1097.0,  -496.0,  +478.0
1647182640, +3.53, +29.072,    -0.1, +1100.0,  -495.0,  +480.0
1647183240, +3.53, +29.064,    -0.3, +1104.0,  -493.0,  +472.0
1647183840, +3.53, +29.072,    -0.2, +1086.0,  -496.0,  +483.0
1647184440, +3.53, +29.080,    -0.1, +1160.0,  -473.0,  +403.0
1647185040, +3.53, +29.072,    -0.4, +1096.0,  -496.0,  +478.0
1647185640, +3.53, +29.072,    +0.1, +1091.0,  -493.0,  +480.0
1647186240, +3.53, +29.056,    -0.1, +1089.0,  -493.0,  +481.0
1647186840, +3.53, +29.023,    +0.1, +1091.0,  -496.0,  +480.0
1647187440, +3.53, +29.032,    -0.2, +1107.0,  -493.0,  +472.0
1647188040, +3.53, +28.999,    -0.2, +1110.0,  -493.0,  +472.0
1647188640, +3.53, +28.983,    -0.1, +1118.0,  -488.0,  +463.0
1647189240, +3.53, +28.983,    -0.1, +1107.0,  -496.0,  +472.0
1647189840, +3.53, +28.975,    -0.2, +1123.0,  -488.0,  +448.0
1647190440, +3.53, +28.975,    -0.1, +1113.0,  -490.0,  +464.0
1647191040, +3.53, +28.983,    +0.2, +1148.0,  -480.0,  +412.0
1647191640, +3.53, +29.032,    +0.1, +1087.0,  -496.0,  +483.0
1647192240, +3.53, +29.056,    +1.3, +1096.0,  -496.0,  +480.0
1647192840, +3.53, +29.056,    +7.0, +1095.0,  -496.0,  +480.0
1647193440, +3.53, +29.032,   +14.2, +1116.0,  -490.0,  +463.0
1647194040, +3.53, +29.056,   +22.9, +1095.0,  -496.0,  +480.0
1647194640, +3.53, +29.040,   +30.6, +1112.0,  -493.0,  +467.0
1647195240, +3.53, +29.048,   +37.3, +1120.0,  -493.0,  +462.0
1647195840, +3.53, +29.072,   +67.9, +1113.0,  -490.0,  +463.0
1647196440, +3.53, +29.072,   +81.7, +1088.0,  -496.0,  +480.0
1647197040, +3.53, +29.072,   +46.7, +1116.0,  -488.0,  +463.0
1647197640, +3.53, +29.064,   +82.2, +1087.0,  -496.0,  +483.0
1647198240, +3.53, +29.089,  +133.5, +1120.0,  -488.0,  +462.0
1647198840, +3.53, +29.089,  +173.7, +1095.0,  -493.0,  +480.0
1647199440, +3.53, +29.080,   +96.2, +1096.0,  -496.0,  +480.0
1647200040, +3.53, +29.080,  +243.2, +1132.0,  -480.0,  +438.0
1647200640, +3.53, +29.080,  +229.4, +1104.0,  -492.0,  +476.0
1647201240, +3.53, +29.089,   +78.6, +1095.0,  -496.0,  +481.0
1647201840, +3.53, +29.080,  +366.5, +1096.0,  -496.0,  +480.0
1647202440, +3.53, +29.080,  +318.3, +1096.0,  -495.0,  +480.0
1647203040, +3.53, +29.089,  +147.8, +1105.0,  -496.0,  +473.0
1647203640, +3.53, +29.105,  +286.8, +1102.0,  -496.0,  +476.0
1647204240, +3.53, +29.105,  +418.0, +1087.0,  -496.0,  +483.0
1647204840, +3.53, +29.105,  +441.7, +1096.0,  -496.0,  +480.0
1647205440, +3.53, +29.121,  +475.2, +1155.0,  -481.0,  +414.0
1647206040, +3.53, +29.129,  +529.5, +1080.0,  -496.0,  +483.0
1647206640, +3.53, +29.113,  +569.4, +1086.0,  -496.0,  +483.0
1647207240, +3.53, +29.129,  +545.7, +1096.0,  -496.0,  +478.0
1647207840, +3.53, +29.154,  +540.8, +1097.0,  -496.0,  +480.0
1647208440, +3.53, +29.105,  +600.5, +1095.0,  -493.0,  +480.0
1647209040, +3.53, +29.154,  +468.7, +1084.0,  -496.0,  +483.0
1647209640, +3.53, +29.113,  +683.6, +1097.0,  -496.0,  +480.0
1647210240, +3.53, +29.121,  +696.8, +1105.0,  -496.0,  +472.0
1647210840, +3.53, +29.129,  +618.6, +1089.0,  -496.0,  +483.0
1647211440, +3.53, +29.137,  +736.9, +1153.0,  -480.0,  +406.0
1647212040, +3.53, +29.113,  +681.5, +1089.0,  -496.0,  +480.0
1647212640, +3.53, +29.113,  +260.9, +1107.0,  -492.0,  +470.0
1647213240, +3.53, +29.089,  +276.4, +1153.0,  -480.0,  +406.0
1647213840, +3.53, +29.089,   +54.8, +1116.0,  -492.0,  +464.0
1647214440, +3.53, +29.072,  +286.8, +1104.0,  -496.0,  +476.0
1647215040, +3.53, +29.080,  +749.5, +1107.0,  -490.0,  +472.0
1647215640, +3.53, +29.080,  +106.4, +1107.0,  -493.0,  +472.0
1647216240, +3.53, +29.064,  +575.7, +1095.0,  -496.0,  +480.0
1647216840, +3.53, +29.089,  +118.0, +1087.0,  -493.0,  +480.0
1647217440, +3.53, +29.080,  +107.4, +1103.0,  -496.0,  +476.0
1647218040, +3.53, +29.072,  +119.7, +1112.0,  -492.0,  +467.0
1647218640, +3.53, +29.064,  +177.8, +1104.0,  -493.0,  +475.0
1647219240, +3.53, +29.064,  +181.4, +1103.0,  -493.0,  +476.0
1647219840, +3.53, +29.064,  +135.7, +1089.0,  -496.0,  +486.0
1647220440, +3.53, +29.089,  +118.5, +1084.0,  -496.0,  +481.0
1647221040, +3.53, +29.048,  +107.4, +1112.0,  -492.0,  +467.0
1647221640, +3.53, +29.056,   +98.0, +1112.0,  -492.0,  +465.0
1647222240, +3.53, +29.064,   +79.5, +1107.0,  -494.0,  +472.0
1647222840, +3.53, +29.072,   +84.9, +1112.0,  -488.0,  +468.0
1647223440, +3.53, +29.072,  +141.8, +1103.0,  -496.0,  +476.0
1647224040, +3.53, +29.089,  +168.5, +1091.0,  -495.0,  +483.0
1647224640, +3.53, +29.097,  +198.8, +1094.0,  -496.0,  +483.0
1647225240, +3.53, +29.072,  +250.7, +1153.0,  -480.0,  +408.0
1647225840, +3.53, +29.113,  +519.4, +1087.0,  -496.0,  +480.0
1647226440, +3.53, +29.105,  +490.3, +1151.0,  -480.0,  +408.0
1647227040, +3.53, +29.105,  +441.4, +1089.0,  -496.0,  +483.0
1647227640, +3.53, +29.121,  +370.7, +1152.0,  -480.0,  +408.0
1647228240, +3.53, +29.121,  +347.0, +1156.0,  -473.0,  +407.0
1647228840, +3.53, +29.129,  +302.5, +1084.0,  -496.0,  +483.0
1647229440, +3.53, +29.121,  +233.3, +1156.0,  -480.0,  +402.0
1647230040, +3.53, +29.129,  +229.4, +1159.0,  -465.0,  +409.0
1647230640, +3.53, +29.137,  +176.0, +1105.0,  -493.0,  +472.0
1647231240, +3.53, +29.113,  +144.9, +1086.0,  -496.0,  +480.0
1647231840, +3.53, +29.137,   +87.7, +1089.0,  -493.0,  +480.0
1647232440, +3.53, +29.129,   +95.2, +1086.0,  -496.0,  +486.0
1647233040, +3.53, +29.146,   +56.2, +1088.0,  -496.0,  +486.0
1647233640, +3.53, +29.170,   +46.4, +1107.0,  -493.0,  +472.0
1647234240, +3.53, +29.162,   +38.4, +1084.0,  -496.0,  +483.0
1647234840, +3.53, +29.178,   +27.8, +1087.0,  -496.0,  +481.0
1647235440, +3.53, +29.170,   +16.0, +1084.0,  -496.0,  +483.0
1647236040, +3.53, +29.146,    +6.4, +1155.0,  -480.0,  +398.0
1647236640, +3.53, +29.146,    +1.3, +1089.0,  -496.0,  +481.0
