7530-213548
OS REV: 1.07 Sensor Cal: 1628751600 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1653428040, +3.52, +28.868,  +332.2, +1123.0,  -484.0,  +488.0
1653428640, +3.52, +28.868,  +410.4, +1134.0,  -480.0,  +478.0
1653429240, +3.52, +28.844,  +179.4, +1128.0,  -480.0,  +483.0
1653429840, +3.52, +28.877,  +247.9, +1132.0,  -480.0,  +473.0
1653430440, +3.52, +28.868,  +147.5, +1139.0,  -476.0,  +462.0
1653431040, +3.52, +28.868,  +198.6, +1136.0,  -480.0,  +472.0
1653431640, +3.52, +28.860,  +387.2, +1144.0,  -476.0,  +456.0
1653432240, +3.52, +28.877,  +352.9, +1123.0,  -488.0,  +488.0
1653432840, +3.52, +28.868,  +108.7, +1124.0,  -488.0,  +496.0
1653433440, +3.52, +28.877,  +397.5, +1139.0,  -480.0,  +462.0
1653434040, +3.52, +28.885,  +269.2, +1136.0,  -480.0,  +472.0
1653434640, +3.52, +28.885,  +426.6, +1127.0,  -484.0,  +481.0
1653435240, +3.52, +28.877,  +369.0, +1132.0,  -480.0,  +472.0
1653435840, +3.52, +28.877,  +306.0, +1126.0,  -484.0,  +488.0
1653436440, +3.52, +28.877,   +75.8, +1123.0,  -484.0,  +488.0
1653437040, +3.52, +28.885,  +107.2, +1135.0,  -480.0,  +472.0
1653437640, +3.52, +28.877,   +70.5, +1119.0,  -488.0,  +496.0
1653438240, +3.52, +28.877,  +149.1, +1134.0,  -480.0,  +472.0
1653438840, +3.52, +28.901,  +109.4, +1126.0,  -480.0,  +492.0
1653439440, +3.52, +28.893,  +265.5, +1136.0,  -476.0,  +470.0
1653440040, +3.52, +28.877,  +302.3, +1123.0,  -482.0,  +492.0
1653440640, +3.52, +28.893,  +236.2, +1129.0,  -480.0,  +480.0
1653441240, +3.52, +28.885,  +227.3, +1123.0,  -484.0,  +487.0
1653441840, +3.52, +28.901,  +116.0, +1127.0,  -480.0,  +483.0
1653442440, +3.52, +28.909,  +231.0, +1132.0,  -482.0,  +478.0
1653443040, +3.52, +28.909,   +41.1, +1144.0,  -476.0,  +456.0
1653443640, +3.52, +28.893,   +45.1, +1139.0,  -474.0,  +463.0
1653444240, +3.52, +28.885,  +195.3, +1134.0,  -477.0,  +467.0
1653444840, +3.52, +28.893,  +157.3, +1151.0,  -476.0,  +448.0
1653445440, +3.52, +28.909,   +35.2, +1110.0,  -488.0,  +504.0
1653446040, +3.52, +28.901,  +138.3, +1134.0,  -480.0,  +472.0
1653446640, +3.52, +28.893,   +25.9, +1132.0,  -480.0,  +480.0
1653447240, +3.52, +28.926,   +38.7, +1131.0,  -480.0,  +480.0
1653447840, +3.52, +28.909,  +106.0, +1148.0,  -473.0,  +448.0
1653448440, +3.52, +28.893,   +87.0, +1136.0,  -480.0,  +470.0
1653449040, +3.52, +28.901,   +75.6, +1132.0,  -480.0,  +472.0
1653449640, +3.52, +28.909,   +71.1, +1126.0,  -484.0,  +480.0
1653450240, +3.52, +28.893,   +55.9, +1134.0,  -477.0,  +480.0
1653450840, +3.52, +28.909,   +38.4, +1127.0,  -484.0,  +480.0
1653451440, +3.52, +28.917,   +44.6, +1137.0,  -476.0,  +462.0
1653452040, +3.52, +28.885,   +51.3, +1132.0,  -480.0,  +476.0
1653452640, +3.52, +28.901,   +13.9, +1136.0,  -480.0,  +467.0
1653453240, +3.52, +28.901,   +14.7, +1129.0,  -484.0,  +476.0
1653453840, +3.52, +28.877,    +9.0, +1132.0,  -480.0,  +480.0
1653454440, +3.52, +28.893,    +3.5, +1139.0,  -477.0,  +463.0
1653455040, +3.52, +28.893,    +1.2, +1123.0,  -484.0,  +492.0
1653455640, +3.52, +28.885,    +0.0, +1137.0,  -480.0,  +467.0
1653456240, +3.52, +28.877,    -0.0, +1120.0,  -484.0,  +494.0
1653456840, +3.52, +28.877,    +0.1, +1140.0,  -474.0,  +460.0
1653457440, +3.52, +28.860,    -0.3, +1136.0,  -479.0,  +470.0
1653458040, +3.52, +28.860,    -0.3, +1134.0,  -484.0,  +480.0
1653458640, +3.52, +28.860,    -0.2, +1148.0,  -474.0,  +448.0
1653459240, +3.52, +28.844,    -0.5, +1142.0,  -476.0,  +464.0
1653459840, +3.52, +28.860,    -0.1, +1136.0,  -480.0,  +472.0
1653460440, +3.52, +28.860,    -0.3, +1136.0,  -479.0,  +472.0
1653461040, +3.52, +28.860,    -0.2, +1151.0,  -474.0,  +448.0
1653461640, +3.52, +28.852,    +0.1, +1136.0,  -477.0,  +472.0
1653462240, +3.52, +28.836,    -0.2, +1144.0,  -473.0,  +451.0
1653462840, +3.52, +28.844,    -0.3, +1142.0,  -476.0,  +465.0
1653463440, +3.52, +28.836,    -0.1, +1144.0,  -474.0,  +456.0
1653464040, +3.52, +28.828,    -0.1, +1144.0,  -474.0,  +449.0
1653464640, +3.52, +28.844,    +0.0, +1139.0,  -480.0,  +464.0
1653465240, +3.52, +28.844,    -0.2, +1144.0,  -476.0,  +455.0
1653465840, +3.52, +28.836,    -0.1, +1142.0,  -477.0,  +456.0
1653466440, +3.52, +28.836,    -0.1, +1144.0,  -474.0,  +451.0
1653467040, +3.52, +28.836,    +0.0, +1144.0,  -476.0,  +455.0
1653467640, +3.52, +28.844,    +0.0, +1144.0,  -479.0,  +460.0
1653468240, +3.52, +28.844,    -0.0, +1148.0,  -476.0,  +451.0
1653468840, +3.52, +28.819,    -0.1, +1142.0,  -474.0,  +460.0
1653469440, +3.52, +28.828,    -0.0, +1143.0,  -480.0,  +455.0
1653470040, +3.52, +28.836,    -0.2, +1136.0,  -480.0,  +464.0
