7530-213548
OS REV: 1.07 Sensor Cal: 1628751600 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1642534740, +3.50, +20.069,    +0.6,  +664.0,  +160.0,  -528.0
1642535340, +3.50, +20.069,    +0.6,  +670.0,  +163.0,  -538.0
1642535940, +3.50, +20.077,    +0.8,  +668.0,  +160.0,  -536.0
1642536540, +3.50, +20.019,    +0.7,  +691.0,  +176.0,  -584.0
1642537140, +3.50, +20.019,    +0.3,  +664.0,  +160.0,  -528.0
1642537740, +3.50, +19.960,    +0.7,  +679.0,  +167.0,  -552.0
1642538340, +3.50, +19.926,    +0.5,  +686.0,  +176.0,  -576.0
1642538940, +3.50, +19.909,    +1.9,  +696.0,  +179.0,  -588.0
1642539540, +3.50, +19.943,    +1.6,  +691.0,  +176.0,  -584.0
1642540140, +3.50, +20.002,    +1.7,  +688.0,  +176.0,  -576.0
1642540740, +3.50, +20.094,    +1.5,  +672.0,  +167.0,  -544.0
1642541340, +3.50, +20.203,    +1.6,  +724.0,  +176.0,  -648.0
1642541940, +3.50, +20.271,    +1.2,  +732.0,  +163.0,  -647.0
1642542540, +3.50, +20.363,    +1.4,  +720.0,  +176.0,  -640.0
1642543140, +3.50, +20.439,    +1.5,  +720.0,  +177.0,  -648.0
1642543740, +3.50, +20.497,    +1.6,  +708.0,  +184.0,  -628.0
1642544340, +3.50, +20.506,    +1.4,  +711.0,  +182.0,  -632.0
1642544940, +3.50, +20.523,    +1.4,  +708.0,  +184.0,  -628.0
1642545540, +3.50, +20.539,    +1.4,  +704.0,  +184.0,  -616.0
1642546140, +3.50, +20.531,    +1.4,  +712.0,  +184.0,  -632.0
1642546740, +3.50, +20.556,    +1.5,  +707.0,  +184.0,  -624.0
1642547340, +3.50, +20.690,    +1.4,  +704.0,  +184.0,  -624.0
1642547940, +3.50, +20.875,    +1.5,  +668.0,  +160.0,  -536.0
1642548540, +3.50, +20.993,    +1.5,  +655.0,  +156.0,  -520.0
1642549140, +3.50, +21.127,    +1.4,  +655.0,  +152.0,  -520.0
1642549740, +3.50, +21.127,    +1.3,  +712.0,  +184.0,  -628.0
1642550340, +3.50, +21.144,    +1.6,  +716.0,  +176.0,  -640.0
1642550940, +3.50, +21.152,    +1.5,  +720.0,  +176.0,  -640.0
1642551540, +3.50, +21.118,    +1.5,  +726.0,  +172.0,  -656.0
1642552140, +3.50, +21.068,    +0.8,  +656.0,  +156.0,  -520.0
1642552740, +3.50, +20.951,    +1.1,  +664.0,  +159.0,  -528.0
1642553340, +3.50, +20.816,    +1.1,  +671.0,  +160.0,  -538.0
1642553940, +3.50, +20.741,    +1.1,  +696.0,  +177.0,  -586.0
1642554540, +3.50, +20.716,    +0.8,  +700.0,  +184.0,  -608.0
1642555140, +3.50, +20.682,    +1.1,  +704.0,  +182.0,  -605.0
1642555740, +3.50, +20.690,    +0.8,  +696.0,  +180.0,  -592.0
1642556340, +3.50, +20.699,    +1.0,  +704.0,  +182.0,  -610.0
1642556940, +3.50, +20.707,    +1.1,  +694.0,  +179.0,  -586.0
1642557540, +3.50, +20.657,    +1.1,  +694.0,  +182.0,  -592.0
1642558140, +3.50, +20.632,    +1.2,  +704.0,  +184.0,  -612.0
1642558740, +3.50, +20.581,    +1.3,  +710.0,  +184.0,  -628.0
1642559340, +3.50, +20.539,    +1.2,  +708.0,  +184.0,  -628.0
1642559940, +3.50, +20.489,    -0.3,  +720.0,  +177.0,  -640.0
1642560540, +3.50, +20.497,    -0.1,  +712.0,  +184.0,  -637.0
1642561140, +3.50, +20.506,    -0.2,  +711.0,  +184.0,  -634.0
1642561740, +3.50, +20.565,    -0.0,  +696.0,  +182.0,  -600.0
1642562340, +3.50, +20.590,    +0.0,  +711.0,  +184.0,  -632.0
1642562940, +3.50, +20.598,    -0.3,  +710.0,  +184.0,  -632.0
1642563540, +3.50, +20.556,    -0.0,  +700.0,  +182.0,  -606.0
1642564140, +3.50, +20.548,    -0.2,  +707.0,  +184.0,  -628.0
1642564740, +3.50, +20.497,    -0.0,  +704.0,  +184.0,  -610.0
1642565340, +3.50, +20.472,    -0.3,  +700.0,  +182.0,  -602.0
1642565940, +3.50, +20.489,    -0.3,  +710.0,  +184.0,  -628.0
1642566540, +3.50, +20.523,    -0.2,  +707.0,  +184.0,  -624.0
1642567140, +3.50, +20.565,    -0.2,  +700.0,  +184.0,  -604.0
1642567740, +3.50, +20.598,    -0.4,  +684.0,  +176.0,  -570.0
1642568340, +3.50, +20.648,    +0.2,  +691.0,  +180.0,  -588.0
1642568940, +3.50, +20.623,    -0.1,  +700.0,  +184.0,  -608.0
1642569540, +3.50, +20.598,    -0.2,  +707.0,  +184.0,  -616.0
1642570140, +3.50, +20.573,    -0.3,  +708.0,  +184.0,  -628.0
1642570740, +3.50, +20.548,    -0.0,  +719.0,  +179.0,  -640.0
1642571340, +3.50, +20.548,    -0.0,  +711.0,  +184.0,  -632.0
1642571940, +3.50, +20.598,    -0.1,  +707.0,  +184.0,  -621.0
1642572540, +3.50, +20.632,    -0.1,  +704.0,  +184.0,  -616.0
1642573140, +3.50, +20.690,    -0.3,  +704.0,  +182.0,  -608.0
1642573740, +3.50, +20.699,    +0.1,  +700.0,  +179.0,  -608.0
1642574340, +3.50, +20.665,    -0.4,  +696.0,  +182.0,  -602.0
1642574940, +3.50, +20.657,    +0.1,  +711.0,  +184.0,  -626.0
1642575540, +3.50, +20.640,    -0.2,  +712.0,  +182.0,  -636.0
1642576140, +3.50, +20.607,    -0.1,  +704.0,  +184.0,  -621.0
1642576740, +3.50, +20.565,    -0.1,  +708.0,  +184.0,  -628.0
1642577340, +3.50, +20.598,    -0.0,  +710.0,  +184.0,  -626.0
1642577940, +3.50, +20.657,    -0.3,  +704.0,  +184.0,  -610.0
1642578540, +3.50, +20.674,    -0.1,  +702.0,  +184.0,  -608.0
1642579140, +3.50, +20.724,    -0.5,  +694.0,  +176.0,  -584.0
1642579740, +3.50, +20.732,    +0.0,  +694.0,  +176.0,  -584.0
1642580340, +3.50, +20.674,    -0.2,  +704.0,  +184.0,  -610.0
1642580940, +3.50, +20.640,    +0.1,  +710.0,  +184.0,  -628.0
1642581540, +3.50, +20.623,    +0.1,  +708.0,  +184.0,  -628.0
1642582140, +3.50, +20.607,    -0.2,  +711.0,  +184.0,  -632.0
1642582740, +3.50, +20.607,    +0.1,  +704.0,  +182.0,  -610.0
1642583340, +3.50, +20.674,    -0.1,  +704.0,  +184.0,  -616.0
1642583940, +3.50, +20.707,    -0.1,  +678.0,  +168.0,  -552.0
1642584540, +3.50, +20.732,    -0.1,  +679.0,  +172.0,  -556.0
1642585140, +3.50, +20.732,    -0.1,  +688.0,  +176.0,  -576.0
1642585740, +3.50, +20.724,    -0.2,  +688.0,  +176.0,  -576.0
1642586340, +3.50, +20.648,    -0.2,  +702.0,  +184.0,  -608.0
1642586940, +3.50, +20.640,    -0.2,  +707.0,  +184.0,  -621.0
1642587540, +3.50, +20.607,    -0.3,  +707.0,  +184.0,  -626.0
1642588140, +3.50, +20.573,    -0.1,  +704.0,  +184.0,  -612.0
1642588740, +3.50, +20.623,    -0.2,  +704.0,  +184.0,  -624.0
1642589340, +3.50, +20.674,    -0.1,  +704.0,  +182.0,  -608.0
1642589940, +3.50, +20.699,    -0.1,  +688.0,  +176.0,  -570.0
1642590540, +3.50, +20.758,    +0.0,  +694.0,  +176.0,  -584.0
1642591140, +3.50, +20.724,    -0.2,  +697.0,  +180.0,  -602.0
1642591740, +3.50, +20.707,    -0.2,  +688.0,  +176.0,  -576.0
1642592340, +3.50, +20.657,    -0.2,  +704.0,  +184.0,  -621.0
1642592940, +3.50, +20.615,    +0.0,  +704.0,  +184.0,  -608.0
1642593540, +3.50, +20.590,    -0.0,  +711.0,  +182.0,  -634.0
1642594140, +3.50, +20.590,    -0.0,  +707.0,  +184.0,  -624.0
