sample,sample_uid,PC1,PC2,PC3,PC4,PC5
AS_NMS_Mgri_Deep_02,216790,-0.23036785799648124,-0.010691512493329013,0.09235343697130532,-0.02325544527562278,-0.0
AS_NMS_Mgri_Deep_05,216793,-0.24673547591581482,-0.1584769141037777,-0.01152064059820311,0.05584861968025097,-0.0
AS_NMS_Mgri_Deep_06,216794,-0.1697038803698189,0.2796779759172383,-0.02478258267444508,0.013256442946672699,-0.0
AS_NMS_Mgri_Midd_05,216800,-0.1507665684602712,-0.0991596522001777,-0.0621413959195383,-0.04981402630116556,-0.0
AS_NMS_Mgri_Midd_06,216801,0.7975737827423861,-0.011349897119954232,0.006091182220880567,0.003964408949867397,-0.0
proportion_explained,0,0.8577686835517875,0.12135697041028627,0.014097847104536411,0.006776498933389746,0.0
