7530-470610
OS REV: 1.05 Sensor Cal: 1611734400
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1676290740, +3.51, +28.533,  +0.01026, +1144.000, +64.000, +452.000
1676291340, +3.51, +28.558,  +0.02079, +1231.000, +92.000, +440.000
1676291940, +3.51, +28.582,  -0.03711, +1144.000, +64.000, +452.000
1676292540, +3.51, +28.370,  +0.03921, +1168.000, +70.000, +459.000
1676293140, +3.51, +28.230,  +0.04448, +1255.000, +108.000, +406.000
1676293740, +3.51, +28.337,  +0.08396, +1240.000, +99.000, +424.000
1676294340, +3.51, +28.156,  +0.07343, +1264.000, +112.000, +384.000
1676294940, +3.51, +28.107,  +0.09185, +1230.000, +96.000, +438.000
1676295540, +3.51, +28.058,  -0.01605, +1260.000, +108.000, +396.000
1676296140, +3.51, +27.910,  +0.05764, +1287.000, +115.000, +352.000
1676296740, +3.51, +27.844,  +0.07606, +1244.000, +102.000, +422.000
1676297340, +3.51, +27.861,  -0.03185, +1283.000, +120.000, +352.000
1676297940, +3.51, +27.630,  -0.02658, +1144.000, +64.000, +448.000
1676298540, +3.51, +27.375,  +0.05764, +1176.000, +76.000, +456.000
1676299140, +3.51, +27.276,  +0.09975, +1168.000, +71.000, +460.000
1676299740, +3.51, +27.260,  +0.10764, +1296.000, +112.000, +344.000
1676300340, +3.51, +27.227,  +0.03658, +1200.000, +81.000, +456.000
1676300940, +3.51, +27.169,  +0.01290, +1223.000, +92.000, +448.000
1676301540, +3.51, +27.144,  -0.02395, +1216.000, +88.000, +448.000
1676302140, +3.51, +27.136,  +0.07080, +1217.000, +88.000, +448.000
1676302740, +3.51, +27.136,  -0.02132, +1200.000, +80.000, +456.000
1676303340, +3.51, +27.119,  +0.12606, +1206.000, +83.000, +454.000
1676303940, +3.51, +27.111,  +0.06816, +1219.000, +88.000, +448.000
1676304540, +3.51, +27.111,  +0.01026, +1239.000, +96.000, +432.000
1676305140, +3.51, +27.119,  +0.07606, +1228.000, +96.000, +440.000
1676305740, +3.51, +27.161,  -0.01342, +1208.000, +86.000, +454.000
1676306340, +3.51, +27.482,  +0.00500, +1286.000, +120.000, +354.000
1676306940, +3.51, +27.490,  -0.01079, +1180.000, +76.000, +456.000
1676307540, +3.51, +27.630,  +0.04974, +1139.000, +64.000, +448.000
1676308140, +3.51, +27.704,  -0.05290, +1144.000, +64.000, +452.000
1676308740, +3.51, +27.424,  +0.03658, +1174.000, +72.000, +460.000
1676309340, +3.51, +27.268,  +0.20765, +1211.000, +83.000, +451.000
1676309940, +3.51, +27.210,  +0.53137, +1208.000, +83.000, +455.000
1676310540, +3.51, +27.202,  +1.19985, +1139.000, +64.000, +448.000
1676311140, +3.51, +27.185,  +1.68937, +1251.000, +104.000, +412.000
1676311740, +3.51, +27.210,  +2.16836, +1201.000, +81.000, +456.000
1676312340, +3.51, +27.334,  +2.79210, +1183.000, +73.000, +462.000
1676312940, +3.51, +27.441,  +3.11845, +1164.000, +70.000, +456.000
1676313540, +3.51, +27.457,  +3.92905, +1273.000, +118.000, +368.000
1676314140, +3.51, +27.449,  +4.26329, +1159.000, +68.000, +456.000
1676314740, +3.51, +27.433,  +3.63429, +1158.000, +67.000, +456.000
1676315340, +3.51, +27.424,  +3.63955, +1158.000, +68.000, +456.000
1676315940, +3.51, +27.433,  +4.91336, +1151.000, +66.000, +454.000
1676316540, +3.51, +27.507,  +5.66343, +1196.000, +80.000, +456.000
1676317140, +3.51, +27.573,  +6.78985, +1143.000, +63.000, +441.000
1676317740, +3.51, +27.614,  +6.02662, +1294.000, +112.000, +344.000
1676318340, +3.51, +27.647,  +5.65290, +1142.000, +64.000, +448.000
1676318940, +3.51, +27.737,  +3.78430, +1286.000, +116.000, +352.000
1676319540, +3.51, +28.009, +12.42985, +1272.000, +112.000, +376.000
1676320140, +3.51, +28.148, +12.95885, +1267.000, +112.000, +384.000
1676320740, +3.51, +28.214, +16.12493, +1224.000, +89.000, +444.000
1676321340, +3.51, +28.238, +15.41960, +1216.000, +88.000, +448.000
1676321940, +3.51, +28.263, +16.94869, +1240.000, +99.000, +424.000
1676322540, +3.51, +28.255, +17.60665, +1235.000, +96.000, +432.000
1676323140, +3.51, +28.263, +16.28547, +1248.000, +104.000, +414.000
1676323740, +3.51, +28.337, +13.19834, +1244.000, +97.000, +423.000
1676324340, +3.51, +28.361, +19.19364, +1244.000, +102.000, +419.000
1676324940, +3.51, +28.361, +12.11403, +1235.000, +96.000, +432.000
1676325540, +3.51, +28.345, +11.59030, +1241.000, +99.000, +422.000
1676326140, +3.51, +28.296, +16.96712, +1240.000, +100.000, +424.000
1676326740, +3.51, +27.959, +13.82735, +1278.000, +116.000, +360.000
1676327340, +3.51, +27.770, +18.28040, +1272.000, +112.000, +380.000
1676327940, +3.51, +27.721, +22.86504, +1304.000, +111.000, +335.000
1676328540, +3.51, +27.779, +27.48389, +1304.000, +107.000, +327.000
1676329140, +3.51, +28.033, +21.29647, +1287.000, +115.000, +355.000
1676329740, +3.51, +28.230, +29.25511, +1247.000, +100.000, +416.000
1676330340, +3.51, +28.312, +25.49423, +1246.000, +102.000, +419.000
1676330940, +3.51, +28.345, +26.84699, +1244.000, +99.000, +423.000
1676331540, +3.51, +28.353, +27.88919, +1240.000, +98.000, +425.000
1676332140, +3.51, +28.320, +31.01843, +1248.000, +100.000, +417.000
1676332740, +3.51, +28.230, +26.32063, +1272.000, +118.000, +378.000
1676333340, +3.51, +28.173, +23.21770, +1248.000, +99.000, +416.000
1676333940, +3.51, +28.214, +18.67254, +1291.000, +120.000, +348.000
1676334540, +3.51, +28.222, +16.63551, +1240.000, +99.000, +428.000
1676335140, +3.51, +28.197, +21.01487, +1246.000, +102.000, +416.000
1676335740, +3.51, +27.968, +22.34394, +1287.000, +116.000, +352.000
1676336340, +3.51, +27.746, +12.05613, +1305.000, +110.000, +335.000
1676336940, +3.51, +27.672, +25.29948, +1299.000, +112.000, +344.000
1676337540, +3.51, +27.861, +15.93544, +1291.000, +115.000, +348.000
1676338140, +3.51, +27.984, +10.20859, +1288.000, +120.000, +344.000
1676338740, +3.51, +27.992, +13.99052, +1272.000, +116.000, +376.000
1676339340, +3.51, +27.885, +19.22522, +1292.000, +115.000, +348.000
1676339940, +3.51, +27.853, +14.30108, +1299.000, +112.000, +342.000
1676340540, +3.51, +27.877,  +9.33482, +1296.000, +112.000, +342.000
1676341140, +3.51, +27.976, +12.34563, +1291.000, +115.000, +352.000
1676341740, +3.51, +28.066, +12.25352, +1256.000, +108.000, +400.000
1676342340, +3.51, +28.165, +11.79032, +1283.000, +120.000, +356.000
1676342940, +3.51, +28.279, +12.52986, +1260.000, +108.000, +400.000
1676343540, +3.51, +28.320,  +5.93450, +1246.000, +102.000, +417.000
1676344140, +3.51, +28.206,  +5.23970, +1244.000, +103.000, +420.000
1676344740, +3.51, +28.033,  +4.58964, +1287.000, +116.000, +352.000
1676345340, +3.51, +27.836,  +4.09486, +1304.000, +107.000, +329.000
1676345940, +3.51, +27.836,  +3.51849, +1302.000, +104.000, +346.000
1676346540, +3.51, +27.828,  +3.76588, +1308.000, +104.000, +327.000
1676347140, +3.51, +27.828,  +3.48954, +1296.000, +112.000, +344.000
1676347740, +3.51, +27.795,  +3.20530, +1297.000, +112.000, +348.000
1676348340, +3.51, +27.680,  +2.78158, +1142.000, +64.000, +443.000
1676348940, +3.51, +27.622,  +2.15520, +1304.000, +107.000, +327.000
1676349540, +3.51, +27.614,  +1.97887, +1139.000, +64.000, +448.000
1676350140, +3.51, +27.663,  +1.82886, +1142.000, +64.000, +448.000
