7530-470610
OS REV: 1.05 Sensor Cal: 1611734400
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1676986740, +3.51, +27.053,  +0.03395, +1222.000, +88.000, +448.000
1676987340, +3.51, +27.086,  +0.01553, +1203.000, +80.000, +460.000
1676987940, +3.51, +27.086,  +0.05764, +1248.000, +102.000, +423.000
1676988540, +3.51, +27.037,  +0.03921, +1239.000, +99.000, +430.000
1676989140, +3.51, +27.004,  +0.05764, +1255.000, +108.000, +406.000
1676989740, +3.51, +26.979,  +0.03921, +1265.000, +112.000, +388.000
1676990340, +3.51, +27.028,  -0.00553, +1273.000, +116.000, +376.000
1676990940, +3.51, +27.202,  +0.02342, +1227.000, +96.000, +444.000
1676991540, +3.51, +27.383,  +0.02606, +1159.000, +70.000, +462.000
1676992140, +3.51, +27.482,  +0.03921, +1155.000, +65.000, +460.000
1676992740, +3.51, +27.515,  +0.02079, +1140.000, +64.000, +449.000
1676993340, +3.51, +27.499,  +0.04448, +1142.000, +63.000, +448.000
1676993940, +3.51, +27.523,  -0.02395, +1145.000, +64.000, +454.000
1676994540, +3.51, +27.466,  +0.02079, +1177.000, +72.000, +463.000
1676995140, +3.51, +27.424,  +0.04185, +1160.000, +70.000, +457.000
1676995740, +3.51, +27.424,  -0.00026, +1150.000, +65.000, +455.000
1676996340, +3.51, +27.523,  +0.04185, +1143.000, +64.000, +448.000
1676996940, +3.51, +27.532,  +0.05764, +1144.000, +64.000, +452.000
1676997540, +3.51, +27.210,  +0.02606, +1192.000, +80.000, +460.000
1676998140, +3.51, +26.946,  +0.01553, +1260.000, +112.000, +400.000
1676998740, +3.51, +26.863,  -0.01342, +1256.000, +112.000, +400.000
1676999340, +3.51, +27.045,  +0.07343, +1248.000, +100.000, +418.000
1676999940, +3.51, +27.334,  +0.05237, +1187.000, +76.000, +462.000
1677000540, +3.51, +27.515,  +0.14975, +1142.000, +62.000, +448.000
1677001140, +3.51, +27.672,  +0.13922, +1307.000, +112.000, +333.000
1677001740, +3.51, +27.894,  +0.21028, +1289.000, +115.000, +352.000
1677002340, +3.51, +28.000,  +0.37082, +1287.000, +116.000, +358.000
1677002940, +3.51, +27.885,  +0.52873, +1286.000, +116.000, +358.000
1677003540, +3.51, +27.902,  +0.66559, +1283.000, +120.000, +359.000
1677004140, +3.51, +28.132,  +0.84718, +1248.000, +104.000, +416.000
1677004740, +3.51, +28.353,  +0.94983, +1244.000, +103.000, +422.000
1677005340, +3.51, +28.230,  +0.93140, +1248.000, +102.000, +423.000
1677005940, +3.51, +28.058,  +1.32618, +1238.000, +96.000, +432.000
1677006540, +3.51, +28.009,  +1.54988, +1286.000, +118.000, +358.000
1677007140, +3.51, +28.025,  +1.81306, +1276.000, +116.000, +371.000
1677007740, +3.51, +28.017,  +1.86570, +1236.000, +96.000, +432.000
1677008340, +3.51, +27.943,  +2.25784, +1145.000, +64.000, +454.000
1677008940, +3.51, +27.803,  +2.85790, +1144.000, +64.000, +454.000
1677009540, +3.51, +27.721,  +3.71324, +1144.000, +64.000, +455.000
1677010140, +3.51, +27.713,  +4.19487, +1295.000, +112.000, +348.000
1677010740, +3.51, +27.951,  +4.75281, +1296.000, +112.000, +344.000
1677011340, +3.51, +28.115,  +5.75028, +1246.000, +104.000, +422.000
1677011940, +3.51, +28.222,  +5.05021, +1255.000, +108.000, +404.000
1677012540, +3.51, +28.222,  +6.02135, +1248.000, +104.000, +416.000
1677013140, +3.51, +28.132,  +7.57150, +1276.000, +115.000, +368.000
1677013740, +3.51, +28.033,  +8.70318, +1241.000, +100.000, +428.000
1677014340, +3.51, +28.074,  +9.31903, +1287.000, +118.000, +354.000
1677014940, +3.51, +28.058, +11.38238, +1230.000, +96.000, +438.000
1677015540, +3.51, +27.959, +11.09025, +1246.000, +100.000, +424.000
1677016140, +3.51, +27.885, +12.11140, +1283.000, +116.000, +356.000
1677016740, +3.51, +27.902, +11.55345, +1287.000, +120.000, +352.000
1677017340, +3.51, +27.877, +10.29807, +1294.000, +114.000, +348.000
1677017940, +3.51, +27.885, +10.73495, +1288.000, +120.000, +352.000
