7530-470610
OS REV: 1.05 Sensor Cal: 1611734400
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1680814740, +3.50, +28.689,  +3.35268, +1299.000, +110.000, +319.000
1680815340, +3.50, +28.885,  +3.76062, +1319.000, +121.000, +329.000
1680815940, +3.50, +28.975,  +4.38699, +1304.000, +120.000, +344.000
1680816540, +3.50, +29.015,  +4.82914, +1304.000, +120.000, +344.000
1680817140, +3.50, +29.032,  +5.13706, +1292.000, +120.000, +360.000
1680817740, +3.50, +28.991,  +5.21602, +1176.000, +71.000, +467.000
1680818340, +3.50, +28.517,  +5.60553, +1137.000, +56.000, +454.000
1680818940, +3.50, +28.247,  +5.78975, +1144.000, +64.000, +460.000
1680819540, +3.50, +28.124,  +6.42666, +1184.000, +72.000, +467.000
1680820140, +3.50, +28.066,  +6.36086, +1336.000, +111.000, +319.000
1680820740, +3.50, +28.124,  +6.31875, +1180.000, +72.000, +467.000
1680821340, +3.50, +28.197,  +6.56351, +1195.000, +76.000, +464.000
1680821940, +3.50, +28.320,  +7.00303, +1183.000, +72.000, +467.000
1680822540, +3.50, +28.304,  +7.12146, +1156.000, +64.000, +464.000
1680823140, +3.50, +28.148,  +6.52403, +1203.000, +80.000, +463.000
1680823740, +3.50, +28.066,  +7.22147, +1216.000, +88.000, +454.000
1680824340, +3.50, +28.009,  +6.64510, +1244.000, +99.000, +435.000
1680824940, +3.50, +27.935,  +6.24769, +1228.000, +88.000, +452.000
1680825540, +3.50, +27.943,  +5.96872, +1256.000, +102.000, +420.000
1680826140, +3.50, +27.992,  +5.56078, +1262.000, +104.000, +408.000
1680826740, +3.50, +28.074,  +4.90283, +1230.000, +92.000, +448.000
1680827340, +3.50, +28.222,  +4.41068, +1152.000, +64.000, +464.000
1680827940, +3.50, +28.238,  +4.55806, +1142.000, +60.000, +460.000
1680828540, +3.50, +28.042,  +4.60017, +1222.000, +88.000, +454.000
1680829140, +3.50, +27.779,  +4.65280, +1248.000, +99.000, +432.000
1680829740, +3.50, +27.704,  +4.08170, +1260.000, +108.000, +414.000
1680830340, +3.50, +27.869,  +3.74746, +1289.000, +120.000, +358.000
1680830940, +3.50, +28.000,  +3.44743, +1288.000, +120.000, +364.000
1680831540, +3.50, +28.222,  +3.22372, +1160.000, +67.000, +467.000
1680832140, +3.50, +28.468,  +3.19741, +1216.000, +84.000, +456.000
1680832740, +3.50, +28.468,  +3.01844, +1164.000, +68.000, +463.000
1680833340, +3.50, +28.525,  +3.03686, +1180.000, +72.000, +465.000
1680833940, +3.50, +28.599,  +2.72894, +1279.000, +99.000, +315.000
1680834540, +3.50, +28.615,  +2.41575, +1139.000, +60.000, +456.000
1680835140, +3.50, +28.550,  +2.14994, +1286.000, +103.000, +311.000
1680835740, +3.50, +28.476,  +1.89728, +1137.000, +60.000, +454.000
1680836340, +3.50, +28.427,  +1.89465, +1308.000, +120.000, +344.000
1680836940, +3.50, +28.558,  +1.66305, +1153.000, +64.000, +463.000
