7530-470610
OS REV: 1.05 Sensor Cal: 1611734400
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1674376740, +3.51, +27.935,  +0.08396, +1143.000, +65.000, +444.000
1674377340, +3.51, +27.992,  +0.05237, +1299.000, +111.000, +331.000
1674377940, +3.51, +27.968,  +0.09185, +1296.000, +112.000, +344.000
1674378540, +3.51, +27.877,  +0.00237, +1150.000, +67.000, +454.000
1674379140, +3.51, +27.869,  +0.04711, +1158.000, +71.000, +455.000
1674379740, +3.52, +27.630,  +0.02079, +1310.000, +105.000, +335.000
1674380340, +3.51, +27.457,  -0.02658, +1264.000, +112.000, +390.000
1674380940, +3.52, +27.795,  +0.02342, +1161.000, +70.000, +456.000
1674381540, +3.51, +28.083,  -0.03448, +1288.000, +118.000, +348.000
1674382140, +3.52, +27.803,  +0.03658, +1176.000, +72.000, +460.000
1674382740, +3.52, +27.704,  +0.12606, +1193.000, +80.000, +456.000
1674383340, +3.51, +27.737,  +0.01816, +1150.000, +67.000, +454.000
1674383940, +3.52, +27.746,  +0.07869, +1142.000, +67.000, +448.000
1674384540, +3.52, +27.811,  -0.02658, +1148.000, +65.000, +454.000
1674385140, +3.51, +27.902,  +0.02606, +1142.000, +64.000, +448.000
1674385740, +3.52, +27.927,  +0.00763, +1143.000, +64.000, +448.000
1674386340, +3.52, +27.696,  +0.03132, +1169.000, +73.000, +460.000
1674386940, +3.52, +27.523,  +0.01290, +1150.000, +67.000, +454.000
1674387540, +3.52, +27.515,  -0.03974, +1224.000, +96.000, +440.000
1674388140, +3.52, +27.606,  +0.06816, +1180.000, +76.000, +460.000
1674388740, +3.52, +27.490,  +0.03132, +1240.000, +102.000, +422.000
1674389340, +3.51, +27.457,  -0.02132, +1144.000, +65.000, +451.000
1674389940, +3.52, +27.474,  +0.02606, +1241.000, +100.000, +424.000
1674390540, +3.51, +27.449,  +0.04185, +1184.000, +79.000, +460.000
1674391140, +3.51, +27.424,  +0.02606, +1247.000, +104.000, +416.000
1674391740, +3.51, +27.408,  -0.00026, +1176.000, +76.000, +460.000
1674392340, +3.51, +27.408,  +0.07606, +1175.000, +76.000, +460.000
1674392940, +3.51, +27.359,  +0.03921, +1264.000, +112.000, +390.000
1674393540, +3.51, +27.309,  +0.02606, +1271.000, +116.000, +384.000
1674394140, +3.51, +27.317,  -0.03448, +1172.000, +72.000, +456.000
1674394740, +3.51, +27.293,  +0.07869, +1264.000, +112.000, +393.000
