7530-470610
OS REV: 1.05 Sensor Cal: 1611734400
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1687127340, +3.48, +28.394,  +2.28416, +1294.000, +120.000, +378.000
1687127940, +3.48, +28.345,  +1.54199, +1257.000, +108.000, +440.000
1687128540, +3.48, +28.312,  +2.76842, +1222.000, +88.000, +480.000
1687129140, +3.48, +28.312,  +1.57883, +1270.000, +112.000, +422.000
1687129740, +3.48, +28.361,  +1.68147, +1279.000, +116.000, +404.000
1687130340, +3.48, +28.460,  +2.66314, +1283.000, +120.000, +400.000
1687130940, +3.48, +28.452,  +2.36048, +1280.000, +116.000, +403.000
1687131540, +3.48, +28.460,  +2.32101, +1280.000, +118.000, +408.000
1687132140, +3.48, +28.509,  +2.15783, +1271.000, +112.000, +422.000
1687132740, +3.48, +28.550,  +2.05782, +1280.000, +120.000, +403.000
1687133340, +3.48, +28.492,  +1.91307, +1223.000, +88.000, +480.000
1687133940, +3.48, +28.329,  +1.72358, +1256.000, +104.000, +442.000
1687134540, +3.48, +28.247,  +1.78938, +1281.000, +120.000, +400.000
1687135140, +3.48, +28.304,  +1.71832, +1139.000, +62.000, +472.000
1687135740, +3.48, +28.312,  +1.68411, +1140.000, +60.000, +476.000
1687136340, +3.48, +28.329,  +1.52620, +1136.000, +64.000, +476.000
1687136940, +3.48, +28.435,  +1.45250, +1297.000, +120.000, +384.000
1687137540, +3.48, +28.542,  +1.42882, +1300.000, +116.000, +376.000
1687138140, +3.48, +28.607,  +1.27091, +1304.000, +116.000, +372.000
1687138740, +3.48, +28.517,  +1.13142, +1295.000, +120.000, +384.000
1687139340, +3.48, +28.402,  +1.20248, +1283.000, +120.000, +400.000
1687139940, +3.48, +28.329,  +0.99720, +1286.000, +120.000, +396.000
1687140540, +3.48, +28.279,  +0.67085, +1286.000, +120.000, +392.000
1687141140, +3.48, +28.288,  +0.91824, +1260.000, +108.000, +433.000
1687141740, +3.48, +28.288,  +0.54189, +1287.000, +116.000, +396.000
1687142340, +3.48, +28.279,  +0.84718, +1192.000, +76.000, +492.000
1687142940, +3.48, +28.288,  +0.68401, +1279.000, +115.000, +406.000
1687143540, +3.48, +28.296,  +0.52873, +1273.000, +112.000, +416.000
1687144140, +3.48, +28.214,  +0.59979, +1287.000, +120.000, +392.000
1687144740, +3.48, +28.197,  +0.52347, +1209.000, +83.000, +484.000
1687145340, +3.48, +28.255,  +0.30766, +1222.000, +88.000, +476.000
1687145940, +3.48, +28.345,  +0.26818, +1284.000, +120.000, +398.000
1687146540, +3.48, +28.411,  +0.23134, +1158.000, +64.000, +484.000
1687147140, +3.48, +28.484,  +0.30766, +1259.000, +104.000, +440.000
1687147740, +3.48, +28.542,  +0.19976, +1243.000, +99.000, +458.000
1687148340, +3.48, +28.566,  +0.08659, +1164.000, +67.000, +487.000
1687148940, +3.48, +28.542,  +0.13396, +1248.000, +100.000, +452.000
1687149540, +3.48, +28.517,  +0.12870, +1251.000, +99.000, +455.000
1687150140, +3.48, +28.435,  +0.05764, +1159.000, +67.000, +484.000
1687150740, +3.48, +28.394,  -0.04764, +1159.000, +68.000, +487.000
