7530-470610
OS REV: 1.05 Sensor Cal: 1611734400
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1674202740, +3.51, +25.196,  +0.10764, -104.000, +451.000, +1433.000
1674203340, +3.51, +25.121,  +0.13659, -100.000, +460.000, +1446.000
1674203940, +3.51, +25.071,  +0.08922, -104.000, +456.000, +1440.000
1674204540, +3.51, +25.013,  +0.02342, -100.000, +472.000, +1467.000
1674205140, +3.51, +24.963,  +0.02869, -100.000, +472.000, +1464.000
1674205740, +3.51, +24.921,  +0.03395, -100.000, +472.000, +1465.000
1674206340, +3.51, +24.888,  +0.03921, -96.000, +488.000, +1478.000
1674206940, +3.50, +24.846,  +0.05764, -93.000, +496.000, +1479.000
1674207540, +3.50, +24.813,  +0.05237, -100.000, +448.000, +1425.000
1674208140, +3.50, +24.763,  +0.05501, -88.000, +512.000, +1472.000
1674208740, +3.50, +24.705,  +0.07343, -92.000, +502.000, +1479.000
1674209340, +3.50, +24.638,  -0.02132, -88.000, +512.000, +1470.000
1674209940, +3.50, +24.580,  -0.03711, -90.000, +508.000, +1475.000
1674210540, +3.50, +24.555,  +0.08659, -104.000, +456.000, +1443.000
1674211140, +3.50, +24.513,  -0.01342, -100.000, +472.000, +1465.000
1674211740, +3.50, +24.513,  +0.02869, -80.000, +531.000, +1443.000
1674212340, +3.50, +24.563,  +0.01290, -90.000, +504.000, +1475.000
1674212940, +3.50, +24.563,  -0.00290, -78.000, +528.000, +1446.000
1674213540, +3.50, +24.555,  +0.00500, -80.000, +524.000, +1459.000
1674214140, +3.50, +24.497,  -0.01342, -104.000, +467.000, +1459.000
1674214740, +3.50, +24.438,  +0.05501, -103.000, +476.000, +1470.000
1674215340, +3.50, +24.355,  +0.00763, -72.000, +536.000, +1430.000
1674215940, +3.50, +24.296,  +0.08396, -64.000, +536.000, +1428.000
1674216540, +3.50, +24.255,  +0.12080, -77.000, +534.000, +1436.000
1674217140, +3.50, +24.213,  +0.00237, -64.000, +536.000, +1427.000
1674217740, +3.50, +24.180,  +0.05764, -64.000, +534.000, +1427.000
1674218340, +3.50, +24.146,  -0.00026, -72.000, +536.000, +1432.000
1674218940, +3.50, +24.146,  +0.08396, -77.000, +534.000, +1436.000
1674219540, +3.50, +24.113,  +0.02079, -78.000, +536.000, +1440.000
1674220140, +3.50, +24.105,  -0.03711, -64.000, +531.000, +1427.000
1674220740, +3.50, +24.163,  +0.01290, -64.000, +528.000, +1424.000
1674221340, +3.50, +24.221,  +0.02606, -80.000, +528.000, +1448.000
1674221940, +3.50, +24.288,  +0.01290, -72.000, +536.000, +1432.000
1674222540, +3.50, +24.388,  -0.01342, -84.000, +524.000, +1457.000
1674223140, +3.50, +24.488,  +0.04711, -84.000, +521.000, +1459.000
1674223740, +3.50, +24.647,  +0.04448, -93.000, +504.000, +1478.000
1674224340, +3.50, +24.730,  -0.03974, -96.000, +492.000, +1479.000
1674224940, +3.50, +24.821,  +0.02342, -96.000, +492.000, +1481.000
1674225540, +3.50, +24.880,  +0.03132, -104.000, +465.000, +1459.000
1674226140, +3.50, +24.913,  +0.08659, -100.000, +481.000, +1475.000
1674226740, +3.50, +24.938,  +0.00763, -100.000, +472.000, +1464.000
1674227340, +3.50, +24.971,  -0.00026, -100.000, +470.000, +1464.000
1674227940, +3.50, +24.963,  -0.00553, -100.000, +472.000, +1468.000
1674228540, +3.50, +25.005,  -0.00816, -100.000, +464.000, +1456.000
1674229140, +3.50, +25.046,  +0.08132, -98.000, +484.000, +1479.000
1674229740, +3.50, +25.113,  +0.03132, -104.000, +468.000, +1462.000
1674230340, +3.50, +25.129,  +0.01553, -104.000, +463.000, +1454.000
