7530-470610
OS REV: 1.05 Sensor Cal: 1611734400
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1675768740, +3.51, +27.326,  +0.04448, +1214.000, +88.000, +448.000
1675769340, +3.51, +27.457,  +0.06027, +1286.000, +120.000, +352.000
1675769940, +3.51, +27.482,  +0.02342, +1176.000, +72.000, +460.000
1675770540, +3.51, +27.507,  +0.01553, +1176.000, +74.000, +460.000
1675771140, +3.51, +27.597,  -0.04500, +1177.000, +72.000, +457.000
1675771740, +3.51, +27.556,  +0.01553, +1203.000, +83.000, +454.000
1675772340, +3.51, +27.787,  +0.07606, +1281.000, +120.000, +356.000
1675772940, +3.51, +27.918,  +0.09185, +1304.000, +111.000, +327.000
1675773540, +3.51, +28.050,  +0.11291, +1294.000, +112.000, +344.000
1675774140, +3.51, +27.959,  +0.04448, +1299.000, +112.000, +340.000
1675774740, +3.51, +27.844,  +0.05237, +1252.000, +104.000, +408.000
1675775340, +3.51, +27.754,  +0.02342, +1144.000, +64.000, +448.000
1675775940, +3.51, +27.820,  +0.05501, +1264.000, +108.000, +396.000
1675776540, +3.51, +28.066,  +0.10238, +1292.000, +116.000, +348.000
1675777140, +3.51, +28.042,  +0.02606, +1294.000, +112.000, +344.000
1675777740, +3.51, +27.877,  +0.00500, +1304.000, +111.000, +327.000
1675778340, +3.51, +27.861,  +0.02079, +1303.000, +104.000, +344.000
1675778940, +3.51, +27.713,  +0.03132, +1140.000, +64.000, +444.000
1675779540, +3.51, +27.647,  +0.10238, +1182.000, +72.000, +457.000
1675780140, +3.51, +27.663,  +0.03395, +1142.000, +64.000, +448.000
1675780740, +3.51, +27.581,  +0.03132, +1155.000, +68.000, +455.000
1675781340, +3.51, +27.474,  +0.08132, +1188.000, +76.000, +456.000
1675781940, +3.51, +27.334,  -0.01079, +1248.000, +103.000, +414.000
1675782540, +3.51, +27.268,  +0.12606, +1244.000, +102.000, +416.000
1675783140, +3.51, +27.350,  +0.00237, +1209.000, +84.000, +452.000
1675783740, +3.51, +27.309,  +0.04185, +1225.000, +96.000, +440.000
1675784340, +3.51, +27.251,  +0.09448, +1212.000, +86.000, +448.000
1675784940, +3.51, +27.235,  -0.00290, +1255.000, +104.000, +406.000
1675785540, +3.51, +27.235,  +0.00500, +1251.000, +104.000, +412.000
1675786140, +3.51, +27.202,  +0.07080, +1255.000, +112.000, +400.000
1675786740, +3.51, +27.202,  +0.07606, +1241.000, +99.000, +425.000
1675787340, +3.51, +27.243,  +0.05501, +1260.000, +112.000, +396.000
1675787940, +3.51, +27.268,  +0.03658, +1254.000, +108.000, +403.000
1675788540, +3.51, +27.309,  +0.09448, +1244.000, +100.000, +423.000
1675789140, +3.51, +27.334,  +0.21028, +1244.000, +99.000, +422.000
1675789740, +3.51, +27.342,  +0.07606, +1235.000, +96.000, +432.000
1675790340, +3.51, +27.350,  +0.03921, +1239.000, +99.000, +424.000
1675790940, +3.51, +27.359,  +0.14186, +1225.000, +92.000, +440.000
1675791540, +3.51, +27.408,  +0.24976, +1216.000, +92.000, +448.000
1675792140, +3.51, +27.474,  +0.38135, +1208.000, +86.000, +451.000
1675792740, +3.51, +27.515,  +0.66296, +1143.000, +64.000, +444.000
1675793340, +3.51, +27.532,  +0.87350, +1180.000, +72.000, +460.000
1675793940, +3.51, +27.507,  +1.22880, +1207.000, +88.000, +455.000
1675794540, +3.51, +27.532,  +0.97088, +1177.000, +72.000, +460.000
1675795140, +3.51, +27.565,  +0.89193, +1183.000, +76.000, +457.000
1675795740, +3.51, +27.589,  +0.90508, +1195.000, +80.000, +456.000
1675796340, +3.51, +27.622,  +0.92877, +1209.000, +86.000, +451.000
1675796940, +3.51, +27.803,  +1.06299, +1311.000, +102.000, +334.000
1675797540, +3.51, +27.918,  +0.99457, +1139.000, +67.000, +440.000
1675798140, +3.51, +27.976,  +1.16564, +1287.000, +116.000, +352.000
1675798740, +3.51, +28.050,  +1.53935, +1292.000, +116.000, +352.000
1675799340, +3.51, +28.173,  +2.72631, +1283.000, +120.000, +354.000
1675799940, +3.51, +28.083,  +3.48164, +1296.000, +112.000, +336.000
1675800540, +3.51, +27.951,  +3.09476, +1294.000, +114.000, +344.000
1675801140, +3.51, +27.976,  +2.97896, +1244.000, +100.000, +417.000
1675801740, +3.51, +28.058,  +3.18425, +1284.000, +115.000, +352.000
1675802340, +3.51, +28.107, +11.45607, +1286.000, +116.000, +354.000
1675802940, +3.51, +28.148, +11.73505, +1279.000, +116.000, +358.000
1675803540, +3.51, +28.099, +14.79586, +1292.000, +112.000, +344.000
1675804140, +3.51, +27.943,  +7.15304, +1311.000, +104.000, +326.000
1675804740, +3.51, +27.885, +15.25380, +1283.000, +120.000, +355.000
1675805340, +3.51, +27.836, +16.10125, +1257.000, +112.000, +398.000
1675805940, +3.51, +27.853, +12.59565, +1302.000, +62.000, +327.000
1675806540, +3.51, +27.894, +13.76155, +1139.000, +64.000, +444.000
1675807140, +3.51, +27.803,  +4.58175, +1299.000, +112.000, +342.000
1675807740, +3.51, +27.523, +12.17719, +1304.000, +111.000, +333.000
1675808340, +3.51, +27.309,  +7.71625, +1233.000, +96.000, +432.000
1675808940, +3.51, +27.210, +10.39018, +1212.000, +88.000, +451.000
1675809540, +3.51, +27.194, +12.47722, +1259.000, +110.000, +400.000
1675810140, +3.51, +27.194, +24.52835, +1256.000, +108.000, +398.000
1675810740, +3.51, +27.202, +15.84596, +1158.000, +70.000, +455.000
1675811340, +3.51, +27.284, +10.15069, +1209.000, +88.000, +454.000
1675811940, +3.51, +27.284, +11.05604, +1232.000, +96.000, +433.000
1675812540, +3.51, +27.293, +13.17466, +1144.000, +64.000, +451.000
1675813140, +3.51, +27.309, +11.74294, +1228.000, +92.000, +440.000
1675813740, +3.51, +27.317, +11.57187, +1240.000, +99.000, +423.000
1675814340, +3.51, +27.350, +12.23509, +1251.000, +104.000, +409.000
1675814940, +3.51, +27.416, +10.79285, +1224.000, +92.000, +440.000
1675815540, +3.51, +27.441, +21.29647, +1251.000, +104.000, +408.000
1675816140, +3.51, +27.433, +13.02464, +1196.000, +80.000, +462.000
1675816740, +3.51, +27.457, +13.62996, +1291.000, +116.000, +345.000
1675817340, +3.51, +27.457, +13.33520, +1308.000, +110.000, +327.000
1675817940, +3.51, +27.466, +17.35400, +1196.000, +80.000, +455.000
1675818540, +3.51, +27.474, +19.68053, +1310.000, +107.000, +327.000
1675819140, +3.51, +27.499, +20.46481, +1204.000, +80.000, +456.000
1675819740, +3.51, +27.474, +20.67273, +1192.000, +80.000, +455.000
1675820340, +3.51, +27.466, +17.48032, +1204.000, +80.000, +454.000
1675820940, +3.51, +27.408, +19.04363, +1144.000, +64.000, +452.000
1675821540, +3.51, +27.350, +17.48032, +1260.000, +112.000, +398.000
1675822140, +3.51, +27.359, +17.24083, +1248.000, +102.000, +416.000
1675822740, +3.51, +27.383, +12.34037, +1211.000, +88.000, +449.000
1675823340, +3.51, +27.424, +10.97971, +1196.000, +80.000, +455.000
1675823940, +3.51, +27.548,  +7.56887, +1158.000, +67.000, +455.000
