7530-470610
OS REV: 1.05 Sensor Cal: 1611734400
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1689166740, +3.48, +28.730,  +0.00237, +1304.000, +107.000, +358.000
1689167340, +3.48, +28.721,  -0.02132, +1311.000, +108.000, +355.000
1689167940, +3.48, +28.721,  +0.07869, +1248.000, +100.000, +448.000
1689168540, +3.48, +28.721,  -0.05816, +1292.000, +112.000, +376.000
1689169140, +3.48, +28.730,  +0.03132, +1286.000, +120.000, +387.000
1689169740, +3.48, +28.730,  -0.07659, +1302.000, +112.000, +372.000
1689170340, +3.48, +28.721,  -0.00553, +1296.000, +112.000, +376.000
1689170940, +3.48, +28.730,  -0.01605, +1302.000, +112.000, +372.000
1689171540, +3.48, +28.721,  -0.03974, +1309.000, +113.000, +360.000
1689172140, +3.48, +28.705,  +0.00237, +1276.000, +116.000, +406.000
1689172740, +3.48, +28.689,  -0.06869, +1231.000, +96.000, +464.000
1689173340, +3.48, +28.672,  +0.01816, +1193.000, +76.000, +488.000
1689173940, +3.48, +28.329,  +0.05237, +1303.000, +112.000, +380.000
1689174540, +3.48, +28.107,  -0.06080, +1272.000, +115.000, +412.000
1689175140, +3.48, +28.017,  -0.02921, +1260.000, +108.000, +432.000
1689175740, +3.48, +27.844,  -0.01342, +1287.000, +120.000, +388.000
1689176340, +3.48, +27.795,  -0.03448, +1302.000, +112.000, +372.000
1689176940, +3.48, +27.787,  -0.06869, +1137.000, +60.000, +472.000
1689177540, +3.48, +27.787,  -0.00026, +1139.000, +60.000, +478.000
1689178140, +3.48, +27.754,  -0.00026, +1142.000, +60.000, +480.000
1689178740, +3.48, +27.630,  -0.09501, +1287.000, +120.000, +392.000
1689179340, +3.48, +27.532,  -0.01869, +1192.000, +76.000, +488.000
1689179940, +3.48, +27.523,  -0.02395, +1187.000, +76.000, +488.000
1689180540, +3.48, +27.532,  -0.03185, +1259.000, +104.000, +432.000
1689181140, +3.48, +27.565,  -0.01869, +1252.000, +103.000, +440.000
1689181740, +3.48, +27.597,  +0.00763, +1235.000, +96.000, +463.000
1689182340, +3.48, +27.556,  -0.01869, +1214.000, +86.000, +480.000
1689182940, +3.48, +27.507,  +0.06553, +1281.000, +120.000, +392.000
1689183540, +3.48, +27.507,  +0.00237, +1272.000, +115.000, +408.000
1689184140, +3.48, +27.672,  +0.08659, +1304.000, +116.000, +369.000
1689184740, +3.48, +27.688,  +0.21028, +1286.000, +120.000, +391.000
1689185340, +3.48, +27.737,  +0.43925, +1296.000, +115.000, +376.000
1689185940, +3.48, +27.663,  +0.60506, +1255.000, +104.000, +436.000
1689186540, +3.48, +27.647,  +0.86298, +1286.000, +116.000, +392.000
1689187140, +3.48, +27.622,  +0.96299, +1240.000, +96.000, +460.000
1689187740, +3.48, +27.597,  +1.20248, +1303.000, +105.000, +355.000
1689188340, +3.48, +27.573,  +1.47619, +1155.000, +64.000, +486.000
1689188940, +3.48, +27.441,  +1.67095, +1240.000, +96.000, +460.000
1689189540, +3.48, +27.350,  +1.98150, +1252.000, +102.000, +448.000
1689190140, +3.48, +27.457,  +2.29732, +1176.000, +72.000, +488.000
1689190740, +3.48, +27.499,  +2.54208, +1167.000, +70.000, +488.000
1689191340, +3.48, +27.532,  +2.75526, +1139.000, +60.000, +480.000
1689191940, +3.48, +27.556,  +3.80799, +1136.000, +60.000, +480.000
1689192540, +3.48, +27.737,  +3.98695, +1167.000, +70.000, +488.000
1689193140, +3.48, +27.828,  +4.39752, +1304.000, +114.000, +376.000
1689193740, +3.48, +27.959,  +4.32383, +1159.000, +67.000, +487.000
1689194340, +3.48, +27.959,  +4.57911, +1151.000, +64.000, +483.000
1689194940, +3.48, +27.992,  +4.71597, +1139.000, +60.000, +472.000
1689195540, +3.48, +27.853,  +5.29760, +1150.000, +64.000, +483.000
1689196140, +3.48, +27.869,  +5.84239, +1151.000, +64.000, +483.000
1689196740, +3.48, +27.943,  +6.11610, +1144.000, +64.000, +481.000
1689197340, +3.48, +28.271,  +6.23453, +1168.000, +70.000, +488.000
1689197940, +3.47, +28.501,  +6.41876, +1299.000, +112.000, +374.000
1689198540, +3.48, +28.599,  +6.65299, +1305.000, +115.000, +373.000
1689199140, +3.48, +28.648,  +6.68194, +1307.000, +111.000, +374.000
1689199740, +3.48, +28.672,  +6.76879, +1136.000, +62.000, +472.000
1689200340, +3.48, +28.681,  +6.89775, +1248.000, +102.000, +448.000
1689200940, +3.48, +28.689,  +7.01092, +1283.000, +116.000, +400.000
1689201540, +3.48, +28.689,  +7.25305, +1295.000, +103.000, +352.000
1689202140, +3.48, +28.697,  +7.06619, +1156.000, +65.000, +483.000
1689202740, +3.48, +28.705,  +7.12672, +1240.000, +96.000, +460.000
1689203340, +3.48, +28.697,  +7.12672, +1136.000, +60.000, +476.000
1689203940, +3.48, +28.689,  +3.30005, +1208.000, +84.000, +480.000
1689204540, +3.48, +28.689,  +3.30268, +1140.000, +60.000, +480.000
1689205140, +3.48, +28.689,  +1.98940, +1256.000, +104.000, +436.000
1689205740, +3.48, +28.689,  +4.98705, +1299.000, +112.000, +376.000
1689206340, +3.48, +28.697,  +7.65045, +1308.000, +120.000, +367.000
1689206940, +3.48, +28.681,  +6.35296, +1239.000, +96.000, +460.000
1689207540, +3.48, +28.681,  +6.20032, +1283.000, +116.000, +396.000
1689208140, +3.48, +28.640,  +5.94240, +1295.000, +104.000, +353.000
1689208740, +3.48, +28.533,  +3.98958, +1291.000, +120.000, +384.000
1689209340, +3.48, +28.476,  +2.33153, +1256.000, +108.000, +435.000
1689209940, +3.48, +28.509,  +4.08696, +1265.000, +112.000, +422.000
1689210540, +3.48, +28.492,  +4.85809, +1240.000, +96.000, +456.000
1689211140, +3.48, +28.468,  +4.21855, +1264.000, +112.000, +424.000
1689211740, +3.48, +28.263,  +3.83957, +1249.000, +100.000, +448.000
1689212340, +3.48, +28.107,  +3.32110, +1208.000, +83.000, +486.000
1689212940, +3.48, +28.033,  +3.78693, +1292.000, +118.000, +384.000
1689213540, +3.48, +28.033,  +3.51586, +1288.000, +118.000, +391.000
1689214140, +3.48, +27.976,  +2.16047, +1286.000, +120.000, +392.000
1689214740, +3.48, +27.885,  +2.59472, +1292.000, +118.000, +384.000
1689215340, +3.48, +27.746,  +1.75780, +1287.000, +118.000, +392.000
1689215940, +3.48, +27.606,  +1.85254, +1288.000, +120.000, +384.000
1689216540, +3.48, +27.614,  +1.20774, +1279.000, +116.000, +400.000
1689217140, +3.48, +27.490,  +1.26828, +1151.000, +64.000, +487.000
1689217740, +3.48, +27.326,  +1.35250, +1203.000, +80.000, +486.000
1689218340, +3.48, +27.235,  +1.18143, +1283.000, +103.000, +351.000
1689218940, +3.48, +27.210,  +1.11826, +1203.000, +81.000, +487.000
1689219540, +3.48, +27.210,  +0.86561, +1254.000, +104.000, +440.000
1689220140, +3.48, +27.210,  +1.39197, +1251.000, +102.000, +448.000
1689220740, +3.48, +27.210,  +0.99720, +1211.000, +84.000, +483.000
1689221340, +3.48, +27.235,  +1.11826, +1232.000, +96.000, +472.000
1689221940, +3.48, +27.251,  +0.92614, +1203.000, +80.000, +486.000
1689222540, +3.48, +27.268,  +0.49978, +1231.000, +92.000, +468.000
1689223140, +3.47, +27.293,  +0.33398, +1252.000, +102.000, +448.000
1689223740, +3.47, +27.309,  +0.11291, +1139.000, +64.000, +480.000
1689224340, +3.48, +27.260,  +0.12080, +1201.000, +80.000, +487.000
1689224940, +3.48, +27.218,  -0.10027, +1216.000, +88.000, +480.000
1689225540, +3.47, +27.169,  +0.00763, +1200.000, +80.000, +487.000
1689226140, +3.47, +27.070,  -0.02132, +1212.000, +86.000, +483.000
1689226740, +3.48, +27.004,  -0.11343, +1230.000, +96.000, +472.000
1689227340, +3.48, +26.979,  -0.01342, +1177.000, +71.000, +490.000
1689227940, +3.47, +27.037,  -0.04500, +1209.000, +83.000, +486.000
1689228540, +3.47, +27.111,  +0.04711, +1244.000, +97.000, +456.000
1689229140, +3.47, +27.128,  -0.03711, +1295.000, +105.000, +351.000
1689229740, +3.47, +27.136,  +0.02606, +1220.000, +88.000, +476.000
1689230340, +3.47, +27.144,  +0.03395, +1171.000, +71.000, +488.000
1689230940, +3.47, +27.144,  -0.02921, +1240.000, +96.000, +462.000
1689231540, +3.47, +27.119,  -0.07922, +1235.000, +96.000, +464.000
1689232140, +3.47, +27.061,  +0.01553, +1192.000, +76.000, +488.000
1689232740, +3.47, +27.103,  -0.01342, +1299.000, +104.000, +352.000
1689233340, +3.47, +27.128,  -0.02132, +1219.000, +88.000, +480.000
1689233940, +3.47, +27.103,  -0.02132, +1187.000, +78.000, +492.000
