7530-470610
OS REV: 1.05 Sensor Cal: 1611734400
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1674115740, +3.50, +26.085,  +0.07080, -92.000, +500.000, +1479.000
1674116340, +3.50, +26.027,  +0.05764, -93.000, +496.000, +1479.000
1674116940, +3.50, +25.935,  -0.00290, -88.000, +508.000, +1473.000
1674117540, +3.50, +25.803,  +0.05764, -96.000, +483.000, +1473.000
1674118140, +3.50, +25.603,  +0.10238, -64.000, +532.000, +1425.000
1674118740, +3.50, +25.412,  -0.06869, -72.000, +536.000, +1428.000
1674119340, +3.50, +25.254,  +0.08922, -64.000, +531.000, +1425.000
1674119940, +3.50, +25.088,  -0.00816, -100.000, +467.000, +1456.000
1674120540, +3.50, +24.963,  +0.00237, -98.000, +472.000, +1465.000
1674121140, +3.50, +24.838,  +0.01553, -96.000, +480.000, +1475.000
1674121740, +3.50, +24.763,  +0.02869, -92.000, +499.000, +1479.000
1674122340, +3.50, +24.705,  +0.01816, -93.000, +496.000, +1480.000
1674122940, +3.50, +24.630,  +0.04185, -98.000, +473.000, +1468.000
1674123540, +3.50, +24.597,  +0.00500, -88.000, +508.000, +1475.000
1674124140, +3.50, +24.588,  +0.01816, -93.000, +500.000, +1479.000
1674124740, +3.50, +24.580,  -0.01869, -76.000, +532.000, +1443.000
1674125340, +3.50, +24.522,  +0.02342, -84.000, +520.000, +1462.000
1674125940, +3.50, +24.455,  -0.05290, -80.000, +520.000, +1463.000
1674126540, +3.50, +24.397,  +0.00500, -76.000, +534.000, +1443.000
1674127140, +3.50, +24.355,  -0.03974, -96.000, +494.000, +1479.000
1674127740, +3.50, +24.330,  +0.04185, -77.000, +532.000, +1443.000
1674128340, +3.50, +24.313,  +0.10501, -72.000, +536.000, +1436.000
1674128940, +3.50, +24.296,  +0.08396, -84.000, +520.000, +1464.000
1674129540, +3.50, +24.255,  +0.05764, -64.000, +536.000, +1424.000
1674130140, +3.49, +24.196,  -0.03711, -76.000, +536.000, +1439.000
1674130740, +3.49, +24.180,  +0.06290, -72.000, +534.000, +1436.000
1674131340, +3.49, +24.138,  +0.04185, -72.000, +536.000, +1432.000
1674131940, +3.49, +24.113,  +0.09711, -52.000, +524.000, +1419.000
1674132540, +3.49, +24.113,  +0.11027, -100.000, +452.000, +1420.000
1674133140, +3.49, +24.105,  +0.04448, -64.000, +531.000, +1430.000
1674133740, +3.49, +24.088,  +0.08396, -56.000, +520.000, +1430.000
1674134340, +3.49, +24.138,  +0.04711, -48.000, +531.000, +1409.000
1674134940, +3.49, +24.180,  +0.04974, -58.000, +524.000, +1432.000
1674135540, +3.49, +24.213,  +0.06816, -64.000, +534.000, +1427.000
1674136140, +3.49, +24.288,  +0.06027, -62.000, +531.000, +1427.000
1674136740, +3.49, +24.355,  +0.03132, -64.000, +534.000, +1427.000
1674137340, +3.49, +24.388,  +0.04448, -64.000, +534.000, +1427.000
1674137940, +3.49, +24.430,  +0.00237, -96.000, +478.000, +1472.000
1674138540, +3.49, +24.513,  +0.09711, -72.000, +536.000, +1432.000
1674139140, +3.49, +24.530,  +0.01553, -100.000, +476.000, +1468.000
1674139740, +3.49, +24.538,  +0.01290, -95.000, +496.000, +1479.000
1674140340, +3.49, +24.580,  +0.03395, -103.000, +468.000, +1457.000
1674140940, +3.49, +24.605,  +0.08922, -80.000, +526.000, +1456.000
1674141540, +3.49, +24.605,  +0.03658, -98.000, +480.000, +1472.000
1674142140, +3.49, +24.588,  +0.03658, -76.000, +536.000, +1440.000
1674142740, +3.49, +24.522,  +0.01816, -80.000, +529.000, +1452.000
1674143340, +3.49, +24.413,  -0.00026, -80.000, +532.000, +1447.000
1674143940, +3.49, +24.363,  +0.04711, -80.000, +531.000, +1449.000
1674144540, +3.49, +24.322,  +0.04711, -64.000, +536.000, +1427.000
1674145140, +3.49, +24.255,  -0.06080, -64.000, +536.000, +1427.000
1674145740, +3.49, +24.205,  +0.04974, -64.000, +536.000, +1430.000
1674146340, +3.49, +24.188,  +0.01290, -64.000, +531.000, +1427.000
1674146940, +3.49, +24.205,  +0.11027, -64.000, +528.000, +1440.000
1674147540, +3.49, +24.213,  +0.15765, -64.000, +526.000, +1431.000
