7530-470610
OS REV: 1.05 Sensor Cal: 1611734400
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1686817740, +3.48, +28.819,  -0.03448, +1147.000, +64.000, +480.000
1686818340, +3.48, +28.828,  -0.02658, +1144.000, +62.000, +480.000
1686818940, +3.48, +28.836,  +0.04974, +1144.000, +64.000, +480.000
1686819540, +3.48, +28.836,  +0.00237, +1140.000, +62.000, +470.000
1686820140, +3.48, +28.852,  -0.03974, +1139.000, +62.000, +480.000
1686820740, +3.48, +28.852,  +0.03921, +1143.000, +62.000, +475.000
1686821340, +3.48, +28.582,  -0.09501, +1232.000, +92.000, +470.000
1686821940, +3.48, +28.165,  -0.00290, +1272.000, +112.000, +416.000
1686822540, +3.48, +27.713,  +0.02869, +1304.000, +112.000, +376.000
1686823140, +3.48, +27.877,  +0.04974, +1303.000, +116.000, +374.000
1686823740, +3.48, +28.000,  -0.03185, +1313.000, +112.000, +332.000
1686824340, +3.48, +27.844,  +0.02869, +1302.000, +116.000, +376.000
1686824940, +3.48, +27.844,  +0.04448, +1267.000, +112.000, +428.000
1686825540, +3.48, +27.721,  +0.02342, +1287.000, +118.000, +392.000
1686826140, +3.48, +28.058,  -0.03185, +1279.000, +116.000, +408.000
1686826740, +3.48, +28.312,  +0.10238, +1305.000, +112.000, +368.000
1686827340, +3.48, +28.345,  +0.04185, +1279.000, +118.000, +406.000
1686827940, +3.48, +28.402,  +0.05764, +1236.000, +96.000, +464.000
1686828540, +3.48, +28.386,  +0.08132, +1158.000, +67.000, +486.000
1686829140, +3.48, +28.574,  -0.04764, +1235.000, +92.000, +467.000
1686829740, +3.48, +28.721,  +0.01290, +1161.000, +64.000, +487.000
1686830340, +3.48, +28.672,  -0.07395, +1153.000, +65.000, +486.000
1686830940, +3.48, +28.754,  +0.07606, +1191.000, +76.000, +487.000
1686831540, +3.48, +28.558,  -0.05290, +1198.000, +78.000, +488.000
