7530-470610
OS REV: 1.05 Sensor Cal: 1611734400
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1680553740, +3.50, +27.927,  +2.88948, +1228.000, +88.000, +452.000
1680554340, +3.50, +27.968,  +2.91317, +1208.000, +81.000, +464.000
1680554940, +3.50, +27.992,  +3.62113, +1200.000, +80.000, +464.000
1680555540, +3.50, +28.050,  +4.21855, +1168.000, +67.000, +467.000
1680556140, +3.50, +28.124,  +4.19750, +1171.000, +70.000, +468.000
1680556740, +3.50, +28.173,  +4.51332, +1161.000, +70.000, +465.000
1680557340, +3.50, +28.124,  +4.89756, +1176.000, +70.000, +467.000
1680557940, +3.50, +27.951,  +4.97389, +1169.000, +67.000, +468.000
1680558540, +3.50, +27.927,  +5.18970, +1180.000, +72.000, +468.000
1680559140, +3.50, +27.894,  +5.51078, +1241.000, +97.000, +432.000
1680559740, +3.50, +27.844,  +5.58447, +1142.000, +60.000, +460.000
1680560340, +3.50, +27.663,  +6.01083, +1267.000, +112.000, +403.000
1680560940, +3.50, +27.375,  +5.95293, +1299.000, +120.000, +352.000
1680561540, +3.50, +27.218,  +6.36612, +1294.000, +120.000, +358.000
1680562140, +3.50, +27.152,  +6.67142, +1304.000, +120.000, +348.000
1680562740, +3.50, +27.136,  +6.38718, +1299.000, +120.000, +348.000
1680563340, +3.50, +27.136,  +5.78186, +1318.000, +116.000, +335.000
1680563940, +3.50, +27.490,  +6.41613, +1299.000, +120.000, +352.000
1680564540, +3.50, +27.597,  +7.15567, +1308.000, +115.000, +344.000
1680565140, +3.50, +27.293,  +7.57413, +1299.000, +120.000, +352.000
1680565740, +3.49, +27.218,  +7.70835, +1299.000, +120.000, +348.000
1680566340, +3.49, +27.144,  +8.35578, +1318.000, +120.000, +333.000
1680566940, +3.49, +27.293,  +8.40316, +1304.000, +120.000, +344.000
1680567540, +3.50, +27.573,  +7.77678, +1294.000, +120.000, +360.000
1680568140, +3.50, +27.746,  +7.43464, +1286.000, +124.000, +368.000
1680568740, +3.49, +27.836,  +6.59246, +1260.000, +104.000, +416.000
1680569340, +3.50, +27.746,  +6.59509, +1256.000, +104.000, +418.000
1680569940, +3.50, +27.861,  +6.07399, +1239.000, +96.000, +440.000
1680570540, +3.50, +27.869,  +5.29760, +1240.000, +96.000, +440.000
1680571140, +3.50, +27.844,  +4.11591, +1257.000, +104.000, +416.000
1680571740, +3.50, +27.630,  +5.01863, +1272.000, +113.000, +388.000
1680572340, +3.49, +27.301,  +4.63438, +1300.000, +120.000, +352.000
1680572940, +3.49, +27.309,  +3.80272, +1299.000, +120.000, +352.000
1680573540, +3.50, +27.515,  +3.22636, +1287.000, +120.000, +366.000
1680574140, +3.50, +27.704,  +2.78684, +1292.000, +120.000, +360.000
1680574740, +3.50, +27.803,  +2.56050, +1264.000, +108.000, +412.000
