7530-470610
OS REV: 1.05 Sensor Cal: 1611734400
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1676899740, +3.51, +27.466,  -0.05816, +1169.000, +72.000, +462.000
1676900340, +3.51, +27.499,  +0.00237, +1206.000, +83.000, +455.000
1676900940, +3.51, +27.276,  +0.03921, +1196.000, +80.000, +456.000
1676901540, +3.51, +27.128,  +0.08132, +1260.000, +112.000, +398.000
1676902140, +3.51, +27.045,  +0.09448, +1256.000, +108.000, +406.000
1676902740, +3.51, +27.012,  +0.08396, +1281.000, +116.000, +368.000
1676903340, +3.51, +27.045,  +0.01553, +1268.000, +115.000, +385.000
1676903940, +3.50, +27.342,  -0.01079, +1203.000, +81.000, +456.000
1676904540, +3.51, +27.597,  -0.00816, +1142.000, +64.000, +448.000
1676905140, +3.51, +27.721,  +0.04711, +1155.000, +64.000, +454.000
1676905740, +3.51, +27.787,  -0.00290, +1291.000, +116.000, +352.000
1676906340, +3.51, +27.853,  -0.03448, +1302.000, +108.000, +340.000
1676906940, +3.51, +27.861,  +0.00763, +1140.000, +64.000, +448.000
1676907540, +3.51, +27.861,  +0.06027, +1299.000, +108.000, +344.000
1676908140, +3.51, +27.811,  +0.07343, +1305.000, +117.000, +337.000
1676908740, +3.51, +27.803,  +0.04974, +1143.000, +64.000, +448.000
1676909340, +3.51, +27.836,  -0.02658, +1299.000, +112.000, +344.000
1676909940, +3.51, +27.869,  +0.06027, +1304.000, +108.000, +344.000
1676910540, +3.51, +27.828,  +0.10501, +1304.000, +108.000, +352.000
1676911140, +3.51, +27.713,  +0.03658, +1299.000, +112.000, +344.000
1676911740, +3.51, +27.622,  +0.08396, +1144.000, +64.000, +455.000
1676912340, +3.51, +27.622,  +0.02079, +1142.000, +62.000, +451.000
1676912940, +3.51, +27.688,  +0.04974, +1139.000, +64.000, +448.000
1676913540, +3.51, +27.499,  +0.09185, +1192.000, +80.000, +462.000
1676914140, +3.51, +27.235,  +0.19449, +1235.000, +96.000, +438.000
1676914740, +3.51, +27.185,  +0.38925, +1251.000, +108.000, +414.000
1676915340, +3.51, +27.515,  +0.64453, +1139.000, +64.000, +448.000
1676915940, +3.51, +27.779,  +0.86034, +1303.000, +103.000, +331.000
1676916540, +3.51, +27.853,  +1.09984, +1288.000, +118.000, +352.000
1676917140, +3.51, +27.877,  +0.91035, +1299.000, +108.000, +342.000
1676917740, +3.51, +27.910,  +0.85771, +1296.000, +112.000, +344.000
1676918340, +3.51, +27.902,  +0.99720, +1307.000, +112.000, +339.000
1676918940, +3.51, +27.885,  +1.02615, +1295.000, +112.000, +348.000
1676919540, +3.51, +27.976,  +1.38934, +1279.000, +116.000, +360.000
1676920140, +3.51, +28.066,  +1.84465, +1283.000, +116.000, +360.000
1676920740, +3.51, +28.140,  +2.07362, +1294.000, +112.000, +344.000
1676921340, +3.51, +28.181,  +2.84474, +1272.000, +113.000, +376.000
1676921940, +3.51, +28.173,  +4.83177, +1233.000, +96.000, +436.000
1676922540, +3.51, +27.902,  +6.35033, +1287.000, +116.000, +356.000
1676923140, +3.51, +27.803,  +9.48220, +1292.000, +115.000, +348.000
1676923740, +3.51, +27.836, +12.09034, +1142.000, +63.000, +448.000
1676924340, +3.51, +28.009, +12.15614, +1283.000, +118.000, +354.000
1676924940, +3.51, +28.115, +14.67743, +1252.000, +108.000, +412.000
1676925540, +3.51, +28.181, +15.91176, +1233.000, +96.000, +438.000
1676926140, +3.51, +28.263, +19.37787, +1241.000, +99.000, +424.000
1676926740, +3.51, +28.312, +10.86391, +1254.000, +104.000, +412.000
1676927340, +3.51, +28.353, +24.58099, +1240.000, +96.000, +428.000
1676927940, +3.51, +28.476, +23.95198, +1228.000, +92.000, +440.000
1676928540, +3.51, +28.566, +12.58250, +1244.000, +99.000, +424.000
1676929140, +3.51, +28.574,  +9.19534, +1236.000, +96.000, +432.000
1676929740, +3.51, +28.550, +12.43775, +1231.000, +96.000, +438.000
1676930340, +3.51, +28.427, +11.22711, +1240.000, +98.000, +428.000
1676930940, +3.51, +28.492, +11.97191, +1240.000, +97.000, +424.000
1676931540, +3.51, +28.525,  +9.91382, +1244.000, +99.000, +426.000
1676932140, +3.51, +28.427, +10.55599, +1240.000, +96.000, +432.000
1676932740, +3.51, +28.222, +14.83271, +1240.000, +98.000, +428.000
1676933340, +3.51, +28.279, +14.03526, +1251.000, +102.000, +416.000
1676933940, +3.51, +28.361, +12.17193, +1248.000, +98.000, +419.000
1676934540, +3.51, +28.476, +10.90339, +1240.000, +96.000, +428.000
1676935140, +3.51, +28.484, +10.38229, +1228.000, +96.000, +440.000
1676935740, +3.51, +28.476, +10.49546, +1246.000, +100.000, +418.000
1676936340, +3.51, +28.361, +11.49555, +1238.000, +96.000, +432.000
1676936940, +3.51, +28.296, +11.93507, +1246.000, +102.000, +422.000
1676937540, +3.51, +28.263, +15.02220, +1244.000, +98.000, +423.000
1676938140, +3.51, +27.861, +16.32232, +1292.000, +114.000, +352.000
1676938740, +3.51, +27.672, +14.14580, +1288.000, +116.000, +348.000
1676939340, +3.51, +27.507, +12.68514, +1144.000, +64.000, +449.000
1676939940, +3.51, +27.350, +10.85339, +1200.000, +80.000, +456.000
1676940540, +3.51, +27.342,  +7.02408, +1183.000, +76.000, +462.000
1676941140, +3.51, +27.194, +18.23566, +1219.000, +88.000, +448.000
1676941740, +3.51, +27.053, +17.67245, +1262.000, +112.000, +396.000
1676942340, +3.51, +27.045, +11.19289, +1262.000, +108.000, +396.000
1676942940, +3.51, +27.103, +13.60628, +1260.000, +108.000, +406.000
1676943540, +3.51, +27.152, +16.72762, +1164.000, +70.000, +462.000
1676944140, +3.51, +27.293,  +8.84530, +1183.000, +76.000, +463.000
1676944740, +3.51, +27.375, +12.60092, +1172.000, +72.000, +462.000
1676945340, +3.51, +27.383,  +9.55326, +1176.000, +73.000, +460.000
1676945940, +3.51, +27.334,  +4.37120, +1187.000, +76.000, +460.000
1676946540, +3.51, +27.334,  +2.97370, +1183.000, +76.000, +462.000
1676947140, +3.51, +27.276,  +6.45297, +1208.000, +83.000, +454.000
1676947740, +3.51, +27.284,  +5.66343, +1176.000, +72.000, +460.000
1676948340, +3.51, +27.474,  +4.31067, +1187.000, +78.000, +460.000
1676948940, +3.51, +27.951,  +4.50016, +1288.000, +118.000, +352.000
1676949540, +3.51, +27.803,  +6.78722, +1304.000, +108.000, +348.000
1676950140, +3.51, +28.058,  +3.72903, +1270.000, +116.000, +376.000
1676950740, +3.51, +28.238,  +3.05792, +1190.000, +80.000, +460.000
1676951340, +3.51, +28.329,  +2.71578, +1241.000, +100.000, +428.000
1676951940, +3.51, +27.935,  +2.45523, +1292.000, +112.000, +352.000
1676952540, +3.51, +27.614,  +2.95791, +1144.000, +64.000, +454.000
1676953140, +3.51, +27.457,  +2.33417, +1288.000, +120.000, +352.000
1676953740, +3.51, +27.383,  +1.86833, +1208.000, +86.000, +456.000
1676954340, +3.51, +27.359,  +1.32355, +1188.000, +78.000, +462.000
1676954940, +3.51, +27.795,  +0.89456, +1288.000, +120.000, +352.000
1676955540, +3.51, +28.083,  +0.96035, +1283.000, +116.000, +360.000
1676956140, +3.51, +28.230,  +0.56558, +1264.000, +112.000, +392.000
1676956740, +3.51, +28.288,  +0.19712, +1249.000, +102.000, +419.000
1676957340, +3.51, +28.091,  +0.22871, +1282.000, +116.000, +358.000
1676957940, +3.51, +27.992,  +0.08922, +1286.000, +118.000, +356.000
1676958540, +3.51, +28.058,  +0.05501, +1265.000, +112.000, +388.000
1676959140, +3.51, +28.165,  +0.00500, +1224.000, +92.000, +444.000
1676959740, +3.51, +28.206,  +0.04185, +1246.000, +102.000, +420.000
1676960340, +3.51, +28.279,  +0.09711, +1242.000, +103.000, +424.000
1676960940, +3.51, +28.296,  +0.02869, +1267.000, +112.000, +384.000
1676961540, +3.51, +28.230,  +0.03921, +1198.000, +80.000, +457.000
1676962140, +3.51, +28.189,  +0.04711, +1248.000, +102.000, +423.000
1676962740, +3.51, +28.181,  +0.06553, +1244.000, +102.000, +420.000
1676963340, +3.51, +28.271,  +0.07343, +1160.000, +67.000, +460.000
1676963940, +3.51, +28.394,  +0.08396, +1240.000, +99.000, +432.000
1676964540, +3.51, +28.509,  +0.04448, +1223.000, +92.000, +448.000
1676965140, +3.51, +28.599,  +0.06553, +1225.000, +92.000, +444.000
1676965740, +3.51, +28.705,  +0.01026, +1171.000, +70.000, +463.000
1676966340, +3.51, +28.787,  +0.06290, +1168.000, +71.000, +462.000
1676966940, +3.51, +28.819,  +0.02079, +1185.000, +78.000, +457.000
1676967540, +3.51, +28.868,  +0.03658, +1187.000, +76.000, +462.000
1676968140, +3.51, +28.885,  -0.02395, +1144.000, +64.000, +454.000
1676968740, +3.51, +28.844,  +0.01553, +1159.000, +68.000, +457.000
1676969340, +3.51, +28.738,  +0.02869, +1159.000, +67.000, +456.000
1676969940, +3.51, +28.730,  +0.12343, +1288.000, +116.000, +352.000
1676970540, +3.51, +28.803,  +0.06027, +1166.000, +71.000, +460.000
1676971140, +3.51, +28.811,  +0.02079, +1206.000, +83.000, +455.000
1676971740, +3.51, +28.738,  +0.08659, +1150.000, +65.000, +455.000
1676972340, +3.51, +28.672,  +0.07080, +1225.000, +92.000, +444.000
1676972940, +3.51, +28.623,  +0.09185, +1216.000, +84.000, +451.000
1676973540, +3.51, +28.615,  +0.02079, +1212.000, +88.000, +448.000
1676974140, +3.51, +28.615,  +0.04711, +1196.000, +80.000, +460.000
1676974740, +3.51, +28.623,  -0.01079, +1200.000, +80.000, +455.000
1676975340, +3.51, +28.476,  -0.06080, +1225.000, +88.000, +444.000
1676975940, +3.51, +28.337,  +0.02869, +1244.000, +100.000, +422.000
1676976540, +3.51, +28.271,  +0.03132, +1208.000, +88.000, +454.000
1676977140, +3.51, +28.255,  +0.03132, +1249.000, +100.000, +420.000
1676977740, +3.51, +28.271,  +0.14975, +1244.000, +99.000, +424.000
1676978340, +3.51, +28.279,  +0.07606, +1241.000, +99.000, +424.000
1676978940, +3.51, +28.000,  -0.03185, +1249.000, +104.000, +414.000
1676979540, +3.51, +27.770,  -0.00026, +1302.000, +104.000, +348.000
1676980140, +3.51, +27.680,  +0.03921, +1308.000, +63.000, +334.000
1676980740, +3.51, +27.820,  +0.03132, +1288.000, +115.000, +352.000
1676981340, +3.51, +27.902,  +0.01553, +1287.000, +118.000, +355.000
1676981940, +3.51, +27.992,  +0.03658, +1283.000, +120.000, +360.000
1676982540, +3.51, +28.050,  +0.01816, +1276.000, +115.000, +376.000
1676983140, +3.51, +28.091,  +0.05237, +1255.000, +104.000, +408.000
1676983740, +3.51, +28.132,  -0.00026, +1263.000, +112.000, +390.000
1676984340, +3.51, +27.959,  +0.09975, +1264.000, +112.000, +392.000
1676984940, +3.51, +27.672,  -0.05553, +1139.000, +64.000, +448.000
1676985540, +3.51, +27.532,  -0.04237, +1304.000, +112.000, +344.000
1676986140, +3.51, +27.161,  +0.03658, +1227.000, +92.000, +444.000
