7530-470610
OS REV: 1.05 Sensor Cal: 1611734400
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1687339740, +3.48, +28.361,  -0.01869, +1183.000, +72.000, +492.000
1687340340, +3.48, +28.361,  +0.00500, +1230.000, +88.000, +473.000
1687340940, +3.48, +28.378,  -0.00816, +1233.000, +96.000, +468.000
1687341540, +3.48, +28.452,  +0.02606, +1236.000, +96.000, +464.000
1687342140, +3.48, +28.542,  -0.02921, +1158.000, +67.000, +487.000
1687342740, +3.48, +28.550,  +0.04711, +1190.000, +76.000, +492.000
1687343340, +3.48, +28.542,  -0.02395, +1185.000, +73.000, +488.000
1687343940, +3.48, +28.542,  +0.03132, +1192.000, +78.000, +492.000
1687344540, +3.48, +28.468,  -0.03711, +1264.000, +112.000, +432.000
1687345140, +3.48, +28.312,  -0.03448, +1276.000, +115.000, +412.000
1687345740, +3.48, +28.255,  +0.01026, +1260.000, +108.000, +440.000
1687346340, +3.48, +28.255,  +0.02342, +1255.000, +104.000, +442.000
1687346940, +3.48, +28.247,  -0.00816, +1276.000, +114.000, +408.000
1687347540, +3.48, +28.255,  +0.02342, +1252.000, +104.000, +448.000
1687348140, +3.48, +28.255,  +0.04711, +1255.000, +102.000, +448.000
1687348740, +3.48, +28.288,  -0.02132, +1241.000, +96.000, +464.000
1687349340, +3.48, +28.304,  +0.00237, +1241.000, +97.000, +460.000
1687349940, +3.48, +28.296,  -0.01869, +1276.000, +115.000, +414.000
1687350540, +3.48, +28.304,  -0.03711, +1275.000, +115.000, +416.000
1687351140, +3.48, +28.230,  -0.01605, +1273.000, +112.000, +412.000
1687351740, +3.48, +28.033,  +0.00500, +1291.000, +120.000, +388.000
1687352340, +3.48, +28.033,  -0.08448, +1310.000, +112.000, +369.000
1687352940, +3.48, +28.083,  +0.05501, +1302.000, +116.000, +376.000
1687353540, +3.48, +28.099,  +0.04448, +1295.000, +120.000, +384.000
1687354140, +3.48, +28.140,  +0.05501, +1239.000, +97.000, +463.000
1687354740, +3.48, +28.156,  +0.05501, +1240.000, +96.000, +463.000
1687355340, +3.48, +28.165,  -0.06869, +1296.000, +118.000, +384.000
1687355940, +3.48, +27.861,  -0.01605, +1278.000, +116.000, +408.000
1687356540, +3.48, +27.532,  +0.05237, +1299.000, +115.000, +376.000
1687357140, +3.48, +27.474,  +0.01290, +1216.000, +84.000, +484.000
1687357740, +3.48, +27.680,  -0.02395, +1148.000, +64.000, +480.000
1687358340, +3.48, +27.721,  +0.02869, +1160.000, +68.000, +488.000
1687358940, +3.48, +27.515,  -0.00290, +1203.000, +80.000, +488.000
1687359540, +3.48, +27.655,  -0.01605, +1311.000, +112.000, +374.000
1687360140, +3.48, +27.762,  -0.06343, +1192.000, +78.000, +492.000
1687360740, +3.48, +27.803,  +0.00763, +1142.000, +60.000, +480.000
1687361340, +3.48, +27.779,  -0.01342, +1155.000, +64.000, +484.000
1687361940, +3.48, +27.795,  -0.03448, +1145.000, +64.000, +483.000
1687362540, +3.48, +27.869,  -0.01342, +1158.000, +67.000, +484.000
1687363140, +3.48, +27.927,  +0.01026, +1176.000, +72.000, +492.000
1687363740, +3.48, +27.968,  +0.02606, +1143.000, +60.000, +480.000
1687364340, +3.48, +28.042,  +0.00500, +1312.000, +118.000, +368.000
1687364940, +3.48, +28.058,  -0.03711, +1311.000, +113.000, +368.000
1687365540, +3.48, +28.148,  -0.03448, +1288.000, +120.000, +390.000
1687366140, +3.48, +28.271,  +0.04974, +1288.000, +120.000, +390.000
1687366740, +3.48, +28.312,  -0.01605, +1272.000, +112.000, +416.000
1687367340, +3.48, +28.329,  +0.00763, +1264.000, +108.000, +428.000
1687367940, +3.48, +28.320,  -0.00553, +1265.000, +112.000, +424.000
1687368540, +3.48, +28.345,  +0.01816, +1272.000, +112.000, +419.000
1687369140, +3.48, +28.378,  -0.03185, +1231.000, +92.000, +472.000
1687369740, +3.48, +28.402,  +0.07869, +1254.000, +102.000, +448.000
1687370340, +3.48, +28.419,  +0.02342, +1244.000, +96.000, +460.000
1687370940, +3.48, +28.443,  +0.03658, +1256.000, +104.000, +444.000
1687371540, +3.48, +28.378,  +0.17081, +1268.000, +112.000, +422.000
1687372140, +3.48, +28.370,  +0.19976, +1264.000, +108.000, +432.000
1687372740, +3.48, +28.320,  +0.13396, +1264.000, +108.000, +428.000
1687373340, +3.48, +28.214,  +0.36293, +1262.000, +108.000, +435.000
1687373940, +3.48, +28.181,  +0.53926, +1284.000, +118.000, +398.000
1687374540, +3.48, +28.255,  +0.60769, +1283.000, +120.000, +400.000
1687375140, +3.48, +28.394,  +1.10510, +1244.000, +96.000, +460.000
1687375740, +3.48, +28.492,  +0.81560, +1238.000, +96.000, +467.000
1687376340, +3.48, +28.476,  +1.17879, +1228.000, +92.000, +472.000
1687376940, +3.48, +28.337,  +1.00246, +1251.000, +103.000, +451.000
1687377540, +3.48, +28.411,  +1.60778, +1182.000, +72.000, +488.000
1687378140, +3.48, +28.582,  +1.01825, +1228.000, +88.000, +480.000
1687378740, +3.48, +28.681,  +0.56558, +1295.000, +116.000, +384.000
1687379340, +3.48, +28.746,  +0.82350, +1177.000, +70.000, +488.000
1687379940, +3.48, +28.762,  +0.99720, +1295.000, +104.000, +351.000
1687380540, +3.48, +28.787,  +0.97088, +1148.000, +64.000, +483.000
1687381140, +3.48, +28.787,  +0.92088, +1144.000, +64.000, +481.000
1687381740, +3.48, +28.803,  +1.32091, +1308.000, +112.000, +380.000
1687382340, +3.48, +28.803,  +1.33670, +1148.000, +64.000, +483.000
1687382940, +3.48, +28.803,  +1.29723, +1148.000, +62.000, +480.000
1687383540, +3.48, +28.803,  +1.13932, +1144.000, +64.000, +480.000
1687384140, +3.48, +28.811,  +0.92877, +1312.000, +116.000, +368.000
1687384740, +3.48, +28.811,  +1.04194, +1145.000, +64.000, +483.000
1687385340, +3.48, +28.811,  +1.09721, +1139.000, +60.000, +480.000
1687385940, +3.48, +28.803,  +1.91044, +1143.000, +60.000, +478.000
1687386540, +3.48, +28.811,  +1.86833, +1160.000, +67.000, +487.000
1687387140, +3.48, +28.819,  +1.73411, +1144.000, +60.000, +480.000
1687387740, +3.48, +28.811,  +1.74464, +1296.000, +103.000, +351.000
1687388340, +3.48, +28.819,  +1.33144, +1283.000, +116.000, +396.000
1687388940, +3.48, +28.828,  +1.11300, +1155.000, +65.000, +486.000
1687389540, +3.48, +28.819,  +1.11563, +1144.000, +60.000, +480.000
1687390140, +3.48, +28.819,  +1.38671, +1144.000, +64.000, +483.000
1687390740, +3.48, +28.819,  +1.51304, +1144.000, +64.000, +483.000
1687391340, +3.48, +28.819,  +1.59199, +1139.000, +62.000, +476.000
1687391940, +3.48, +28.819,  +1.02878, +1289.000, +103.000, +355.000
1687392540, +3.48, +28.819,  +1.67621, +1144.000, +62.000, +480.000
1687393140, +3.48, +28.811,  +1.29986, +1151.000, +64.000, +486.000
1687393740, +3.48, +28.811,  +1.16564, +1148.000, +64.000, +486.000
1687394340, +3.48, +28.819,  +1.30512, +1142.000, +60.000, +480.000
1687394940, +3.48, +28.811,  +1.89202, +1139.000, +64.000, +476.000
1687395540, +3.48, +28.811,  +1.80517, +1140.000, +63.000, +476.000
1687396140, +3.48, +28.819,  +1.71042, +1140.000, +60.000, +480.000
1687396740, +3.48, +28.811,  +1.65779, +1144.000, +60.000, +480.000
1687397340, +3.48, +28.819,  +1.12879, +1148.000, +64.000, +483.000
1687397940, +3.48, +28.819,  +0.85771, +1139.000, +63.000, +476.000
1687398540, +3.48, +28.811,  +0.80508, +1286.000, +120.000, +400.000
1687399140, +3.48, +28.811,  +0.74191, +1139.000, +62.000, +476.000
1687399740, +3.48, +28.819,  +0.78402, +1139.000, +62.000, +476.000
1687400340, +3.48, +28.811,  +0.62085, +1144.000, +60.000, +480.000
1687400940, +3.48, +28.779,  +0.51557, +1311.000, +112.000, +355.000
1687401540, +3.48, +28.762,  +0.47873, +1139.000, +60.000, +480.000
1687402140, +3.48, +28.754,  +0.59979, +1139.000, +62.000, +476.000
1687402740, +3.48, +28.762,  +0.50505, +1139.000, +64.000, +476.000
1687403340, +3.48, +28.779,  +0.45241, +1137.000, +64.000, +476.000
1687403940, +3.48, +28.795,  +0.58137, +1139.000, +63.000, +472.000
1687404540, +3.48, +28.795,  +0.31819, +1318.000, +115.000, +358.000
1687405140, +3.48, +28.787,  +0.21291, +1312.000, +111.000, +361.000
1687405740, +3.48, +28.811,  +0.22607, +1139.000, +64.000, +476.000
1687406340, +3.48, +28.795,  +0.25239, +1144.000, +60.000, +480.000
1687406940, +3.48, +28.819,  +0.13396, +1299.000, +110.000, +351.000
1687407540, +3.48, +28.779,  +0.13922, +1278.000, +116.000, +408.000
1687408140, +3.48, +28.542,  +0.08132, +1143.000, +62.000, +480.000
1687408740, +3.48, +28.427,  +0.13659, +1235.000, +96.000, +464.000
1687409340, +3.48, +28.378,  +0.03658, +1240.000, +96.000, +460.000
1687409940, +3.48, +28.361,  -0.00816, +1240.000, +96.000, +460.000
1687410540, +3.48, +28.329,  -0.00553, +1200.000, +80.000, +488.000
1687411140, +3.48, +28.304,  +0.01290, +1139.000, +62.000, +476.000
1687411740, +3.48, +28.271,  +0.00237, +1224.000, +88.000, +480.000
1687412340, +3.48, +28.255,  -0.03974, +1230.000, +89.000, +472.000
1687412940, +3.48, +28.288,  -0.03185, +1228.000, +92.000, +476.000
1687413540, +3.48, +28.271,  +0.06290, +1240.000, +96.000, +464.000
1687414140, +3.48, +28.124,  +0.04974, +1267.000, +112.000, +424.000
1687414740, +3.48, +27.877,  +0.03395, +1286.000, +120.000, +392.000
1687415340, +3.48, +27.820,  -0.05027, +1302.000, +115.000, +376.000
1687415940, +3.48, +27.984,  -0.01079, +1276.000, +118.000, +409.000
1687416540, +3.48, +28.156,  +0.01290, +1271.000, +112.000, +419.000
1687417140, +3.48, +28.263,  +0.01290, +1248.000, +100.000, +451.000
1687417740, +3.48, +28.304,  -0.02921, +1275.000, +116.000, +412.000
1687418340, +3.48, +28.337,  -0.05816, +1248.000, +99.000, +454.000
1687418940, +3.48, +28.427,  -0.05816, +1216.000, +88.000, +480.000
1687419540, +3.48, +28.558,  +0.00500, +1228.000, +88.000, +476.000
1687420140, +3.48, +28.566,  -0.02395, +1219.000, +84.000, +480.000
1687420740, +3.48, +28.542,  +0.03132, +1230.000, +88.000, +476.000
1687421340, +3.48, +28.582,  +0.05764, +1158.000, +67.000, +486.000
1687421940, +3.48, +28.623,  -0.00290, +1159.000, +64.000, +488.000
1687422540, +3.48, +28.460,  +0.05501, +1198.000, +80.000, +488.000
1687423140, +3.48, +27.984,  -0.00290, +1224.000, +88.000, +480.000
1687423740, +3.48, +27.729,  -0.03185, +1315.000, +115.000, +352.000
1687424340, +3.48, +27.614,  -0.03448, +1310.000, +105.000, +353.000
1687424940, +3.48, +27.581,  +0.01816, +1273.000, +112.000, +412.000
1687425540, +3.48, +27.556,  +0.05501, +1312.000, +120.000, +367.000
1687426140, +3.48, +27.523,  -0.08185, +1287.000, +120.000, +390.000
