7530-470610
OS REV: 1.05 Sensor Cal: 1611734400
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1692037740, +3.03, +28.492,  +1.26564, +1248.000, +96.000, +456.000
1692038340, +3.03, +28.476,  +1.68674, +1128.000, +56.000, +456.000
1692038940, +3.03, +28.476,  +2.17362, +1180.000, +72.000, +464.000
1692039540, +3.03, +28.484,  +2.52629, +1120.000, +48.000, +448.000
1692040140, +3.03, +28.501,  +3.01844, +1336.000, +159.000, +315.000
1692040740, +3.03, +28.509,  +3.65271, +1336.000, +155.000, +295.000
1692041340, +3.03, +28.517,  +4.59227, +1159.000, +67.000, +261.000
1692041940, +3.03, +28.525,  +4.51858, +1174.000, +74.000, +263.000
1692042540, +3.03, +28.517,  +5.04231, +1176.000, +97.000, +252.000
1692043140, +3.03, +28.517,  +5.40814, +1331.000, +153.000, +328.000
1692043740, +3.03, +28.533,  +6.14768, +1331.000, +156.000, +320.000
1692044340, +3.03, +28.542,  +7.12409, +1294.000, +176.000, +189.000
1692044940, +3.03, +28.542,  +7.91890, +1336.000, +160.000, +326.000
1692045540, +3.03, +28.558,  +8.98479, +1336.000, +157.000, +330.000
1692046140, +3.03, +28.582,  +9.24271, +1150.000, +49.000, +278.000
1692046740, +3.03, +28.599, +10.72969, +1136.000, +64.000, +460.000
1692047340, +3.03, +28.599, +12.43775, +1116.000, +48.000, +448.000
1692047940, +3.03, +28.623, +12.76146, +1339.000, +158.000, +332.000
1692048540, +3.03, +28.632, +14.23265, +1144.000, +64.000, +464.000
1692049140, +3.03, +28.648, +14.19317, +1160.000, +64.000, +464.000
1692049740, +3.03, +28.427, +15.37223, +1168.000, +68.000, +464.000
1692050340, +3.03, +28.271, +14.42741, +1158.000, +66.000, +468.000
1692050940, +3.03, +28.165, +15.17748, +1283.000, +152.000, +208.000
1692051540, +3.03, +27.762, +17.67245, +1260.000, +104.000, +448.000
1692052140, +3.03, +27.729, +12.29826, +1279.000, +168.000, +217.000
1692052740, +3.03, +27.811, +16.64603, +1232.000, +96.000, +464.000
1692053340, +3.03, +27.647, +14.49846, +1319.000, +145.000, +400.000
1692053940, +3.03, +27.820,  +9.35061, +1327.000, +179.000, +227.000
1692054540, +3.03, +28.181, +19.43051, +1168.000, +64.000, +468.000
1692055140, +3.03, +28.468,  +8.84793, +1169.000, +68.000, +498.000
1692055740, +3.03, +28.591,  +7.89258, +1132.000, +64.000, +454.000
1692056340, +3.03, +28.509, +18.22513, +1169.000, +68.000, +500.000
1692056940, +3.03, +28.443, +14.46162, +1140.000, +64.000, +460.000
1692057540, +3.03, +28.402,  +3.64482, +1295.000, +157.000, +308.000
1692058140, +3.03, +28.345, +13.11676, +1227.000, +152.000, +181.000
1692058740, +3.03, +28.337, +12.60355, +1264.000, +158.000, +207.000
1692059340, +3.03, +28.345, +11.20868, +1319.000, +161.000, +274.000
1692059940, +3.02, +28.378, +10.56652, +1172.000, +80.000, +259.000
1692060540, +3.02, +28.394, +10.08489, +1319.000, +142.000, +403.000
1692061140, +3.02, +28.394,  +9.49273, +1249.000, +142.000, +224.000
