7530-470610
OS REV: 1.05 Sensor Cal: 1611734400
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1684816740, +3.48, +28.452,  +0.14712, +1252.000, +108.000, +428.000
1684817340, +3.48, +28.460,  +0.03658, +1251.000, +104.000, +428.000
1684817940, +3.48, +28.484,  +0.08922, +1287.000, +120.000, +376.000
1684818540, +3.49, +28.550,  -0.00026, +1319.000, +127.000, +327.000
1684819140, +3.49, +28.615,  +0.04974, +1304.000, +128.000, +344.000
1684819740, +3.49, +28.582,  -0.06080, +1283.000, +120.000, +384.000
1684820340, +3.49, +28.615,  -0.05290, +1315.000, +134.000, +337.000
1684820940, +3.49, +28.550,  -0.00026, +1288.000, +128.000, +368.000
1684821540, +3.49, +28.525,  +0.01553, +1310.000, +120.000, +320.000
1684822140, +3.49, +28.476,  +0.00237, +1279.000, +113.000, +310.000
1684822740, +3.48, +28.452,  -0.00290, +1161.000, +70.000, +470.000
1684823340, +3.48, +28.419,  +0.05764, +1136.000, +58.000, +457.000
1684823940, +3.48, +28.452,  +0.02869, +1136.000, +60.000, +456.000
1684824540, +3.49, +28.394,  +0.05501, +1208.000, +81.000, +464.000
1684825140, +3.49, +28.386,  +0.03658, +1193.000, +80.000, +467.000
1684825740, +3.48, +28.345,  +0.05237, +1158.000, +68.000, +470.000
1684826340, +3.48, +28.353,  +0.07869, +1169.000, +72.000, +472.000
1684826940, +3.48, +28.386,  +0.03658, +1144.000, +64.000, +465.000
1684827540, +3.48, +28.394,  -0.01342, +1152.000, +66.000, +465.000
1684828140, +3.48, +28.452,  +0.04448, +1174.000, +72.000, +472.000
1684828740, +3.49, +28.623,  +0.03132, +1153.000, +67.000, +467.000
1684829340, +3.49, +28.779,  +0.04974, +1180.000, +72.000, +470.000
1684829940, +3.49, +28.836,  +0.03658, +1132.000, +64.000, +451.000
1684830540, +3.49, +28.877,  +0.03658, +1131.000, +60.000, +454.000
1684831140, +3.49, +28.893,  +0.05764, +1299.000, +120.000, +311.000
1684831740, +3.49, +28.901,  -0.01869, +1303.000, +128.000, +344.000
1684832340, +3.49, +28.901,  +0.01290, +1312.000, +125.000, +319.000
1684832940, +3.49, +28.713,  -0.02132, +1288.000, +128.000, +368.000
1684833540, +3.49, +28.689,  -0.03711, +1300.000, +117.000, +316.000
1684834140, +3.49, +28.746,  -0.02658, +1132.000, +62.000, +454.000
1684834740, +3.49, +28.779,  -0.01079, +1322.000, +126.000, +324.000
1684835340, +3.49, +28.803,  +0.09448, +1308.000, +121.000, +319.000
1684835940, +3.49, +28.811,  +0.03132, +1288.000, +128.000, +364.000
1684836540, +3.49, +28.803,  +0.01816, +1280.000, +121.000, +384.000
1684837140, +3.49, +28.770,  -0.05553, +1247.000, +100.000, +435.000
1684837740, +3.49, +28.779,  -0.00290, +1244.000, +99.000, +438.000
1684838340, +3.49, +28.811,  +0.07869, +1247.000, +95.000, +315.000
1684838940, +3.49, +28.836,  -0.04500, +1272.000, +110.000, +311.000
1684839540, +3.49, +28.705,  -0.02395, +1185.000, +76.000, +472.000
1684840140, +3.49, +28.664,  +0.01290, +1270.000, +112.000, +408.000
1684840740, +3.49, +28.713,  -0.03185, +1192.000, +78.000, +476.000
1684841340, +3.49, +28.181,  +0.01816, +1260.000, +108.000, +422.000
1684841940, +3.49, +28.214,  -0.07659, +1132.000, +62.000, +458.000
1684842540, +3.49, +28.411,  -0.02132, +1176.000, +70.000, +472.000
1684843140, +3.49, +28.197,  -0.05553, +1208.000, +82.000, +467.000
1684843740, +3.49, +28.058,  -0.04500, +1267.000, +112.000, +412.000
1684844340, +3.49, +27.927,  +0.08396, +1135.000, +62.000, +454.000
1684844940, +3.49, +27.820,  +0.00500, +1151.000, +64.000, +468.000
1684845540, +3.49, +27.688,  -0.06343, +1167.000, +70.000, +472.000
1684846140, +3.49, +28.156,  +0.04711, +1247.000, +100.000, +432.000
1684846740, +3.48, +28.468,  +0.02606, +1264.000, +102.000, +311.000
1684847340, +3.49, +28.492,  +0.01816, +1299.000, +128.000, +352.000
1684847940, +3.49, +27.992,  +0.12606, +1134.000, +62.000, +455.000
1684848540, +3.49, +27.565,  +0.04974, +1137.000, +64.000, +464.000
1684849140, +3.48, +27.424,  +0.06290, +1136.000, +56.000, +460.000
1684849740, +3.49, +27.910,  -0.01342, +1144.000, +64.000, +464.000
1684850340, +3.49, +28.304,  +0.04448, +1300.000, +128.000, +344.000
1684850940, +3.49, +28.394,  +0.06290, +1142.000, +64.000, +464.000
1684851540, +3.49, +28.132,  +0.01816, +1280.000, +120.000, +384.000
1684852140, +3.49, +28.288,  +0.03921, +1292.000, +128.000, +364.000
1684852740, +3.48, +28.230,  +0.00500, +1144.000, +64.000, +464.000
1684853340, +3.48, +28.230,  -0.04764, +1246.000, +96.000, +436.000
1684853940, +3.48, +28.378,  +0.04185, +1276.000, +116.000, +392.000
1684854540, +3.49, +28.124,  +0.06290, +1187.000, +78.000, +472.000
1684855140, +3.49, +27.885,  +0.00763, +1265.000, +112.000, +408.000
1684855740, +3.49, +27.803,  -0.01079, +1286.000, +124.000, +376.000
1684856340, +3.49, +27.828,  +0.03395, +1312.000, +128.000, +348.000
1684856940, +3.49, +28.107,  +0.04185, +1247.000, +99.000, +311.000
1684857540, +3.49, +28.091,  +0.07606, +1323.000, +126.000, +326.000
1684858140, +3.49, +28.279,  +0.00237, +1134.000, +56.000, +456.000
1684858740, +3.48, +28.468,  -0.06080, +1140.000, +64.000, +462.000
1684859340, +3.49, +28.615,  +0.04974, +1200.000, +80.000, +467.000
