7530-470610
OS REV: 1.05 Sensor Cal: 1611734400
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1689775740, +3.47, +27.037,  -0.03974, +1222.000, +88.000, +472.000
1689776340, +3.47, +27.012,  -0.15291, +1190.000, +78.000, +486.000
1689776940, +3.47, +27.177,  -0.06343, +1288.000, +120.000, +384.000
1689777540, +3.47, +27.449,  -0.07132, +1248.000, +100.000, +448.000
1689778140, +3.47, +27.474,  +0.00500, +1299.000, +112.000, +369.000
1689778740, +3.47, +27.663,  -0.04500, +1292.000, +116.000, +374.000
1689779340, +3.47, +27.672,  +0.09185, +1304.000, +120.000, +364.000
1689779940, +3.47, +27.449,  +0.02342, +1155.000, +64.000, +483.000
1689780540, +3.47, +27.589,  -0.12396, +1190.000, +76.000, +483.000
1689781140, +3.47, +27.795,  -0.04500, +1283.000, +99.000, +344.000
1689781740, +3.47, +27.935,  -0.04237, +1304.000, +116.000, +368.000
1689782340, +3.47, +28.009,  +0.02869, +1304.000, +116.000, +361.000
1689782940, +3.47, +27.762,  -0.10554, +1136.000, +62.000, +476.000
1689783540, +3.47, +27.540,  -0.02395, +1156.000, +64.000, +480.000
1689784140, +3.47, +27.663,  -0.04500, +1302.000, +112.000, +376.000
1689784740, +3.47, +27.779,  -0.03185, +1304.000, +118.000, +364.000
1689785340, +3.47, +27.861,  -0.06606, +1136.000, +58.000, +470.000
1689785940, +3.47, +27.927,  +0.02079, +1144.000, +64.000, +480.000
1689786540, +3.47, +27.894,  +0.03132, +1267.000, +103.000, +344.000
1689787140, +3.47, +27.943,  +0.00500, +1295.000, +112.000, +345.000
1689787740, +3.47, +27.976,  +0.01290, +1264.000, +92.000, +351.000
1689788340, +3.47, +27.795,  -0.03185, +1152.000, +65.000, +480.000
1689788940, +3.47, +27.663,  +0.01553, +1167.000, +67.000, +483.000
1689789540, +3.47, +27.779,  +0.03658, +1267.000, +112.000, +414.000
1689790140, +3.47, +27.721,  +0.20765, +1289.000, +108.000, +345.000
1689790740, +3.47, +27.663,  +0.27871, +1304.000, +120.000, +364.000
1689791340, +3.47, +27.696,  +0.48399, +1235.000, +96.000, +456.000
1689791940, +3.47, +27.729,  +0.62611, +1257.000, +108.000, +424.000
1689792540, +3.47, +27.885,  +0.67875, +1145.000, +64.000, +480.000
1689793140, +3.47, +27.968,  +0.51294, +1196.000, +78.000, +483.000
1689793740, +3.47, +28.000,  +1.11037, +1292.000, +116.000, +374.000
1689794340, +3.47, +27.968,  +1.21564, +1278.000, +100.000, +350.000
1689794940, +3.47, +27.976,  +1.30249, +1299.000, +107.000, +352.000
1689795540, +3.47, +27.877,  +1.15248, +1279.000, +120.000, +392.000
1689796140, +3.47, +27.836,  +0.91824, +1144.000, +64.000, +480.000
1689796740, +3.47, +27.918,  +1.89728, +1251.000, +104.000, +432.000
1689797340, +3.47, +28.000,  +2.37628, +1193.000, +78.000, +483.000
1689797940, +3.47, +28.066,  +1.81043, +1136.000, +60.000, +476.000
1689798540, +3.47, +28.099,  +1.15774, +1272.000, +103.000, +351.000
1689799140, +3.47, +28.148,  +1.29723, +1136.000, +56.000, +480.000
1689799740, +3.47, +28.197,  +2.42891, +1135.000, +62.000, +472.000
1689800340, +3.47, +28.222,  +2.46313, +1287.000, +99.000, +349.000
1689800940, +3.47, +28.238,  +2.42102, +1292.000, +108.000, +352.000
1689801540, +3.47, +28.255,  +4.94494, +1295.000, +120.000, +376.000
1689802140, +3.47, +28.263,  +5.81344, +1288.000, +118.000, +390.000
1689802740, +3.47, +28.288,  +3.80536, +1303.000, +112.000, +375.000
1689803340, +3.47, +28.288,  +3.81062, +1281.000, +118.000, +396.000
1689803940, +3.47, +28.288,  +4.16592, +1304.000, +112.000, +376.000
1689804540, +3.47, +28.296,  +6.21874, +1299.000, +112.000, +376.000
1689805140, +3.47, +28.296,  +3.62113, +1302.000, +103.000, +353.000
1689805740, +3.47, +28.230,  +4.41857, +1297.000, +115.000, +376.000
1689806340, +3.47, +28.042,  +4.73702, +1241.000, +96.000, +456.000
1689806940, +3.47, +27.976,  +4.24224, +1310.000, +112.000, +363.000
1689807540, +3.47, +27.894,  +4.32909, +1136.000, +60.000, +478.000
1689808140, +3.48, +27.853,  +4.50016, +1283.000, +103.000, +349.000
1689808740, +3.47, +27.746,  +5.61342, +1139.000, +60.000, +480.000
1689809340, +3.48, +27.507,  +6.41613, +1161.000, +67.000, +488.000
1689809940, +3.47, +27.622,  +5.33182, +1144.000, +64.000, +481.000
1689810540, +3.47, +27.573,  +4.90546, +1224.000, +89.000, +472.000
