RecNum	DateTime	Fagatele_20
1	01/14/23 12:00:00 PM	29.165
2	01/14/23 12:15:00 PM	29.165
3	01/14/23 12:30:00 PM	29.165
4	01/14/23 12:45:00 PM	29.165
5	01/14/23 01:00:00 PM	29.165
6	01/14/23 01:15:00 PM	29.115
7	01/14/23 01:30:00 PM	29.115
8	01/14/23 01:45:00 PM	29.115
9	01/14/23 02:00:00 PM	29.140
10	01/14/23 02:15:00 PM	29.140
11	01/14/23 02:30:00 PM	29.140
12	01/14/23 02:45:00 PM	29.165
13	01/14/23 03:00:00 PM	29.165
14	01/14/23 03:15:00 PM	29.115
15	01/14/23 03:30:00 PM	29.115
16	01/14/23 03:45:00 PM	29.115
17	01/14/23 04:00:00 PM	29.140
18	01/14/23 04:15:00 PM	29.115
19	01/14/23 04:30:00 PM	29.115
20	01/14/23 04:45:00 PM	29.140
21	01/14/23 05:00:00 PM	29.115
22	01/14/23 05:15:00 PM	29.115
23	01/14/23 05:30:00 PM	29.115
24	01/14/23 05:45:00 PM	29.115
25	01/14/23 06:00:00 PM	29.115
26	01/14/23 06:15:00 PM	29.115
27	01/14/23 06:30:00 PM	29.115
28	01/14/23 06:45:00 PM	29.090
29	01/14/23 07:00:00 PM	29.065
30	01/14/23 07:15:00 PM	29.065
31	01/14/23 07:30:00 PM	29.040
32	01/14/23 07:45:00 PM	29.040
33	01/14/23 08:00:00 PM	29.040
34	01/14/23 08:15:00 PM	29.040
35	01/14/23 08:30:00 PM	29.015
36	01/14/23 08:45:00 PM	29.015
37	01/14/23 09:00:00 PM	29.015
38	01/14/23 09:15:00 PM	29.015
39	01/14/23 09:30:00 PM	29.015
40	01/14/23 09:45:00 PM	29.040
41	01/14/23 10:00:00 PM	29.040
42	01/14/23 10:15:00 PM	29.040
43	01/14/23 10:30:00 PM	29.040
44	01/14/23 10:45:00 PM	29.040
45	01/14/23 11:00:00 PM	29.040
46	01/14/23 11:15:00 PM	29.040
47	01/14/23 11:30:00 PM	29.040
48	01/14/23 11:45:00 PM	29.040
49	01/15/23 12:00:00 AM	29.040
50	01/15/23 12:15:00 AM	29.040
51	01/15/23 12:30:00 AM	29.040
52	01/15/23 12:45:00 AM	29.040
53	01/15/23 01:00:00 AM	29.040
54	01/15/23 01:15:00 AM	29.065
55	01/15/23 01:30:00 AM	29.065
56	01/15/23 01:45:00 AM	29.065
57	01/15/23 02:00:00 AM	29.065
58	01/15/23 02:15:00 AM	29.065
59	01/15/23 02:30:00 AM	29.065
60	01/15/23 02:45:00 AM	29.065
61	01/15/23 03:00:00 AM	29.065
62	01/15/23 03:15:00 AM	29.065
63	01/15/23 03:30:00 AM	29.065
64	01/15/23 03:45:00 AM	29.065
65	01/15/23 04:00:00 AM	29.065
66	01/15/23 04:15:00 AM	29.065
67	01/15/23 04:30:00 AM	29.065
68	01/15/23 04:45:00 AM	29.065
69	01/15/23 05:00:00 AM	29.065
70	01/15/23 05:15:00 AM	29.065
71	01/15/23 05:30:00 AM	29.065
72	01/15/23 05:45:00 AM	29.065
73	01/15/23 06:00:00 AM	29.065
74	01/15/23 06:15:00 AM	29.065
75	01/15/23 06:30:00 AM	29.065
76	01/15/23 06:45:00 AM	29.065
77	01/15/23 07:00:00 AM	29.065
78	01/15/23 07:15:00 AM	29.065
79	01/15/23 07:30:00 AM	29.065
80	01/15/23 07:45:00 AM	29.065
81	01/15/23 08:00:00 AM	29.065
82	01/15/23 08:15:00 AM	29.065
83	01/15/23 08:30:00 AM	29.065
84	01/15/23 08:45:00 AM	29.065
85	01/15/23 09:00:00 AM	29.090
86	01/15/23 09:15:00 AM	29.090
87	01/15/23 09:30:00 AM	29.090
88	01/15/23 09:45:00 AM	29.115
89	01/15/23 10:00:00 AM	29.115
90	01/15/23 10:15:00 AM	29.115
91	01/15/23 10:30:00 AM	29.115
92	01/15/23 10:45:00 AM	29.140
93	01/15/23 11:00:00 AM	29.140
94	01/15/23 11:15:00 AM	29.140
95	01/15/23 11:30:00 AM	29.165
96	01/15/23 11:45:00 AM	29.165
97	01/15/23 12:00:00 PM	29.165
98	01/15/23 12:15:00 PM	29.165
99	01/15/23 12:30:00 PM	29.190
100	01/15/23 12:45:00 PM	29.190
101	01/15/23 01:00:00 PM	29.190
102	01/15/23 01:15:00 PM	29.190
103	01/15/23 01:30:00 PM	29.240
104	01/15/23 01:45:00 PM	29.265
105	01/15/23 02:00:00 PM	29.215
106	01/15/23 02:15:00 PM	29.190
107	01/15/23 02:30:00 PM	29.215
108	01/15/23 02:45:00 PM	29.190
109	01/15/23 03:00:00 PM	29.165
110	01/15/23 03:15:00 PM	29.190
111	01/15/23 03:30:00 PM	29.190
112	01/15/23 03:45:00 PM	29.190
113	01/15/23 04:00:00 PM	29.165
114	01/15/23 04:15:00 PM	29.165
115	01/15/23 04:30:00 PM	29.165
116	01/15/23 04:45:00 PM	29.165
117	01/15/23 05:00:00 PM	29.190
118	01/15/23 05:15:00 PM	29.190
119	01/15/23 05:30:00 PM	29.190
120	01/15/23 05:45:00 PM	29.190
121	01/15/23 06:00:00 PM	29.165
122	01/15/23 06:15:00 PM	29.165
123	01/15/23 06:30:00 PM	29.165
124	01/15/23 06:45:00 PM	29.165
125	01/15/23 07:00:00 PM	29.165
126	01/15/23 07:15:00 PM	29.215
127	01/15/23 07:30:00 PM	29.165
128	01/15/23 07:45:00 PM	29.115
129	01/15/23 08:00:00 PM	29.115
130	01/15/23 08:15:00 PM	29.065
131	01/15/23 08:30:00 PM	29.065
132	01/15/23 08:45:00 PM	29.040
133	01/15/23 09:00:00 PM	29.065
