Date	Time_HH:MM:SS	Time_sec	Ch1_O2_09|T2_27A	Ch2_O2_13|T2_27A	Ch3_O2_14|T2_27A	Ch4_O2_15|T2_27A	Ch1_Temp	Ch2_Temp	Ch3_Temp	Ch4_Temp
1/28/2019	08:04:58	382.06	3.9239	4.1296	4.1094	4.2436	27.000	27.000	27.000	27.000
1/28/2019	08:05:00	383.77	3.9250	4.1333	4.1070	4.2441	27.000	27.000	27.000	27.000
1/28/2019	08:05:01	385.17	3.9225	4.1353	4.1066	4.2454	27.000	27.000	27.000	27.000
1/28/2019	08:05:03	386.61	3.9233	4.1386	4.1046	4.2439	27.000	27.000	27.000	27.000
1/28/2019	08:05:04	387.92	3.9232	4.1381	4.1046	4.2432	27.000	27.000	27.000	27.000
1/28/2019	08:05:05	389.45	3.9240	4.1372	4.1050	4.2421	27.000	27.000	27.000	27.000
1/28/2019	08:05:07	390.91	3.9245	4.1344	4.1046	4.2430	27.000	27.000	27.000	27.000
1/28/2019	08:05:08	392.25	3.9235	4.1319	4.1052	4.2437	27.000	27.000	27.000	27.000
1/28/2019	08:05:10	393.56	3.9232	4.1311	4.1038	4.2436	27.000	27.000	27.000	27.000
1/28/2019	08:05:11	395.06	3.9212	4.1325	4.1021	4.2432	27.000	27.000	27.000	27.000
1/28/2019	08:05:12	396.39	3.9197	4.1340	4.1011	4.2405	27.000	27.000	27.000	27.000
1/28/2019	08:05:14	397.75	3.9186	4.1336	4.1006	4.2407	27.000	27.000	27.000	27.000
1/28/2019	08:05:15	399.19	3.9186	4.1325	4.1009	4.2393	27.000	27.000	27.000	27.000
1/28/2019	08:05:16	400.45	3.9201	4.1321	4.0994	4.2408	27.000	27.000	27.000	27.000
1/28/2019	08:05:18	401.78	3.9175	4.1310	4.0980	4.2441	27.000	27.000	27.000	27.000
1/28/2019	08:05:19	403.19	3.9176	4.1304	4.0980	4.2494	27.000	27.000	27.000	27.000
1/28/2019	08:05:21	404.66	3.9145	4.1275	4.0978	4.2507	27.000	27.000	27.000	27.000
1/28/2019	08:05:22	406.12	3.9156	4.1267	4.0997	4.2464	27.000	27.000	27.000	27.000
1/28/2019	08:05:24	407.50	3.9151	4.1242	4.0994	4.2422	27.000	27.000	27.000	27.000
1/28/2019	08:05:25	409.28	3.9165	4.1228	4.1002	4.2415	27.000	27.000	27.000	27.000
1/28/2019	08:05:27	410.62	3.9173	4.1223	4.0997	4.2416	27.000	27.000	27.000	27.000
1/28/2019	08:05:28	412.08	3.9173	4.1222	4.1000	4.2410	27.000	27.000	27.000	27.000
1/28/2019	08:05:30	413.73	3.9152	4.1231	4.1000	4.2393	27.000	27.000	27.000	27.000
1/28/2019	08:05:31	415.17	3.9124	4.1223	4.0993	4.2384	27.000	27.000	27.000	27.000
1/28/2019	08:05:33	416.58	3.9091	4.1242	4.0992	4.2371	27.000	27.000	27.000	27.000
1/28/2019	08:05:34	418.06	3.9091	4.1251	4.0985	4.2364	27.000	27.000	27.000	27.000
1/28/2019	08:05:35	419.44	3.9089	4.1277	4.0972	4.2366	27.000	27.000	27.000	27.000
1/28/2019	08:05:37	420.78	3.9102	4.1287	4.0976	4.2382	27.000	27.000	27.000	27.000
1/28/2019	08:05:38	422.34	3.9092	4.1297	4.0972	4.2392	27.000	27.000	27.000	27.000
1/28/2019	08:05:40	423.84	3.9094	4.1290	4.0981	4.2383	27.000	27.000	27.000	27.000
1/28/2019	08:05:41	425.25	3.9071	4.1273	4.0971	4.2384	27.000	27.000	27.000	27.000
1/28/2019	08:05:43	426.59	3.9057	4.1267	4.0979	4.2361	27.000	27.000	27.000	27.000
1/28/2019	08:05:44	427.89	3.9051	4.1262	4.0995	4.2368	27.000	27.000	27.000	27.000
1/28/2019	08:05:45	429.45	3.9070	4.1270	4.1000	4.2366	27.000	27.000	27.000	27.000
1/28/2019	08:05:47	431.03	3.9080	4.1275	4.1003	4.2371	27.000	27.000	27.000	27.000
1/28/2019	08:05:48	432.45	3.9058	4.1274	4.0993	4.2375	27.000	27.000	27.000	27.000
1/28/2019	08:05:50	434.06	3.9025	4.1257	4.0993	4.2386	27.000	27.000	27.000	27.000
1/28/2019	08:05:52	435.55	3.9002	4.1241	4.1003	4.2411	27.000	27.000	27.000	27.000
1/28/2019	08:05:53	436.83	3.9020	4.1243	4.1011	4.2412	27.000	27.000	27.000	27.000
