7530-458116
OS REV: 1.08 Sensor Cal: 1657263600 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1698650040, +3.48, +28.370,    -0.3, +1120.0,  +198.0,   -78.0
1698650640, +3.48, +28.361,    -0.4, +1088.0,  +204.0,    +0.0
1698651240, +3.48, +28.370,    -0.4, +1118.0,  +224.0,   -96.0
1698651840, +3.48, +28.361,    -0.5, +1024.0,  +164.0,  +102.0
1698652440, +3.48, +28.361,    -0.5, +1120.0,  +224.0,  -100.0
1698653040, +3.48, +28.378,    -0.4, +1017.0,  +163.0,  +104.0
1698653640, +3.48, +28.361,    -0.3, +1113.0,  +224.0,   -84.0
1698654240, +3.48, +28.361,    -0.4, +1087.0,  +200.0,   +12.0
1698654840, +3.48, +28.337,    -0.4, +1103.0,  +216.0,   -52.0
1698655440, +3.48, +28.337,    -0.3, +1065.0,  +188.0,   +54.0
1698656040, +3.48, +28.361,    -0.4, +1104.0,  +216.0,   -42.0
1698656640, +3.48, +28.353,    -0.4, +1100.0,  +208.0,   -24.0
1698657240, +3.48, +28.361,    -0.4, +1062.0,  +184.0,   +68.0
1698657840, +3.48, +28.361,    -0.3, +1118.0,  +224.0,   -96.0
1698658440, +3.48, +28.378,    -0.5, +1068.0,  +184.0,   +56.0
1698659040, +3.48, +28.370,    -0.4, +1092.0,  +208.0,   -16.0
1698659640, +3.48, +28.370,    -0.5, +1068.0,  +184.0,   +56.0
1698660240, +3.48, +28.370,    -0.4, +1105.0,  +220.0,   -57.0
1698660840, +3.48, +28.370,    -0.3, +1108.0,  +224.0,   -68.0
1698661440, +3.48, +28.378,    -0.3, +1105.0,  +220.0,   -48.0
1698662040, +3.48, +28.370,    -0.3, +1104.0,  +217.0,   -50.0
1698662640, +3.48, +28.378,    -0.4, +1112.0,  +224.0,   -80.0
1698663240, +3.48, +28.378,    -0.3, +1110.0,  +224.0,   -72.0
1698663840, +3.49, +28.361,    -0.3, +1110.0,  +224.0,   -64.0
1698664440, +3.49, +28.378,    -0.4, +1116.0,  +224.0,  -100.0
1698665040, +3.49, +28.378,    -0.4, +1104.0,  +220.0,   -56.0
1698665640, +3.49, +28.378,    -0.4, +1112.0,  +224.0,   -72.0
1698666240, +3.49, +28.370,    -0.3, +1078.0,  +192.0,   +35.0
1698666840, +3.49, +28.378,    -0.4, +1112.0,  +226.0,   -80.0
1698667440, +3.49, +28.370,    -0.5, +1110.0,  +224.0,   -68.0
1698668040, +3.49, +28.361,    -0.4, +1076.0,  +192.0,   +40.0
1698668640, +3.49, +28.378,    -0.4, +1100.0,  +216.0,   -45.0
1698669240, +3.49, +28.378,    -0.5, +1086.0,  +200.0,    +8.0
1698669840, +3.49, +28.370,    -0.5, +1068.0,  +184.0,   +60.0
1698670440, +3.49, +28.370,    -0.5, +1105.0,  +220.0,   -52.0
1698671040, +3.49, +28.378,    -0.4, +1104.0,  +220.0,   -52.0
1698671640, +3.49, +28.378,    -0.4, +1105.0,  +224.0,   -64.0
1698672240, +3.49, +28.378,    -0.3, +1097.0,  +216.0,   -32.0
1698672840, +3.49, +28.378,    -0.4, +1080.0,  +193.0,   +28.0
1698673440, +3.49, +28.370,    -0.3, +1094.0,  +207.0,   -12.0
1698674040, +3.49, +28.370,    -0.3, +1104.0,  +220.0,   -58.0
1698674640, +3.49, +28.370,    -0.4, +1084.0,  +200.0,   +16.0
1698675240, +3.49, +28.370,    -0.4, +1120.0,  +216.0,   -96.0
1698675840, +3.49, +28.378,    -0.3, +1113.0,  +224.0,   -90.0
1698676440, +3.49, +28.378,    -0.4, +1103.0,  +220.0,   -57.0
1698677040, +3.49, +28.370,    -0.3, +1107.0,  +224.0,   -64.0
1698677640, +3.49, +28.370,    -0.3, +1055.0,  +177.0,   +78.0
1698678240, +3.49, +28.370,    -0.4, +1080.0,  +195.0,   +24.0
1698678840, +3.49, +28.370,    -0.4, +1095.0,  +208.0,   -12.0
1698679440, +3.49, +28.361,    -0.3, +1112.0,  +224.0,   -77.0
1698680040, +3.49, +28.370,    -0.3, +1113.0,  +224.0,   -84.0
1698680640, +3.49, +28.370,    -0.4, +1120.0,  +192.0,   -64.0
1698681240, +3.49, +28.361,    -0.4, +1104.0,  +216.0,   -48.0
1698681840, +3.49, +28.361,    -0.3, +1107.0,  +224.0,   -64.0
1698682440, +3.49, +28.361,    -0.5, +1104.0,  +217.0,   -58.0
1698683040, +3.49, +28.370,    -0.3, +1112.0,  +224.0,   -80.0
1698683640, +3.49, +28.361,    -0.3, +1075.0,  +192.0,   +35.0
1698684240, +3.49, +28.361,    -0.2, +1103.0,  +217.0,   -50.0
1698684840, +3.49, +28.370,    +0.3, +1084.0,  +198.0,   +16.0
1698685440, +3.49, +28.361,    +1.1, +1112.0,  +224.0,   -84.0
1698686040, +3.49, +28.361,    +1.6, +1102.0,  +216.0,   -40.0
1698686640, +3.49, +28.361,    +2.6, +1094.0,  +208.0,   -20.0
1698687240, +3.49, +28.353,    +3.8, +1057.0,  +182.0,   +72.0
1698687840, +3.49, +28.353,    +5.0, +1118.0,  +217.0,   -96.0
1698688440, +3.49, +28.345,    +4.6, +1107.0,  +224.0,   -64.0
1698689040, +3.49, +28.337,    +3.8, +1112.0,  +224.0,   -72.0
1698689640, +3.49, +28.353,    +3.7, +1104.0,  +216.0,   -52.0
1698690240, +3.49, +28.345,    +4.3, +1070.0,  +184.0,   +56.0
1698690840, +3.49, +28.345,    +7.8, +1111.0,  +224.0,   -72.0
1698691440, +3.49, +28.345,   +11.6, +1063.0,  +180.0,   +68.0
1698692040, +3.49, +28.353,   +10.1, +1103.0,  +220.0,   -48.0
1698692640, +3.49, +28.329,   +10.5, +1112.0,  +224.0,   -76.0
1698693240, +3.49, +28.337,   +16.7, +1100.0,  +216.0,   -36.0
1698693840, +3.49, +28.329,   +13.5, +1094.0,  +211.0,   -16.0
1698694440, +3.49, +28.337,   +38.4, +1063.0,  +182.0,   +68.0
1698695040, +3.49, +28.320,   +28.5, +1068.0,  +185.0,   +56.0
1698695640, +3.49, +28.337,   +34.0, +1104.0,  +216.0,   -48.0
1698696240, +3.49, +28.337,   +45.8, +1068.0,  +188.0,   +56.0
1698696840, +3.49, +28.329,   +20.5, +1088.0,  +204.0,    +6.0
1698697440, +3.49, +28.329,   +78.9, +1062.0,  +184.0,   +67.0
1698698040, +3.49, +28.329,  +104.4, +1107.0,  +224.0,   -68.0
1698698640, +3.49, +28.345,   +80.4, +1104.0,  +220.0,   -56.0
1698699240, +3.49, +28.345,   +49.7, +1107.0,  +224.0,   -64.0
1698699840, +3.49, +28.345,  +105.9, +1072.0,  +184.0,   +52.0
1698700440, +3.49, +28.353,   +98.0, +1070.0,  +185.0,   +51.0
1698701040, +3.49, +28.345,   +44.2, +1088.0,  +207.0,    +0.0
1698701640, +3.49, +28.337,  +118.0, +1100.0,  +212.0,   -32.0
1698702240, +3.49, +28.345,  +138.1, +1068.0,  +184.0,   +51.0
1698702840, +3.49, +28.345,   +95.9, +1056.0,  +176.0,   +78.0
1698703440, +3.49, +28.337,  +148.9, +1062.0,  +182.0,   +64.0
