7530-458116
OS REV: 1.08 Sensor Cal: 1657263600 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1675680840, +3.52, +28.877,    -0.3, +1088.0,  +296.0,  -148.0
1675681440, +3.52, +28.746,    -0.4, +1080.0,  +248.0,   -87.0
1675682040, +3.52, +28.599,    -0.4,  +984.0,  +230.0,   +64.0
1675682640, +3.53, +28.730,    -0.3,  +984.0,  +230.0,   +63.0
1675683240, +3.52, +28.738,    -0.5, +1081.0,  +260.0,   -98.0
1675683840, +3.52, +28.656,    -0.3,  +985.0,  +230.0,   +64.0
1675684440, +3.52, +28.770,    -0.4, +1086.0,  +296.0,  -148.0
1675685040, +3.52, +28.828,    -0.4, +1088.0,  +296.0,  -148.0
1675685640, +3.52, +28.868,    -0.4, +1086.0,  +300.0,  -144.0
1675686240, +3.52, +28.901,    -0.4, +1080.0,  +259.0,   -83.0
1675686840, +3.52, +28.901,    -0.4, +1075.0,  +294.0,  -104.0
1675687440, +3.52, +28.909,    -0.4, +1072.0,  +294.0,  -100.0
1675688040, +3.53, +28.909,    -0.4, +1080.0,  +304.0,  -136.0
1675688640, +3.52, +28.901,    -0.4, +1087.0,  +294.0,  -152.0
1675689240, +3.52, +28.909,    -0.4, +1078.0,  +300.0,  -124.0
1675689840, +3.52, +28.917,    -0.3, +1086.0,  +297.0,  -152.0
1675690440, +3.53, +28.909,    -0.5, +1075.0,  +296.0,  -120.0
1675691040, +3.52, +28.917,    -0.4, +1075.0,  +296.0,  -112.0
1675691640, +3.52, +28.917,    -0.4, +1075.0,  +295.0,  -106.0
1675692240, +3.52, +28.926,    -0.4, +1087.0,  +296.0,  -144.0
1675692840, +3.52, +28.917,    -0.4, +1075.0,  +296.0,  -109.0
1675693440, +3.52, +28.909,    -0.3, +1081.0,  +300.0,  -144.0
1675694040, +3.52, +28.917,    -0.3, +1087.0,  +276.0,  -128.0
1675694640, +3.52, +28.909,    -0.5, +1084.0,  +300.0,  -144.0
1675695240, +3.52, +28.909,    -0.3, +1086.0,  +300.0,  -152.0
1675695840, +3.52, +28.909,    -0.4, +1084.0,  +288.0,  -144.0
1675696440, +3.52, +28.926,    -0.5, +1086.0,  +296.0,  -148.0
1675697040, +3.52, +28.917,    -0.4, +1086.0,  +280.0,  -128.0
1675697640, +3.52, +28.926,    -0.3, +1087.0,  +291.0,  -148.0
1675698240, +3.52, +28.917,    -0.5, +1076.0,  +300.0,  -112.0
1675698840, +3.53, +28.909,    -0.5,  +983.0,  +227.0,   +64.0
1675699440, +3.52, +28.803,    -0.5, +1086.0,  +300.0,  -152.0
1675700040, +3.52, +28.509,    -0.3,  +985.0,  +231.0,   +62.0
1675700640, +3.52, +28.501,    -0.3,  +985.0,  +230.0,   +62.0
1675701240, +3.52, +28.492,    -0.4,  +984.0,  +227.0,   +64.0
1675701840, +3.52, +28.484,    -0.4,  +988.0,  +230.0,   +60.0
1675702440, +3.52, +28.550,    -0.3,  +985.0,  +228.0,   +62.0
1675703040, +3.52, +28.607,    -0.4,  +984.0,  +230.0,   +64.0
1675703640, +3.52, +28.664,    +0.1,  +983.0,  +227.0,   +64.0
1675704240, +3.52, +28.689,    +1.2, +1088.0,  +286.0,  -144.0
1675704840, +3.52, +28.730,    +2.9, +1087.0,  +278.0,  -128.0
1675705440, +3.52, +28.779,    +4.4, +1086.0,  +284.0,  -136.0
1675706040, +3.52, +28.811,    +5.8, +1084.0,  +268.0,  -120.0
