7530-458116
OS REV: 1.08 Sensor Cal: 1657263600 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1688730840, +3.50, +28.533,    -0.5, +1038.0,  +214.0,   +28.0
1688731440, +3.50, +28.533,    -0.5, +1036.0,  +214.0,   +32.0
1688732040, +3.50, +28.525,    -0.5, +1039.0,  +216.0,   +24.0
1688732640, +3.50, +28.533,    -0.4, +1040.0,  +216.0,   +22.0
1688733240, +3.50, +28.525,    -0.4, +1036.0,  +214.0,   +30.0
1688733840, +3.50, +28.533,    -0.3, +1039.0,  +216.0,   +22.0
1688734440, +3.50, +28.525,    -0.3, +1038.0,  +216.0,   +24.0
1688735040, +3.50, +28.525,    -0.4, +1040.0,  +216.0,   +24.0
1688735640, +3.50, +28.517,    -0.5, +1038.0,  +216.0,   +28.0
1688736240, +3.50, +28.501,    -0.5, +1038.0,  +214.0,   +24.0
1688736840, +3.50, +28.501,    -0.4, +1040.0,  +214.0,   +28.0
1688737440, +3.50, +28.492,    -0.3, +1039.0,  +216.0,   +24.0
1688738040, +3.50, +28.492,    -0.3, +1039.0,  +216.0,   +24.0
1688738640, +3.50, +28.501,    -0.4, +1036.0,  +216.0,   +30.0
1688739240, +3.50, +28.501,    -0.4, +1039.0,  +216.0,   +24.0
1688739840, +3.50, +28.509,    -0.4, +1039.0,  +216.0,   +24.0
1688740440, +3.50, +28.525,    -0.3, +1039.0,  +214.0,   +30.0
1688741040, +3.50, +28.525,    -0.4, +1036.0,  +212.0,   +32.0
1688741640, +3.50, +28.533,    -0.4, +1041.0,  +216.0,   +16.0
1688742240, +3.50, +28.525,    -0.4, +1043.0,  +220.0,   +14.0
1688742840, +3.50, +28.517,    -0.4, +1036.0,  +214.0,   +24.0
1688743440, +3.50, +28.525,    -0.4, +1038.0,  +216.0,   +28.0
1688744040, +3.50, +28.517,    -0.4, +1040.0,  +220.0,   +16.0
1688744640, +3.50, +28.509,    -0.4, +1036.0,  +216.0,   +24.0
1688745240, +3.50, +28.492,    -0.5, +1040.0,  +216.0,   +24.0
1688745840, +3.50, +28.501,    -0.4, +1038.0,  +214.0,   +28.0
1688746440, +3.50, +28.501,    -0.3, +1039.0,  +216.0,   +24.0
1688747040, +3.50, +28.402,    -0.3, +1040.0,  +216.0,   +20.0
1688747640, +3.50, +28.156,    -0.2, +1043.0,  +216.0,   +16.0
1688748240, +3.50, +28.288,    -0.4, +1039.0,  +217.0,   +20.0
1688748840, +3.50, +28.353,    -0.4, +1040.0,  +216.0,   +19.0
1688749440, +3.50, +28.361,    -0.4, +1040.0,  +216.0,   +18.0
1688750040, +3.50, +28.411,    -0.4, +1039.0,  +216.0,   +24.0
1688750640, +3.50, +28.460,    -0.3, +1036.0,  +216.0,   +28.0
1688751240, +3.50, +28.468,    -0.3, +1040.0,  +216.0,   +19.0
1688751840, +3.50, +28.402,    -0.3, +1040.0,  +216.0,   +19.0
1688752440, +3.50, +28.378,    +0.2, +1040.0,  +216.0,   +16.0
1688753040, +3.50, +28.386,    +1.1, +1038.0,  +216.0,   +24.0
1688753640, +3.50, +28.411,    +1.6, +1039.0,  +216.0,   +22.0
1688754240, +3.50, +28.443,    +2.3, +1040.0,  +216.0,   +24.0
1688754840, +3.50, +28.460,    +4.3, +1040.0,  +216.0,   +24.0
1688755440, +3.50, +28.443,    +3.3, +1038.0,  +216.0,   +24.0
1688756040, +3.50, +28.468,    +2.9, +1040.0,  +216.0,   +16.0
1688756640, +3.50, +28.468,    +5.1, +1039.0,  +216.0,   +24.0
1688757240, +3.50, +28.460,   +14.5, +1036.0,  +216.0,   +24.0
1688757840, +3.50, +28.468,   +11.6, +1039.0,  +216.0,   +24.0
1688758440, +3.50, +28.476,    +9.5, +1036.0,  +214.0,   +28.0
1688759040, +3.50, +28.484,   +13.7, +1039.0,  +216.0,   +22.0
1688759640, +3.50, +28.476,   +14.8, +1039.0,  +220.0,   +24.0
1688760240, +3.50, +28.443,   +24.0, +1039.0,  +216.0,   +24.0
1688760840, +3.50, +28.443,   +20.7, +1039.0,  +216.0,   +24.0
1688761440, +3.50, +28.468,   +15.6, +1040.0,  +216.0,   +24.0
1688762040, +3.50, +28.468,   +15.6, +1039.0,  +217.0,   +24.0
1688762640, +3.50, +28.468,   +25.1, +1038.0,  +216.0,   +30.0
1688763240, +3.50, +28.468,   +24.2, +1039.0,  +217.0,   +19.0
1688763840, +3.50, +28.468,   +13.9, +1038.0,  +216.0,   +24.0
1688764440, +3.50, +28.476,   +47.3, +1036.0,  +216.0,   +24.0
1688765040, +3.50, +28.468,   +30.5, +1038.0,  +216.0,   +28.0
1688765640, +3.50, +28.452,   +17.8, +1039.0,  +216.0,   +24.0
1688766240, +3.50, +28.435,   +44.6, +1040.0,  +216.0,   +20.0
1688766840, +3.50, +28.460,   +41.2, +1039.0,  +216.0,   +24.0
1688767440, +3.50, +28.460,   +36.2, +1040.0,  +216.0,   +24.0
1688768040, +3.50, +28.468,   +40.7, +1040.0,  +216.0,   +22.0
1688768640, +3.50, +28.476,   +55.1, +1039.0,  +216.0,   +19.0
1688769240, +3.50, +28.468,   +65.0, +1040.0,  +216.0,   +20.0
1688769840, +3.50, +28.476,   +19.9, +1039.0,  +216.0,   +24.0
1688770440, +3.50, +28.468,   +91.9, +1039.0,  +216.0,   +24.0
1688771040, +3.50, +28.476,   +16.1, +1039.0,  +216.0,   +19.0
