7530-458116
OS REV: 1.08 Sensor Cal: 1657263600 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1696807800, +3.47, +28.132,   +66.9, +1097.0,  +214.0,   -40.0
1696808400, +3.47, +28.124,  +186.5, +1105.0,  +224.0,   -64.0
1696809000, +3.47, +28.124,   +40.4, +1052.0,  +176.0,   +76.0
1696809600, +3.47, +28.132,   +39.6, +1030.0,  +168.0,   +96.0
1696810200, +3.47, +28.124,   +65.3, +1024.0,  +166.0,   +97.0
1696810800, +3.47, +28.124,   +70.0, +1011.0,  +160.0,   +99.0
1696811400, +3.47, +28.140,  +147.5, +1039.0,  +172.0,   +88.0
1696812000, +3.47, +28.140,  +101.5, +1049.0,  +179.0,   +76.0
1696812600, +3.47, +28.140,  +119.9, +1016.0,  +163.0,   +99.0
1696813200, +3.47, +28.140,  +154.9, +1014.0,  +163.0,  +100.0
1696813800, +3.47, +28.156,  +153.3, +1116.0,  +199.0,   -80.0
1696814400, +3.47, +28.156,  +166.8, +1116.0,  +184.0,   -63.0
1696815000, +3.48, +28.156,   +76.1, +1115.0,  +184.0,   -58.0
1696815600, +3.48, +28.148,  +141.0, +1040.0,  +174.0,   +88.0
1696816200, +3.48, +28.140,   +76.1, +1095.0,  +212.0,   -29.0
1696816800, +3.48, +28.148,   +48.8, +1055.0,  +182.0,   +71.0
1696817400, +3.48, +28.140,  +112.3, +1038.0,  +172.0,   +96.0
1696818000, +3.48, +28.132,  +109.7, +1040.0,  +176.0,   +88.0
1696818600, +3.48, +28.140,   +87.5, +1116.0,  +226.0,  -100.0
1696819200, +3.48, +28.132,   +85.6, +1008.0,  +160.0,   +96.0
1696819800, +3.48, +28.132,   +22.2, +1027.0,  +167.0,   +96.0
1696820400, +3.48, +28.124,   +24.2, +1027.0,  +168.0,   +94.0
1696821000, +3.48, +28.132,   +22.5, +1015.0,  +164.0,  +100.0
1696821600, +3.48, +28.132,   +12.9, +1011.0,  +163.0,   +99.0
1696822200, +3.48, +28.132,   +42.6, +1016.0,  +163.0,   +99.0
1696822800, +3.48, +28.124,   +34.5, +1120.0,  +216.0,  -100.0
1696823400, +3.48, +28.140,   +23.0, +1118.0,  +212.0,   -96.0
1696824000, +3.48, +28.132,   +13.1, +1016.0,  +166.0,   +96.0
1696824600, +3.48, +28.132,   +14.3, +1116.0,  +200.0,   -80.0
1696825200, +3.48, +28.140,   +12.8, +1015.0,  +163.0,   +99.0
1696825800, +3.48, +28.115,    +8.3, +1120.0,  +208.0,   -96.0
1696826400, +3.48, +28.132,    +4.5, +1120.0,  +211.0,   -96.0
1696827000, +3.48, +28.148,    +3.6, +1016.0,  +167.0,   +96.0
1696827600, +3.48, +28.140,    +1.2, +1009.0,  +160.0,   +99.0
1696828200, +3.48, +28.156,    +0.8, +1120.0,  +198.0,   -80.0
1696828800, +3.48, +28.140,    -0.0, +1012.0,  +160.0,  +100.0
1696829400, +3.48, +28.156,    -0.4, +1014.0,  +160.0,   +96.0
1696830000, +3.48, +28.148,    -0.3, +1008.0,  +161.0,   +96.0
1696830600, +3.48, +28.148,    -0.4, +1008.0,  +160.0,   +96.0
1696831200, +3.48, +28.115,    -0.3, +1120.0,  +196.0,   -80.0
1696831800, +3.48, +28.115,    -0.4, +1008.0,  +163.0,   +96.0
1696832400, +3.49, +28.115,    -0.4, +1022.0,  +163.0,   +97.0
1696833000, +3.49, +28.132,    -0.5, +1120.0,  +206.0,   -90.0
1696833600, +3.49, +28.140,    -0.3, +1112.0,  +228.0,   -96.0
1696834200, +3.49, +28.156,    -0.3, +1116.0,  +208.0,   -93.0
1696834800, +3.49, +28.156,    -0.3, +1120.0,  +216.0,  -104.0
1696835400, +3.49, +28.148,    -0.3, +1116.0,  +224.0,  -104.0
1696836000, +3.49, +28.124,    -0.3, +1120.0,  +208.0,   -96.0
1696836600, +3.49, +28.115,    -0.4, +1120.0,  +224.0,  -104.0
1696837200, +3.49, +28.115,    -0.4, +1011.0,  +160.0,   +96.0
1696837800, +3.49, +28.107,    -0.3, +1118.0,  +184.0,   -57.0
1696838400, +3.49, +28.132,    -0.4, +1113.0,  +184.0,   -53.0
1696839000, +3.49, +28.140,    -0.4, +1120.0,  +224.0,  -100.0
1696839600, +3.49, +28.140,    -0.4, +1011.0,  +160.0,   +99.0
1696840200, +3.49, +28.148,    -0.4, +1011.0,  +163.0,   +97.0
1696840800, +3.49, +28.140,    -0.3, +1118.0,  +198.0,   -80.0
1696841400, +3.49, +28.148,    -0.3, +1110.0,  +180.0,   -33.0
1696842000, +3.49, +28.140,    -0.4, +1008.0,  +163.0,   +96.0
1696842600, +3.49, +28.140,    -0.4, +1118.0,  +196.0,   -77.0
1696843200, +3.49, +28.115,    -0.4, +1120.0,  +224.0,  -104.0
1696843800, +3.49, +28.115,    -0.5, +1008.0,  +161.0,   +96.0
1696844400, +3.49, +28.132,    -0.3, +1016.0,  +164.0,  +102.0
1696845000, +3.49, +28.132,    -0.4, +1120.0,  +224.0,  -104.0
1696845600, +3.49, +28.115,    -0.4, +1116.0,  +196.0,   -77.0
1696846200, +3.49, +28.124,    -0.4, +1009.0,  +160.0,   +99.0
1696846800, +3.49, +28.124,    -0.5, +1008.0,  +160.0,   +99.0
1696847400, +3.49, +28.115,    -0.5, +1120.0,  +199.0,   -80.0
1696848000, +3.49, +28.115,    -0.4, +1118.0,  +216.0,  -100.0
1696848600, +3.49, +28.115,    -0.4, +1120.0,  +224.0,  -104.0
1696849200, +3.49, +28.107,    -0.4, +1113.0,  +227.0,  -100.0
1696849800, +3.49, +28.107,    -0.4, +1009.0,  +160.0,   +99.0
1696850400, +3.49, +28.115,    -0.3, +1025.0,  +168.0,   +96.0
1696851000, +3.49, +28.107,    -0.4, +1120.0,  +208.0,   -96.0
1696851600, +3.49, +28.107,    -0.5, +1014.0,  +160.0,   +96.0
1696852200, +3.49, +28.099,    -0.4, +1008.0,  +163.0,   +96.0
1696852800, +3.49, +28.083,    -0.5, +1027.0,  +168.0,   +96.0
1696853400, +3.49, +28.083,    -0.3, +1116.0,  +198.0,   -80.0
1696854000, +3.49, +28.091,    -0.4, +1120.0,  +214.0,   -98.0
1696854600, +3.49, +28.083,    -0.5, +1120.0,  +201.0,   -80.0
1696855200, +3.49, +28.091,    -0.4, +1008.0,  +160.0,   +96.0
1696855800, +3.49, +28.099,    -0.4, +1014.0,  +161.0,   +96.0
1696856400, +3.49, +28.107,    -0.2, +1008.0,  +160.0,   +97.0
1696857000, +3.49, +28.107,    -0.3, +1116.0,  +196.0,   -77.0
1696857600, +3.49, +28.091,    -0.4, +1116.0,  +204.0,   -80.0
1696858200, +3.49, +28.099,    -0.5, +1120.0,  +211.0,   -96.0
1696858800, +3.49, +28.107,    -0.4, +1118.0,  +208.0,   -96.0
1696859400, +3.49, +28.115,    -0.4, +1118.0,  +224.0,  -104.0
1696860000, +3.49, +28.115,    -0.4, +1120.0,  +196.0,   -80.0
1696860600, +3.49, +28.107,    -0.4, +1008.0,  +160.0,   +99.0
1696861200, +3.49, +28.115,    -0.5, +1118.0,  +220.0,   -98.0
1696861800, +3.49, +28.115,    -0.4, +1008.0,  +160.0,   +99.0
1696862400, +3.49, +28.115,    -0.3, +1011.0,  +161.0,   +96.0
1696863000, +3.49, +28.107,    -0.4, +1118.0,  +198.0,   -80.0
1696863600, +3.49, +28.107,    -0.3, +1011.0,  +160.0,   +96.0
1696864200, +3.49, +28.107,    -0.3, +1016.0,  +163.0,   +99.0
1696864800, +3.49, +28.115,    -0.3, +1016.0,  +163.0,   +97.0
1696865400, +3.49, +28.107,    -0.4, +1118.0,  +199.0,   -80.0
1696866000, +3.49, +28.115,    -0.3, +1012.0,  +163.0,   +99.0
1696866600, +3.49, +28.115,    -0.3, +1116.0,  +192.0,   -80.0
1696867200, +3.49, +28.115,    -0.4, +1116.0,  +192.0,   -72.0
1696867800, +3.49, +28.115,    -0.4, +1008.0,  +159.0,   +96.0
1696868400, +3.49, +28.115,    -0.3, +1009.0,  +160.0,   +99.0
1696869000, +3.49, +28.107,    -0.4, +1120.0,  +220.0,   -98.0
1696869600, +3.49, +28.124,    -0.3, +1008.0,  +161.0,   +96.0
1696870200, +3.49, +28.115,    -0.2, +1120.0,  +216.0,   -96.0
1696870800, +3.49, +28.115,    +0.1, +1120.0,  +216.0,  -100.0
1696871400, +3.49, +28.099,    +0.7, +1030.0,  +168.0,   +96.0
1696872000, +3.49, +28.099,    +2.6, +1116.0,  +192.0,   -72.0
1696872600, +3.49, +28.107,    +3.5, +1120.0,  +212.0,   -94.0
1696873200, +3.49, +28.107,    +5.1, +1116.0,  +224.0,  -104.0
1696873800, +3.49, +28.124,    +7.3, +1017.0,  +166.0,   +99.0
1696874400, +3.49, +28.115,    +6.7, +1014.0,  +160.0,   +99.0
1696875000, +3.49, +28.107,   +13.7, +1120.0,  +199.0,   -84.0
1696875600, +3.49, +28.115,   +12.6, +1008.0,  +163.0,   +99.0
1696876200, +3.49, +28.115,   +21.1, +1008.0,  +160.0,   +99.0
1696876800, +3.49, +28.132,   +20.6, +1112.0,  +180.0,   -25.0
1696877400, +3.49, +28.124,   +15.9, +1120.0,  +216.0,  -100.0
1696878000, +3.49, +28.124,   +21.2, +1008.0,  +160.0,   +96.0
1696878600, +3.49, +28.132,   +27.1, +1118.0,  +192.0,   -72.0
1696879200, +3.49, +28.132,   +18.0, +1116.0,  +192.0,   -72.0
1696879800, +3.49, +28.132,   +15.1, +1112.0,  +177.0,   -29.0
1696880400, +3.49, +28.132,   +37.1, +1020.0,  +166.0,  +100.0
1696881000, +3.49, +28.124,   +41.6, +1118.0,  +220.0,  -104.0
1696881600, +3.49, +28.124,   +38.8, +1118.0,  +216.0,  -100.0
1696882200, +3.49, +28.132,   +52.7, +1008.0,  +160.0,   +97.0
1696882800, +3.49, +28.132,   +50.8, +1112.0,  +175.0,   -25.0
1696883400, +3.49, +28.124,   +54.8, +1116.0,  +200.0,   -80.0
1696884000, +3.49, +28.124,   +57.0, +1118.0,  +214.0,   -96.0
1696884600, +3.49, +28.132,   +59.8, +1020.0,  +166.0,   +96.0
1696885200, +3.49, +28.124,   +20.2, +1112.0,  +184.0,   -52.0
1696885800, +3.49, +28.132,   +66.6, +1116.0,  +216.0,  -100.0
1696886400, +3.49, +28.132,   +76.5, +1120.0,  +216.0,  -100.0
1696887000, +3.49, +28.132,   +80.4, +1009.0,  +161.0,   +97.0
1696887600, +3.49, +28.140,   +99.7, +1120.0,  +192.0,   -76.0
1696888200, +3.49, +28.140,   +19.2, +1120.0,  +211.0,   -93.0
1696888800, +3.49, +28.140,  +109.0, +1116.0,  +206.0,   -88.0
1696889400, +3.49, +28.156,  +118.7, +1113.0,  +227.0,   -93.0
1696890000, +3.49, +28.148,  +103.0, +1120.0,  +208.0,   -96.0
1696890600, +3.49, +28.165,  +118.3, +1112.0,  +179.0,   -41.0
1696891200, +3.49, +28.165,   +35.7, +1120.0,  +216.0,   -96.0
1696891800, +3.49, +28.148,  +144.7, +1116.0,  +200.0,   -84.0
1696892400, +3.49, +28.181,   +67.7, +1008.0,  +160.0,   +97.0
1696893000, +3.49, +28.189,  +164.4, +1120.0,  +216.0,  -100.0
1696893600, +3.49, +28.197,  +170.4, +1120.0,  +208.0,   -96.0
1696894200, +3.49, +28.222,   +55.9, +1112.0,  +176.0,   -29.0
