7530-458116
OS REV: 1.08 Sensor Cal: 1657263600 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1697655780, +3.49, +28.017,   +11.3, +1116.0,  +224.0,  -100.0
1697656380, +3.49, +28.000,    +8.9, +1120.0,  +220.0,  -100.0
1697656980, +3.49, +28.009,   +13.1, +1116.0,  +224.0,   -96.0
1697657580, +3.49, +28.017,    +8.8, +1116.0,  +220.0,  -100.0
1697658180, +3.49, +28.033,   +20.8, +1120.0,  +224.0,  -104.0
1697658780, +3.49, +28.025,   +18.4, +1116.0,  +224.0,  -104.0
1697659380, +3.49, +28.025,   +26.5, +1120.0,  +224.0,   -98.0
1697659980, +3.49, +28.033,   +55.4, +1120.0,  +212.0,   -96.0
1697660580, +3.49, +28.042,   +63.4, +1116.0,  +224.0,  -100.0
1697661180, +3.49, +28.058,   +26.2, +1113.0,  +224.0,   -98.0
1697661780, +3.49, +28.058,   +23.5, +1116.0,  +227.0,  -100.0
1697662380, +3.49, +28.058,   +35.5, +1116.0,  +224.0,  -104.0
1697662980, +3.49, +28.058,   +33.6, +1116.0,  +224.0,   -96.0
1697663580, +3.49, +28.066,   +20.5, +1116.0,  +224.0,   -96.0
1697664180, +3.49, +28.066,   +28.4, +1118.0,  +224.0,  -104.0
1697664780, +3.49, +28.058,   +34.5, +1120.0,  +224.0,  -104.0
1697665380, +3.49, +28.066,   +23.9, +1120.0,  +220.0,  -100.0
1697665980, +3.49, +28.058,   +27.0, +1120.0,  +224.0,  -100.0
1697666580, +3.49, +28.058,   +37.3, +1118.0,  +216.0,   -96.0
1697667180, +3.49, +28.050,   +25.8, +1116.0,  +224.0,  -100.0
1697667780, +3.49, +28.058,   +23.3, +1116.0,  +226.0,   -98.0
1697668380, +3.49, +28.066,   +18.5, +1115.0,  +224.0,  -100.0
1697668980, +3.49, +28.074,   +18.1, +1116.0,  +227.0,   -96.0
1697669580, +3.49, +28.074,   +24.8, +1115.0,  +227.0,   -96.0
1697670180, +3.49, +28.074,   +34.3, +1120.0,  +224.0,  -104.0
1697670780, +3.49, +28.074,   +22.4, +1118.0,  +200.0,   -80.0
1697671380, +3.49, +28.074,   +34.5, +1116.0,  +224.0,  -100.0
1697671980, +3.49, +28.083,   +26.4, +1118.0,  +224.0,  -100.0
1697672580, +3.49, +28.091,   +87.4, +1118.0,  +224.0,  -100.0
1697673180, +3.49, +28.091,   +39.0, +1116.0,  +227.0,   -96.0
1697673780, +3.49, +28.099,   +24.0, +1110.0,  +227.0,   -80.0
1697674380, +3.49, +28.099,   +21.6, +1112.0,  +227.0,   -96.0
1697674980, +3.49, +28.099,   +27.1, +1116.0,  +224.0,   -96.0
1697675580, +3.49, +28.107,   +40.7, +1110.0,  +224.0,   -74.0
1697676180, +3.49, +28.099,   +57.5, +1116.0,  +224.0,   -92.0
1697676780, +3.49, +28.115,   +47.5, +1116.0,  +224.0,   -96.0
1697677380, +3.49, +28.107,    +7.0, +1120.0,  +211.0,   -96.0
1697677980, +3.49, +28.115,   +19.3, +1113.0,  +224.0,   -96.0
1697678580, +3.49, +28.124,   +14.0, +1118.0,  +224.0,  -100.0
1697679180, +3.49, +28.124,   +21.7, +1108.0,  +226.0,   -77.0
1697679780, +3.49, +28.115,   +31.0, +1116.0,  +224.0,   -96.0
1697680380, +3.49, +28.115,   +86.6, +1108.0,  +224.0,   -72.0
1697680980, +3.49, +28.124,   +16.1, +1111.0,  +227.0,   -84.0
1697681580, +3.49, +28.132,   +19.3, +1110.0,  +224.0,   -80.0
1697682180, +3.49, +28.132,   +18.8, +1113.0,  +224.0,   -96.0
1697682780, +3.49, +28.115,   +10.1, +1110.0,  +225.0,   -80.0
1697683380, +3.49, +28.124,   +11.8, +1112.0,  +227.0,   -96.0
1697683980, +3.49, +28.115,   +11.9, +1116.0,  +224.0,  -100.0
1697684580, +3.49, +28.107,    +6.9, +1116.0,  +227.0,   -98.0
1697685180, +3.49, +28.099,    +2.2, +1113.0,  +228.0,   -96.0
1697685780, +3.49, +28.107,    +2.4, +1112.0,  +224.0,   -96.0
1697686380, +3.49, +28.099,    +3.9, +1110.0,  +224.0,   -80.0
1697686980, +3.49, +28.099,    +3.6, +1105.0,  +224.0,   -72.0
1697687580, +3.49, +28.107,    +3.0, +1116.0,  +225.0,   -96.0
1697688180, +3.49, +28.083,    +2.9, +1112.0,  +225.0,   -84.0
1697688780, +3.49, +28.099,    +3.1, +1103.0,  +224.0,   -60.0
1697689380, +3.49, +28.099,    +1.9, +1112.0,  +227.0,   -96.0
1697689980, +3.49, +28.083,    +1.8, +1112.0,  +224.0,   -89.0
1697690580, +3.49, +28.099,    +0.7, +1110.0,  +226.0,   -80.0
1697691180, +3.49, +28.115,    +0.8, +1112.0,  +227.0,   -88.0
1697691780, +3.49, +28.107,    +0.3, +1118.0,  +208.0,   -96.0
1697692380, +3.49, +28.124,    +0.0, +1112.0,  +225.0,   -93.0
1697692980, +3.49, +28.124,    -0.2, +1112.0,  +227.0,   -92.0
1697693580, +3.49, +28.132,    -0.3, +1118.0,  +224.0,  -104.0
1697694180, +3.49, +28.124,    -0.4, +1112.0,  +226.0,   -90.0
1697694780, +3.49, +28.132,    -0.4, +1120.0,  +214.0,   -96.0
1697695380, +3.49, +28.124,    -0.3, +1118.0,  +224.0,  -100.0
1697695980, +3.49, +28.132,    -0.3, +1116.0,  +224.0,   -96.0
1697696580, +3.49, +28.124,    -0.4, +1107.0,  +224.0,   -64.0
1697697180, +3.49, +28.124,    -0.4, +1116.0,  +227.0,   -96.0
1697697780, +3.49, +28.132,    -0.3, +1118.0,  +224.0,  -104.0
1697698380, +3.49, +28.132,    -0.4, +1112.0,  +226.0,   -96.0
1697698980, +3.49, +28.140,    -0.3, +1118.0,  +224.0,  -100.0
1697699580, +3.49, +28.124,    -0.4, +1113.0,  +224.0,   -96.0
1697700180, +3.49, +28.132,    -0.3, +1112.0,  +227.0,   -94.0
1697700780, +3.49, +28.132,    -0.3, +1120.0,  +216.0,   -96.0
1697701380, +3.49, +28.132,    -0.4, +1118.0,  +220.0,  -104.0
1697701980, +3.49, +28.124,    -0.4, +1120.0,  +224.0,  -100.0
1697702580, +3.49, +28.124,    -0.4, +1116.0,  +224.0,   -98.0
1697703180, +3.49, +28.107,    -0.4, +1116.0,  +224.0,  -100.0
1697703780, +3.49, +28.115,    -0.4, +1120.0,  +216.0,   -96.0
1697704380, +3.49, +28.115,    -0.4, +1118.0,  +224.0,  -104.0
1697704980, +3.49, +28.124,    -0.2, +1118.0,  +224.0,  -104.0
1697705580, +3.49, +28.115,    -0.5, +1116.0,  +224.0,  -100.0
1697706180, +3.49, +28.115,    -0.5, +1113.0,  +227.0,   -96.0
1697706780, +3.49, +28.107,    -0.4, +1120.0,  +216.0,   -96.0
1697707380, +3.49, +28.107,    -0.3, +1118.0,  +208.0,   -90.0
1697707980, +3.49, +28.107,    -0.4, +1118.0,  +224.0,  -104.0
1697708580, +3.49, +28.099,    -0.5, +1112.0,  +224.0,   -84.0
1697709180, +3.49, +28.091,    -0.4, +1116.0,  +224.0,   -96.0
1697709780, +3.49, +28.091,    -0.3, +1120.0,  +220.0,  -100.0
1697710380, +3.49, +28.091,    -0.6, +1118.0,  +224.0,  -100.0
1697710980, +3.49, +28.091,    -0.4, +1118.0,  +227.0,   -98.0
1697711580, +3.49, +28.066,    -0.3, +1112.0,  +224.0,   -84.0
1697712180, +3.49, +28.083,    -0.3, +1112.0,  +224.0,   -88.0
1697712780, +3.49, +28.074,    -0.4, +1116.0,  +225.0,  -100.0
1697713380, +3.49, +28.066,    -0.4, +1118.0,  +224.0,  -100.0
1697713980, +3.49, +28.074,    -0.2, +1115.0,  +224.0,   -96.0
1697714580, +3.49, +28.074,    -0.4, +1112.0,  +225.0,   -93.0
1697715180, +3.49, +28.074,    -0.5, +1105.0,  +224.0,   -64.0
1697715780, +3.49, +28.074,    -0.4, +1113.0,  +224.0,   -96.0
1697716380, +3.49, +28.074,    -0.4, +1110.0,  +225.0,   -80.0
1697716980, +3.49, +28.066,    -0.4, +1118.0,  +208.0,   -92.0
1697717580, +3.49, +28.066,    -0.4, +1113.0,  +225.0,   -92.0
1697718180, +3.49, +28.074,    -0.2, +1105.0,  +224.0,   -64.0
1697718780, +3.49, +28.074,    -0.3, +1112.0,  +227.0,   -90.0
1697719380, +3.49, +28.107,    -0.4, +1105.0,  +224.0,   -64.0
1697719980, +3.49, +28.124,    -0.4, +1116.0,  +224.0,  -100.0
1697720580, +3.49, +28.132,    -0.2, +1112.0,  +230.0,   -92.0
1697721180, +3.49, +28.148,    -0.5, +1012.0,  +160.0,   +99.0
1697721780, +3.49, +28.148,    -0.5, +1116.0,  +224.0,  -100.0
1697722380, +3.49, +28.148,    -0.4, +1008.0,  +160.0,  +100.0
1697722980, +3.49, +28.156,    -0.3, +1009.0,  +160.0,   +99.0
1697723580, +3.49, +28.156,    -0.4, +1112.0,  +227.0,   -88.0
1697724180, +3.49, +28.148,    -0.3, +1113.0,  +224.0,   -96.0
1697724780, +3.49, +28.140,    -0.5, +1111.0,  +224.0,   -80.0
1697725380, +3.49, +28.148,    -0.3, +1107.0,  +224.0,   -72.0
1697725980, +3.49, +28.148,    -0.3, +1112.0,  +226.0,   -88.0
1697726580, +3.49, +28.156,    -0.4, +1110.0,  +224.0,   -72.0
1697727180, +3.49, +28.165,    -0.5, +1110.0,  +224.0,   -72.0
1697727780, +3.49, +28.156,    -0.3, +1011.0,  +163.0,  +102.0
1697728380, +3.49, +28.156,    -0.5, +1110.0,  +224.0,   -80.0
1697728980, +3.49, +28.124,    -0.4, +1120.0,  +216.0,   -96.0
1697729580, +3.49, +28.099,    -0.4, +1115.0,  +225.0,   -96.0
1697730180, +3.49, +28.083,    -0.3, +1113.0,  +224.0,   -90.0
1697730780, +3.49, +28.091,    -0.4, +1112.0,  +230.0,   -96.0
1697731380, +3.49, +28.099,    -0.4, +1116.0,  +224.0,   -96.0
1697731980, +3.49, +28.099,    -0.4, +1116.0,  +224.0,  -104.0
1697732580, +3.49, +28.099,    -0.5, +1112.0,  +224.0,   -88.0
1697733180, +3.49, +28.115,    -0.5, +1116.0,  +227.0,   -94.0
1697733780, +3.49, +28.124,    -0.3, +1108.0,  +224.0,   -77.0
1697734380, +3.49, +28.124,    -0.1, +1112.0,  +225.0,   -96.0
1697734980, +3.49, +28.107,    +0.1, +1120.0,  +224.0,  -100.0
1697735580, +3.49, +28.099,    +0.9, +1120.0,  +224.0,  -100.0
1697736180, +3.49, +28.099,    +2.2, +1112.0,  +230.0,   -96.0
1697736780, +3.49, +28.091,    +2.9, +1118.0,  +224.0,  -104.0
1697737380, +3.49, +28.099,    +3.7, +1118.0,  +227.0,   -96.0
1697737980, +3.49, +28.099,    +5.8, +1118.0,  +224.0,  -100.0
1697738580, +3.49, +28.099,    +4.7, +1118.0,  +224.0,   -98.0
1697739180, +3.49, +28.083,    +4.0, +1112.0,  +225.0,   -88.0
1697739780, +3.49, +28.091,   +15.9, +1118.0,  +224.0,  -100.0
1697740380, +3.49, +28.091,   +17.7, +1112.0,  +227.0,   -92.0
1697740980, +3.49, +28.099,   +21.7, +1116.0,  +224.0,  -104.0
1697741580, +3.49, +28.066,   +17.5, +1116.0,  +227.0,   -96.0
1697742180, +3.49, +28.033,    +9.0, +1118.0,  +224.0,  -100.0
