7530-458116
OS REV: 1.08 Sensor Cal: 1657263600 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1697568780, +3.49, +28.148,    +4.9, +1118.0,  +224.0,  -100.0
1697569380, +3.49, +28.156,   +14.0, +1120.0,  +198.0,   -80.0
1697569980, +3.49, +28.156,   +15.0, +1112.0,  +228.0,   -88.0
1697570580, +3.49, +28.165,    +5.8, +1116.0,  +225.0,   -96.0
1697571180, +3.49, +28.165,   +12.2, +1120.0,  +224.0,  -100.0
1697571780, +3.49, +28.173,   +20.4, +1120.0,  +216.0,  -100.0
1697572380, +3.49, +28.165,   +15.6, +1120.0,  +216.0,  -100.0
1697572980, +3.49, +28.173,   +16.7, +1112.0,  +227.0,   -88.0
1697573580, +3.49, +28.173,   +25.1, +1116.0,  +225.0,  -100.0
1697574180, +3.49, +28.173,   +32.5, +1120.0,  +216.0,   -96.0
1697574780, +3.49, +28.173,   +46.5, +1120.0,  +212.0,   -96.0
1697575380, +3.49, +28.181,   +59.4, +1120.0,  +225.0,   -98.0
1697575980, +3.49, +28.181,   +55.8, +1116.0,  +224.0,  -100.0
1697576580, +3.49, +28.173,   +51.2, +1113.0,  +224.0,   -96.0
1697577180, +3.49, +28.181,   +50.0, +1110.0,  +228.0,   -80.0
1697577780, +3.49, +28.165,   +66.2, +1118.0,  +224.0,  -104.0
1697578380, +3.49, +28.173,   +36.2, +1116.0,  +224.0,   -96.0
1697578980, +3.49, +28.173,   +40.0, +1112.0,  +225.0,   -80.0
1697579580, +3.49, +28.189,   +56.0, +1116.0,  +227.0,   -96.0
1697580180, +3.49, +28.189,   +99.1, +1120.0,  +224.0,  -100.0
1697580780, +3.49, +28.189,  +127.0, +1120.0,  +198.0,   -84.0
1697581380, +3.49, +28.189,  +130.5, +1112.0,  +224.0,   -88.0
1697581980, +3.49, +28.197,   +94.2, +1116.0,  +228.0,  -100.0
1697582580, +3.49, +28.197,  +116.4, +1116.0,  +224.0,  -100.0
1697583180, +3.49, +28.189,   +78.8, +1120.0,  +224.0,  -100.0
1697583780, +3.49, +28.189,   +46.4, +1113.0,  +224.0,   -94.0
1697584380, +3.49, +28.189,   +57.3, +1115.0,  +227.0,   -96.0
1697584980, +3.49, +28.189,   +40.5, +1116.0,  +227.0,  -100.0
1697585580, +3.49, +28.189,   +61.3, +1110.0,  +227.0,   -80.0
1697586180, +3.49, +28.173,   +77.3, +1112.0,  +224.0,   -88.0
1697586780, +3.49, +28.181,   +43.2, +1116.0,  +224.0,  -100.0
1697587380, +3.49, +28.197,   +73.3, +1112.0,  +227.0,   -96.0
1697587980, +3.49, +28.197,  +121.3, +1120.0,  +224.0,  -104.0
1697588580, +3.49, +28.197,   +56.9, +1100.0,  +216.0,   -48.0
1697589180, +3.49, +28.189,  +118.6, +1120.0,  +216.0,  -100.0
1697589780, +3.49, +28.197,   +32.2, +1116.0,  +227.0,   -96.0
1697590380, +3.49, +28.197,   +47.0, +1112.0,  +225.0,   -92.0
1697590980, +3.49, +28.197,   +87.8, +1108.0,  +224.0,   -80.0
1697591580, +3.49, +28.197,  +105.6, +1120.0,  +224.0,  -100.0
1697592180, +3.49, +28.173,   +40.9, +1120.0,  +216.0,  -100.0
1697592780, +3.49, +28.156,   +91.1, +1108.0,  +224.0,   -80.0
1697593380, +3.49, +28.148,   +63.1, +1118.0,  +224.0,  -100.0
1697593980, +3.49, +28.140,   +58.1, +1112.0,  +227.0,   -94.0
