timestamp (ticks/UTC),temperature (C),humidity (%RH)
1739701585.585,28.57,51.25
1739701645.582,28.57,51.24
1739701705.566,28.56,51.23
1739701765.562,28.55,51.22
1739701825.542,28.54,51.21
1739701885.539,28.53,51.19
1739701945.523,28.52,51.19
1739702005.519,28.52,51.17
1739702065.500,28.51,51.16
1739702125.496,28.51,51.15
1739702185.480,28.50,51.13
1739702245.468,28.49,51.13
1739702305.457,28.49,51.11
1739702365.449,28.48,51.10
1739702425.437,28.47,51.10
1739702485.425,28.46,51.08
1739702545.414,28.46,51.07
1739702605.406,28.45,51.06
1739702665.394,28.44,51.04
1739702725.382,28.43,51.03
1739702785.371,28.42,51.02
1739702845.363,28.42,51.01
1739702905.351,28.41,50.99
1739702965.339,28.40,50.98
1739703025.328,28.39,50.97
1739703085.320,28.39,50.95
1739703145.308,28.38,50.94
1739703205.296,28.37,50.93
1739703265.285,28.36,50.91
1739703325.277,28.36,50.94
1739703385.265,28.38,50.97
1739703445.253,28.39,50.90
1739703505.242,28.38,50.86
1739703565.234,28.36,50.84
1739703625.222,28.34,50.82
1739703685.210,28.34,50.80
1739703745.199,28.33,50.78
1739703805.191,28.32,50.76
1739703865.179,28.31,50.74
1739703925.167,28.31,50.72
1739703985.156,28.30,50.70
1739704045.148,28.29,50.69
1739704105.136,28.29,50.67
1739704165.125,28.28,50.63
1739704225.113,28.29,50.59
1739704285.105,28.28,50.58
1739704345.093,28.27,50.58
1739704405.082,28.24,50.59
1739704465.070,28.22,50.61
1739704525.062,28.21,50.59
1739704585.050,28.21,50.58
1739704645.039,28.20,50.55
1739704705.027,28.19,50.55
1739704765.019,28.18,50.53
1739704825.007,28.18,50.52
1739704884.996,28.17,50.50
1739704944.984,28.17,50.48
1739705004.976,28.16,50.47
1739705064.964,28.15,50.45
1739705124.953,28.15,50.43
1739705184.941,28.14,50.42
1739705244.933,28.13,50.41
1739705304.921,28.12,50.39
1739705364.910,28.12,50.38
1739705424.898,28.11,50.37
1739705484.890,28.10,50.36
1739705544.878,28.10,50.34
1739705604.867,28.09,50.33
1739705664.855,28.08,50.31
1739705724.843,28.07,50.30
1739705784.835,28.07,50.28
1739705844.824,28.07,50.25
1739705904.812,28.06,50.22
1739705964.800,28.05,50.21
1739706024.792,28.04,50.20
1739706084.781,28.03,50.18
1739706144.769,28.03,50.17
1739706204.757,28.01,50.17
1739706264.750,27.99,50.19
1739706324.738,27.97,50.19
1739706384.726,27.96,50.18
1739706444.714,27.95,50.17
1739706504.707,27.95,50.15
1739706564.695,27.94,50.15
1739706624.683,27.93,50.13
1739706684.671,27.93,50.12
1739706744.664,27.92,50.11
1739706804.652,27.92,50.09
1739706864.640,27.91,50.08
1739706924.628,27.91,50.07
1739706984.621,27.93,50.23
1739707044.609,28.01,50.40
1739707104.597,28.12,50.56
1739707164.585,28.19,50.36
1739707224.578,28.20,50.12
1739707284.566,28.18,49.97
1739707344.554,28.16,49.87
1739707404.542,28.14,49.80
1739707464.535,28.12,49.76
1739707524.523,28.10,49.72
1739707584.511,28.07,49.70
1739707644.500,28.06,49.68
1739707704.492,28.04,49.67
1739707764.480,28.05,49.80
1739707824.468,28.10,49.91
1739707884.457,28.12,49.81
1739707944.449,28.12,49.69
1739708004.437,28.10,49.61
1739708064.425,28.08,49.56
1739708124.414,28.06,49.53
1739708184.406,28.04,49.51
1739708244.394,28.03,49.49
1739708304.382,28.01,49.48
1739708364.371,27.99,49.46
1739708424.363,27.97,49.45
1739708484.351,27.96,49.45
1739708544.339,27.95,49.43
1739708604.328,27.93,49.42
1739708664.320,27.92,49.42
1739708724.308,27.90,49.41
1739708784.296,27.89,49.40
1739708844.285,27.88,49.39
1739708904.277,27.87,49.39
1739708964.265,27.86,49.38
1739709024.253,27.85,49.36
1739709084.242,27.83,49.36
1739709144.234,27.82,49.36
1739709204.222,27.81,49.35
1739709264.210,27.80,49.34
1739709324.199,27.79,49.33
1739709384.191,27.78,49.33
1739709444.179,27.77,49.32
1739709504.167,27.76,49.32
1739709564.156,27.74,49.32
1739709624.148,27.73,49.31
1739709684.136,27.72,49.31
1739709744.125,27.71,49.30
1739709804.113,27.70,49.30
1739709864.105,27.69,49.29
1739709924.093,27.68,49.28
1739709984.082,27.67,49.28
1739710044.070,27.65,49.27
1739710104.058,27.64,49.27
1739710164.050,27.63,49.27
1739710224.039,27.62,49.27
1739710284.027,27.61,49.26
1739710344.015,27.60,49.26
1739710404.007,27.59,49.25
1739710463.996,27.58,49.24
1739710523.984,27.57,49.27
1739710583.972,27.59,49.34
1739710643.964,27.60,49.28
1739710703.953,27.59,49.24
1739710763.941,27.58,49.21
1739710823.929,27.57,49.19
1739710883.921,27.56,49.17
1739710943.910,27.55,49.16
1739711003.898,27.54,49.15
1739711063.886,27.53,49.14
1739711123.878,27.52,49.13
1739711183.867,27.51,49.12
1739711243.855,27.50,49.11
1739711303.843,27.49,49.11
1739711363.835,27.48,49.10
1739711423.824,27.47,49.09
1739711483.812,27.46,49.08
1739711543.808,27.46,49.08
1739711603.792,27.45,49.07
1739711663.785,27.44,49.06
1739711723.769,27.43,49.06
1739711783.765,27.42,49.05
1739711843.750,27.41,49.04
1739711903.742,27.40,49.03
1739711963.726,27.39,49.03
1739712023.722,27.39,49.02
1739712083.707,27.38,49.01
1739712143.699,27.37,49.00
1739712203.683,27.36,49.00
1739712263.679,27.36,48.99
1739712323.664,27.35,48.99
1739712383.652,27.34,48.98
1739712443.640,27.33,48.96
1739712503.628,27.33,48.96
1739712563.621,27.32,48.96
1739712623.609,27.31,48.95
1739712683.597,27.31,48.94
1739712743.585,27.30,48.93
1739712803.578,27.29,48.93
1739712863.566,27.29,48.92
1739712923.554,27.28,48.91
1739712983.542,27.27,48.90
1739713043.535,27.27,48.90
1739713103.523,27.26,48.89
1739713163.511,27.25,48.88
1739713223.500,27.25,48.87
1739713283.492,27.24,48.87
1739713343.480,27.23,48.87
1739713403.468,27.23,48.85
1739713463.457,27.22,48.84
1739713523.449,27.21,48.84
1739713583.437,27.21,48.82
1739713643.425,27.20,48.82
1739713703.414,27.20,48.81
1739713763.406,27.19,48.81
1739713823.394,27.18,48.80
1739713883.382,27.18,48.79
1739713943.371,27.17,48.78
1739714003.363,27.17,48.78
1739714063.351,27.16,48.77
1739714123.339,27.16,48.78
1739714183.328,27.18,48.93
1739714243.320,27.26,49.07
1739714303.308,27.34,49.14
1739714363.296,27.40,49.01
1739714423.285,27.41,48.82
1739714483.273,27.40,48.70
1739714543.265,27.38,48.62
1739714603.253,27.36,48.57
1739714663.242,27.33,48.53
1739714723.230,27.31,48.50
1739714783.222,27.30,48.49
1739714843.210,27.28,48.48
1739714903.199,27.26,48.48
1739714963.187,27.28,48.60
1739715023.179,27.32,48.69
1739715083.167,27.37,48.71
1739715143.156,27.39,48.62
1739715203.144,27.39,48.49
1739715263.136,27.37,48.41
1739715323.125,27.35,48.37
1739715383.113,27.33,48.33
1739715443.101,27.31,48.31
1739715503.093,27.29,48.30
1739715563.082,27.27,48.29
1739715623.070,27.26,48.28
1739715683.058,27.24,48.28
1739715743.050,27.25,48.40
1739715803.039,27.26,48.35
1739715863.027,27.26,48.30
1739715923.015,27.25,48.27
1739715983.007,27.23,48.25
1739716042.996,27.22,48.23
1739716102.984,27.20,48.23
1739716162.972,27.19,48.22
1739716222.964,27.18,48.21
1739716282.953,27.17,48.20
1739716342.941,27.16,48.20
1739716402.929,27.15,48.20
1739716462.921,27.14,48.20
1739716522.910,27.13,48.20
1739716582.898,27.13,48.19
1739716642.886,27.12,48.19
1739716702.878,27.11,48.19
1739716762.867,27.10,48.18
1739716822.855,27.09,48.18
1739716882.843,27.09,48.17
1739716942.835,27.08,48.17
1739717002.824,27.07,48.17
1739717062.812,27.07,48.17
1739717122.800,27.06,48.17
1739717182.792,27.06,48.16
1739717242.781,27.05,48.16
1739717302.769,27.05,48.15
1739717362.757,27.05,48.14
1739717422.750,27.04,48.14
1739717482.738,27.04,48.13
1739717542.726,27.04,48.12
1739717602.714,27.04,48.11
1739717662.707,27.03,48.11
1739717722.695,27.03,48.13
1739717782.683,27.06,48.26
1739717842.671,27.11,48.33
1739717902.664,27.16,48.35
1739717962.652,27.20,48.27
1739718022.640,27.20,48.15
1739718082.628,27.19,48.06
1739718142.621,27.18,48.01
1739718202.609,27.16,47.98
1739718262.597,27.15,47.96
1739718322.585,27.14,47.94
1739718382.578,27.12,47.93
1739718442.566,27.11,47.92
1739718502.554,27.10,47.92
1739718562.542,27.12,48.02
1739718622.535,27.14,47.98
1739718682.523,27.13,47.93
1739718742.511,27.12,47.89
1739718802.500,27.11,47.87
1739718862.488,27.10,47.86
1739718922.480,27.10,47.85
1739718982.468,27.09,47.84
1739719042.457,27.08,47.83
1739719102.445,27.07,47.83
1739719162.437,27.07,47.83
1739719222.425,27.06,47.82
1739719282.414,27.05,47.81
1739719342.402,27.05,47.80
1739719402.394,27.04,47.80
1739719462.382,27.04,47.79
1739719522.371,27.04,47.78
1739719582.359,27.04,47.77
1739719642.351,27.03,47.77
1739719702.339,27.02,47.77
1739719762.328,27.02,47.76
1739719822.316,27.01,47.76
1739719882.308,27.01,47.75
1739719942.296,27.01,47.74
1739720002.285,27.01,47.74
1739720062.273,27.00,47.73
1739720122.265,27.00,47.72
1739720182.253,26.99,47.71
1739720242.242,26.99,47.71
1739720302.230,26.99,47.71
1739720362.222,26.98,47.70
1739720422.210,26.98,47.69
1739720482.199,26.97,47.68
1739720542.187,26.97,47.68
1739720602.179,26.97,47.68
1739720662.167,26.96,47.67
1739720722.156,26.96,47.66
1739720782.144,26.96,47.65
1739720842.136,26.96,47.65
1739720902.125,26.96,47.64
1739720962.113,26.95,47.63
1739721022.101,26.95,47.62
1739721082.093,26.95,47.62
1739721142.082,26.95,47.62
1739721202.070,26.94,47.61
1739721262.058,26.94,47.60
1739721322.050,26.94,47.60
1739721382.039,26.97,47.78
1739721442.027,27.06,47.92
1739721502.015,27.10,47.76
1739721562.007,27.11,47.63
1739721621.996,27.10,47.55
1739721681.988,27.09,47.50
1739721741.972,27.08,47.46
1739721801.968,27.07,47.44
1739721861.953,27.05,47.41
1739721921.945,27.05,47.40
1739721981.929,27.03,47.38
1739722041.925,27.03,47.38
1739722101.910,27.02,47.37
1739722161.902,27.01,47.36
1739722221.886,27.00,47.35
1739722281.882,27.00,47.35
1739722341.867,26.99,47.34
1739722401.859,26.98,47.33
1739722461.843,26.98,47.33
1739722521.835,26.97,47.32
1739722581.824,26.97,47.31
1739722641.812,26.96,47.31
1739722701.800,26.95,47.31
1739722761.792,26.95,47.30
1739722821.781,26.94,47.29
1739722881.769,26.94,47.29
1739722941.757,26.93,47.28
1739723001.750,26.93,47.28
1739723061.738,26.93,47.27
1739723121.726,26.92,47.26
1739723181.714,26.92,47.26
1739723241.703,26.92,47.25
1739723301.695,26.91,47.25
1739723361.683,26.91,47.24
1739723421.671,26.91,47.23
1739723481.660,26.90,47.23
1739723541.652,26.90,47.22
1739723601.640,26.90,47.21
1739723661.628,26.89,47.21
1739723721.617,26.89,47.20
1739723781.609,26.89,47.19
1739723841.597,26.89,47.19
1739723901.585,26.89,47.19
1739723961.574,26.88,47.18
1739724021.566,26.88,47.17
1739724081.554,26.88,47.16
1739724141.542,26.88,47.16
1739724201.531,26.87,47.16
1739724261.523,26.87,47.14
1739724321.511,26.87,47.14
1739724381.500,26.87,47.13
1739724441.488,26.87,47.13
1739724501.480,26.86,47.11
1739724561.468,26.86,47.11
1739724621.457,26.86,47.10
1739724681.445,26.86,47.09
1739724741.437,26.86,47.08
1739724801.425,26.86,47.07
1739724861.414,26.85,47.07
1739724921.402,26.85,47.08
1739724981.394,26.88,47.15
1739725041.382,26.89,47.09
1739725101.371,26.89,47.05
1739725161.359,26.89,47.02
1739725221.351,26.89,47.00
1739725281.339,26.88,46.98
1739725341.328,26.87,46.98
1739725401.316,26.87,46.97
1739725461.308,26.86,46.95
1739725521.296,26.86,46.95
1739725581.285,26.86,46.95
1739725641.273,26.85,46.94
1739725701.265,26.85,46.93
1739725761.253,26.85,46.92
1739725821.242,26.84,46.92
1739725881.230,26.84,46.91
1739725941.222,26.84,46.90
1739726001.210,26.84,46.89
1739726061.199,26.84,46.89
1739726121.187,26.83,46.88
1739726181.179,26.83,46.87
1739726241.167,26.83,46.86
1739726301.156,26.83,46.86
1739726361.144,26.83,46.85
1739726421.136,26.83,46.84
1739726481.125,26.83,46.83
1739726541.113,26.83,46.83
1739726601.101,26.83,46.82
1739726661.093,26.83,46.81
1739726721.082,26.83,46.80
1739726781.070,26.83,46.80
1739726841.058,26.83,46.79
1739726901.050,26.83,46.78
1739726961.039,26.83,46.77
1739727021.027,26.84,46.77
1739727081.015,26.84,46.77
1739727141.007,26.84,46.76
1739727200.996,26.84,46.75
1739727260.984,26.85,46.74
1739727320.972,26.85,46.74
1739727380.964,26.86,46.73
1739727440.953,26.87,46.71
1739727500.941,26.88,46.71
1739727560.929,26.88,46.70
1739727620.917,26.89,46.70
1739727680.910,26.90,46.69
1739727740.898,26.90,46.69
1739727800.886,26.91,46.69
1739727860.875,26.92,46.68
1739727920.867,26.92,46.68
1739727980.855,26.93,46.67
1739728040.843,26.95,46.67
1739728100.832,26.95,46.67
1739728160.824,26.96,46.67
1739728220.812,26.97,46.66
1739728280.800,26.98,46.66
1739728340.789,26.99,46.65
1739728400.781,27.00,46.65
1739728460.769,27.02,46.64
1739728520.757,27.03,46.66
1739728580.746,27.07,46.80
1739728640.738,27.16,46.94
1739728700.726,27.24,46.91
1739728760.714,27.28,46.75
1739728820.703,27.30,46.65
1739728880.695,27.30,46.59
1739728940.683,27.31,46.54
1739729000.671,27.32,46.52
1739729060.660,27.32,46.50
1739729120.652,27.33,46.49
1739729180.640,27.34,46.49
1739729240.628,27.36,46.49
1739729300.617,27.37,46.48
1739729360.609,27.39,46.47
1739729420.597,27.40,46.47
1739729480.585,27.42,46.47
1739729540.574,27.44,46.47
1739729600.566,27.46,46.47
1739729660.554,27.48,46.47
1739729720.542,27.50,46.47
1739729780.531,27.52,46.47
1739729840.523,27.54,46.47
1739729900.511,27.57,46.47
1739729960.500,27.60,46.46
1739730020.488,27.63,46.46
1739730080.480,27.65,46.46
1739730140.468,27.68,46.46
1739730200.457,27.71,46.46
1739730260.445,27.73,46.46
1739730320.437,27.76,46.46
1739730380.425,27.79,46.46
1739730440.414,27.82,46.46
1739730500.402,27.86,46.46
1739730560.394,27.89,46.46
1739730620.382,27.92,46.46
1739730680.371,27.96,46.45
1739730740.359,27.99,46.45
1739730800.351,28.03,46.44
1739730860.339,28.06,46.44
1739730920.328,28.10,46.44
1739730980.316,28.14,46.43
1739731040.308,28.17,46.43
1739731100.296,28.21,46.43
1739731160.285,28.25,46.43
1739731220.273,28.29,46.42
1739731280.265,28.33,46.41
1739731340.253,28.38,46.40
1739731400.242,28.42,46.40
1739731460.230,28.46,46.40
1739731520.222,28.50,46.39
1739731580.210,28.54,46.37
1739731640.199,28.59,46.37
1739731700.187,28.63,46.37
1739731760.179,28.68,46.35
1739731820.171,28.72,46.34
1739731880.156,28.77,46.34
1739731940.152,28.81,46.32
1739732000.132,28.86,46.31
1739732060.128,28.91,46.31
1739732120.113,28.96,46.32
1739732180.109,29.04,46.46
1739732240.089,29.17,46.54
1739732300.085,29.25,46.40
1739732360.070,29.30,46.28
1739732420.066,29.35,46.21
1739732480.046,29.38,46.16
1739732540.042,29.42,46.13
1739732600.027,29.47,46.10
1739732660.015,29.50,46.07
1739732720.003,29.55,46.05
1739732779.996,29.59,46.03
1739732839.984,29.63,46.02
1739732899.972,29.68,46.00
1739732959.960,29.72,45.99
1739733019.953,29.76,45.97
1739733079.941,29.81,45.96
1739733139.929,29.86,45.94
1739733199.917,29.90,45.94
1739733259.910,29.95,45.92
1739733319.898,30.00,45.91
1739733379.886,30.05,45.89
1739733439.875,30.10,45.88
1739733499.867,30.15,45.86
1739733559.855,30.20,45.84
1739733619.843,30.26,45.82
1739733679.832,30.31,45.79
1739733739.824,30.36,45.78
1739733799.812,30.41,45.76
1739733859.800,30.47,45.74
1739733919.789,30.52,45.73
1739733979.781,30.57,45.71
1739734039.769,30.63,45.69
1739734099.757,30.68,45.68
1739734159.746,30.74,45.67
1739734219.738,30.80,45.65
1739734279.726,30.85,45.64
1739734339.714,30.91,45.61
1739734399.703,30.97,45.60
1739734459.695,31.03,45.58
1739734519.683,31.10,45.57
1739734579.671,31.16,45.55
1739734639.660,31.21,45.53
1739734699.652,31.27,45.51
1739734759.640,31.33,45.49
1739734819.628,31.38,45.46
1739734879.617,31.44,45.44
1739734939.609,31.50,45.41
1739734999.597,31.55,45.39
1739735059.585,31.61,45.36
1739735119.574,31.66,45.34
1739735179.566,31.71,45.30
1739735239.554,31.76,45.27
1739735299.542,31.80,45.24
1739735359.531,31.85,45.21
1739735419.523,31.90,45.18
1739735479.511,31.95,45.14
1739735539.500,31.99,45.11
1739735599.488,32.04,45.08
1739735659.480,32.09,45.04
1739735719.468,32.13,45.02
1739735779.457,32.21,45.09
1739735839.445,32.27,45.01
1739735899.437,32.32,44.93
1739735959.425,32.36,44.87
1739736019.414,32.40,44.82
1739736079.402,32.44,44.79
1739736139.394,32.48,44.75
1739736199.382,32.52,44.72
1739736259.371,32.56,44.69
1739736319.359,32.61,44.66
1739736379.351,32.65,44.64
1739736439.339,32.70,44.62
1739736499.328,32.74,44.60
1739736559.316,32.79,44.57
1739736619.304,32.84,44.55
1739736679.296,32.89,44.52
1739736739.285,32.95,44.49
1739736799.273,33.00,44.47
1739736859.261,33.06,44.45
1739736919.253,33.10,44.44
1739736979.242,33.15,44.43
1739737039.230,33.19,44.43
1739737099.218,33.25,44.45
1739737159.210,33.32,44.49
1739737219.199,33.41,44.57
1739737279.187,33.50,44.67
1739737339.175,33.61,44.79
1739737399.167,33.72,44.90
1739737459.156,33.85,45.00
1739737519.144,33.99,45.09
1739737579.132,34.15,45.17
1739737639.125,34.31,45.24
1739737699.113,34.48,45.32
1739737759.101,34.66,45.39
1739737819.089,34.85,45.45
1739737879.082,35.05,45.51
1739737939.070,35.25,45.56
1739737999.058,35.47,45.58
1739738059.046,35.68,45.55
1739738119.039,35.88,45.46
1739738179.027,36.07,45.32
1739738239.015,36.25,45.16
1739738299.003,36.43,44.98
1739738358.996,36.59,44.80
1739738418.984,36.74,44.61
1739738478.972,36.89,44.42
1739738538.960,37.02,44.23
1739738598.953,37.15,44.05
1739738658.941,37.27,43.88
1739738718.929,37.39,43.74
1739738778.917,37.52,43.62
1739738838.910,37.63,43.49
1739738898.898,37.72,43.37
1739738958.886,37.80,43.25
1739739018.875,37.89,43.15
1739739078.867,37.98,43.09
1739739138.855,38.09,43.02
1739739198.843,38.19,42.98
1739739258.832,38.31,43.01
1739739318.824,38.45,43.10
1739739378.812,38.65,43.29
1739739438.800,38.87,43.37
1739739498.789,39.08,43.46
1739739558.781,39.30,43.59
1739739618.769,39.52,43.69
1739739678.757,39.73,43.71
1739739738.746,39.93,43.69
1739739798.738,40.15,43.72
1739739858.726,40.38,43.76
