epoch,sensor,link,log type,data,SST
1739685584.60,3,DATA,SOFT2,1527,2679
1739685584.68,2,DATA,SOFT2,1622,2867
1739685585.04,1,DATA,SOFT2,2015,2871
1739685585.10,3,DATA,SOFT2,2027,2679
1739685585.18,2,DATA,SOFT2,2122,2867
1739685585.54,1,DATA,SOFT2,2515,2870
1739685585.60,3,DATA,SOFT2,2527,2679
1739685585.68,2,DATA,SOFT2,2622,2868
1739685643.61,1,DATA,SOFT2,600,2868
1739685643.68,3,DATA,SOFT2,616,2682
1739685643.76,2,DATA,SOFT2,637,2867
1739685644.11,1,DATA,SOFT2,1100,2869
1739685644.18,3,DATA,SOFT2,1116,2682
1739685644.26,2,DATA,SOFT2,1137,2867
1739685644.61,1,DATA,SOFT2,1600,2869
1739685644.68,3,DATA,SOFT2,1616,2682
1739685644.76,2,DATA,SOFT2,1637,2867
1739685645.11,1,DATA,SOFT2,2100,2868
1739685645.17,3,DATA,SOFT2,2116,2682
1739685645.26,2,DATA,SOFT2,2137,2867
1739685645.61,1,DATA,SOFT2,2600,2868
1739685645.67,3,DATA,SOFT2,2616,2682
1739685645.76,2,DATA,SOFT2,2637,2867
1739685703.62,3,DATA,SOFT2,553,2685
1739685703.64,1,DATA,SOFT2,602,2865
1739685703.70,2,DATA,SOFT2,641,2865
1739685704.12,3,DATA,SOFT2,1053,2685
1739685704.14,1,DATA,SOFT2,1102,2864
1739685704.20,2,DATA,SOFT2,1141,2865
1739685704.62,3,DATA,SOFT2,1553,2685
1739685704.64,1,DATA,SOFT2,1602,2865
1739685704.70,2,DATA,SOFT2,1641,2865
1739685705.12,3,DATA,SOFT2,2053,2685
1739685705.14,1,DATA,SOFT2,2102,2865
1739685705.20,2,DATA,SOFT2,2141,2865
1739685705.62,3,DATA,SOFT2,2553,2685
1739685705.64,1,DATA,SOFT2,2602,2865
1739685705.70,2,DATA,SOFT2,2641,2865
1739685763.57,2,DATA,SOFT2,522,2863
1739685763.66,1,DATA,SOFT2,645,2864
1739685763.70,3,DATA,SOFT2,624,2687
1739685764.07,2,DATA,SOFT2,1022,2862
1739685764.16,1,DATA,SOFT2,1145,2864
1739685764.20,3,DATA,SOFT2,1124,2687
1739685764.57,2,DATA,SOFT2,1522,2863
1739685764.66,1,DATA,SOFT2,1645,2864
1739685764.70,3,DATA,SOFT2,1624,2687
1739685765.07,2,DATA,SOFT2,2022,2863
1739685765.16,1,DATA,SOFT2,2145,2864
1739685765.19,3,DATA,SOFT2,2124,2687
1739685765.57,2,DATA,SOFT2,2522,2863
1739685765.66,1,DATA,SOFT2,2645,2863
1739685765.69,3,DATA,SOFT2,2624,2687
1739685823.67,1,DATA,SOFT2,654,2860
1739685823.70,3,DATA,SOFT2,624,2690
