GPS_Epoch_Time(s),lat(deg),lat(min*1e5),long(deg),long(min*1e5)
1739697901,-14,-2066932,-170,-4414343
1739697961,-14,-2066985,-170,-4414276
1739698021,-14,-2066834,-170,-4414277
1739698081,-14,-2067050,-170,-4414256
1739698141,-14,-2066978,-170,-4414254
1739698201,-14,-2067101,-170,-4414268
1739698261,-14,-2066947,-170,-4414264
1739698321,-14,-2066930,-170,-4414265
1739698381,-14,-2066986,-170,-4414334
1739698441,-14,-2066895,-170,-4414384
1739698501,-14,-2066893,-170,-4414394
1739698561,-14,-2066777,-170,-4414472
1739698621,-14,-2066834,-170,-4414484
1739698681,-14,-2066844,-170,-4414434
1739698741,-14,-2066721,-170,-4414457
1739698801,-14,-2066871,-170,-4414385
1739698861,-14,-2067017,-170,-4414355
1739698921,-14,-2066962,-170,-4414331
1739698981,-14,-2066877,-170,-4414342
1739699041,-14,-2066822,-170,-4414353
1739699101,-14,-2066826,-170,-4414246
1739699161,-14,-2066837,-170,-4414322
1739699221,-14,-2066787,-170,-4414348
1739699281,-14,-2066716,-170,-4414292
1739699341,-14,-2066758,-170,-4414239
1739699401,-14,-2066737,-170,-4414264
1739699461,-14,-2066680,-170,-4414346
1739699521,-14,-2066707,-170,-4414281
1739699581,-14,-2066684,-170,-4414315
1739699641,-14,-2066697,-170,-4414412
1739699701,-14,-2066790,-170,-4414374
1739699761,-14,-2067034,-170,-4414409
1739699821,-14,-2067055,-170,-4414334
1739699881,-14,-2066891,-170,-4414374
1739699941,-14,-2066757,-170,-4414378
1739700001,-14,-2066806,-170,-4414454
1739700061,-14,-2066911,-170,-4414426
1739700121,-14,-2066979,-170,-4414454
1739700181,-14,-2066964,-170,-4414575
1739700241,-14,-2067018,-170,-4414540
1739700301,-14,-2066990,-170,-4414503
1739700361,-14,-2067043,-170,-4414535
1739700421,-14,-2066982,-170,-4414558
1739700481,-14,-2066989,-170,-4414491
1739700541,-14,-2066799,-170,-4414440
1739700601,-14,-2066648,-170,-4414419
1739700661,-14,-2066889,-170,-4414487
1739700721,-14,-2066676,-170,-4414504
1739700781,-14,-2066777,-170,-4414497
1739700841,-14,-2066808,-170,-4414593
1739700901,-14,-2066831,-170,-4414593
1739700961,-14,-2067030,-170,-4414505
1739701021,-14,-2067097,-170,-4414485
1739701081,-14,-2066968,-170,-4414580
1739701141,-14,-2066857,-170,-4414540
1739701201,-14,-2066997,-170,-4414446
1739701261,-14,-2066982,-170,-4414521
1739701321,-14,-2067001,-170,-4414432
1739701381,-14,-2066878,-170,-4414345
1739701441,-14,-2067113,-170,-4414491
1739701501,-14,-2066988,-170,-4414603
1739701561,-14,-2067133,-170,-4414603
1739701621,-14,-2067243,-170,-4414586
1739701681,-14,-2067621,-170,-4414700
1739701741,-14,-2067381,-170,-4414586
1739701801,-14,-2067576,-170,-4414564
1739701861,-14,-2067284,-170,-4414551
1739701921,-14,-2067654,-170,-4414622
1739701981,-14,-2067640,-170,-4414498
1739702041,-14,-2067424,-170,-4414388
1739702101,-14,-2067491,-170,-4414451
1739702161,-14,-2067694,-170,-4414474
1739702221,-14,-2067684,-170,-4414461
1739702281,-14,-2067589,-170,-4414494
1739702341,-14,-2067633,-170,-4414588
1739702401,-14,-2067695,-170,-4414549
1739702461,-14,-2067406,-170,-4414588
1739702521,-14,-2067643,-170,-4414616
1739702581,-14,-2067457,-170,-4414581
1739702641,-14,-2067667,-170,-4414448
1739702701,-14,-2067575,-170,-4414360
1739702761,-14,-2067389,-170,-4414339
1739702821,-14,-2067458,-170,-4414431
1739702881,-14,-2067388,-170,-4414377
1739702941,-14,-2067233,-170,-4414371
1739703001,-14,-2067397,-170,-4414419
1739703061,-14,-2067373,-170,-4414416
1739703121,-14,-2067420,-170,-4414332
1739703181,-14,-2067350,-170,-4414305
1739703241,-14,-2067470,-170,-4414439
1739703301,-14,-2067406,-170,-4414504
1739703361,-14,-2067361,-170,-4414499
1739703421,-14,-2067396,-170,-4414517
1739703481,-14,-2067559,-170,-4414582
