epoch,link,log type,data
0,0,BSYS,4,INFO,Firmware SHA: 526A32BB
0.00,1,DATA,SOFT2,21521,2886
0.00,3,DATA,SOFT2,21554,2658
0.00,2,DATA,SOFT2,21622,2875
0.00,1,DATA,SOFT2,22021,2886
0.00,3,DATA,SOFT2,22054,2658
0.00,2,DATA,SOFT2,22122,2875
0.00,1,DATA,SOFT2,22521,2886
0.00,3,DATA,SOFT2,22554,2658
0.00,2,DATA,SOFT2,22622,2875
0.00,1,DATA,SOFT2,23021,2886
0.00,3,DATA,SOFT2,23054,2658
0.00,2,DATA,SOFT2,23122,2875
0.00,1,DATA,SOFT2,23521,2886
0.00,3,DATA,SOFT2,23554,2658
0.00,2,DATA,SOFT2,23622,2875
0.00,1,DATA,SOFT2,24021,2885
0.00,3,DATA,SOFT2,24054,2659
0.00,2,DATA,SOFT2,24122,2875
0.00,1,DATA,SOFT2,24521,2885
0.00,3,DATA,SOFT2,24554,2658
0.00,2,DATA,SOFT2,24622,2875
0.00,1,DATA,SOFT2,25021,2886
0.00,3,DATA,SOFT2,25054,2658
0.00,2,DATA,SOFT2,25122,2875
0.00,1,DATA,SOFT2,25521,2885
0.00,0,BSYS,27621,INFO,etmark 0
0.00,3,DATA,SOFT2,25554,2658
0.00,2,DATA,SOFT2,25622,2875
0.00,1,DATA,SOFT2,26021,2885
0.00,3,DATA,SOFT2,26054,2658
0.00,2,DATA,SOFT2,26122,2875
0.00,1,DATA,SOFT2,26521,2885
0.00,3,DATA,SOFT2,26554,2658
0.00,2,DATA,SOFT2,26622,2875
0.00,1,DATA,SOFT2,27021,2885
0.00,3,DATA,SOFT2,27054,2659
0.00,2,DATA,SOFT2,27122,2875
0.00,1,DATA,SOFT2,27521,2886
0.00,3,DATA,SOFT2,27554,2659
0.00,2,DATA,SOFT2,27622,2875
0.00,1,DATA,SOFT2,28021,2885
0.00,3,DATA,SOFT2,28054,2659
0.00,2,DATA,SOFT2,28122,2875
0.00,1,DATA,SOFT2,28521,2885
0.00,3,DATA,SOFT2,28554,2658
0.00,2,DATA,SOFT2,28622,2875
0.00,1,DATA,SOFT2,29021,2885
0.00,3,DATA,SOFT2,29054,2659
0.00,2,DATA,SOFT2,29122,2875
0.00,1,DATA,SOFT2,29521,2886
0.00,3,DATA,SOFT2,29554,2659
0.00,2,DATA,SOFT2,29622,2875
0.00,1,DATA,SOFT2,30021,2885
0.00,3,DATA,SOFT2,30054,2659
0.00,2,DATA,SOFT2,30122,2875
0.00,1,DATA,SOFT2,30521,2885
0.00,3,DATA,SOFT2,30554,2659
0.00,2,DATA,SOFT2,30622,2875
0.00,1,DATA,SOFT2,31021,2885
0.00,3,DATA,SOFT2,31054,2658
0.00,2,DATA,SOFT2,31122,2875
0.00,1,DATA,SOFT2,31521,2885
0.00,3,DATA,SOFT2,31554,2659
0.00,2,DATA,SOFT2,31622,2875
0.00,1,DATA,SOFT2,32021,2885
0.00,3,DATA,SOFT2,32054,2659
0.00,2,DATA,SOFT2,32122,2874
0.00,1,DATA,SOFT2,32521,2885
0.00,3,DATA,SOFT2,32554,2659
0.00,2,DATA,SOFT2,32622,2875
0.00,1,DATA,SOFT2,33021,2884
0.00,3,DATA,SOFT2,33054,2659
0.00,2,DATA,SOFT2,33122,2875
0.00,1,DATA,SOFT2,33521,2885
0.00,3,DATA,SOFT2,33554,2659
0.00,2,DATA,SOFT2,33622,2874
0.00,1,DATA,SOFT2,34021,2885
0.00,3,DATA,SOFT2,34054,2659
0.00,2,DATA,SOFT2,34122,2875
0.00,1,DATA,SOFT2,34521,2885
0.00,3,DATA,SOFT2,34554,2659
0.00,2,DATA,SOFT2,34622,2875
0.00,1,DATA,SOFT2,35021,2885
0.00,3,DATA,SOFT2,35054,2659
0.00,2,DATA,SOFT2,35122,2875
0.00,1,DATA,SOFT2,35521,2885
0.00,0,BSYS,37621,INFO,etmark 0
0.00,3,DATA,SOFT2,35554,2659
0.00,2,DATA,SOFT2,35622,2875
0.00,1,DATA,SOFT2,36021,2885
0.00,3,DATA,SOFT2,36054,2659
0.00,2,DATA,SOFT2,36122,2875
0.00,1,DATA,SOFT2,36521,2885
0.00,3,DATA,SOFT2,36554,2659
0.00,2,DATA,SOFT2,36622,2874
0.00,1,DATA,SOFT2,37021,2885
0.00,3,DATA,SOFT2,37054,2659
0.00,2,DATA,SOFT2,37122,2874
0.00,1,DATA,SOFT2,37521,2885
0.00,3,DATA,SOFT2,37554,2659
0.00,2,DATA,SOFT2,37622,2875
0.00,1,DATA,SOFT2,38021,2885
0.00,3,DATA,SOFT2,38054,2659
0.00,2,DATA,SOFT2,38122,2875
0.00,1,DATA,SOFT2,38521,2885
0.00,3,DATA,SOFT2,38554,2659
0.00,2,DATA,SOFT2,38622,2875
0.00,1,DATA,SOFT2,39021,2885
0.00,3,DATA,SOFT2,39054,2659
0.00,2,DATA,SOFT2,39122,2875
0.00,1,DATA,SOFT2,39521,2885
0.00,3,DATA,SOFT2,39554,2659
0.00,2,DATA,SOFT2,39622,2874
0.00,1,DATA,SOFT2,40021,2885
0.00,3,DATA,SOFT2,40054,2659
0.00,2,DATA,SOFT2,40122,2874
0.00,1,DATA,SOFT2,40521,2885
0.00,3,DATA,SOFT2,40554,2659
0.00,2,DATA,SOFT2,40622,2875
0.00,1,DATA,SOFT2,41021,2885
0.00,3,DATA,SOFT2,41054,2659
0.00,2,DATA,SOFT2,41122,2874
0.00,1,DATA,SOFT2,41521,2885
0.00,3,DATA,SOFT2,41554,2659
0.00,2,DATA,SOFT2,41622,2875
0.00,1,DATA,SOFT2,42021,2885
0.00,3,DATA,SOFT2,42054,2659
0.00,2,DATA,SOFT2,42122,2875
0.00,1,DATA,SOFT2,42521,2885
0.00,3,DATA,SOFT2,42554,2659
0.00,2,DATA,SOFT2,42622,2875
0.00,1,DATA,SOFT2,43021,2885
0.00,3,DATA,SOFT2,43054,2659
0.00,2,DATA,SOFT2,43122,2875
0.00,1,DATA,SOFT2,43521,2885
0.00,3,DATA,SOFT2,43554,2659
0.00,2,DATA,SOFT2,43622,2874
0.00,1,DATA,SOFT2,44021,2885
0.00,3,DATA,SOFT2,44054,2660
0.00,2,DATA,SOFT2,44122,2875
0.00,1,DATA,SOFT2,44521,2885
0.00,3,DATA,SOFT2,44554,2659
0.00,2,DATA,SOFT2,44622,2875
0.00,1,DATA,SOFT2,45021,2884
0.00,3,DATA,SOFT2,45054,2659
0.00,2,DATA,SOFT2,45122,2875
0.00,1,DATA,SOFT2,45521,2885
0.00,0,BSYS,47622,INFO,etmark 0
0.00,3,DATA,SOFT2,45554,2659
0.00,2,DATA,SOFT2,45622,2874
0.00,1,DATA,SOFT2,46021,2885
0.00,3,DATA,SOFT2,46054,2660
0.00,2,DATA,SOFT2,46122,2875
0.00,1,DATA,SOFT2,46521,2884
0.00,3,DATA,SOFT2,46554,2659
0.00,2,DATA,SOFT2,46622,2874
0.00,1,DATA,SOFT2,47021,2884
0.00,3,DATA,SOFT2,47054,2660
0.00,2,DATA,SOFT2,47122,2874
0.00,1,DATA,SOFT2,47521,2885
