timestamp(ticks/UTC),solar(V),batt(V),bus(V),solar(I),batt(I),bus(I),batt_temp(C),chg_stat,chg_fault
1739688891.726,0.14,3.99,3.96,0.000,-0.300,0.303,0.0,0,0
1739688920.449,0.14,3.99,3.96,0.000,-0.276,0.279,0.0,0,0
1739688949.175,0.14,3.99,3.95,0.000,-0.308,0.314,0.0,0,0
1739688977.902,0.14,4.00,3.98,0.000,-0.205,0.208,0.0,0,0
1739689006.625,0.14,4.00,3.98,0.000,-0.185,0.188,0.0,0,0
1739689035.351,0.14,4.00,3.98,0.000,-0.197,0.200,0.0,0,0
1739689064.074,0.14,4.00,3.98,0.000,-0.196,0.199,0.0,0,0
1739689092.832,0.14,4.00,3.98,0.000,-0.195,0.198,0.0,0,0
1739689121.523,0.14,4.00,3.98,0.000,-0.189,0.191,0.0,0,0
1739689150.250,0.14,4.00,3.97,0.000,-0.211,0.214,0.0,0,0
1739689178.976,0.14,4.00,3.98,0.000,-0.187,0.190,0.0,0,0
1739689207.699,0.14,4.00,3.98,0.000,-0.207,0.209,0.0,0,0
1739689236.425,0.14,4.00,3.98,0.000,-0.192,0.194,0.0,0,0
1739689265.148,0.14,4.00,3.98,0.000,-0.202,0.204,0.0,0,0
1739689293.875,0.14,4.00,3.97,0.000,-0.212,0.215,0.0,0,0
1739689322.597,0.14,4.00,3.98,0.000,-0.201,0.204,0.0,0,0
1739689351.324,0.14,4.00,3.98,0.000,-0.199,0.202,0.0,0,0
1739689380.046,0.14,4.00,3.97,0.000,-0.235,0.238,0.0,0,0
1739689408.777,0.14,4.00,3.98,0.000,-0.198,0.200,0.0,0,0
1739689437.500,0.14,4.00,3.97,0.000,-0.223,0.226,0.0,0,0
1739689466.222,0.14,4.00,3.98,0.000,-0.187,0.190,0.0,0,0
1739689494.949,0.14,4.00,3.97,0.000,-0.203,0.206,0.0,0,0
1739689523.675,0.14,4.00,3.97,0.000,-0.207,0.209,0.0,0,0
1739689552.398,0.14,4.00,3.97,0.000,-0.201,0.204,0.0,0,0
1739689581.121,0.14,4.00,3.97,0.000,-0.199,0.202,0.0,0,0
1739689609.847,0.14,4.00,3.97,0.000,-0.213,0.216,0.0,0,0
1739689638.574,0.14,4.00,3.97,0.000,-0.202,0.204,0.0,0,0
1739689667.296,0.14,4.00,3.98,0.000,-0.190,0.192,0.0,0,0
1739689696.023,0.14,4.00,3.97,0.000,-0.209,0.212,0.0,0,0
1739689724.746,0.14,4.00,3.97,0.000,-0.212,0.214,0.0,0,0
1739689753.472,0.14,4.00,3.97,0.000,-0.224,0.226,0.0,0,0
1739689782.195,0.14,3.99,3.96,0.000,-0.273,0.276,0.0,0,0
1739689810.921,0.14,4.00,3.97,0.000,-0.219,0.221,0.0,0,0
1739689839.699,0.14,4.00,3.98,0.000,-0.198,0.201,0.0,0,0
1739689868.371,0.14,4.00,3.97,0.000,-0.202,0.205,0.0,0,0
1739689897.097,0.14,4.00,3.98,0.000,-0.187,0.189,0.0,0,0
1739689925.820,0.14,4.00,3.97,0.000,-0.192,0.195,0.0,0,0
1739689954.546,0.14,4.00,3.98,0.000,-0.182,0.185,0.0,0,0
1739689983.269,0.14,4.00,3.97,0.000,-0.195,0.198,0.0,0,0
1739690011.996,0.14,4.00,3.98,0.000,-0.187,0.190,0.0,0,0
1739690040.718,0.14,4.00,3.97,0.000,-0.201,0.204,0.0,0,0
1739690069.445,0.14,4.00,3.97,0.000,-0.190,0.192,0.0,0,0
1739690098.171,0.14,4.00,3.97,0.000,-0.187,0.189,0.0,0,0
1739690126.894,0.14,4.00,3.98,0.000,-0.190,0.193,0.0,0,0
1739690155.640,0.14,4.00,3.97,0.000,-0.202,0.204,0.0,0,0
1739690184.343,0.14,4.00,3.98,0.000,-0.178,0.181,0.0,0,0
1739690213.070,0.14,4.00,3.97,0.000,-0.187,0.190,0.0,0,0
1739690241.792,0.14,4.00,3.98,0.000,-0.178,0.181,0.0,0,0
1739690270.519,0.14,4.00,3.98,0.000,-0.180,0.183,0.0,0,0
1739690299.242,0.14,3.99,3.97,0.000,-0.208,0.211,0.0,0,0
1739690327.968,0.14,3.99,3.97,0.000,-0.213,0.217,0.0,0,0
1739690356.695,0.14,4.00,3.97,0.000,-0.195,0.198,0.0,0,0
1739690385.417,0.14,4.00,3.97,0.000,-0.188,0.190,0.0,0,0
1739690414.144,0.14,4.00,3.97,0.000,-0.199,0.202,0.0,0,0
1739690442.867,0.14,4.00,3.98,0.000,-0.184,0.187,0.0,0,0
1739690471.593,0.14,3.99,3.97,0.000,-0.195,0.198,0.0,0,0
1739690500.316,0.14,4.00,3.98,0.000,-0.184,0.187,0.0,0,0
1739690529.042,0.14,3.99,3.97,0.000,-0.199,0.201,0.0,0,0
1739690557.769,0.14,3.99,3.97,0.000,-0.209,0.212,0.0,0,0
1739690586.492,0.14,3.99,3.97,0.000,-0.195,0.197,0.0,0,0
1739690615.218,0.14,4.00,3.97,0.000,-0.185,0.188,0.0,0,0
1739690643.941,0.14,3.99,3.97,0.000,-0.196,0.199,0.0,0,0
1739690672.667,0.14,3.99,3.97,0.000,-0.188,0.191,0.0,0,0
1739690701.390,0.14,3.99,3.97,0.000,-0.207,0.209,0.0,0,0
1739690730.117,0.14,3.99,3.97,0.000,-0.199,0.202,0.0,0,0
1739690758.839,0.14,3.99,3.97,0.000,-0.195,0.198,0.0,0,0
1739690787.566,0.14,3.99,3.97,0.000,-0.191,0.193,0.0,0,0
1739690816.292,0.14,3.99,3.96,0.000,-0.245,0.248,0.0,0,0
1739690845.015,0.14,3.99,3.96,0.000,-0.241,0.244,0.0,0,0
1739690873.742,0.14,3.99,3.97,0.000,-0.213,0.215,0.0,0,0
1739690902.507,0.14,3.99,3.97,0.000,-0.187,0.190,0.0,0,0
1739690931.191,0.14,3.99,3.97,0.000,-0.192,0.195,0.0,0,0
1739690959.914,0.14,3.99,3.97,0.000,-0.189,0.191,0.0,0,0
1739690988.640,0.14,3.99,3.97,0.000,-0.180,0.183,0.0,0,0
1739691017.363,0.14,3.99,3.97,0.000,-0.190,0.193,0.0,0,0
1739691046.089,0.14,3.99,3.97,0.000,-0.179,0.181,0.0,0,0
1739691074.816,0.14,3.99,3.96,0.000,-0.224,0.227,0.0,0,0
1739691103.539,0.14,3.99,3.97,0.000,-0.183,0.186,0.0,0,0
1739691132.265,0.14,3.99,3.97,0.000,-0.196,0.199,0.0,0,0
1739691160.988,0.14,3.99,3.97,0.000,-0.187,0.190,0.0,0,0
1739691189.714,0.14,3.99,3.97,0.000,-0.189,0.192,0.0,0,0
1739691218.453,0.14,3.99,3.97,0.000,-0.203,0.206,0.0,0,0
1739691247.164,0.14,3.99,3.97,0.000,-0.190,0.193,0.0,0,0
1739691275.890,0.14,3.99,3.97,0.000,-0.181,0.184,0.0,0,0
1739691304.613,0.14,3.99,3.97,0.000,-0.195,0.198,0.0,0,0
1739691333.339,0.14,3.99,3.97,0.000,-0.182,0.185,0.0,0,0
1739691362.062,0.14,3.99,3.97,0.000,-0.192,0.195,0.0,0,0
1739691390.789,0.14,3.99,3.97,0.000,-0.188,0.191,0.0,0,0
1739691419.511,0.14,3.99,3.97,0.000,-0.179,0.182,0.0,0,0
1739691448.238,0.14,3.99,3.97,0.000,-0.176,0.179,0.0,0,0
1739691476.960,0.14,3.99,3.96,0.000,-0.212,0.215,0.0,0,0
1739691505.687,0.14,3.99,3.97,0.000,-0.181,0.183,0.0,0,0
1739691534.414,0.14,3.99,3.97,0.000,-0.186,0.189,0.0,0,0
1739691563.136,0.14,3.99,3.97,0.000,-0.179,0.182,0.0,0,0
1739691591.863,0.14,3.99,3.97,0.000,-0.185,0.188,0.0,0,0
1739691620.585,0.14,3.99,3.97,0.000,-0.182,0.185,0.0,0,0
1739691649.375,0.14,3.99,3.97,0.000,-0.184,0.186,0.0,0,0
1739691678.035,0.14,3.99,3.97,0.000,-0.185,0.188,0.0,0,0
1739691706.761,0.14,3.99,3.97,0.000,-0.180,0.183,0.0,0,0
1739691735.488,0.14,3.99,3.97,0.000,-0.188,0.191,0.0,0,0
1739691764.210,0.14,3.99,3.97,0.000,-0.177,0.180,0.0,0,0
1739691792.937,0.14,3.99,3.97,0.000,-0.189,0.192,0.0,0,0
1739691821.660,0.14,3.99,3.96,0.000,-0.218,0.221,0.0,0,0
1739691850.386,0.14,3.98,3.95,0.000,-0.265,0.268,0.0,0,0
1739691879.109,0.14,3.99,3.97,0.000,-0.192,0.195,0.0,0,0
1739691907.835,0.14,3.99,3.97,0.000,-0.193,0.196,0.0,0,0
1739691936.558,0.14,3.99,3.97,0.000,-0.180,0.183,0.0,0,0
1739691965.316,0.14,3.99,3.97,0.000,-0.188,0.191,0.0,0,0
1739691994.011,0.14,3.99,3.97,0.000,-0.176,0.179,0.0,0,0
1739692022.734,0.14,3.99,3.97,0.000,-0.184,0.187,0.0,0,0
1739692051.460,0.14,3.99,3.97,0.000,-0.173,0.176,0.0,0,0
1739692080.183,0.14,3.99,3.97,0.000,-0.182,0.184,0.0,0,0
1739692108.910,0.14,3.99,3.97,0.000,-0.172,0.175,0.0,0,0
1739692137.632,0.14,3.99,3.97,0.000,-0.181,0.184,0.0,0,0
1739692166.359,0.14,3.99,3.97,0.000,-0.172,0.174,0.0,0,0
1739692195.085,0.14,3.99,3.97,0.000,-0.179,0.182,0.0,0,0
1739692223.808,0.14,3.98,3.96,0.000,-0.216,0.219,0.0,0,0
1739692252.535,0.14,3.99,3.97,0.000,-0.178,0.180,0.0,0,0
1739692281.261,0.14,3.98,3.96,0.000,-0.194,0.197,0.0,0,0
1739692309.984,0.14,3.98,3.96,0.000,-0.203,0.206,0.0,0,0
