filename	Ch1	Ch1RS	Ch1RE	Ch1PS	Ch1PE	Ch2	Ch2RS	Ch2RE	Ch2PS	Ch2PE	Ch3	Ch3RS	Ch3RE	Ch3PS	Ch3PE	Ch4	Ch4RS	Ch4RE	Ch4PS	Ch4PE
2019-01-29-29.5-T1_oxy1-4_cleaned.txt	RSS_T1-29.5A_9	100	1000	1850	2340	RSS_T1-29.5A_13	100	1000	1800	2340	RSS_T1-29.5A_14	100	1000	1800	2340	RSS_T1-29.5A_15	100	1000	1800	2340
2019-01-29-29.5-T1_oxy5-8_cleaned.txt	RSS_T1-29.5B_9	300	1000	1800	2250	RSS_T1-29.5B_13	100	1000	1600	2250	RSS_T1-29.5B_14	100	1000	1600	2250	RSS_T1-29.5B_15	100	1000	1600	2250
2019-01-29-32-T1_oxy1-4L_cleaned.txt	RSS_T1-32A_9	100	1000	1700	2500	RSS_T1-32A_13	100	1000	1700	2500	RSS_T1-32A_14	100	1000	1700	2500	RSS_T1-32A_15	100	1000	1700	2500
2019-01-29-32-T1_oxy5-8_cleaned.txt	RSS_T1-32A2_9	5	50	55	100	RSS_T1-32A2_13	5	50	55	100	RSS_T1-32A2_14	5	50	55	100	RSS_T1-32A2_15	5	50	55	100
2019-01-29-32-T1_oxy5-8R_cleaned.txt	RSS_T1-32B_9	100	1000	1600	2500	RSS_T1-32B_13	100	1000	1600	2500	RSS_T1-32B_14	100	1000	2000	2500	RSS_T1-32B_15	100	1000	2000	2500
2019-02-01_27-T3_oxy1-4_cleaned.txt	RSS_T3-27A_9	100	1000	1600	2330	RSS_T3-27A_13	500	1100	2000	2330	RSS_T3-27A_14	500	1000	2000	2330	RSS_T3-27A_15	100	1000	1700	2330
2019-02-01_27-T3_oxy5-8_cleaned.txt	RSS_T3-27B_9	600	1300	2000	2400	RSS_T3-27B_13	100	1000	1600	2400	RSS_T3-27B_14	100	1000	1300	2400	RSS_T3-27B_15	100	1000	1600	2400
2019-02-01_29.5-T3_oxy1-4_cleaned.txt	RSS_T3-29.5A_9	100	1100	1800	2130	RSS_T3-29.5A_13	1000	1500	1700	2100	RSS_T3-29.5A_14	100	1000	1600	2100	RSS_T3-29.5A_15	100	900	1300	1500
2019-02-01_29.5-T3_oxy5-8_cleaned.txt	RSS_T3-29.5B_9	100	1000	1800	2170	RSS_T3-29.5B_13	100	1100	1900	2170	RSS_T3-29.5B_14	10	1100	2000	2170	RSS_T3-29.5B_15	200	1100	1910	2170
2019-02-01_32-T3_oxy1-4_cleaned.txt	RSS_T3-32A_9	100	1000	1500	1870	RSS_T3-32A_13	100	1000	1630	1870	RSS_T3-32A_14	500	1000	1500	1870	RSS_T3-32A_15	100	1000	1500	1870
2019-02-01_32-T3_oxy5-8_cleaned.txt	RSS_T3-32B_9	200	900	1500	1910	RSS_T3-32B_13	100	1000	1500	1910	RSS_T3-32B_14	100	900	1500	1910	RSS_T3-32B_15	250	950	1500	1910
2019-02-01_34.5-T3_oxy1-4_cleaned.txt	RSS_T3-34.5A_9	100	800	1200	1600	RSS_T3-34.5A_13	100	800	1200	1600	RSS_T3-34.5A_14	100	800	1200	1600	RSS_T3-34.5A_15	100	800	1200	1600
2019-02-01_34.5-T3_oxy5-8_cleaned.txt	RSS_T3-34.5B_9	100	700	850	1200	RSS_T3-34.5B_13	100	700	850	1200	RSS_T3-34.5B_14	100	700	850	1200	RSS_T3-34.5B_15	100	700	850	1200
