sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
AS_NMS_Mgri_Deep_01,216789,0.02604103161886514,0.03067343296711567,-0.004694571442922631,-0.013044672376109725,-0.00967737665162289,0.0022299575488090037,-0.0039053340030034836,-0.0011775757861253843,0.0018519069504767587,0.005052509983355091,0.0006220196341065912,-0.0013499488950120375,0.0015737392526702502,-0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Deep_02,216790,-0.16382495284388732,0.05360410253488344,0.04058522377552317,-0.02335933973659821,0.01172266603468766,-0.0027446206822658074,-0.0024421139656201586,-0.0036916952388729224,-0.001990474582034381,7.734948451199424e-05,-0.0006661657803903767,-0.0006024127583011057,-2.326843319225203e-05,-0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Deep_03,216791,0.028749905890794868,-0.02018190456713845,-0.0027483912218764853,0.025436061259477363,0.025540709922406146,0.012778980321224065,-0.016710992812584594,0.00821797334776255,-0.004623714171093539,0.011997594402497497,-0.0036091974412949747,-0.0003486968196232211,0.0003125702056446708,-0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Deep_04,216792,0.04699821555284285,-0.04736562911802008,-0.004760851512124661,0.012496346150530711,-0.01038592148192816,-0.0249268051679177,-0.01676838448164815,-0.012702553847950028,0.006475242854510581,-0.00801472081200318,-0.004073817109269979,-0.0006108804100669007,-0.0001857564353337012,-0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Deep_05,216793,-0.09677412809910996,-0.060941556884558934,0.032658495347536884,0.006613787149511229,-0.036170748672472344,0.012566877602952048,0.0018877442100126737,0.0020118594574488036,0.001382459983038817,0.0016179481044747029,0.0003390816083941029,0.0005382538278445231,8.559868467678483e-05,-0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Deep_06,216794,-0.1785412439962055,-0.031491964850697336,-0.059283351808754145,0.014640654187118695,0.012836971585109318,-0.005712157419704671,0.0006837860625131201,-0.0008664899214402301,0.0010712903338995932,-0.0012029494713430636,0.0005464619506065237,-0.000655228596855754,-8.052359355035497e-06,-0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Deep_07,216795,0.03250159247149711,-0.013429994196335344,-0.028273033023159796,-0.03895383163027155,0.0005912602780783405,0.026128312736765115,0.004327191763810708,0.013225433589570828,0.008981201985120441,-0.004117007407550675,0.001507158910847055,-0.0017033363318621662,-0.0005456769880044098,-0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Midd_01,216796,0.02730382416507166,0.004328484194146384,0.013013564032851569,0.0130179233524144,-0.01755283177823195,-0.0033007306093787033,-0.008174718179429023,0.011361889171493073,-0.0052665183825759115,0.0024930725544420485,0.0035669532266249743,-0.009247843330736636,-0.0005281926897687707,-0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Midd_02,216797,0.03679274797357104,-0.006528281280808651,0.01644143729037407,-0.0027114327303462277,0.02789938627367578,-0.017037301619608217,0.006008871688130655,-0.010349124111328954,0.008770830816269502,-0.002414672738143733,0.007746717817555951,-0.004178097916974562,0.00022965068102560066,-0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Midd_03,216798,0.02592084484088125,0.01245201852318787,-0.0011454712341979608,-0.01708791822960417,0.008452678260519434,-0.010759317780012193,-0.0036652036102718106,-0.0066426851699929864,-0.008576831840234254,0.00968385680790634,-0.0006417872203645714,0.0025334888347271316,-0.0010527004199563002,-0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Midd_04,216799,0.025490402700971176,0.019568539847995083,0.003015628871825822,0.006322905555978884,-0.0008711703246770497,0.031375865643588546,-0.011794016809486484,-0.014625323307273543,0.013745253656953406,0.0023400040600384075,-0.0005647656672713743,0.0025157711707192534,-0.00023102861456812207,-0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Midd_05,216800,0.00803483605996684,0.0018117739254412425,0.020138565167097017,0.0013030017079022518,-0.008303442149827079,-0.022165392782348754,-0.004957533100885756,0.016255084927348826,0.006068930216376005,-0.0005859094054650886,0.0028871165694888765,0.007396748635995431,-3.764516699336948e-05,-0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Midd_06,216801,0.03454508926015701,-0.03526271161938611,0.004393992943398376,0.0020533733283019545,0.00986156207613118,-0.011228864882146406,0.025069632804198265,0.007001792308390426,0.006432847418915788,0.009480728475741064,-0.0013294554490948776,0.001391932876737306,1.670372747470333e-05,-0.0,0.0,0.0,0.0,0.0,0.0
