sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
AS_NMS_Mgri_Deep_01,216789,0.10615131250911157,0.07205718065637333,-0.008201114990350018,0.002371775614243722,0.013445442073822107,-0.018833695346525476,0.011060431424814589,-0.010055113858122817,-0.0244738515677396,-0.016463612342207817,0.015376482536275892,0.0001454695236942627,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Deep_02,216790,-0.3205784901958508,0.07862111915097605,-0.061582542123613256,-0.07220852855904356,-0.005367407508121509,0.1003584589606186,0.005005401346957136,-0.008364379445166974,-0.02377350389274867,-0.00043825031592334033,-0.00013727068728542163,0.00022752685660749945,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Deep_03,216791,0.052620162842994235,-0.061640445101159465,-0.057146806414244765,0.14002993642285688,-0.028581845105790985,0.009830997953811075,0.031230796683883552,-0.01802289048097258,-0.008179082588941886,0.005274991253188084,0.00250465134379135,0.0005906643159249011,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Deep_04,216792,0.03742818714696257,-0.18078927983112678,0.053510638379392336,0.022517812997844493,0.09342760854791023,0.01957260180281517,-0.04696024918917617,-0.036891825441579325,-0.016154019168481394,0.002606239543438393,0.007713172929326755,7.826362322494991e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Deep_05,216793,-0.29411324928290894,-0.14958678012233675,0.03120882121918272,-0.08434420447968709,-0.028686344405156293,-0.04948923198213871,0.00830110375218553,0.007162403888840149,0.005987055220732856,-0.00790549069099898,-0.0016631717398614169,-0.0007753982444591563,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Deep_06,216794,-0.4479593021851156,0.08129124635220918,0.040124190972295457,0.11122105925130303,0.020239077955768816,-0.045661695317434005,-0.008868287695716143,0.006197883900103309,0.003890625910204982,0.003925235526214392,0.0032903211857975884,-5.253266082170374e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Deep_07,216795,0.07061001575662204,0.08363399292967336,0.07120986180262834,-0.00012614500356327723,-0.08573574429572486,0.004001148955105499,-0.00983947559360793,-0.018956877149148878,0.027717286804978366,-0.015139008049752826,0.008855480645549075,-0.0013471804010450601,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Midd_01,216796,0.07756573007640562,-0.058543463835470246,-0.028463981207251108,-0.00130799346586747,0.027207200766119505,-0.012339066371124993,0.0683551641175366,0.03354864168168528,-0.016733384879122237,0.013453893019007313,0.004604292347735092,-0.0034997069217781725,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Midd_02,216797,0.10666191850096739,0.03173271037976794,0.06908471790120235,0.002312923272718427,0.03714036658111089,0.04526252057931098,-0.03715276673610628,0.06298950891495256,-0.007296281831395297,-0.01296551889582298,0.010838956793523816,-0.0016027612546890017,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Midd_03,216798,0.0877776580525338,0.09066914643798443,0.013694933017090929,0.010189871549679892,0.016694381595359038,0.013431768346643549,0.005238509239044133,0.004911440492146471,-0.0012839915132787042,0.020478128854637283,0.0021282500766249563,0.006654236227941398,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Midd_04,216799,0.04666253266543035,-0.040848854218539454,-0.10301036566656523,0.060764335898156295,-0.05410419995911431,0.002397412236926502,-0.04117983823828241,0.02010009666918118,0.015209403696990996,-0.0030922682486288692,-0.018628844479411065,-0.001076736174383107,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Midd_05,216800,0.0067806030824559245,-0.03592434888172003,0.02505038703905983,-0.028849671876482012,0.08157785624905374,0.028298582623675135,0.027804418989802994,0.005014554408872417,0.048570952552951116,-0.00502390965674557,-0.012773545727356414,0.003480547138201417,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Midd_06,216801,0.07408115239185394,0.016918412230130166,0.1289439485384677,-0.0024132284336826296,-0.01619984108918587,-0.03688383791448262,0.0013276265708341546,0.01859918633193809,0.007876326111882131,0.015591212365520624,-0.006110849214806479,-0.0004513618475289172,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Shall_01,216802,0.04169933023502137,0.001050795889187165,-0.17265260856062803,-0.058332070749304694,0.003594045084025339,-0.05268027344289653,-0.01854326626112891,-0.0010622924164237653,0.030674892456002602,0.011255938561412404,0.023553039577662607,0.00040481629433818865,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Shall_02,216803,0.07761258348963852,0.05899747219556128,0.026904308787693273,0.006607627088282559,0.03421150125169446,0.027085473662067868,0.025343735028636585,-0.037215086085084906,0.023225372213885664,-0.02015584304592556,-0.0029509043608788,-0.004001105732533847,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Shall_03,216804,0.084961664095229,0.08590629924144078,-0.08013787897573268,-0.02784710148086824,0.05828812674685848,-0.07613759305145527,-0.011113205512847316,-0.004191318442076129,-0.029744434391885656,-0.020395705746356702,-0.02173047087628617,0.00026534598888894464,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Shall_04,216805,0.07549245528405654,-0.01667996650387333,0.09933655271958705,-0.05105787222878859,-0.07253821774720147,-0.043396206207803455,0.0018215754643588111,-0.01894053459576441,-0.02335779294082447,0.004289174776208103,-0.0011203248271497014,0.002173770176701248,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
