GPS_Epoch_Time(s),lat(deg),lat(min*1e5),long(deg),long(min*1e5)
1667395905.20,-14,-2197856,-170,-4586523
1667395966.00,-14,-2197834,-170,-4586556
1667396026.40,-14,-2197827,-170,-4586566
1667396086.80,-14,-2197850,-170,-4586548
1667396147.20,-14,-2197846,-170,-4586597
1667396207.60,-14,-2197864,-170,-4586579
1667396268.00,-14,-2197909,-170,-4586633
1667396328.40,-14,-2197903,-170,-4586610
1667396388.80,-14,-2197912,-170,-4586642
1667396449.20,-14,-2197923,-170,-4586643
1667396509.60,-14,-2197930,-170,-4586635
1667396570.00,-14,-2197923,-170,-4586629
1667396630.40,-14,-2197871,-170,-4586648
1667396690.80,-14,-2197861,-170,-4586633
1667396751.20,-14,-2197851,-170,-4586636
1667396811.60,-14,-2197866,-170,-4586633
1667396872.00,-14,-2197813,-170,-4586637
1667396932.40,-14,-2197810,-170,-4586666
1667396992.80,-14,-2197790,-170,-4586665
1667397053.20,-14,-2197791,-170,-4586661
1667397113.60,-14,-2197820,-170,-4586701
1667397174.00,-14,-2197835,-170,-4586691
1667397234.40,-14,-2197816,-170,-4586705
1667397294.80,-14,-2197841,-170,-4586674
1667397355.20,-14,-2197918,-170,-4586687
1667397415.60,-14,-2197964,-170,-4586691
1667397476.00,-14,-2197968,-170,-4586748
1667397536.40,-14,-2198004,-170,-4586751
1667397596.80,-14,-2198053,-170,-4586735
1667397657.20,-14,-2198107,-170,-4586739
1667397717.60,-14,-2198140,-170,-4586714
1667397778.00,-14,-2198143,-170,-4586712
1667397838.40,-14,-2198176,-170,-4586740
1667397898.80,-14,-2198249,-170,-4586723
1667397959.60,-14,-2198309,-170,-4586700
1667398020.00,-14,-2198261,-170,-4586711
1667398080.40,-14,-2198279,-170,-4586723
1667398140.80,-14,-2198299,-170,-4586695
1667398201.20,-14,-2198312,-170,-4586710
1667398261.60,-14,-2198342,-170,-4586697
1667398322.00,-14,-2198345,-170,-4586701
1667398382.40,-14,-2198354,-170,-4586695
1667398442.80,-14,-2198385,-170,-4586661
1667398503.20,-14,-2198374,-170,-4586675
1667398563.60,-14,-2198399,-170,-4586626
1667398623.60,-14,-2198326,-170,-4586618
1667398684.40,-14,-2198329,-170,-4586672
1667398744.80,-14,-2198341,-170,-4586648
1667398805.20,-14,-2198386,-170,-4586626
1667398865.60,-14,-2198387,-170,-4586585
1667398926.00,-14,-2198380,-170,-4586605
1667398986.40,-14,-2198403,-170,-4586608
1667399046.80,-14,-2198428,-170,-4586592
1667399107.20,-14,-2198407,-170,-4586571
1667399167.60,-14,-2198369,-170,-4586569
1667399228.00,-14,-2198395,-170,-4586587
