GPS_Epoch_Time(s),lat(deg),lat(min*1e5),long(deg),long(min*1e5)
1647007436.40,-14,-2197381,-170,-4586791
1647007496.80,-14,-2197340,-170,-4586732
1647007557.20,-14,-2197275,-170,-4586659
1647007617.60,-14,-2197236,-170,-4586581
1647007678.00,-14,-2197200,-170,-4586510
1647007738.40,-14,-2197248,-170,-4586492
1647007798.80,-14,-2197279,-170,-4586543
1647007859.20,-14,-2197166,-170,-4586462
1647007919.60,-14,-2197203,-170,-4586413
1647007980.00,-14,-2197264,-170,-4586470
1647008040.40,-14,-2197238,-170,-4586445
1647008100.80,-14,-2197237,-170,-4586386
1647008161.20,-14,-2197246,-170,-4586402
1647008221.60,-14,-2197254,-170,-4586447
1647008282.00,-14,-2197302,-170,-4586525
1647008342.40,-14,-2197355,-170,-4586625
1647008402.80,-14,-2197368,-170,-4586736
1647008463.20,-14,-2197355,-170,-4586722
1647008523.60,-14,-2197369,-170,-4586770
1647008584.00,-14,-2197430,-170,-4586790
1647008644.40,-14,-2197432,-170,-4586818
1647008704.80,-14,-2197401,-170,-4586794
1647008765.20,-14,-2197425,-170,-4586792
1647008825.60,-14,-2197470,-170,-4586824
1647008886.00,-14,-2197520,-170,-4586843
1647008946.40,-14,-2197511,-170,-4586816
1647009006.80,-14,-2197524,-170,-4586782
1647009067.20,-14,-2197592,-170,-4586934
1647009127.60,-14,-2197608,-170,-4586937
1647009188.00,-14,-2197604,-170,-4586931
1647009248.40,-14,-2197502,-170,-4586805
1647009308.80,-14,-2197370,-170,-4586642
1647009369.20,-14,-2197347,-170,-4586533
1647009429.60,-14,-2197348,-170,-4586546
1647009490.00,-14,-2197320,-170,-4586595
1647009550.40,-14,-2197351,-170,-4586621
1647009610.80,-14,-2197434,-170,-4586646
1647009671.20,-14,-2197439,-170,-4586710
1647009731.60,-14,-2197438,-170,-4586670
1647009792.00,-14,-2197507,-170,-4586670
1647009852.40,-14,-2197502,-170,-4586710
1647009912.80,-14,-2197428,-170,-4586704
1647009973.20,-14,-2197422,-170,-4586698
1647010033.60,-14,-2197419,-170,-4586677
1647010093.20,-14,-2197403,-170,-4586638
1647010154.00,-14,-2197457,-170,-4586623
1647010214.40,-14,-2197430,-170,-4586586
1647010274.80,-14,-2197466,-170,-4586588
1647010335.20,-14,-2197533,-170,-4586583
1647010395.60,-14,-2197527,-170,-4586633
1647010456.00,-14,-2197503,-170,-4586643
1647010516.40,-14,-2197480,-170,-4586610
