millis,GPS_Epoch_Time(s),outx(mm),outy(mm),outz(mm)
56795,1668506598.20,0.00,0.00,0.00,I
56840,1668506598.60,176.05,-444.16,-37.53,I
57049,1668506599.00,25.49,-428.35,-125.77,I
57458,1668506599.40,-289.11,-323.13,-164.13,I
57853,1668506599.80,-406.47,-82.71,-297.30,I
58259,1668506600.20,-330.43,-98.93,-405.82,I
58658,1668506600.60,-230.90,-256.05,-371.02,I
59049,1668506601.00,-191.13,-407.13,-297.42,I
59449,1668506601.40,-169.41,-450.29,-103.52,I
59848,1668506601.80,-194.49,-340.04,161.52,I
60721,1668506602.20,-191.89,-206.81,288.42,I
60772,1668506602.60,-118.53,-123.66,505.27,I
61046,1668506603.00,-38.89,82.33,692.51,I
61452,1668506603.40,-34.37,333.35,810.88,I
61853,1668506603.80,21.65,483.47,662.15,I
62257,1668506604.20,132.15,466.74,408.67,I
62648,1668506604.60,78.38,447.40,251.96,I
63045,1668506605.00,36.97,491.07,313.34,I
63451,1668506605.40,54.66,534.55,356.52,I
63852,1668506605.80,149.74,494.92,174.47,I
64256,1668506606.20,370.88,322.68,-174.90,I
64647,1668506606.60,494.94,244.78,-521.34,I
65046,1668506607.00,443.16,275.10,-683.23,I
65443,1668506607.40,424.25,245.45,-517.67,I
65847,1668506607.80,449.38,150.09,-241.64,I
66246,1668506608.20,444.31,69.90,-99.71,I
66643,1668506608.60,414.47,69.56,-149.54,I
67043,1668506609.00,445.19,17.79,-76.65, 
67618,1668506609.40,331.87,105.42,13.66, 
67842,1668506609.80,151.35,287.56,132.08, 
68241,1668506610.20,16.98,327.56,-12.09, 
68640,1668506610.60,-29.45,333.50,-99.23, 
69050,1668506611.00,-117.04,378.46,-35.93, 
69447,1668506611.40,-76.66,352.99,28.74, 
69842,1668506611.80,195.96,337.97,98.44, 
70238,1668506612.20,423.44,263.99,-15.35, 
70637,1668506612.60,416.16,129.44,-255.10, 
71043,1668506613.00,316.59,77.48,-195.44, 
71446,1668506613.40,130.20,28.21,-137.98, 
71839,1668506613.80,-59.66,-247.80,-380.01, 
72245,1668506614.20,-41.04,-486.03,-365.90, 
72636,1668506614.60,1.24,-474.84,-148.84, 
73037,1668506615.00,-35.09,-379.57,-54.00, 
73441,1668506615.40,-37.30,-381.13,-77.80, 
73844,1668506615.80,-108.74,-411.65,-215.74, 
74237,1668506616.20,-345.02,-431.19,-399.93, 
74635,1668506616.60,-468.65,-326.61,-421.85, 
75034,1668506617.00,-531.01,-238.71,-229.39, 
79456,1668506620.40,0.00,0.00,0.00,I
79826,1668506620.80,-79.54,-49.15,87.58,I
80226,1668506621.20,-141.52,-22.22,161.19,I
80637,1668506621.60,-44.92,-65.28,176.24,I
81027,1668506622.00,146.48,-114.32,148.21,I
81428,1668506622.40,329.23,-117.79,10.93,I
81827,1668506622.80,500.72,-150.60,-163.73,I
82227,1668506623.20,514.05,-139.88,-217.89,I
82626,1668506623.60,447.77,-127.32,-268.74,I
83027,1668506624.00,319.25,-179.47,-238.61,I
83429,1668506624.40,94.76,-249.04,-242.17,I
83828,1668506624.80,-138.73,-264.59,-179.34,I
84236,1668506625.20,-519.18,-6.37,-114.40,I
84635,1668506625.60,-847.90,186.27,-168.67,I
85026,1668506626.00,-917.96,223.75,-164.29,I
85432,1668506626.40,-699.19,399.40,21.35,I
85833,1668506626.80,-379.34,401.90,365.42,I
86222,1668506627.20,-97.22,347.18,588.40,I
86622,1668506627.60,84.54,312.50,495.16,I
87021,1668506628.00,198.01,311.15,213.10,I
87420,1668506628.40,254.11,188.64,208.88,I
87820,1668506628.80,327.07,183.07,206.48,I
88225,1668506629.20,298.98,223.72,167.73,I
88629,1668506629.60,224.02,184.04,-159.70,I
89018,1668506630.00,62.71,162.66,-356.72,I
89417,1668506630.40,-67.99,140.03,-240.77,I
89819,1668506630.80,-106.93,-96.09,-104.79,I
90226,1668506631.20,-40.94,-335.71,-66.30, 
90619,1668506631.60,29.23,-423.43,-163.92, 
91019,1668506632.00,-73.93,-403.94,-349.62, 
91418,1668506632.40,-138.61,-396.65,-235.11, 
91817,1668506632.80,-186.94,-366.61,-54.44, 
92217,1668506633.20,-269.11,-285.36,9.36, 
92616,1668506633.60,-263.67,-197.43,93.39, 
93020,1668506634.00,-173.36,-88.70,148.86, 
93413,1668506634.40,17.35,1.48,148.81, 
93816,1668506634.80,123.72,57.96,42.36, 
94214,1668506635.20,65.35,87.06,-40.84, 
94613,1668506635.60,3.01,77.41,-58.00, 
95012,1668506636.00,-141.59,-62.37,-222.82, 
95418,1668506636.40,-284.49,-271.26,-302.94, 
95817,1668506636.80,-293.85,-365.40,-144.08, 
96219,1668506637.20,-132.86,-250.58,251.54, 
