millis,GPS_Epoch_Time(s),outx(mm),outy(mm),outz(mm)
58124,1670003130.20,0.00,0.00,0.00,I
58310,1670003130.60,0.00,279.72,-27.70,I
58361,1670003131.00,0.00,201.90,-1.93,I
59082,1670003131.40,79.54,281.98,67.08,I
59109,1670003131.80,141.52,339.12,142.40,I
59136,1670003132.20,187.91,376.12,228.12,I
59496,1670003132.60,141.00,329.47,274.47,I
59869,1670003133.00,130.87,266.24,239.60,I
61243,1670003133.40,135.03,141.44,246.30,I
61313,1670003133.80,86.90,116.16,187.51,I
61362,1670003134.20,45.05,106.60,86.05,I
61466,1670003134.60,72.46,-5.69,4.17,I
61865,1670003135.00,12.59,-99.80,-127.37,I
62265,1670003135.40,9.05,-177.32,-173.42,I
62676,1670003135.80,4.22,-272.82,-241.80,I
63066,1670003136.20,-64.17,-314.30,-292.40,I
63465,1670003136.60,-151.64,-279.08,-239.71,I
63868,1670003137.00,-188.06,-297.15,-162.21,I
64268,1670003137.40,-214.71,-324.16,-192.25,I
64663,1670003137.80,-264.87,-325.19,-102.96,I
65062,1670003138.20,-252.03,-304.93,-16.26,I
65464,1670003138.60,-190.39,-365.04,29.92,I
65867,1670003139.00,-137.11,-423.45,0.59,I
66260,1670003139.40,-107.56,-395.55,-46.67,I
66693,1670003139.80,-111.77,-316.30,-41.11,I
67061,1670003140.20,-144.57,-245.32,4.08,I
67467,1670003140.60,-183.30,-165.07,-70.05,I
67858,1670003141.00,-177.39,-144.90,-115.76, 
68259,1670003141.40,-167.69,-107.82,-120.55, 
68663,1670003141.80,-123.59,-89.87,-102.08, 
69058,1670003142.20,-99.07,-87.43,-108.08, 
69470,1670003142.60,-60.18,-130.31,-98.54, 
69869,1670003143.00,-56.89,-77.85,-89.97, 
70262,1670003143.40,-50.80,1.91,-15.17, 
70660,1670003143.80,-42.43,19.78,65.63, 
71069,1670003144.20,-48.35,119.10,27.05, 
71458,1670003144.60,-49.37,166.30,21.36, 
71856,1670003145.00,32.36,122.32,27.86, 
72257,1670003145.40,132.29,103.50,18.09, 
72656,1670003145.80,164.17,89.13,24.97, 
73054,1670003146.20,221.09,78.59,-29.12, 
73461,1670003146.60,232.29,136.56,59.47, 
73863,1670003147.00,223.32,265.13,29.99, 
74254,1670003147.40,213.28,315.91,-8.67, 
74655,1670003147.80,202.34,301.97,-21.65, 
75067,1670003148.20,190.66,352.23,-51.24, 
75462,1670003148.60,178.38,386.32,-6.73, 
75851,1670003149.00,229.09,307.89,18.55, 
76253,1670003149.40,281.55,173.53,-48.97, 
76650,1670003149.80,253.47,127.37,-29.41, 
77049,1670003150.20,194.98,55.31,16.75, 
77461,1670003150.60,143.42,60.43,51.10, 
77858,1670003151.00,113.45,79.83,141.36, 
78262,1670003151.40,70.84,60.10,100.10, 
78649,1670003151.80,49.22,26.26,42.62, 
79048,1670003152.20,44.76,-2.16,-8.82, 
79448,1670003152.60,38.85,-74.83,-86.46, 
79847,1670003153.00,1.39,-99.15,-107.37, 
80257,1670003153.40,-30.26,-133.24,-63.40, 
80646,1670003153.80,-26.21,-175.17,23.76, 
81053,1670003154.20,-54.43,-238.36,51.64, 
81457,1670003154.60,-62.31,-266.90,73.37, 
81846,1670003155.00,-68.91,-234.50,42.27, 
82245,1670003155.40,-121.64,-154.47,43.61, 
82644,1670003155.80,-162.77,-102.05,33.36, 
83044,1670003156.20,-146.19,-40.53,44.40, 
83453,1670003156.60,-162.15,-21.18,109.76, 
83843,1670003157.00,-172.40,-19.91,143.90, 
84254,1670003157.40,-131.15,81.29,125.26, 
84649,1670003157.80,-79.71,162.10,213.78, 
85041,1670003158.20,-53.24,207.68,203.74, 
85452,1670003158.60,0.96,191.59,147.65, 
85843,1670003159.00,11.90,159.20,180.71, 
86243,1670003159.40,20.08,130.30,230.65, 
86652,1670003159.80,90.17,72.45,157.77, 
87040,1670003160.20,95.69,24.66,97.59, 
87445,1670003160.60,50.96,18.08,20.08, 
87844,1670003161.00,75.81,-36.68,-37.60, 
88244,1670003161.40,109.35,-79.73,-61.17, 
88639,1670003161.80,54.22,-79.30,-126.59, 
89044,1670003162.20,38.09,-110.05,-211.53, 
89448,1670003162.60,71.37,-114.96,-187.65, 
89847,1670003163.00,-31.74,-51.50,-231.39, 
90236,1670003163.40,-115.13,-14.92,-264.68, 
90638,1670003163.80,-148.62,15.44,-65.99, 
91039,1670003164.20,-189.48,106.31,69.72, 
91437,1670003164.60,-186.88,95.27,85.83, 
91836,1670003165.00,-181.41,84.84,27.91, 
