millis,GPS_Epoch_Time(s),outx(mm),outy(mm),outz(mm)
54558,1670185351.00,0.00,0.00,0.00,I
54761,1670185351.40,-47.37,-131.37,-75.07,I
54812,1670185351.80,-21.72,-151.53,-120.16,I
55164,1670185352.20,-20.25,-141.74,-138.31,I
55191,1670185352.60,-18.52,-130.26,-163.75,I
55218,1670185353.00,-16.57,-117.48,-187.09,I
55564,1670185353.40,-10.00,-142.15,-155.25,I
55969,1670185353.80,-67.76,-60.26,-37.58,I
56365,1670185354.20,-96.24,8.07,-3.61,I
56762,1670185354.60,-69.22,-0.25,70.70,I
57157,1670185355.00,-108.96,10.63,98.88,I
57554,1670185355.40,-74.32,20.61,47.37,I
57956,1670185355.80,-28.91,13.59,49.19,I
58365,1670185356.20,-133.93,106.61,80.29,I
58761,1670185356.60,-198.06,246.47,173.46,I
59164,1670185357.00,-163.38,288.38,194.44,I
59564,1670185357.40,-99.09,202.19,79.10,I
59959,1670185357.80,-12.21,80.09,-43.13,I
61573,1670185358.20,43.65,13.86,-59.20,I
61753,1670185358.60,59.16,-72.31,22.79,I
61814,1670185359.00,87.52,-57.27,165.58,I
62357,1670185359.40,105.87,-17.60,298.47,I
62384,1670185359.80,120.16,15.07,359.40,I
62414,1670185360.20,130.77,41.44,376.92,I
62756,1670185360.60,205.98,36.21,377.46,I
63156,1670185361.00,263.22,112.95,359.31,I
63559,1670185361.40,304.49,123.15,280.41,I
63963,1670185361.80,363.82,112.68,289.82, 
64362,1670185362.20,355.44,200.06,238.86, 
64751,1670185362.60,308.49,347.66,174.96, 
65159,1670185363.00,279.40,392.46,25.72, 
65560,1670185363.40,296.95,335.40,-140.73, 
65949,1670185363.80,270.63,264.36,-265.54, 
66349,1670185364.20,225.29,199.24,-378.22, 
66752,1670185364.60,181.33,107.69,-497.11, 
67147,1670185365.00,107.77,-4.27,-606.26, 
67557,1670185365.40,58.23,-130.32,-638.37, 
67948,1670185365.80,13.61,-198.79,-626.81, 
68356,1670185366.20,-56.66,-268.63,-614.47, 
68757,1670185366.60,-147.83,-338.68,-473.97, 
69156,1670185367.00,-253.76,-323.91,-365.22, 
69545,1670185367.40,-320.78,-340.24,-281.85, 
69951,1670185367.80,-354.81,-363.76,-197.77, 
70342,1670185368.20,-345.19,-359.87,-132.40, 
70748,1670185368.60,-364.69,-316.63,-66.13, 
71155,1670185369.00,-422.74,-243.18,74.74, 
71555,1670185369.40,-461.67,-162.78,133.93, 
71946,1670185369.80,-435.54,-191.76,136.14, 
72351,1670185370.20,-389.35,-210.10,86.27, 
72751,1670185370.60,-343.56,-203.10,99.34, 
73150,1670185371.00,-298.51,-207.76,168.82, 
73541,1670185371.40,-208.07,-205.21,243.49, 
73949,1670185371.80,-144.44,-147.43,280.26, 
74340,1670185372.20,-119.44,-63.25,361.52, 
74747,1670185372.60,-78.32,41.38,445.88, 
75139,1670185373.00,-25.84,110.19,386.49, 
75540,1670185373.40,4.41,165.75,387.71, 
75948,1670185373.80,61.86,209.35,304.70, 
76341,1670185374.20,109.53,259.21,335.99, 
76746,1670185374.60,117.93,344.91,354.98, 
77137,1670185375.00,219.68,341.82,203.20, 
77539,1670185375.40,299.20,317.21,60.33, 
77938,1670185375.80,310.60,307.60,99.96, 
78338,1670185376.20,331.11,293.72,131.14, 
78739,1670185376.60,358.07,293.27,59.02, 
79138,1670185377.00,294.43,286.18,-9.68, 
79546,1670185377.40,284.21,306.55,11.52, 
79937,1670185377.80,334.50,281.89,-99.49, 
80334,1670185378.20,271.80,221.19,-251.57, 
80732,1670185378.60,246.32,149.46,-349.07, 
81145,1670185379.00,235.64,3.98,-464.68, 
81545,1670185379.40,204.50,-98.46,-501.49, 
81938,1670185379.80,157.25,-181.15,-432.55, 
82345,1670185380.20,146.06,-328.31,-438.74, 
82745,1670185380.60,52.91,-376.20,-411.46, 
83142,1670185381.00,-73.77,-342.12,-303.70, 
83531,1670185381.40,-160.30,-276.54,-215.40, 
83937,1670185381.80,-260.90,-218.91,-77.18, 
84340,1670185382.20,-273.87,-168.57,46.49, 
84740,1670185382.60,-280.31,-75.75,113.01, 
85131,1670185383.00,-264.95,-49.04,97.35, 
85540,1670185383.40,-169.53,-107.98,95.61, 
85938,1670185383.80,-90.37,-136.80,222.06, 
86337,1670185384.20,-41.90,-91.49,283.94, 
86730,1670185384.60,-19.02,-3.63,205.71, 
87130,1670185385.00,-63.60,18.21,67.47, 
87527,1670185385.40,-52.22,19.72,31.42, 
87937,1670185385.80,-42.62,20.98,77.16, 
88326,1670185386.20,-81.07,54.18,91.83, 
88727,1670185386.60,-79.37,63.96,95.45, 
89124,1670185387.00,-76.68,86.88,109.68, 
89530,1670185387.40,-88.34,103.64,91.77, 
89939,1670185387.80,-65.54,82.80,65.31, 
90324,1670185388.20,-76.27,80.41,20.86, 
90724,1670185388.60,-67.94,60.58,-46.94, 
91121,1670185389.00,-28.32,43.18,-117.66, 
91535,1670185389.40,-11.75,-37.21,-94.33, 
91926,1670185389.80,-28.27,-68.05,24.63, 
92334,1670185390.20,-120.95,-10.15,-49.49, 
92721,1670185390.60,-143.86,-12.79,-117.70, 
93124,1670185391.00,-142.28,-96.95,-50.87, 
93523,1670185391.40,-120.85,-145.38,12.13, 
93929,1670185391.80,-99.84,-213.95,59.09, 
94330,1670185392.20,-49.01,-230.79,158.29, 
94730,1670185392.60,-20.82,-271.56,329.22, 
95121,1670185393.00,19.10,-248.02,489.27, 
95531,1670185393.40,22.04,-156.92,427.39, 
95930,1670185393.80,40.87,-110.71,452.75, 
96327,1670185394.20,136.38,-52.98,470.87, 
96729,1670185394.60,179.52,45.97,419.52, 
97118,1670185395.00,211.71,159.81,309.27, 
97529,1670185395.40,234.18,299.12,312.65, 
97931,1670185395.80,231.99,422.47,242.06, 
98318,1670185396.20,209.77,497.70,79.21, 
98717,1670185396.60,268.18,448.97,-136.58, 
99127,1670185397.00,309.20,368.26,-269.57, 
99516,1670185397.40,254.52,360.50,-269.68, 
99930,1670185397.80,189.11,312.53,-310.44, 
100325,1670185398.20,162.63,249.84,-371.91, 
100724,1670185398.60,105.10,241.48,-425.92, 
101115,1670185399.00,23.67,194.23,-384.73, 
101513,1670185399.40,-12.74,117.32,-394.50, 
101931,1670185399.80,-74.88,34.08,-479.27, 
102320,1670185400.20,-78.56,-118.76,-545.80, 
102719,1670185400.60,-96.88,-241.90,-620.55, 
103120,1670185401.00,-174.74,-289.21,-568.95, 
103514,1670185401.40,-186.79,-339.65,-567.30, 
103931,1670185401.80,-274.29,-375.02,-494.95, 
104318,1670185402.20,-339.65,-347.94,-332.69, 
104712,1670185402.60,-321.07,-320.06,-218.24, 
105117,1670185403.00,-347.73,-291.69,-137.84, 
105515,1670185403.40,-361.34,-230.95,-15.51, 
105912,1670185403.80,-363.66,-209.55,74.57, 
106317,1670185404.20,-324.15,-220.73,77.96, 
106711,1670185404.60,-299.67,-207.41,78.82, 
