millis,GPS_Epoch_Time(s),outx(mm),outy(mm),outz(mm)
51699,1668878971.00,0.00,0.00,0.00,I
51863,1668878971.40,31.28,131.37,-3.57,I
51912,1668878971.80,24.38,134.55,-36.75,I
51970,1668878972.20,18.24,117.78,6.30,I
52367,1668878972.60,-2.36,69.11,49.68,I
52766,1668878973.00,11.44,44.02,114.67,I
53170,1668878973.40,-8.24,71.36,181.15,I
53575,1668878973.80,38.58,-23.51,260.57,I
53966,1668878974.20,91.22,-133.03,199.95,I
54366,1668878974.60,115.09,-120.46,119.15,I
54763,1668878975.00,115.23,-10.10,4.92,I
55175,1668878975.40,112.23,95.01,-23.84,I
55564,1668878975.80,44.05,241.81,-59.42,I
55967,1668878976.20,-76.83,320.26,-154.20,I
56360,1668878976.60,-108.65,292.60,-265.66,I
56760,1668878977.00,-86.13,180.88,-300.21,I
57171,1668878977.40,-18.61,52.06,-267.49,I
57571,1668878977.80,19.22,-54.84,-272.30,I
57960,1668878978.20,16.32,-124.89,-319.21,I
58386,1668878978.60,-2.24,-197.78,-349.27,I
58771,1668878979.00,13.49,-287.28,-351.24,I
59166,1668878979.40,-69.65,-272.55,-403.38,I
59561,1668878979.80,-167.69,-305.58,-269.68,I
59963,1668878980.20,-259.28,-245.33,26.76,I
61100,1668878980.60,-295.14,-175.57,177.60,I
61173,1668878981.00,-222.58,-247.75,258.40, 
61224,1668878981.40,-62.49,-365.74,319.48, 
61554,1668878981.80,-43.70,-369.97,296.06, 
61956,1668878982.20,-74.18,-315.38,263.11, 
62353,1668878982.60,-63.83,-247.36,267.57, 
62754,1668878983.00,-53.01,-136.52,334.67, 
63162,1668878983.40,-58.00,55.75,366.12, 
63563,1668878983.80,-59.36,244.02,297.21, 
63963,1668878984.20,-26.36,326.52,301.67, 
64354,1668878984.60,17.49,255.96,200.88, 
64757,1668878985.00,7.48,112.99,155.13, 
65163,1668878985.40,63.58,-19.88,85.40, 
65634,1668878985.80,157.14,-9.51,119.28, 
65964,1668878986.20,166.01,147.73,189.73, 
66353,1668878986.60,140.52,304.85,190.27, 
66750,1668878987.00,148.65,326.78,185.33, 
67162,1668878987.40,169.07,271.59,102.47, 
67549,1668878987.80,151.32,254.54,-67.26, 
67948,1668878988.20,134.44,201.92,-286.97, 
68349,1668878988.60,133.60,187.74,-379.16, 
68773,1668878989.00,51.61,171.30,-368.46, 
69160,1668878989.40,-47.31,136.15,-260.73, 
69560,1668878989.80,-77.23,120.46,-107.53, 
69959,1668878990.20,-115.43,152.65,-11.25, 
70354,1668878990.60,-159.31,157.04,-48.45, 
70744,1668878991.00,-110.96,104.80,-151.65, 
71161,1668878991.40,42.66,-72.40,-267.84, 
71557,1668878991.80,149.61,-215.56,-282.62, 
71944,1668878992.20,168.41,-229.85,-194.80, 
72345,1668878992.60,133.77,-173.31,-119.23, 
72744,1668878993.00,149.76,-207.54,-115.67, 
73162,1668878993.40,143.22,-232.26,-99.12, 
73543,1668878993.80,104.26,-200.28,70.64, 
73955,1668878994.20,70.32,-72.31,181.76, 
74352,1668878994.60,56.19,-2.26,186.09, 
74741,1668878995.00,27.75,-127.59,108.93, 
75143,1668878995.40,66.12,-209.27,-49.08, 
75550,1668878995.80,78.46,-254.83,-192.52, 
75950,1668878996.20,85.62,-384.48,-208.36, 
76351,1668878996.60,57.02,-479.96,-248.14, 
76750,1668878997.00,-15.86,-332.59,-244.21, 
77148,1668878997.40,-75.36,-155.75,-241.58, 
77543,1668878997.80,-106.75,-74.88,-241.43, 
77948,1668878998.20,-84.42,-55.52,-97.20, 
78346,1668878998.60,-1.56,-134.87,178.51, 
78749,1668878999.00,95.90,-177.03,270.34, 
79138,1668878999.40,74.13,-154.18,262.52, 
79544,1668878999.80,7.11,-48.06,321.22, 
79937,1668879000.20,-17.07,57.51,353.85, 
80347,1668879000.60,-68.98,144.36,286.68, 
80738,1668879001.00,-94.60,198.18,122.63, 
81145,1668879001.40,-114.59,175.04,18.26, 
81547,1668879001.80,-114.34,89.65,136.39, 
81944,1668879002.20,-49.47,-10.84,242.57, 
82345,1668879002.60,-45.82,125.45,356.24, 
82747,1668879003.00,-105.59,350.33,393.44, 
83138,1668879003.40,-73.63,377.42,247.29, 
83535,1668879003.80,16.99,311.90,132.86, 
83933,1668879004.20,24.01,319.67,116.63, 
84334,1668879004.60,28.15,287.31,61.27, 
84736,1668879005.00,-1.46,256.13,-23.57, 
85133,1668879005.40,-11.04,194.03,-216.09, 
85575,1668879005.80,-49.93,172.49,-446.87, 
85942,1668879006.20,-97.17,167.58,-530.42, 
86341,1668879006.60,-87.40,29.29,-554.20, 
86743,1668879007.00,-62.42,-82.64,-520.75, 
87142,1668879007.40,-120.40,-88.76,-231.36, 
87535,1668879007.80,-117.50,39.33,44.79, 
87932,1668879008.20,-81.77,123.89,245.48, 
88330,1668879008.60,-51.63,139.39,161.25, 
88737,1668879009.00,-72.98,164.17,-64.96, 
89128,1668879009.40,-58.20,130.36,-227.67, 
89530,1668879009.80,-12.87,17.87,-168.55, 
89927,1668879010.20,-23.51,-24.95,-50.50, 
90329,1668879010.60,-46.57,21.17,143.70, 
90726,1668879011.00,-63.82,7.04,326.76, 
91138,1668879011.40,-108.10,27.06,316.06, 
91527,1668879011.80,-140.77,73.94,209.67, 
91936,1668879012.20,-163.20,91.14,43.69, 
92323,1668879012.60,-160.59,35.73,-59.40, 
92735,1668879013.00,-91.21,-93.83,-142.85, 
93126,1668879013.40,-32.13,-197.84,-262.24, 
93536,1668879013.80,-93.26,-228.90,-214.50, 
93925,1668879014.20,-154.57,-250.59,-61.14, 
