GPS_Epoch_Time(s),lat(deg),lat(min*1e5),long(deg),long(min*1e5)
1660667440.00,-14,-2197088,-170,-4586552
1660667500.40,-14,-2197119,-170,-4586485
1660667560.80,-14,-2197031,-170,-4586474
1660667621.20,-14,-2197064,-170,-4586544
1660667680.80,-14,-2197143,-170,-4586425
1660667741.60,-14,-2197142,-170,-4586458
1660667802.00,-14,-2197105,-170,-4586417
1660667862.40,-14,-2197162,-170,-4586247
1660667922.80,-14,-2197151,-170,-4586105
1660667983.20,-14,-2197114,-170,-4586116
1660668043.60,-14,-2197183,-170,-4586087
1660668104.00,-14,-2197169,-170,-4586131
1660668164.40,-14,-2197204,-170,-4586136
1660668224.80,-14,-2197200,-170,-4586015
1660668285.20,-14,-2197246,-170,-4585930
1660668345.60,-14,-2197066,-170,-4586042
1660668405.60,-14,-2197092,-170,-4586098
1660668466.40,-14,-2197028,-170,-4586241
1660668526.80,-14,-2197077,-170,-4586301
1660668587.20,-14,-2197149,-170,-4586219
1660668647.60,-14,-2197051,-170,-4586174
1660668708.00,-14,-2197092,-170,-4586083
1660668768.40,-14,-2197093,-170,-4586082
1660668828.80,-14,-2197161,-170,-4586179
1660668889.20,-14,-2197119,-170,-4586157
1660668949.60,-14,-2197109,-170,-4586198
1660669010.00,-14,-2197153,-170,-4586149
1660669070.40,-14,-2197032,-170,-4586239
1660669130.80,-14,-2197045,-170,-4586349
1660669191.20,-14,-2197059,-170,-4586573
1660669251.60,-14,-2196954,-170,-4586579
1660669312.00,-14,-2196991,-170,-4586627
1660669372.40,-14,-2197011,-170,-4586661
1660669432.80,-14,-2197100,-170,-4586670
1660669493.20,-14,-2196965,-170,-4586506
1660669553.60,-14,-2196998,-170,-4586486
1660669614.00,-14,-2197043,-170,-4586447
1660669674.40,-14,-2196852,-170,-4586601
1660669734.80,-14,-2197014,-170,-4586658
1660669795.20,-14,-2196959,-170,-4586588
1660669855.60,-14,-2197009,-170,-4586492
1660669916.00,-14,-2197010,-170,-4586412
1660669976.40,-14,-2196954,-170,-4586374
1660670036.80,-14,-2196995,-170,-4586258
1660670097.20,-14,-2196968,-170,-4586184
1660670157.60,-14,-2196951,-170,-4586288
1660670218.00,-14,-2197001,-170,-4586381
1660670278.40,-14,-2197046,-170,-4586471
1660670338.80,-14,-2197104,-170,-4586454
1660670399.20,-14,-2197117,-170,-4586380
1660670459.60,-14,-2197103,-170,-4586211
1660670520.00,-14,-2197161,-170,-4586151
1660670580.40,-14,-2197096,-170,-4586038
1660670640.80,-14,-2197194,-170,-4585978
1660670701.20,-14,-2197064,-170,-4586033
1660670761.60,-14,-2197057,-170,-4586183
1660670822.00,-14,-2197031,-170,-4586334
1660670882.40,-14,-2197139,-170,-4586462
1660670942.80,-14,-2197172,-170,-4586387
1660671003.20,-14,-2197035,-170,-4586207
1660671063.60,-14,-2196976,-170,-4586236
1660671124.00,-14,-2197011,-170,-4586334
1660671184.40,-14,-2197117,-170,-4586404
1660671244.80,-14,-2196964,-170,-4586438
1660671305.20,-14,-2197026,-170,-4586421
1660671365.60,-14,-2196914,-170,-4586408
1660671426.00,-14,-2196985,-170,-4586534
1660671486.40,-14,-2196981,-170,-4586541
1660671546.80,-14,-2196957,-170,-4586607
1660671607.20,-14,-2196911,-170,-4586523
1660671667.60,-14,-2196995,-170,-4586634
1660671728.00,-14,-2196814,-170,-4586630
1660671788.40,-14,-2196895,-170,-4586745
1660671848.80,-14,-2197001,-170,-4586806
1660671909.20,-14,-2197041,-170,-4586844
1660671969.60,-14,-2197001,-170,-4586721
1660672030.00,-14,-2196951,-170,-4586438
1660672090.40,-14,-2197006,-170,-4586186
1660672150.80,-14,-2197029,-170,-4586004
1660672210.40,-14,-2196957,-170,-4585846
1660672271.20,-14,-2197119,-170,-4585754
1660672331.60,-14,-2197125,-170,-4585830
