epoch,link,log type,data
1666009981.00,0,BSYS,583115615,enable SM bus
1666009981.00,0,BSYS,583115616,INFO,ss until ms 583120616
1666009985.99,0,BSYS,583120616,disable SM bus
1666009985.99,0,BSYS,583120617,INFO,next ss et 1666010041
1666010041.00,0,BSYS,583176161,enable SM bus
1666010041.00,0,BSYS,583176162,INFO,ss until ms 583181162
1666010045.99,0,BSYS,583181162,disable SM bus
1666010045.99,0,BSYS,583181163,INFO,next ss et 1666010101
1666010101.00,0,BSYS,583236280,enable SM bus
1666010101.00,0,BSYS,583236281,INFO,ss until ms 583241281
1666010105.99,0,BSYS,583241281,disable SM bus
1666010105.99,0,BSYS,583241282,INFO,next ss et 1666010161
1666010161.00,0,BSYS,583296410,enable SM bus
1666010161.00,0,BSYS,583296411,INFO,ss until ms 583301411
1666010165.98,0,BSYS,583301411,disable SM bus
1666010165.98,0,BSYS,583301412,INFO,next ss et 1666010221
1666010221.00,0,BSYS,583355557,enable SM bus
1666010221.00,0,BSYS,583355558,INFO,ss until ms 583360558
1666010221.00,0,BSYS,583355559,INFO,inc new sample
1666010221.00,0,BSYS,583355561,INFO,sample 5 complete
1666010221.00,0,BSYS,583355562,INFO,submitting mes
1666010221.00,0,BSYS,583355564,INFO,old crc 700D, new crc 700D
1666010221.00,0,BSYS,583355566,INFO,next ss et 1666010221
1666010221.00,0,BSYS,583355568,INFO,next sa et 1666010821
1666010221.01,0,BSYS,583355579,INFO,set mes TO to 586975579
1666010225.99,0,BSYS,583360558,disable SM bus
1666010225.99,0,BSYS,583360559,INFO,next ss et 1666010281
1666010281.00,0,BSYS,583415647,enable SM bus
1666010281.00,0,BSYS,583415648,INFO,ss until ms 583420648
1666010285.99,0,BSYS,583420648,disable SM bus
1666010285.99,0,BSYS,583420649,INFO,next ss et 1666010341
1666010341.00,0,BSYS,583475866,enable SM bus
1666010341.00,0,BSYS,583475867,INFO,ss until ms 583480867
1666010345.99,0,BSYS,583480867,disable SM bus
1666010345.99,0,BSYS,583480868,INFO,next ss et 1666010401
1666010401.00,0,BSYS,583536037,enable SM bus
1666010401.00,0,BSYS,583536038,INFO,ss until ms 583541038
1666010405.98,0,BSYS,583541038,disable SM bus
1666010405.98,0,BSYS,583541039,INFO,next ss et 1666010461
1666010461.00,0,BSYS,583596159,enable SM bus
1666010461.00,0,BSYS,583596160,INFO,ss until ms 583601160
1666010465.99,0,BSYS,583601160,disable SM bus
1666010465.99,0,BSYS,583601161,INFO,next ss et 1666010521
1666010521.00,0,BSYS,583656267,enable SM bus
1666010521.00,0,BSYS,583656268,INFO,ss until ms 583661268
1666010525.99,0,BSYS,583661268,disable SM bus
1666010525.99,0,BSYS,583661269,INFO,next ss et 1666010581
1666010581.00,0,BSYS,583715377,enable SM bus
1666010581.00,0,BSYS,583715378,INFO,ss until ms 583720378
1666010586.48,0,BSYS,583720378,disable SM bus
1666010586.48,0,BSYS,583720379,INFO,next ss et 1666010641
1666010641.00,0,BSYS,583775759,enable SM bus
1666010641.00,0,BSYS,583775760,INFO,ss until ms 583780760
1666010645.99,0,BSYS,583780760,disable SM bus
1666010645.99,0,BSYS,583780761,INFO,next ss et 1666010701
1666010701.00,0,BSYS,583835923,enable SM bus
1666010701.00,0,BSYS,583835924,INFO,ss until ms 583840924
1666010705.99,0,BSYS,583840924,disable SM bus
1666010705.99,0,BSYS,583840925,INFO,next ss et 1666010761
1666010761.00,0,BSYS,583896036,enable SM bus
1666010761.00,0,BSYS,583896037,INFO,ss until ms 583901037
1666010765.98,0,BSYS,583901037,disable SM bus
1666010765.98,0,BSYS,583901038,INFO,next ss et 1666010821
1666010821.00,0,BSYS,583956153,enable SM bus
1666010821.00,0,BSYS,583956154,INFO,ss until ms 583961154
1666010821.00,0,BSYS,583956155,INFO,inc new sample
1666010821.00,0,BSYS,583956157,INFO,sample 0 complete
1666010821.00,0,BSYS,583956158,INFO,next ss et 1666010821
1666010821.00,0,BSYS,583956160,INFO,next sa et 1666011421
1666010825.98,0,BSYS,583961154,disable SM bus
1666010825.98,0,BSYS,583961155,INFO,next ss et 1666010881
1666010881.00,0,BSYS,584016310,enable SM bus
1666010881.00,0,BSYS,584016311,INFO,ss until ms 584021311
1666010885.98,0,BSYS,584021311,disable SM bus
1666010885.98,0,BSYS,584021312,INFO,next ss et 1666010941
1666010941.00,0,BSYS,584076435,enable SM bus
1666010941.00,0,BSYS,584076436,INFO,ss until ms 584081436
1666010945.99,0,BSYS,584081436,disable SM bus
1666010945.99,0,BSYS,584081437,INFO,next ss et 1666011001
1666011001.00,0,BSYS,584136547,enable SM bus
1666011001.00,0,BSYS,584136548,INFO,ss until ms 584141548
1666011005.99,0,BSYS,584141548,disable SM bus
1666011005.99,0,BSYS,584141549,INFO,next ss et 1666011061
1666011061.00,0,BSYS,584195533,enable SM bus
1666011061.00,0,BSYS,584195534,INFO,ss until ms 584200534
1666011066.46,0,BSYS,584200534,disable SM bus
1666011066.46,0,BSYS,584200535,INFO,next ss et 1666011121
1666011121.00,0,BSYS,584256122,enable SM bus
1666011121.00,0,BSYS,584256123,INFO,ss until ms 584261123
1666011125.97,0,BSYS,584261123,disable SM bus
1666011125.97,0,BSYS,584261124,INFO,next ss et 1666011181
1666011181.00,0,BSYS,584316224,enable SM bus
1666011181.00,0,BSYS,584316225,INFO,ss until ms 584321225
1666011185.99,0,BSYS,584321225,disable SM bus
1666011185.99,0,BSYS,584321226,INFO,next ss et 1666011241
1666011241.00,0,BSYS,584376342,enable SM bus
