epoch,link,log type,data
1662212387.99,0,BSYS,278668052,disable SM bus
1662212387.99,0,BSYS,278668053,INFO,next ss et 1662212443
1662212443.00,0,BSYS,278722197,enable SM bus
1662212443.00,0,BSYS,278722198,INFO,ss until ms 278727198
1662212447.99,0,BSYS,278727198,disable SM bus
1662212447.99,0,BSYS,278727199,INFO,next ss et 1662212503
1662212503.00,0,BSYS,278782303,enable SM bus
1662212503.00,0,BSYS,278782304,INFO,ss until ms 278787304
1662212507.99,0,BSYS,278787304,disable SM bus
1662212507.99,0,BSYS,278787305,INFO,next ss et 1662212563
1662212563.00,0,BSYS,278842481,enable SM bus
1662212563.00,0,BSYS,278842482,INFO,ss until ms 278847482
1662212567.99,0,BSYS,278847482,disable SM bus
1662212567.99,0,BSYS,278847483,INFO,next ss et 1662212623
1662212623.00,0,BSYS,278902620,enable SM bus
1662212623.00,0,BSYS,278902621,INFO,ss until ms 278907621
1662212627.99,0,BSYS,278907621,disable SM bus
1662212627.99,0,BSYS,278907622,INFO,next ss et 1662212683
1662212683.00,0,BSYS,278962735,enable SM bus
1662212683.00,0,BSYS,278962736,INFO,ss until ms 278967736
1662212687.99,0,BSYS,278967736,disable SM bus
1662212687.99,0,BSYS,278967737,INFO,next ss et 1662212743
1662212743.00,0,BSYS,279022069,enable SM bus
1662212743.00,0,BSYS,279022070,INFO,ss until ms 279027070
1662212747.99,0,BSYS,279027070,disable SM bus
1662212747.99,0,BSYS,279027071,INFO,next ss et 1662212803
1662212803.00,0,BSYS,279082184,enable SM bus
1662212803.00,0,BSYS,279082185,INFO,ss until ms 279087185
1662212803.00,0,BSYS,279082186,INFO,inc new sample
1662212803.00,0,BSYS,279082188,INFO,sample 0 complete
1662212803.00,0,BSYS,279082189,INFO,next ss et 1662212803
1662212803.00,0,BSYS,279082191,INFO,next sa et 1662213403
1662212807.99,0,BSYS,279087185,disable SM bus
1662212807.99,0,BSYS,279087186,INFO,next ss et 1662212863
1662212863.00,0,BSYS,279142290,enable SM bus
1662212863.00,0,BSYS,279142291,INFO,ss until ms 279147291
1662212867.99,0,BSYS,279147291,disable SM bus
1662212867.99,0,BSYS,279147292,INFO,next ss et 1662212923
1662212923.00,0,BSYS,279202441,enable SM bus
1662212923.00,0,BSYS,279202442,INFO,ss until ms 279207442
1662212927.99,0,BSYS,279207442,disable SM bus
1662212927.99,0,BSYS,279207443,INFO,next ss et 1662212983
1662212983.00,0,BSYS,279262552,enable SM bus
1662212983.00,0,BSYS,279262553,INFO,ss until ms 279267553
1662212987.99,0,BSYS,279267553,disable SM bus
1662212987.99,0,BSYS,279267554,INFO,next ss et 1662213043
1662213043.00,0,BSYS,279323139,enable SM bus
1662213043.00,0,BSYS,279323140,INFO,ss until ms 279328140
1662213047.99,0,BSYS,279328140,disable SM bus
1662213047.99,0,BSYS,279328141,INFO,next ss et 1662213103
1662213103.00,0,BSYS,279382278,enable SM bus
1662213103.00,0,BSYS,279382279,INFO,ss until ms 279387279
1662213107.99,0,BSYS,279387279,disable SM bus
1662213107.99,0,BSYS,279387280,INFO,next ss et 1662213163
1662213163.00,0,BSYS,279442400,enable SM bus
1662213163.00,0,BSYS,279442401,INFO,ss until ms 279447401
1662213167.98,0,BSYS,279447401,disable SM bus
1662213167.98,0,BSYS,279447402,INFO,next ss et 1662213223
1662213223.00,0,BSYS,279502509,enable SM bus
1662213223.00,0,BSYS,279502510,INFO,ss until ms 279507510
1662213227.99,0,BSYS,279507510,disable SM bus
1662213227.99,0,BSYS,279507511,INFO,next ss et 1662213283
1662213283.00,0,BSYS,279562618,enable SM bus
1662213283.00,0,BSYS,279562619,INFO,ss until ms 279567619
1662213287.99,0,BSYS,279567619,disable SM bus
1662213287.99,0,BSYS,279567620,INFO,next ss et 1662213343
1662213343.00,0,BSYS,279622757,enable SM bus
1662213343.00,0,BSYS,279622758,INFO,ss until ms 279627758
1662213347.99,0,BSYS,279627758,disable SM bus
1662213347.99,0,BSYS,279627759,INFO,next ss et 1662213403
1662213403.00,0,BSYS,279682867,enable SM bus
1662213403.00,0,BSYS,279682868,INFO,ss until ms 279687868
1662213403.00,0,BSYS,279682869,INFO,inc new sample
1662213403.00,0,BSYS,279682871,INFO,sample 1 complete
1662213403.00,0,BSYS,279682872,INFO,next ss et 1662213403
1662213403.00,0,BSYS,279682874,INFO,next sa et 1662214003
1662213407.98,0,BSYS,279687868,disable SM bus
1662213407.98,0,BSYS,279687869,INFO,next ss et 1662213463
1662213463.00,0,BSYS,279742982,enable SM bus
1662213463.00,0,BSYS,279742983,INFO,ss until ms 279747983
1662213467.99,0,BSYS,279747983,disable SM bus
1662213467.99,0,BSYS,279747984,INFO,next ss et 1662213523
1662213523.00,0,BSYS,279801189,enable SM bus
1662213523.00,0,BSYS,279801190,INFO,ss until ms 279806190
1662213526.50,0,BSYS,279806190,disable SM bus
1662213526.50,0,BSYS,279806191,INFO,next ss et 1662213583
1662213583.00,0,BSYS,279862590,enable SM bus
1662213583.00,0,BSYS,279862591,INFO,ss until ms 279867591
1662213587.99,0,BSYS,279867591,disable SM bus
1662213587.99,0,BSYS,279867592,INFO,next ss et 1662213643
1662213643.00,0,BSYS,279922696,enable SM bus
1662213643.00,0,BSYS,279922697,INFO,ss until ms 279927697
1662213647.99,0,BSYS,279927697,disable SM bus
1662213647.99,0,BSYS,279927698,INFO,next ss et 1662213703
1662213703.00,0,BSYS,279982815,enable SM bus
1662213703.00,0,BSYS,279982816,INFO,ss until ms 279987816
1662213707.99,0,BSYS,279987816,disable SM bus
1662213707.99,0,BSYS,279987817,INFO,next ss et 1662213763
1662213763.00,0,BSYS,280042982,enable SM bus
1662213763.00,0,BSYS,280042983,INFO,ss until ms 280047983
1662213767.97,0,BSYS,280047983,disable SM bus
1662213767.97,0,BSYS,280047984,INFO,next ss et 1662213823
1662213823.00,0,BSYS,280103076,enable SM bus
1662213823.00,0,BSYS,280103077,INFO,ss until ms 280108077
1662213827.99,0,BSYS,280108077,disable SM bus
1662213827.99,0,BSYS,280108078,INFO,next ss et 1662213883
1662213883.00,0,BSYS,280163202,enable SM bus
1662213883.00,0,BSYS,280163203,INFO,ss until ms 280168203
1662213887.99,0,BSYS,280168203,disable SM bus
1662213887.99,0,BSYS,280168204,INFO,next ss et 1662213943
1662213943.00,0,BSYS,280223303,enable SM bus
1662213943.00,0,BSYS,280223304,INFO,ss until ms 280228304
1662213947.99,0,BSYS,280228304,disable SM bus
1662213947.99,0,BSYS,280228305,INFO,next ss et 1662214003
1662214003.00,0,BSYS,280282429,enable SM bus
1662214003.00,0,BSYS,280282430,INFO,ss until ms 280287430
1662214003.00,0,BSYS,280282431,INFO,inc new sample
1662214003.00,0,BSYS,280282433,INFO,sample 2 complete
1662214003.00,0,BSYS,280282434,INFO,next ss et 1662214003
1662214003.00,0,BSYS,280282436,INFO,next sa et 1662214603
1662214007.97,0,BSYS,280287430,disable SM bus
