GPS_Epoch_Time(s),lat(deg),lat(min*1e5),long(deg),long(min*1e5)
1667233561.20,-14,-2198296,-170,-4586513
1667233622.00,-14,-2198304,-170,-4586511
1667233682.40,-14,-2198395,-170,-4586477
1667233742.80,-14,-2198389,-170,-4586482
1667233803.20,-14,-2198371,-170,-4586482
1667233863.60,-14,-2198369,-170,-4586494
1667233924.00,-14,-2198400,-170,-4586464
1667233984.40,-14,-2198451,-170,-4586434
1667234044.80,-14,-2198459,-170,-4586439
1667234105.20,-14,-2198491,-170,-4586404
1667234165.60,-14,-2198484,-170,-4586403
1667234226.00,-14,-2198544,-170,-4586426
1667234286.40,-14,-2198526,-170,-4586409
1667234346.80,-14,-2198567,-170,-4586360
1667234407.20,-14,-2198571,-170,-4586357
1667234467.60,-14,-2198581,-170,-4586357
1667234528.00,-14,-2198567,-170,-4586340
1667234588.40,-14,-2198554,-170,-4586353
1667234648.80,-14,-2198610,-170,-4586324
1667234709.20,-14,-2198631,-170,-4586305
1667234769.60,-14,-2198634,-170,-4586278
1667234830.00,-14,-2198622,-170,-4586288
1667234890.40,-14,-2198606,-170,-4586286
1667234950.80,-14,-2198619,-170,-4586241
1667235011.20,-14,-2198628,-170,-4586254
1667235071.60,-14,-2198613,-170,-4586264
1667235132.00,-14,-2198595,-170,-4586232
1667235192.40,-14,-2198505,-170,-4586273
1667235252.80,-14,-2198554,-170,-4586248
1667235313.20,-14,-2198557,-170,-4586233
1667235373.60,-14,-2198537,-170,-4586182
1667235434.00,-14,-2198557,-170,-4586191
1667235494.40,-14,-2198551,-170,-4586189
1667235554.80,-14,-2198534,-170,-4586185
1667235615.20,-14,-2198507,-170,-4586239
1667235675.60,-14,-2198457,-170,-4586199
1667235736.00,-14,-2198484,-170,-4586192
1667235796.40,-14,-2198421,-170,-4586213
1667235857.20,-14,-2198408,-170,-4586170
1667235917.60,-14,-2198392,-170,-4586163
1667235978.00,-14,-2198368,-170,-4586135
1667236038.40,-14,-2198359,-170,-4586167
1667236098.80,-14,-2198348,-170,-4586154
1667236159.20,-14,-2198392,-170,-4586155
1667236219.60,-14,-2198387,-170,-4586149
1667236280.00,-14,-2198360,-170,-4586158
1667236340.40,-14,-2198415,-170,-4586195
1667236400.80,-14,-2198439,-170,-4586186
1667236461.20,-14,-2198463,-170,-4586204
1667236521.20,-14,-2198469,-170,-4586189
1667236582.00,-14,-2198458,-170,-4586259
1667236642.40,-14,-2198410,-170,-4586256
1667236702.80,-14,-2198358,-170,-4586257
1667236763.20,-14,-2198405,-170,-4586305
1667236823.60,-14,-2198363,-170,-4586348
