GPS_Epoch_Time(s),lat(deg),lat(min*1e5),long(deg),long(min*1e5)
1654335396.80,-14,-2197507,-170,-4586214
1654335457.20,-14,-2197520,-170,-4586170
1654335517.60,-14,-2197460,-170,-4586115
1654335578.00,-14,-2197490,-170,-4585977
1654335638.40,-14,-2197497,-170,-4585913
1654335698.40,-14,-2197558,-170,-4585908
1654335759.20,-14,-2197552,-170,-4585844
1654335819.60,-14,-2197599,-170,-4585801
1654335880.00,-14,-2197580,-170,-4585808
1654335940.40,-14,-2197639,-170,-4585844
1654336000.80,-14,-2197603,-170,-4585828
1654336061.20,-14,-2197568,-170,-4585887
1654336121.60,-14,-2197489,-170,-4585829
1654336182.00,-14,-2197525,-170,-4585783
1654336242.40,-14,-2197525,-170,-4585773
1654336302.80,-14,-2197583,-170,-4585839
1654336363.20,-14,-2197553,-170,-4585823
1654336423.60,-14,-2197553,-170,-4585780
1654336484.00,-14,-2197539,-170,-4585797
1654336544.40,-14,-2197616,-170,-4585820
1654336604.80,-14,-2197589,-170,-4585775
1654336665.20,-14,-2197601,-170,-4585792
1654336725.60,-14,-2197568,-170,-4585798
1654336786.00,-14,-2197633,-170,-4585816
1654336846.40,-14,-2197597,-170,-4585803
1654336906.80,-14,-2197565,-170,-4585851
1654336967.20,-14,-2197582,-170,-4585816
1654337027.60,-14,-2197634,-170,-4585783
1654337088.00,-14,-2197659,-170,-4585748
1654337148.40,-14,-2197617,-170,-4585776
1654337208.40,-14,-2197563,-170,-4585753
1654337268.80,-14,-2197667,-170,-4585757
1654337329.20,-14,-2197658,-170,-4585733
1654337389.60,-14,-2197653,-170,-4585725
1654337450.00,-14,-2197601,-170,-4585718
1654337510.40,-14,-2197619,-170,-4585718
1654337570.80,-14,-2197663,-170,-4585734
1654337631.20,-14,-2197622,-170,-4585768
1654337691.60,-14,-2197588,-170,-4585775
1654337752.00,-14,-2197622,-170,-4585798
1654337812.40,-14,-2197614,-170,-4585783
1654337872.80,-14,-2197596,-170,-4585810
1654337933.20,-14,-2197584,-170,-4585776
1654337993.60,-14,-2197596,-170,-4585779
1654338054.00,-14,-2197623,-170,-4585777
1654338114.40,-14,-2197647,-170,-4585748
1654338174.80,-14,-2197588,-170,-4585748
1654338235.20,-14,-2197563,-170,-4585721
1654338295.60,-14,-2197612,-170,-4585727
1654338356.00,-14,-2197542,-170,-4585749
1654338416.40,-14,-2197511,-170,-4585825
1654338476.80,-14,-2197495,-170,-4585896
1654338537.20,-14,-2197491,-170,-4585903
1654338597.60,-14,-2197475,-170,-4585888
1654338658.00,-14,-2197458,-170,-4585920
1654338718.40,-14,-2197508,-170,-4585890
1654338778.40,-14,-2197390,-170,-4585835
1654338839.20,-14,-2197458,-170,-4585920
1654338899.60,-14,-2197450,-170,-4585965
1654338960.00,-14,-2197428,-170,-4585995
1654339020.40,-14,-2197436,-170,-4586017
1654339080.80,-14,-2197436,-170,-4585986
1654339141.20,-14,-2197411,-170,-4586016
1654339201.60,-14,-2197428,-170,-4586046
1654339262.00,-14,-2197420,-170,-4586102
1654339322.40,-14,-2197417,-170,-4586067
1654339382.80,-14,-2197427,-170,-4586105
1654339443.20,-14,-2197443,-170,-4586063
1654339503.20,-14,-2197464,-170,-4586070
1654339564.00,-14,-2197469,-170,-4586102
1654339624.40,-14,-2197477,-170,-4586078
1654339684.80,-14,-2197469,-170,-4586030
