millis,type,message
1658104473,INFO,0239_SYS.csv created
1658104803,WARN,Disabling IridiumMessageSender transmissions
1658106105,INFO,Completed analysis m: 2849 t: 1 e: 6
1658106130,INFO,Enabling IridiumMessageSender transmissions
1658155231,INFO,Starting analysis m: 2849 t: 1 e: 7
1658155511,WARN,Disabling IridiumMessageSender transmissions
1658156859,INFO,Completed analysis m: 2849 t: 1 e: 7
1658156883,INFO,Enabling IridiumMessageSender transmissions
1658206380,INFO,Starting analysis m: 2849 t: 1 e: 8
1658206703,WARN,Disabling IridiumMessageSender transmissions
1658208004,INFO,Completed analysis m: 2849 t: 1 e: 8
1658208028,INFO,Enabling IridiumMessageSender transmissions
1658219429,INFO,powerData | solV: 0.00
1658219452,INFO,powerData | solI: 0.00
1658219474,INFO,powerData | battV: 4.06
1658219499,INFO,powerData | battI: -0.07
1658219524,INFO,powerData | busV: 4.06
1658219544,INFO,powerData | busI: 0.06
1658219565,INFO,powerData | BQ status reg: 0
1658219585,INFO,powerData | Fault reg: 0
1658219610,INFO,powerData | Charge status: 0
1658219630,INFO,powerData | DPM status: 0
1658257526,INFO,Starting analysis m: 2849 t: 1 e: 9
1658257807,WARN,Disabling IridiumMessageSender transmissions
1658259122,INFO,Completed analysis m: 2849 t: 1 e: 9
1658259144,INFO,Enabling IridiumMessageSender transmissions
1658308675,INFO,Starting analysis m: 2849 t: 1 e: 10
1658308986,WARN,Disabling IridiumMessageSender transmissions
1658310277,INFO,Completed analysis m: 2849 t: 1 e: 10
1658310301,INFO,Enabling IridiumMessageSender transmissions
1658359808,INFO,Starting analysis m: 2849 t: 1 e: 11
1658360090,WARN,Disabling IridiumMessageSender transmissions
1658361401,INFO,Completed analysis m: 2849 t: 1 e: 11
1658361425,INFO,Enabling IridiumMessageSender transmissions
1658410962,INFO,Starting analysis m: 2849 t: 1 e: 12
1658411253,WARN,Disabling IridiumMessageSender transmissions
1658412498,INFO,Completed analysis m: 2849 t: 1 e: 12
1658412523,INFO,Enabling IridiumMessageSender transmissions
1658462109,INFO,Starting analysis m: 2849 t: 1 e: 13
1658462394,WARN,Disabling IridiumMessageSender transmissions
1658463698,INFO,Completed analysis m: 2849 t: 1 e: 13
1658463723,INFO,Enabling IridiumMessageSender transmissions
