GPS_Epoch_Time(s),lat(deg),lat(min*1e5),long(deg),long(min*1e5)
1662954710.40,-14,-2198752,-170,-4586976
1662954771.20,-14,-2198761,-170,-4586993
1662954831.60,-14,-2198747,-170,-4586960
1662954892.00,-14,-2198732,-170,-4586997
1662954952.40,-14,-2198768,-170,-4586950
1662955012.80,-14,-2198788,-170,-4586964
1662955073.20,-14,-2198714,-170,-4586936
1662955133.60,-14,-2198775,-170,-4586949
1662955194.00,-14,-2198756,-170,-4586987
1662955254.40,-14,-2198727,-170,-4586961
1662955314.80,-14,-2198780,-170,-4586956
1662955375.20,-14,-2198763,-170,-4586950
1662955435.60,-14,-2198762,-170,-4586936
1662955496.00,-14,-2198758,-170,-4586959
1662955556.40,-14,-2198716,-170,-4586984
1662955616.80,-14,-2198751,-170,-4587024
1662955677.20,-14,-2198761,-170,-4587005
1662955737.60,-14,-2198758,-170,-4586997
1662955798.00,-14,-2198759,-170,-4586964
1662955858.40,-14,-2198730,-170,-4586961
1662955918.80,-14,-2198772,-170,-4586925
1662955979.20,-14,-2198799,-170,-4586961
1662956039.60,-14,-2198800,-170,-4586980
1662956100.00,-14,-2198774,-170,-4586956
1662956160.40,-14,-2198808,-170,-4586937
1662956220.80,-14,-2198841,-170,-4586938
1662956281.20,-14,-2198901,-170,-4586945
1662956341.60,-14,-2198878,-170,-4586907
1662956402.00,-14,-2198904,-170,-4586917
1662956461.60,-14,-2198863,-170,-4586923
1662956522.40,-14,-2198870,-170,-4586901
1662956582.80,-14,-2198866,-170,-4586870
1662956643.20,-14,-2198890,-170,-4586821
1662956703.60,-14,-2198834,-170,-4586829
1662956764.00,-14,-2198865,-170,-4586832
1662956824.40,-14,-2198883,-170,-4586801
1662956884.80,-14,-2198948,-170,-4586783
1662956945.20,-14,-2198940,-170,-4586792
1662957005.60,-14,-2198919,-170,-4586748
1662957066.00,-14,-2198985,-170,-4586774
1662957126.40,-14,-2198993,-170,-4586795
1662957186.80,-14,-2198975,-170,-4586773
1662957247.20,-14,-2198948,-170,-4586810
1662957307.60,-14,-2198923,-170,-4586832
1662957368.00,-14,-2198938,-170,-4586817
1662957428.40,-14,-2198938,-170,-4586823
1662957488.80,-14,-2198978,-170,-4586818
1662957549.20,-14,-2198933,-170,-4586842
1662957609.60,-14,-2198957,-170,-4586807
1662957670.00,-14,-2198898,-170,-4586803
1662957730.40,-14,-2198965,-170,-4586809
1662957790.80,-14,-2198975,-170,-4586850
1662957851.20,-14,-2198896,-170,-4586852
1662957911.60,-14,-2198924,-170,-4586827
1662957972.00,-14,-2198979,-170,-4586852
1662958032.40,-14,-2198989,-170,-4586847
1662958092.80,-14,-2198962,-170,-4586769
1662958153.20,-14,-2198974,-170,-4586754
1662958213.60,-14,-2199028,-170,-4586741
1662958274.00,-14,-2199033,-170,-4586728
1662958334.40,-14,-2199025,-170,-4586726
1662958394.80,-14,-2199015,-170,-4586728
1662958455.20,-14,-2199024,-170,-4586660
1662958515.60,-14,-2199055,-170,-4586670
1662958576.00,-14,-2199049,-170,-4586709
1662958636.40,-14,-2199049,-170,-4586691
1662958696.80,-14,-2199077,-170,-4586654
1662958757.20,-14,-2199070,-170,-4586626
1662958817.60,-14,-2199075,-170,-4586562
1662958878.00,-14,-2199084,-170,-4586525
1662958938.40,-14,-2199083,-170,-4586560
1662958998.80,-14,-2199106,-170,-4586565
1662959059.20,-14,-2199073,-170,-4586575
1662959119.60,-14,-2199113,-170,-4586561
1662959180.00,-14,-2199128,-170,-4586552
1662959240.40,-14,-2199107,-170,-4586565
1662959300.80,-14,-2199070,-170,-4586553
1662959361.20,-14,-2199087,-170,-4586570
1662959421.60,-14,-2199052,-170,-4586572
1662959482.00,-14,-2199020,-170,-4586547
1662959542.40,-14,-2199044,-170,-4586553
1662959602.80,-14,-2199038,-170,-4586529
1662959663.20,-14,-2199064,-170,-4586534
1662959723.60,-14,-2199048,-170,-4586516
1662959784.00,-14,-2199088,-170,-4586541
1662959844.40,-14,-2199045,-170,-4586560
1662959904.80,-14,-2199046,-170,-4586547
1662959965.20,-14,-2199050,-170,-4586525
1662960025.60,-14,-2199042,-170,-4586527
1662960086.00,-14,-2199052,-170,-4586569
1662960146.40,-14,-2199080,-170,-4586588
