millis,GPS_Epoch_Time(s),outx(mm),outy(mm),outz(mm)
50501,1670185021.00,0.00,0.00,0.00,I
50743,1670185021.40,0.00,213.59,-96.52,I
50802,1670185021.80,63.45,182.53,-236.97,I
51511,1670185022.20,177.24,121.03,-312.83,I
51537,1670185022.60,264.40,68.38,-346.44,I
51564,1670185023.00,327.95,23.84,-338.68,I
51591,1670185023.40,370.76,-13.34,-297.39,I
51890,1670185023.80,331.11,-143.02,-255.51,I
52291,1670185024.20,241.74,-97.31,-222.54,I
52701,1670185024.60,115.75,-59.27,-102.27,I
53088,1670185025.00,25.37,-28.12,2.58,I
53499,1670185025.40,-82.92,-35.29,112.63,I
53899,1670185025.80,-187.18,8.32,242.34,I
54288,1670185026.20,-191.09,9.48,259.71,I
54695,1670185026.60,-128.57,-22.56,323.08,I
55099,1670185027.00,-46.15,-16.16,348.35,I
55490,1670185027.40,-13.88,-109.56,341.20,I
55898,1670185027.80,-22.54,-215.61,398.92,I
56291,1670185028.20,48.74,-263.14,393.41,I
56686,1670185028.60,-10.56,-229.29,378.77,I
57088,1670185029.00,-123.32,-148.44,361.93,I
57483,1670185029.40,-119.16,-127.87,243.05,I
57886,1670185029.80,-194.61,-156.77,78.44,I
58292,1670185030.20,-269.50,-208.36,-75.74,I
58683,1670185030.60,-263.39,-161.43,-234.32,I
59095,1670185031.00,-365.48,-70.16,-252.50,I
59494,1670185031.40,-505.21,39.71,-231.57,I
59891,1670185031.80,-558.85,113.02,-218.74, 
61511,1670185032.20,-605.84,171.47,-114.99, 
61884,1670185032.60,-581.25,167.44,32.83, 
61947,1670185033.00,-498.88,178.44,114.50, 
62285,1670185033.40,-330.00,152.80,110.84,V
62312,1670185033.80,-184.09,130.33,119.10,V
62339,1670185034.20,-59.27,110.70,116.01,V
62691,1670185034.60,51.60,125.82,99.22, 
63086,1670185035.00,159.75,120.07,68.05, 
63479,1670185035.40,215.10,81.46,80.41, 
63881,1670185035.80,226.80,49.38,144.22, 
64278,1670185036.20,235.22,39.25,146.73, 
64677,1670185036.60,256.73,14.69,77.41, 
65079,1670185037.00,304.12,27.34,13.47, 
65478,1670185037.40,244.03,102.57,1.59, 
65886,1670185037.80,161.33,144.93,52.19, 
66277,1670185038.20,94.28,110.67,144.55, 
66680,1670185038.60,25.04,129.02,223.48, 
67078,1670185039.00,-28.35,173.78,227.03, 
67485,1670185039.40,11.73,156.28,93.69, 
67876,1670185039.80,93.79,105.95,-42.26, 
68276,1670185040.20,160.37,62.34,-176.57, 
68685,1670185040.60,245.12,-8.16,-192.18, 
69074,1670185041.00,245.86,-65.70,-153.19, 
69472,1670185041.40,212.86,-46.34,-101.51, 
69871,1670185041.80,167.54,-79.21,-93.38, 
70270,1670185042.20,129.18,-88.86,-81.87, 
70672,1670185042.60,159.60,-128.73,-61.56, 
71071,1670185043.00,197.84,-158.80,-46.23, 
71473,1670185043.40,162.63,-114.92,-61.11, 
71872,1670185043.80,99.41,-77.78,-83.80, 
72278,1670185044.20,31.00,-30.64,-118.44, 
72681,1670185044.60,-56.28,40.52,-98.37, 
73070,1670185045.00,-60.26,31.07,-76.75, 
73467,1670185045.40,-45.55,22.37,-90.92, 
73869,1670185045.80,-1.81,-17.77,-174.50, 
74268,1670185046.20,49.96,-17.93,-234.01, 
74668,1670185046.60,59.64,14.00,-188.63, 
75079,1670185047.00,146.08,6.61,-182.28, 
75466,1670185047.40,196.39,-0.02,-153.49, 
75868,1670185047.80,105.54,26.26,-61.50, 
76277,1670185048.20,-2.02,63.14,-2.90, 
76666,1670185048.60,-40.32,106.73,-9.83, 
77064,1670185049.00,-54.42,73.28,-67.33, 
77473,1670185049.40,-18.39,-21.36,-148.87, 
77875,1670185049.80,74.93,-130.89,-166.39, 
78274,1670185050.20,147.74,-200.74,-111.39, 
78663,1670185050.60,154.05,-220.05,12.42, 
79063,1670185051.00,154.90,-182.03,111.05, 
79466,1670185051.40,134.99,-115.57,185.51, 
79863,1670185051.80,130.79,-75.80,113.67, 
