GPS_Epoch_Time(s),lat(deg),lat(min*1e5),long(deg),long(min*1e5)
1660906908.00,-14,-2197136,-170,-4586430
1660906968.80,-14,-2197158,-170,-4586467
1660907029.20,-14,-2197173,-170,-4586531
1660907089.60,-14,-2197151,-170,-4586595
1660907150.00,-14,-2197195,-170,-4586570
1660907210.40,-14,-2197234,-170,-4586447
1660907270.80,-14,-2197281,-170,-4586366
1660907331.20,-14,-2197260,-170,-4586321
1660907391.60,-14,-2197262,-170,-4586292
1660907452.00,-14,-2197234,-170,-4586303
1660907512.40,-14,-2197266,-170,-4586299
1660907572.80,-14,-2197251,-170,-4586236
1660907633.20,-14,-2197261,-170,-4586241
1660907693.60,-14,-2197313,-170,-4586241
1660907754.00,-14,-2197367,-170,-4586184
1660907814.40,-14,-2197391,-170,-4586053
1660907874.80,-14,-2197377,-170,-4586037
1660907935.20,-14,-2197249,-170,-4586099
1660907995.60,-14,-2197244,-170,-4586172
1660908056.00,-14,-2197281,-170,-4586270
1660908116.40,-14,-2197259,-170,-4586324
1660908176.80,-14,-2197251,-170,-4586350
1660908237.20,-14,-2197333,-170,-4586374
1660908297.60,-14,-2197251,-170,-4586368
1660908358.00,-14,-2197304,-170,-4586417
1660908418.40,-14,-2197281,-170,-4586484
1660908478.80,-14,-2197285,-170,-4586479
1660908539.20,-14,-2197335,-170,-4586549
1660908599.60,-14,-2197346,-170,-4586565
1660908660.00,-14,-2197301,-170,-4586543
1660908720.40,-14,-2197280,-170,-4586515
1660908780.80,-14,-2197219,-170,-4586534
1660908841.20,-14,-2197234,-170,-4586491
1660908901.60,-14,-2197275,-170,-4586464
1660908962.00,-14,-2197257,-170,-4586493
1660909022.40,-14,-2197332,-170,-4586497
1660909082.80,-14,-2197356,-170,-4586292
1660909143.20,-14,-2197189,-170,-4586286
1660909203.60,-14,-2197141,-170,-4586413
1660909264.00,-14,-2197124,-170,-4586546
1660909324.40,-14,-2197140,-170,-4586615
1660909384.80,-14,-2197247,-170,-4586706
1660909445.20,-14,-2197309,-170,-4586746
1660909505.60,-14,-2197402,-170,-4586691
