millis,GPS_Epoch_Time(s),outx(mm),outy(mm),outz(mm)
60010,1668971929.00,0.00,0.00,0.00,I
61095,1668971929.40,-31.28,147.46,159.97,I
61190,1668971929.80,-136.09,-164.81,318.59,I
61759,1668971930.20,-120.49,-129.30,443.72,I
61786,1668971930.60,-105.02,-97.89,452.01,I
61812,1668971931.00,-89.81,-70.28,389.87,I
61839,1668971931.40,-74.99,-46.20,267.48,I
61868,1668971931.80,-60.66,-25.37,98.91,I
62150,1668971932.20,-95.17,-157.67,-3.28,I
62543,1668971932.60,-41.05,-112.14,108.90,I
62953,1668971933.00,4.44,26.08,141.90,I
63354,1668971933.40,26.90,104.31,-2.21,I
63746,1668971933.80,30.40,132.67,-154.92,I
64153,1668971934.20,-14.44,236.45,-197.69,I
64557,1668971934.60,14.66,167.63,-221.84,I
64944,1668971935.00,54.20,125.18,-263.39,I
65347,1668971935.40,70.85,202.90,-371.35,I
65744,1668971935.80,99.10,146.25,-482.47,I
66230,1668971936.20,217.27,64.16,-416.20,I
66541,1668971936.60,196.53,61.60,-364.92,I
66949,1668971937.00,112.84,156.71,-442.43,I
67350,1668971937.40,107.18,211.70,-449.35,I
67749,1668971937.80,100.62,151.69,-501.64,I
68151,1668971938.20,93.31,49.62,-478.52,I
68550,1668971938.60,100.61,79.41,-312.46,I
68950,1668971939.00,120.21,181.96,-7.95,I
69339,1668971939.40,181.23,142.86,64.35,I
69740,1668971939.80,193.47,57.76,-87.72, 
70137,1668971940.20,150.82,17.84,-240.20, 
70549,1668971940.60,112.17,-98.61,-266.00, 
70936,1668971941.00,77.33,-176.49,-92.67, 
71335,1668971941.40,61.32,-220.73,93.07, 
71737,1668971941.80,-1.09,-237.70,123.95, 
72138,1668971942.20,-69.04,-133.87,168.50, 
72536,1668971942.60,-76.52,-98.76,267.64, 
72947,1668971943.00,-35.31,-87.24,243.75, 
73334,1668971943.40,-35.47,-77.79,209.06, 
73736,1668971943.80,-20.55,-53.16,214.50, 
74135,1668971944.20,22.21,-115.13,157.96, 
74547,1668971944.60,-56.68,-196.83,12.55, 
74934,1668971945.00,-88.45,-226.23,68.89, 
75339,1668971945.40,-129.94,-164.51,194.64, 
75732,1668971945.80,-162.12,-129.09,155.11, 
76134,1668971946.20,-185.98,-81.37,65.05, 
