GPS_Epoch_Time(s),lat(deg),lat(min*1e5),long(deg),long(min*1e5)
1661067616.40,-14,-2198346,-170,-4587097
1661067677.20,-14,-2198329,-170,-4587035
1661067737.60,-14,-2198271,-170,-4586987
1661067798.00,-14,-2198277,-170,-4587019
1661067858.40,-14,-2198278,-170,-4587040
1661067918.80,-14,-2198173,-170,-4587066
1661067979.20,-14,-2198060,-170,-4587037
1661068039.60,-14,-2198061,-170,-4586918
1661068100.00,-14,-2197880,-170,-4586807
1661068160.40,-14,-2197857,-170,-4586813
1661068220.80,-14,-2197754,-170,-4586849
1661068281.20,-14,-2197737,-170,-4586802
1661068341.60,-14,-2197694,-170,-4586758
1661068402.00,-14,-2197782,-170,-4586781
1661068462.40,-14,-2197850,-170,-4586837
1661068522.80,-14,-2198024,-170,-4586939
1661068583.20,-14,-2198034,-170,-4587035
1661068643.60,-14,-2198117,-170,-4587063
1661068704.00,-14,-2198018,-170,-4587037
1661068764.40,-14,-2197948,-170,-4586985
1661068824.80,-14,-2197904,-170,-4587001
1661068885.60,-14,-2197812,-170,-4586891
1661068946.00,-14,-2197628,-170,-4586897
1661069006.40,-14,-2197613,-170,-4586886
1661069066.80,-14,-2197645,-170,-4586966
1661069127.20,-14,-2197594,-170,-4586882
1661069187.60,-14,-2197552,-170,-4586831
1661069248.00,-14,-2197560,-170,-4586789
1661069308.40,-14,-2197572,-170,-4586750
1661069368.80,-14,-2197578,-170,-4586818
1661069429.20,-14,-2197540,-170,-4586928
1661069489.60,-14,-2197427,-170,-4586847
1661069549.60,-14,-2197501,-170,-4586905
1661069610.40,-14,-2197535,-170,-4586943
1661069670.80,-14,-2197465,-170,-4586920
1661069731.20,-14,-2197460,-170,-4586843
1661069791.60,-14,-2197326,-170,-4586724
1661069852.00,-14,-2197320,-170,-4586697
1661069912.40,-14,-2197324,-170,-4586705
1661069972.80,-14,-2197313,-170,-4586688
1661070033.20,-14,-2197350,-170,-4586693
1661070093.60,-14,-2197319,-170,-4586623
1661070154.00,-14,-2197331,-170,-4586656
1661070214.40,-14,-2197385,-170,-4586668
1661070274.80,-14,-2197443,-170,-4586687
1661070335.20,-14,-2197387,-170,-4586716
1661070395.60,-14,-2197400,-170,-4586667
1661070456.00,-14,-2197514,-170,-4586746
1661070516.40,-14,-2197641,-170,-4586791
1661070576.80,-14,-2197681,-170,-4586781
1661070637.20,-14,-2197640,-170,-4586892
1661070697.60,-14,-2197562,-170,-4586936
1661070758.00,-14,-2197488,-170,-4586938
1661070818.40,-14,-2197410,-170,-4586889
1661070878.80,-14,-2197301,-170,-4586734
1661070939.20,-14,-2197290,-170,-4586688
1661070999.60,-14,-2197289,-170,-4586626
1661071060.00,-14,-2197308,-170,-4586679
1661071120.40,-14,-2197378,-170,-4586770
1661071180.80,-14,-2197499,-170,-4586863
1661071241.20,-14,-2197493,-170,-4586857
1661071301.60,-14,-2197469,-170,-4586882
1661071362.00,-14,-2197410,-170,-4586751
1661071422.40,-14,-2197391,-170,-4586801
1661071482.80,-14,-2197463,-170,-4586792
1661071543.20,-14,-2197425,-170,-4586861
1661071603.60,-14,-2197500,-170,-4586920
1661071664.00,-14,-2197507,-170,-4586967
1661071724.40,-14,-2197578,-170,-4586901
1661071784.80,-14,-2197628,-170,-4586937
1661071845.20,-14,-2197586,-170,-4586965
1661071905.60,-14,-2197548,-170,-4586981
1661071966.00,-14,-2197511,-170,-4586915
1661072026.40,-14,-2197500,-170,-4586948
1661072086.80,-14,-2197450,-170,-4586928
1661072147.20,-14,-2197409,-170,-4586865
1661072207.60,-14,-2197361,-170,-4586849
1661072268.00,-14,-2197428,-170,-4586848
1661072328.40,-14,-2197358,-170,-4586807
1661072388.80,-14,-2197360,-170,-4586836
1661072449.20,-14,-2197412,-170,-4586757
1661072509.60,-14,-2197450,-170,-4586773
1661072570.00,-14,-2197513,-170,-4586829
1661072629.60,-14,-2197635,-170,-4586872
1661072690.40,-14,-2197708,-170,-4586922
1661072750.80,-14,-2197711,-170,-4586922
1661072811.20,-14,-2197657,-170,-4586941
1661072871.60,-14,-2197613,-170,-4586953
1661072932.00,-14,-2197684,-170,-4586994
1661072992.40,-14,-2197711,-170,-4587011
1661073052.80,-14,-2197738,-170,-4587033
1661073113.20,-14,-2197728,-170,-4587014
1661073173.60,-14,-2197643,-170,-4586988
1661073234.00,-14,-2197710,-170,-4586961
1661073294.40,-14,-2197580,-170,-4586929
1661073354.40,-14,-2197643,-170,-4586878
1661073415.20,-14,-2197679,-170,-4586876
1661073475.60,-14,-2197711,-170,-4586928
1661073536.00,-14,-2197648,-170,-4586911
1661073596.40,-14,-2197662,-170,-4586899
1661073656.80,-14,-2197732,-170,-4586938
1661073717.20,-14,-2197755,-170,-4586985
1661073777.60,-14,-2197677,-170,-4587019
1661073838.00,-14,-2197669,-170,-4586971
1661073898.40,-14,-2197652,-170,-4587004
1661073958.80,-14,-2197627,-170,-4586953
1661074019.20,-14,-2197695,-170,-4587009
1661074079.60,-14,-2197759,-170,-4587060
1661074140.00,-14,-2197822,-170,-4587071
1661074200.00,-14,-2197918,-170,-4587072
1661074260.40,-14,-2197971,-170,-4587068
1661074320.80,-14,-2198075,-170,-4587062
1661074381.20,-14,-2198049,-170,-4587032
1661074441.60,-14,-2197943,-170,-4587052
1661074502.00,-14,-2197949,-170,-4586987
1661074562.40,-14,-2197955,-170,-4586982
1661074622.80,-14,-2197972,-170,-4586965
1661074683.20,-14,-2197976,-170,-4586922
1661074743.60,-14,-2197959,-170,-4586923
1661074804.00,-14,-2198028,-170,-4586915
1661074864.40,-14,-2198035,-170,-4586944
1661074924.80,-14,-2198110,-170,-4587013
1661074985.20,-14,-2198021,-170,-4587014
1661075045.60,-14,-2197827,-170,-4587005
1661075106.00,-14,-2197767,-170,-4587003
1661075166.40,-14,-2197687,-170,-4586932
1661075226.80,-14,-2197660,-170,-4586883
1661075287.20,-14,-2197763,-170,-4586905
1661075347.60,-14,-2197867,-170,-4587061
1661075408.00,-14,-2197891,-170,-4587053
1661075468.40,-14,-2197884,-170,-4587021
1661075528.80,-14,-2197959,-170,-4587006
1661075589.20,-14,-2197965,-170,-4587005
1661075649.60,-14,-2198007,-170,-4586977
1661075710.00,-14,-2197982,-170,-4586991
1661075770.40,-14,-2197922,-170,-4586994
1661075830.80,-14,-2197956,-170,-4587037
1661075891.20,-14,-2197831,-170,-4587055
1661075951.60,-14,-2197728,-170,-4587073
1661076012.00,-14,-2197622,-170,-4587003
1661076072.40,-14,-2197484,-170,-4586969
1661076132.80,-14,-2197429,-170,-4586885
1661076193.20,-14,-2197408,-170,-4586793
1661076253.60,-14,-2197455,-170,-4586726
1661076314.00,-14,-2197423,-170,-4586728
1661076374.40,-14,-2197380,-170,-4586704
1661076434.80,-14,-2197413,-170,-4586804
1661076495.20,-14,-2197384,-170,-4586953
1661076555.60,-14,-2197497,-170,-4586983
1661076616.00,-14,-2197400,-170,-4586922
1661076676.40,-14,-2197474,-170,-4586893
1661076736.80,-14,-2197365,-170,-4586858
1661076797.20,-14,-2197286,-170,-4586812
1661076857.60,-14,-2197199,-170,-4586797
1661076918.00,-14,-2197234,-170,-4586830
1661076978.40,-14,-2197247,-170,-4586848
1661077038.80,-14,-2197243,-170,-4586755
1661077099.20,-14,-2197207,-170,-4586720
1661077159.20,-14,-2197261,-170,-4586755
1661077220.00,-14,-2197274,-170,-4586766
1661077280.40,-14,-2197309,-170,-4586761
1661077340.80,-14,-2197335,-170,-4586783
1661077401.20,-14,-2197312,-170,-4586777
1661077461.60,-14,-2197322,-170,-4586785
1661077522.00,-14,-2197320,-170,-4586723
1661077582.40,-14,-2197277,-170,-4586659
1661077642.80,-14,-2197307,-170,-4586639
1661077703.20,-14,-2197303,-170,-4586605
1661077763.60,-14,-2197341,-170,-4586629
1661077824.00,-14,-2197338,-170,-4586664
1661077884.40,-14,-2197295,-170,-4586636
1661077944.80,-14,-2197239,-170,-4586551
1661078005.20,-14,-2197263,-170,-4586497
1661078065.60,-14,-2197246,-170,-4586505
1661078126.00,-14,-2197287,-170,-4586506
1661078186.40,-14,-2197238,-170,-4586482
1661078246.80,-14,-2197282,-170,-4586488
1661078307.20,-14,-2197260,-170,-4586510
1661078367.60,-14,-2197330,-170,-4586505
1661078428.00,-14,-2197295,-170,-4586452
1661078488.40,-14,-2197318,-170,-4586485
1661078548.80,-14,-2197341,-170,-4586475
1661078609.20,-14,-2197327,-170,-4586420
1661078669.60,-14,-2197357,-170,-4586444
1661078730.00,-14,-2197371,-170,-4586538
1661078790.40,-14,-2197391,-170,-4586671
1661078850.80,-14,-2197413,-170,-4586716
1661078911.20,-14,-2197473,-170,-4586767
1661078971.60,-14,-2197433,-170,-4586751
1661079032.00,-14,-2197470,-170,-4586835
1661079092.40,-14,-2197534,-170,-4586887
1661079152.80,-14,-2197529,-170,-4586873
1661079213.20,-14,-2197526,-170,-4586855
1661079273.60,-14,-2197508,-170,-4586819
1661079334.00,-14,-2197530,-170,-4586832
1661079394.40,-14,-2197522,-170,-4586807
1661079454.80,-14,-2197463,-170,-4586702
1661079515.20,-14,-2197477,-170,-4586692
1661079575.60,-14,-2197500,-170,-4586689
1661079636.00,-14,-2197466,-170,-4586661
1661079696.40,-14,-2197497,-170,-4586735
1661079756.80,-14,-2197469,-170,-4586729
1661079817.20,-14,-2197516,-170,-4586733
1661079877.60,-14,-2197491,-170,-4586700
1661079938.00,-14,-2197484,-170,-4586707
1661079998.40,-14,-2197484,-170,-4586692
1661080058.80,-14,-2197468,-170,-4586574
1661080119.20,-14,-2197513,-170,-4586638
1661080179.60,-14,-2197510,-170,-4586609
1661080240.00,-14,-2197483,-170,-4586590
1661080300.40,-14,-2197524,-170,-4586556
1661080360.80,-14,-2197504,-170,-4586557
1661080421.20,-14,-2197467,-170,-4586537
1661080481.60,-14,-2197585,-170,-4586518
1661080542.00,-14,-2197547,-170,-4586537
1661080602.40,-14,-2197570,-170,-4586498
1661080662.80,-14,-2197595,-170,-4586453
1661080723.20,-14,-2197600,-170,-4586420
1661080783.60,-14,-2197618,-170,-4586490
1661080844.00,-14,-2197532,-170,-4586551
1661080904.40,-14,-2197476,-170,-4586530
1661080964.00,-14,-2197518,-170,-4586593
1661081025.20,-14,-2197528,-170,-4586625
1661081085.60,-14,-2197541,-170,-4586689
1661081146.00,-14,-2197534,-170,-4586648
1661081206.40,-14,-2197560,-170,-4586640
1661081266.80,-14,-2197516,-170,-4586543
1661081327.20,-14,-2197462,-170,-4586534
1661081387.60,-14,-2197455,-170,-4586494
1661081448.00,-14,-2197425,-170,-4586449
1661081508.40,-14,-2197440,-170,-4586517
1661081568.80,-14,-2197447,-170,-4586461
1661081629.20,-14,-2197461,-170,-4586510
1661081689.60,-14,-2197575,-170,-4586529
1661081750.00,-14,-2197533,-170,-4586605
1661081810.40,-14,-2197531,-170,-4586613
1661081870.80,-14,-2197589,-170,-4586664
1661081931.20,-14,-2197586,-170,-4586666
1661081991.60,-14,-2197581,-170,-4586629
1661082052.00,-14,-2197623,-170,-4586682
1661082112.40,-14,-2197551,-170,-4586677
1661082172.80,-14,-2197620,-170,-4586758
1661082233.20,-14,-2197590,-170,-4586767
1661082293.60,-14,-2197547,-170,-4586746
1661082354.00,-14,-2197625,-170,-4586716
