millis,GPS_Epoch_Time(s),outx(mm),outy(mm),outz(mm)
58048,1670006719.01,0.00,0.00,0.00,I
58249,1670006719.40,0.00,16.09,-62.56,I
58302,1670006719.80,47.37,77.77,-80.03,I
58873,1670006720.20,84.28,92.39,-5.45,I
58900,1670006720.60,111.90,101.89,-0.73,I
58927,1670006721.00,131.33,106.93,-10.10,I
59267,1670006721.40,159.67,26.80,-56.47,I
59670,1670006721.80,114.76,-38.68,-147.53,I
61059,1670006722.20,44.06,-73.99,-207.04,I
61140,1670006722.60,47.92,-184.38,-246.83,I
61192,1670006723.00,48.81,-301.45,-251.71,I
61270,1670006723.40,31.12,-388.80,-194.14,I
61673,1670006723.80,-15.48,-351.62,-66.83,I
62064,1670006724.20,-53.91,-280.07,24.50,I
62470,1670006724.60,-101.02,-248.17,40.39,I
62867,1670006725.00,-170.08,-150.01,121.48,I
63268,1670006725.40,-190.73,-49.68,263.73,I
63660,1670006725.80,-157.56,2.16,337.31,I
64059,1670006726.20,-112.13,46.27,295.76,I
64462,1670006726.60,-120.23,83.27,330.37,I
64870,1670006727.00,-124.44,178.98,381.08,I
65261,1670006727.40,-94.88,320.46,357.29,I
65662,1670006727.80,-99.49,413.03,286.25,I
66056,1670006728.20,-70.48,479.98,319.57,I
66465,1670006728.60,2.87,540.41,240.55,I
66856,1670006729.00,13.73,511.34,48.58,I
67256,1670006729.40,-23.97,427.37,-58.46,I
67657,1670006729.80,41.46,333.56,-124.62, 
68057,1670006730.20,61.25,217.22,-206.56, 
68466,1670006730.60,-2.50,214.48,-187.49, 
68853,1670006731.00,-37.15,172.00,-191.28, 
69253,1670006731.40,-32.46,83.03,-320.35, 
69664,1670006731.80,-58.82,-42.47,-398.39, 
70055,1670006732.20,-62.05,-96.35,-293.90, 
70459,1670006732.60,-32.26,-156.87,-264.71, 
70854,1670006733.00,-53.39,-222.23,-307.75, 
71260,1670006733.40,-84.42,-255.89,-213.41, 
71663,1670006733.80,-106.49,-330.19,-144.63, 
72052,1670006734.20,-136.82,-401.15,-57.34, 
72464,1670006734.60,-140.71,-435.25,107.43, 
72861,1670006735.00,-91.80,-470.66,168.97, 
73263,1670006735.40,-48.76,-423.53,215.95, 
73662,1670006735.80,-11.21,-344.55,266.09, 
74055,1670006736.20,36.42,-273.36,326.27, 
74448,1670006736.60,75.94,-209.52,270.36, 
74850,1670006737.00,108.07,-168.64,183.81, 
75261,1670006737.40,197.85,-146.75,206.52, 
75659,1670006737.80,251.30,-92.01,211.49, 
76056,1670006738.20,226.81,5.10,166.03, 
76457,1670006738.60,234.77,118.12,107.64, 
76849,1670006739.00,237.00,191.37,130.17, 
77258,1670006739.40,266.43,264.95,102.47, 
77647,1670006739.80,284.50,269.89,59.01, 
78057,1670006740.20,276.56,221.15,-81.22, 
78450,1670006740.60,231.44,226.64,-239.74, 
78850,1670006741.00,158.88,293.08,-339.60, 
79243,1670006741.40,79.85,258.24,-299.61, 
79644,1670006741.80,59.71,192.61,-296.29, 
80041,1670006742.20,40.58,102.50,-308.65, 
80453,1670006742.60,-40.00,76.72,-340.05, 
80844,1670006743.00,-73.45,4.64,-279.21, 
81248,1670006743.40,-70.15,-103.07,-185.49, 
81655,1670006743.80,-82.98,-171.72,-108.20, 
82042,1670006744.20,-93.24,-173.41,-31.24, 
82452,1670006744.60,-132.42,-155.10,57.34, 
82841,1670006745.00,-178.63,-120.92,77.37, 
83243,1670006745.40,-229.30,-74.56,77.68, 
83646,1670006745.80,-233.93,-116.72,59.43, 
84045,1670006746.20,-281.66,-82.22,79.37, 
84441,1670006746.60,-249.96,-35.99,128.53, 
84838,1670006747.00,-204.05,-45.62,161.50, 
85239,1670006747.40,-193.87,-3.21,214.56, 
85641,1670006747.80,-181.00,47.87,232.27, 
86038,1670006748.20,-103.39,56.54,156.59, 
86437,1670006748.60,-37.89,63.13,40.47, 
86837,1670006749.00,-14.67,100.01,75.73, 
87236,1670006749.40,85.04,95.93,76.90, 
87648,1670006749.80,180.45,58.98,93.48, 
88041,1670006750.20,238.00,44.64,164.81, 
88438,1670006750.60,263.67,-0.49,147.80, 
88844,1670006751.00,262.88,-36.27,100.29, 
89235,1670006751.40,194.05,50.65,19.31, 
89636,1670006751.80,118.31,152.73,-52.90, 
90042,1670006752.20,117.09,165.38,-166.58, 
90443,1670006752.60,81.63,171.97,-313.58, 
90841,1670006753.00,3.24,173.29,-259.47, 
91242,1670006753.40,1.96,154.01,-242.40, 
91631,1670006753.80,-30.42,102.29,-247.90, 
92030,1670006754.20,-88.84,73.72,-242.43, 
