MiniDOT Logger Concatenated Data File
Sensor:             7530-432503
Concatenation Date: 2024Jan27 10:23:01 HST


            Unix Timestamp,               UTC_Date_&_Time,          Hawaii Standard Time,       Battery,   Temperature,           PAR,  Acceleration X,  Acceleration Y,  Acceleration Z
                  (Second),                        (none),                        (none),        (Volt),       (deg C), (umol/(s m^2),             (g),             (g),             (g)
                1674172260,           2023-01-19 23:51:00,           2023-01-19 13:51:00,      3.460000,     29.276000,    465.100000,     1108.000000,      -69.000000,      243.000000
                1674172860,           2023-01-20 00:01:00,           2023-01-19 14:01:00,      3.460000,     29.487000,     71.900000,     1263.000000,     -128.000000,      467.000000
                1674173460,           2023-01-20 00:11:00,           2023-01-19 14:11:00,      3.460000,     29.373000,    276.700000,     1216.000000,      -88.000000,      492.000000
                1674174060,           2023-01-20 00:21:00,           2023-01-19 14:21:00,      3.460000,     29.227000,    373.600000,     1304.000000,      -25.000000,      348.000000
                1674174660,           2023-01-20 00:31:00,           2023-01-19 14:31:00,      3.460000,     29.251000,    224.200000,     1183.000000,     -100.000000,      483.000000
                1674175260,           2023-01-20 00:41:00,           2023-01-19 14:41:00,      3.460000,     29.406000,    287.800000,     1206.000000,      -49.000000,      259.000000
                1674175860,           2023-01-20 00:51:00,           2023-01-19 14:51:00,      3.460000,     30.753000,     70.500000,      964.000000,      551.000000,      431.000000
                1674176460,           2023-01-20 01:01:00,           2023-01-19 15:01:00,      3.470000,     31.834000,    284.100000,     1027.000000,      862.000000,      542.000000
                1674177060,           2023-01-20 01:11:00,           2023-01-19 15:11:00,      3.470000,     31.707000,    720.300000,     1356.000000,       35.000000,      284.000000
                1674177660,           2023-01-20 01:21:00,           2023-01-19 15:21:00,      3.470000,     32.437000,      5.200000,     1238.000000,       -8.000000,      462.000000
                1674178260,           2023-01-20 01:31:00,           2023-01-19 15:31:00,      3.480000,     32.694000,      5.400000,     1220.000000,      -16.000000,      462.000000
                1674178860,           2023-01-20 01:41:00,           2023-01-19 15:41:00,      3.480000,     32.523000,      5.000000,     1350.000000,       40.000000,      326.000000
                1674179460,           2023-01-20 01:51:00,           2023-01-19 15:51:00,      3.480000,     32.429000,      3.800000,     1353.000000,       36.000000,      332.000000
                1674180060,           2023-01-20 02:01:00,           2023-01-19 16:01:00,      3.480000,     32.297000,      4.400000,     1299.000000,       12.000000,      432.000000
                1674180660,           2023-01-20 02:11:00,           2023-01-19 16:11:00,      3.490000,     32.148000,      7.800000,     1334.000000,       28.000000,      364.000000
                1674181260,           2023-01-20 02:21:00,           2023-01-19 16:21:00,      3.490000,     32.140000,      2.300000,     1334.000000,       32.000000,      368.000000
                1674181860,           2023-01-20 02:31:00,           2023-01-19 16:31:00,      3.500000,     32.054000,     23.900000,     1315.000000,      -12.000000,      328.000000
                1674182460,           2023-01-20 02:41:00,           2023-01-19 16:41:00,      3.500000,     31.826000,     25.600000,     1286.000000,      -24.000000,      441.000000
                1674183060,           2023-01-20 02:51:00,           2023-01-19 16:51:00,      3.500000,     31.707000,     27.500000,     1304.000000,      -10.000000,      414.000000
                1674183660,           2023-01-20 03:01:00,           2023-01-19 17:01:00,      3.490000,     31.692000,     25.200000,     1289.000000,      -20.000000,      432.000000
                1674184260,           2023-01-20 03:11:00,           2023-01-19 17:11:00,      3.490000,     31.818000,    655.800000,     1272.000000,      120.000000,      304.000000
                1674184860,           2023-01-20 03:21:00,           2023-01-19 17:21:00,      3.490000,     31.904000,   1388.000000,     1513.000000,       20.000000,      276.000000
                1674185460,           2023-01-20 03:31:00,           2023-01-19 17:31:00,      3.480000,     31.771000,    533.800000,     1339.000000,       88.000000,      199.000000
                1674186060,           2023-01-20 03:41:00,           2023-01-19 17:41:00,      3.480000,     31.699000,    439.600000,     1424.000000,       50.000000,      224.000000
                1674186660,           2023-01-20 03:51:00,           2023-01-19 17:51:00,      3.480000,     31.715000,    300.400000,     1256.000000,      -16.000000,      312.000000
                1674187260,           2023-01-20 04:01:00,           2023-01-19 18:01:00,      3.470000,     32.655000,    701.100000,     1279.000000,       14.000000,      412.000000
                1674187860,           2023-01-20 04:11:00,           2023-01-19 18:11:00,      3.470000,     32.911000,    406.000000,     1276.000000,      -40.000000,      556.000000
                1674188460,           2023-01-20 04:21:00,           2023-01-19 18:21:00,      3.480000,     32.996000,    828.900000,     1200.000000,      -64.000000,      563.000000
                1674189060,           2023-01-20 04:31:00,           2023-01-19 18:31:00,      3.480000,     33.073000,    512.800000,     1264.000000,      -40.000000,      560.000000
                1674189660,           2023-01-20 04:41:00,           2023-01-19 18:41:00,      3.470000,     32.406000,    444.500000,     1208.000000,       -7.000000,      316.000000
                1674190260,           2023-01-20 04:51:00,           2023-01-19 18:51:00,      3.470000,     31.605000,    424.800000,     1368.000000,       22.000000,      402.000000
                1674190860,           2023-01-20 05:01:00,           2023-01-19 19:01:00,      3.470000,     30.865000,    324.400000,     1359.000000,       14.000000,      364.000000
                1674191460,           2023-01-20 05:11:00,           2023-01-19 19:11:00,      3.470000,     29.536000,    234.600000,     1340.000000,        0.000000,      476.000000
                1674192060,           2023-01-20 05:21:00,           2023-01-19 19:21:00,      3.460000,     28.460000,    189.900000,     1307.000000,       16.000000,      334.000000
                1674192660,           2023-01-20 05:31:00,           2023-01-19 19:31:00,      3.460000,     28.074000,    121.000000,     1292.000000,       19.000000,      325.000000
                1674193260,           2023-01-20 05:41:00,           2023-01-19 19:41:00,      3.450000,     27.894000,     65.700000,     1264.000000,       14.000000,      307.000000
                1674193860,           2023-01-20 05:51:00,           2023-01-19 19:51:00,      3.450000,     27.639000,     37.000000,     1211.000000,        7.000000,      275.000000
                1674194460,           2023-01-20 06:01:00,           2023-01-19 20:01:00,      3.450000,     27.474000,     11.000000,     1351.000000,        4.000000,      460.000000
