7530-216339
OS REV: 1.07 Sensor Cal: 1628751600 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1697633700, +3.49, +30.376,  +457.1, +1244.0,  +166.0,  +300.0
1697634300, +3.49, +30.360, +1089.2, +1238.0,  +172.0,  +308.0
1697634900, +3.49, +30.344, +1317.3, +1241.0,  +168.0,  +300.0
1697635500, +3.49, +30.344,  +545.6, +1241.0,  +172.0,  +304.0
1697636100, +3.49, +30.312,  +682.2, +1244.0,  +156.0,  +291.0
1697636700, +3.49, +30.271, +1034.1, +1243.0,  +160.0,  +300.0
1697637300, +3.49, +30.255, +1084.0, +1246.0,  +161.0,  +296.0
1697637900, +3.49, +30.263, +1016.7, +1240.0,  +166.0,  +304.0
1697638500, +3.49, +30.215, +1043.1, +1244.0,  +176.0,  +304.0
1697639100, +3.49, +30.167,  +564.2, +1246.0,  +172.0,  +304.0
1697639700, +3.49, +30.199,  +844.9, +1243.0,  +168.0,  +300.0
1697640300, +3.49, +30.159,  +733.0, +1243.0,  +180.0,  +308.0
1697640900, +3.49, +30.159,  +271.1, +1240.0,  +168.0,  +304.0
1697641500, +3.49, +30.151,  +164.5, +1246.0,  +168.0,  +304.0
1697642100, +3.49, +30.062,  +127.8, +1246.0,  +179.0,  +306.0
1697642700, +3.49, +30.038,  +121.2, +1244.0,  +174.0,  +304.0
1697643300, +3.49, +30.046,  +117.6, +1248.0,  +176.0,  +304.0
1697643900, +3.49, +30.046,  +219.3, +1248.0,  +176.0,  +304.0
1697644500, +3.49, +30.102,  +190.0, +1247.0,  +160.0,  +292.0
1697645100, +3.49, +30.175,  +146.9, +1244.0,  +172.0,  +300.0
1697645700, +3.49, +30.167,   +96.9, +1244.0,  +168.0,  +296.0
1697646300, +3.49, +30.167,   +61.4, +1246.0,  +168.0,  +296.0
1697646900, +3.49, +30.110,   +32.1, +1249.0,  +134.0,  +270.0
1697647500, +3.49, +30.094,   +14.0, +1240.0,  +172.0,  +310.0
1697648100, +3.49, +30.054,    +4.3, +1240.0,  +176.0,  +310.0
1697648700, +3.49, +30.054,    +0.3, +1248.0,  +160.0,  +291.0
1697649300, +3.49, +30.030,    +0.0, +1248.0,  +176.0,  +307.0
1697649900, +3.49, +30.005,    +0.2, +1358.0,  +240.0,  +144.0
1697650500, +3.49, +29.957,    -0.4, +1356.0,  +240.0,  +144.0
1697651100, +3.49, +29.916,    +0.4, +1248.0,  +168.0,  +302.0
1697651700, +3.49, +29.876,    +0.1, +1255.0,  +156.0,  +284.0
1697652300, +3.49, +29.795,    +0.1, +1358.0,  +236.0,  +144.0
1697652900, +3.49, +29.730,    -0.1, +1355.0,  +240.0,  +144.0
1697653500, +3.49, +29.682,    -0.1, +1356.0,  +238.0,  +144.0
1697654100, +3.49, +29.657,    +0.1, +1247.0,  +184.0,  +308.0
1697654700, +3.49, +29.633,    -0.2, +1248.0,  +172.0,  +300.0
1697655300, +3.49, +29.617,    -0.2, +1358.0,  +240.0,  +144.0
1697655900, +3.49, +29.617,    -0.1, +1358.0,  +242.0,  +152.0
1697656500, +3.49, +29.609,    -0.1, +1359.0,  +230.0,  +136.0
1697657100, +3.49, +29.584,    +0.2, +1359.0,  +236.0,  +140.0
1697657700, +3.49, +29.544,    +0.0, +1359.0,  +232.0,  +140.0
1697658300, +3.49, +29.495,    -0.1, +1359.0,  +236.0,  +144.0
1697658900, +3.49, +29.430,    +0.3, +1359.0,  +235.0,  +144.0
1697659500, +3.49, +29.398,    +0.2, +1359.0,  +236.0,  +144.0
1697660100, +3.49, +29.390,    +0.1, +1361.0,  +236.0,  +140.0
1697660700, +3.49, +29.373,    +0.2, +1358.0,  +240.0,  +142.0
1697661300, +3.49, +29.357,    -0.2, +1359.0,  +240.0,  +140.0
1697661900, +3.49, +29.365,    -0.1, +1359.0,  +240.0,  +140.0
1697662500, +3.49, +29.349,    +0.1, +1358.0,  +236.0,  +140.0
