7530-216339
OS REV: 1.07 Sensor Cal: 1628751600 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1697111700, +3.47, +31.168,  +846.1, +1255.0,  -372.0,  +360.0
1697112300, +3.48, +30.889,  +822.6, +1263.0,  -368.0,  +355.0
1697112900, +3.48, +30.705,  +570.7, +1377.0,  -320.0,  +192.0
1697113500, +3.48, +30.593,  +424.5, +1264.0,  -370.0,  +355.0
1697114100, +3.48, +30.424,  +508.3, +1172.0,    +1.0,  +192.0
1697114700, +3.48, +30.312,  +986.5, +1272.0,  -416.0,  +304.0
1697115300, +3.48, +30.480,  +960.1, +1340.0,  -528.0,  +289.0
1697115900, +3.48, +31.033, +1033.5, +1249.0,  -384.0,  +336.0
1697116500, +3.48, +31.904,  +823.4, +1383.0,  -252.0,  +152.0
1697117100, +3.49, +32.616,  +820.6, +1231.0,  -308.0,  +316.0
1697117700, +3.49, +33.088,  +911.1, +1395.0,  -248.0,  +156.0
1697118300, +3.49, +33.464, +1209.2, +1361.0,  -264.0,  +188.0
1697118900, +3.49, +33.919, +1110.9, +1228.0,  -308.0,  +318.0
1697119500, +3.49, +34.377, +1203.3, +1392.0,  -256.0,  +161.0
1697120100, +3.49, +34.600, +1293.1, +1371.0,  -280.0,  +184.0
1697120700, +3.49, +34.190, +1086.4, +1187.0,   -88.0,  +292.0
1697121300, +3.49, +33.851,  +271.4, +1305.0,  -618.0,  +867.0
1697121900, +3.49, +34.160,    +8.8,  -964.0,  -992.0, +1278.0
1697122500, +3.50, +33.188,   +41.5,  +960.0,  -764.0,   -72.0
1697123100, +3.50, +31.865,   +21.6,  -333.0, +1255.0,  +814.0
1697123700, +3.50, +30.376,  +104.3, +1387.0,  -196.0,  +259.0
1697124300, +3.50, +29.819,  +229.4, +1360.0,  +243.0,  +192.0
1697124900, +3.50, +29.641,  +175.5, +1361.0,  +248.0,  +192.0
1697125500, +3.49, +29.560,  +150.6, +1360.0,  +243.0,  +192.0
1697126100, +3.49, +29.544,  +140.7, +1363.0,  +241.0,  +188.0
1697126700, +3.49, +29.503,  +102.5, +1363.0,  +240.0,  +180.0
1697127300, +3.49, +29.503,  +154.7, +1361.0,  +240.0,  +180.0
1697127900, +3.49, +29.495,  +109.0, +1358.0,  +243.0,  +192.0
1697128500, +3.49, +29.471,   +51.1, +1364.0,  +240.0,  +188.0
1697129100, +3.49, +29.487,    +8.8, +1363.0,  +240.0,  +180.0
1697129700, +3.49, +29.487,    +2.6, +1360.0,  +240.0,  +179.0
1697130300, +3.49, +29.487,    +0.4, +1363.0,  +240.0,  +176.0
1697130900, +3.49, +29.487,    -0.2, +1363.0,  +240.0,  +184.0
1697131500, +3.49, +29.463,    -0.4, +1360.0,  +240.0,  +180.0
1697132100, +3.49, +29.463,    -0.2, +1360.0,  +240.0,  +187.0
1697132700, +3.49, +29.463,    +0.2, +1361.0,  +240.0,  +183.0
1697133300, +3.49, +29.455,    -0.1, +1364.0,  +224.0,  +168.0
1697133900, +3.49, +29.430,    -0.2, +1363.0,  +227.0,  +164.0
1697134500, +3.49, +29.438,    +0.3, +1366.0,  +224.0,  +163.0
1697135100, +3.49, +29.438,    +0.3, +1367.0,  +226.0,  +167.0
1697135700, +3.49, +29.422,    +0.3, +1366.0,  +224.0,  +168.0
1697136300, +3.49, +29.398,    -0.0, +1368.0,  +224.0,  +167.0
1697136900, +3.49, +29.406,    -0.2, +1366.0,  +227.0,  +176.0
1697137500, +3.49, +29.398,    +0.1, +1366.0,  +224.0,  +166.0
1697138100, +3.49, +29.406,    +0.2, +1366.0,  +228.0,  +166.0
1697138700, +3.49, +29.390,    +0.5, +1367.0,  +224.0,  +166.0
1697139300, +3.49, +29.382,    +0.0, +1368.0,  +224.0,  +169.0
1697139900, +3.49, +29.390,    -0.2, +1366.0,  +228.0,  +176.0
1697140500, +3.49, +29.382,    +0.1, +1368.0,  +224.0,  +166.0
1697141100, +3.49, +29.373,    +0.1, +1368.0,  +224.0,  +174.0
1697141700, +3.49, +29.349,    -0.2, +1366.0,  +224.0,  +160.0
1697142300, +3.49, +29.365,    -0.0, +1367.0,  +224.0,  +174.0
1697142900, +3.49, +29.357,    -0.2, +1364.0,  +224.0,  +168.0
1697143500, +3.48, +29.341,    -0.0, +1366.0,  +224.0,  +168.0
1697144100, +3.48, +29.357,    +0.3, +1363.0,  +224.0,  +166.0
1697144700, +3.48, +29.349,    -0.4, +1366.0,  +224.0,  +168.0
1697145300, +3.48, +29.341,    -0.4, +1368.0,  +224.0,  +166.0
1697145900, +3.48, +29.341,    -0.1, +1367.0,  +224.0,  +168.0
1697146500, +3.48, +29.341,    +0.1, +1366.0,  +227.0,  +166.0
1697147100, +3.48, +29.341,    +0.1, +1366.0,  +224.0,  +166.0
1697147700, +3.48, +29.341,    -0.3, +1363.0,  +230.0,  +160.0
1697148300, +3.48, +29.333,    -0.4, +1368.0,  +224.0,  +168.0
1697148900, +3.48, +29.349,    +0.3, +1363.0,  +224.0,  +168.0
1697149500, +3.48, +29.349,    -0.2, +1364.0,  +224.0,  +168.0
1697150100, +3.48, +29.357,    -0.3, +1368.0,  +224.0,  +168.0
1697150700, +3.48, +29.341,    +0.2, +1367.0,  +224.0,  +174.0
1697151300, +3.49, +29.341,    -0.1, +1368.0,  +224.0,  +173.0
1697151900, +3.48, +29.341,    +0.3, +1366.0,  +224.0,  +167.0
1697152500, +3.49, +29.341,    -0.4, +1367.0,  +224.0,  +171.0
1697153100, +3.49, +29.349,    -0.1, +1364.0,  +224.0,  +165.0
1697153700, +3.49, +29.333,    -0.3, +1368.0,  +224.0,  +162.0
1697154300, +3.49, +29.325,    +0.0, +1367.0,  +224.0,  +169.0
1697154900, +3.49, +29.325,    -0.1, +1363.0,  +224.0,  +166.0
1697155500, +3.49, +29.333,    +0.1, +1366.0,  +224.0,  +167.0
1697156100, +3.49, +29.325,    +0.2, +1367.0,  +224.0,  +172.0
1697156700, +3.49, +29.308,    -0.1, +1368.0,  +224.0,  +167.0
1697157300, +3.49, +29.308,    -0.2, +1366.0,  +225.0,  +161.0
