7530-216339
OS REV: 1.07 Sensor Cal: 1628751600 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1697285700, +3.49, +29.795,  +663.2, +1369.0,  +200.0,  +128.0
1697286300, +3.49, +29.803, +1035.7, +1368.0,  +204.0,  +136.0
1697286900, +3.49, +29.803, +1001.1, +1368.0,  +200.0,  +133.0
1697287500, +3.49, +29.836, +1313.5, +1371.0,  +200.0,  +134.0
1697288100, +3.49, +29.852, +1525.1, +1260.0,  +142.0,  +288.0
1697288700, +3.49, +29.868,  +997.5, +1368.0,  +200.0,  +134.0
1697289300, +3.49, +29.916, +1187.5, +1371.0,  +200.0,  +136.0
1697289900, +3.49, +29.908, +1027.2, +1260.0,  +140.0,  +291.0
1697290500, +3.49, +29.933, +1098.3, +1368.0,  +200.0,  +134.0
1697291100, +3.49, +29.916, +1010.4, +1264.0,  +142.0,  +290.0
1697291700, +3.49, +29.949,  +969.2, +1260.0,  +140.0,  +289.0
1697292300, +3.49, +29.989,  +809.7, +1366.0,  +200.0,  +134.0
1697292900, +3.49, +30.013,  +704.4, +1369.0,  +200.0,  +134.0
1697293500, +3.49, +30.005,  +653.6, +1368.0,  +200.0,  +136.0
1697294100, +3.49, +30.005,  +543.4, +1368.0,  +200.0,  +136.0
1697294700, +3.49, +29.989,  +566.2, +1366.0,  +199.0,  +136.0
1697295300, +3.49, +29.981,  +514.3, +1264.0,  +142.0,  +291.0
1697295900, +3.49, +29.949,  +424.6, +1262.0,  +140.0,  +289.0
1697296500, +3.49, +29.900,  +381.1, +1368.0,  +200.0,  +134.0
1697297100, +3.49, +29.868,  +219.0, +1257.0,  +142.0,  +291.0
1697297700, +3.49, +29.892,  +269.3, +1260.0,  +136.0,  +288.0
1697298300, +3.49, +29.811,  +203.6, +1368.0,  +200.0,  +134.0
1697298900, +3.49, +29.795,  +197.3, +1368.0,  +200.0,  +136.0
1697299500, +3.49, +29.787,  +133.9, +1368.0,  +200.0,  +131.0
1697300100, +3.49, +29.747,   +83.9, +1368.0,  +200.0,  +131.0
1697300700, +3.49, +29.722,   +59.2, +1368.0,  +199.0,  +134.0
1697301300, +3.49, +29.714,   +33.9, +1368.0,  +200.0,  +134.0
1697301900, +3.49, +29.682,   +15.3, +1368.0,  +198.0,  +134.0
1697302500, +3.49, +29.666,    +5.0, +1368.0,  +200.0,  +136.0
1697303100, +3.49, +29.657,    +0.5, +1368.0,  +200.0,  +136.0
1697303700, +3.49, +29.625,    -0.4, +1369.0,  +200.0,  +136.0
1697304300, +3.49, +29.584,    -0.0, +1368.0,  +204.0,  +134.0
1697304900, +3.49, +29.576,    -0.1, +1369.0,  +200.0,  +139.0
1697305500, +3.49, +29.552,    -0.0, +1265.0,  +144.0,  +284.0
1697306100, +3.49, +29.552,    -0.2, +1263.0,  +142.0,  +286.0
1697306700, +3.49, +29.544,    -0.2, +1372.0,  +200.0,  +142.0
1697307300, +3.49, +29.520,    -0.0, +1374.0,  +200.0,  +137.0
1697307900, +3.49, +29.511,    -0.1, +1368.0,  +199.0,  +136.0
1697308500, +3.49, +29.528,    -0.1, +1371.0,  +204.0,  +136.0
1697309100, +3.49, +29.511,    +0.0, +1369.0,  +200.0,  +134.0
1697309700, +3.49, +29.503,    -0.3, +1369.0,  +200.0,  +136.0
1697310300, +3.49, +29.495,    -0.2, +1372.0,  +204.0,  +134.0
1697310900, +3.49, +29.495,    +0.0, +1372.0,  +200.0,  +136.0
1697311500, +3.49, +29.487,    -0.1, +1368.0,  +200.0,  +136.0
1697312100, +3.49, +29.471,    +0.1, +1372.0,  +200.0,  +137.0
1697312700, +3.49, +29.479,    +0.2, +1368.0,  +200.0,  +136.0
1697313300, +3.49, +29.479,    +0.0, +1371.0,  +196.0,  +136.0
1697313900, +3.49, +29.479,    -0.0, +1369.0,  +200.0,  +137.0
1697314500, +3.49, +29.479,    -0.2, +1374.0,  +198.0,  +139.0
1697315100, +3.49, +29.463,    -0.2, +1372.0,  +200.0,  +144.0
1697315700, +3.49, +29.471,    -0.2, +1368.0,  +200.0,  +132.0
1697316300, +3.49, +29.438,    +0.3, +1369.0,  +200.0,  +136.0
1697316900, +3.49, +29.447,    +0.2, +1369.0,  +200.0,  +134.0
1697317500, +3.49, +29.438,    +0.2, +1368.0,  +195.0,  +131.0
1697318100, +3.49, +29.447,    -0.2, +1368.0,  +200.0,  +134.0
1697318700, +3.49, +29.422,    -0.4, +1375.0,  +200.0,  +139.0
1697319300, +3.49, +29.422,    -0.1, +1369.0,  +200.0,  +136.0
1697319900, +3.49, +29.430,    -0.0, +1371.0,  +200.0,  +137.0
1697320500, +3.49, +29.422,    -0.1, +1369.0,  +200.0,  +140.0
1697321100, +3.49, +29.414,    +0.0, +1372.0,  +200.0,  +134.0
1697321700, +3.49, +29.422,    -0.1, +1369.0,  +200.0,  +134.0
1697322300, +3.49, +29.414,    -0.0, +1369.0,  +196.0,  +136.0
1697322900, +3.49, +29.406,    -0.2, +1368.0,  +199.0,  +136.0
1697323500, +3.49, +29.414,    +0.0, +1369.0,  +200.0,  +136.0
1697324100, +3.49, +29.406,    -0.1, +1368.0,  +200.0,  +136.0
1697324700, +3.49, +29.414,    +0.0, +1372.0,  +200.0,  +134.0
1697325300, +3.49, +29.398,    -0.2, +1372.0,  +200.0,  +136.0
1697325900, +3.49, +29.390,    -0.2, +1372.0,  +200.0,  +140.0
1697326500, +3.49, +29.382,    +0.3, +1368.0,  +200.0,  +136.0
1697327100, +3.49, +29.365,    -0.4, +1371.0,  +199.0,  +140.0
1697327700, +3.49, +29.365,    +0.0, +1368.0,  +202.0,  +134.0
1697328300, +3.49, +29.365,    -0.0, +1371.0,  +198.0,  +136.0
1697328900, +3.49, +29.317,    -0.1, +1372.0,  +200.0,  +144.0
1697329500, +3.49, +29.341,    -0.1, +1370.0,  +200.0,  +135.0
1697330100, +3.49, +29.333,    +0.1, +1368.0,  +200.0,  +133.0
1697330700, +3.49, +29.300,    -0.1, +1369.0,  +200.0,  +134.0
1697331300, +3.49, +29.292,    +0.2, +1369.0,  +200.0,  +140.0
1697331900, +3.49, +29.308,    -0.1, +1372.0,  +200.0,  +137.0
1697332500, +3.49, +29.292,    +0.1, +1371.0,  +200.0,  +136.0
